학습목표,Quiz 1,Korean 1,Option 1-1,Option 1-2,Option 1-3,Answer 1,Index 1,Quiz 2,Korean 2,Option 2-1,Option 2-2,Option 2-3,Answer 2,Index 2,샘플 스크립트 (영어),샘플 스크립트 (한국어)
목적을 나타내는 to부정사를 사용할 수 있어요.,I exercised ___ improve my mood.,나는 기분을 개선하기 위해 운동했어요.,for,to,in,to,2,I ate fruits ___ stay energetic.,나는 활기차게 있기 위해 과일을 먹었어요.,to,for,in,to,1,A: Why do you read books? B: I read books to gain knowledge. A: Why did you cook dinner? B: I cooked dinner to satisfy hunger.,A: 왜 책을 읽어요? B: 지식을 얻기 위해 책을 읽었어요. A: 왜 저녁을 요리했어요? B: 배고픔을 채우기 위해 저녁을 요리했어요.
and를 활용한 동사구 결합을 사용할 수 있어요.,Students listen attentively ___ complete tasks.,학생들은 주의 깊게 듣고 과제를 수행해요.,with,and,or,and,2,Teachers explain clearly ___ guide students.,선생님들은 명확하게 설명하고 학생들을 지도해요.,and,with,but,and,1,A: I study math and solve problems. B: I listen to lectures and take notes. A: You write stories and edit drafts. B: You plan events and organize activities.,A: 저는 수학을 공부하고 문제를 풀어요. B: 저는 강의를 듣고 노트를 써요. A: 당신은 이야기를 쓰고 초고를 수정해요. B: 당신은 행사를 계획하고 활동을 정리해요.
too + 형용사를 사용할 수 있어요.,The room is ___ at night.,방은 밤에 너무 어두워요.,to dark,too dark,too darker,too dark,2,My shoes are ___ for a marathon.,내 신발은 마라톤에 쓰기엔 너무 낡았어요.,too old,to old,too older,too old,1,"A: Is the dress too bright for the party? B: I think it is too flashy for the event. A: Is the cake too sweet for you? B: Yes, it is too sugary for my taste.","A: 파티에 드레스가 너무 밝아요? B: 저는 그 드레스가 행사에 너무 화려해요. A: 케이크가 당신에게 너무 달아요? B: 네, 제 취향에는 케이크가 너무 달아요."
과거진행형을 사용할 수 있어요.,I ___ planting trees by the river.,나는 강가에서 나무를 심고 있었어요.,were,was,am,was,2,She ___ saving water at home.,그녀는 집에서 물을 아끼고 있었어요.,was,is,were,was,1,A: What were you doing at 3 PM yesterday? B: I was jogging in the park. A: What were they doing during the storm last night? B: They were staying indoors.,A: 어제 오후 3시에 무엇을 하고 계셨어요? B: 저는 공원에서 조깅하고 있었어요. A: 지난 밤 폭풍우 동안 그들은 무엇을 하고 계셨어요? B: 그들은 집안에 머무르고 있었어요.
형용사의 최상급을 사용할 수 있어요.,It has the ___ mountains in Korea.,한국에는 가장 높은 산들이 있어요.,taller,tallest,most tall,tallest,2,Busan offers the ___ seas.,부산은 가장 맑은 바다가 있어요.,clearest,clear,clearer,clearest,1,A: Which park is the largest? B: This park is the largest. A: Who is the kindest in your school? B: My teacher is the kindest.,A: 어느 공원이 가장 커요? B: 이 공원이 가장 커요. A: 학교에서 누구가 가장 친절해요? B: 제 선생님이 가장 친절해요.
be동사를 사용할 수 있어요.,I ___ a caring student.,나는 배려심 많은 학생이에요.,are,am,is,am,2,He ___ always cheerful.,그는 항상 명랑해요.,is,am,are,is,1,A: Are you a creative person? B: I am a creative person. A: Is the cafeteria busy today? B: It is busy today.,"A: 창의적인 분이세요? B: 저는 창의적인 사람이에요. A: 오늘 식당이 북적해요? B: 네, 식당이 북적해요."
의문문을 사용할 수 있어요.,Do you ___ a favorite subject?,좋아하는 과목이 있어요?,had,have,has,have,2,Do you ___ clubs after school?,학교 끝나고 동아리에 가입해요?,join,joins,joining,join,1,"A: Do you participate in sports activities? B: Yes, I participate in sports activities. A: Do you attend after-school tutoring? B: No, I don't attend after-school tutoring.","A: 방과 후 스포츠 활동에 참여해요? B: 네, 스포츠 활동에 참여해요. A: 방과 후 학원에 다녀요? B: 아니요, 학원에 다니지 않아요."
명령문을 사용할 수 있어요.,Listen ___ to the story.,이야기를 주의깊게 들어요.,careless,carefully,careful,carefully,2,___ the wise words.,지혜로운 말을 기억해요.,Remember,Remembers,Remembered,Remember,1,A: Open your notebook and jot down your thoughts. B: Follow the steps carefully. A: Close your book now. B: Organize your desk neatly.,A: 공책을 열고 생각을 적어봐요. B: 단계를 주의깊게 따라해요. A: 지금 책을 닫아봐요. B: 책상을 깔끔하게 정리해요.
동사의 과거형을 사용할 수 있어요.,My morning ___ peacefully.,내 아침은 평화롭게 시작했어요.,began,begin,begun,began,1,He ___ a simple breakfast yesterday.,그는 어제 간단한 아침을 준비했어요.,prepare,prepared,preparing,prepared,2,A: What did you do last weekend? B: I visited a museum. A: Where did you go on your last vacation? B: I traveled to the countryside.,A: 지난 주말에 무엇을 했어요? B: 박물관을 방문했어요. A: 지난 휴가 때 어디로 갔어요? B: 시골로 여행했어요.
동명사를 사용할 수 있어요.,_____ songs is not only for professional singers.,노래 부르는 것은 전문 가수만을 위한 것이 아니에요.,Singing,Sing,Sang,Singing,1,_____ dinner is not limited to chefs.,요리하는 것은 요리사들만을 위한 것이 아니에요.,Cook,Cooking,Cooked,Cooking,2,A: Reading books inspires creativity. B: Writing poems expresses feelings. A: Cycling daily improves health. B: Swimming in the sea relaxes the mind.,A: 책을 읽는 것이 창의력을 북돋아요. B: 시를 쓰는 것이 감정을 표현해요. A: 매일 자전거 타는 것이 건강을 증진해요. B: 바다에서 수영하는 것이 마음을 편안하게 해요.
to부정사의 명사적 용법을 사용할 수 있어요.,I want to ______ the event.,나는 행사를 발표하고 싶어요.,announcing,announce,announces,announce,2,I want to ______ a team meeting.,나는 팀 미팅을 조직하고 싶어요.,organize,organizes,organizing,organize,1,A: I want to plan a surprise party. B: I want to learn a new skill. A: I want to improve my cooking. B: I want to solve a difficult puzzle.,A: 나는 깜짝 파티를 계획하고 싶어요. B: 나는 새로운 기술을 배우고 싶어요. A: 나는 요리를 향상시키고 싶어요. B: 나는 어려운 퍼즐을 풀어보고 싶어요.
be going to 표현을 사용할 수 있어요.,We're ___ explore hidden temples.,우리는 숨겨진 사원을 탐험할 거예요.,going,going to,goes to,going to,2,They are ___ try local food.,그들은 현지 음식을 시도할 거예요.,going to,goes to,going,going to,1,A: What are you going to do after school? B: I am going to play basketball. A: Are you going to attend the art class? B: I am going to explore new painting techniques.,A: 방과 후에 무엇을 할 거예요? B: 저는 농구를 할 거예요. A: 미술 수업에 참석할 거예요? B: 저는 새로운 회화 방법을 탐구할 거예요.
접속사 that를 사용할 수 있어요.,We believed ___ our project was a huge success.,우리는 우리 프로젝트가 엄청난 성공이었다고 믿었어요.,which,that,because,that,2,They noticed ___ the team performed well.,그들은 팀이 잘 수행했다고 알아챘어요.,that,which,if,that,1,"A: Did you hear that the concert was canceled? B: Yes, I learned that it was due to bad weather. A: I believe that the museum exhibit is fascinating. B: My teacher mentioned that it opens next week.","A: 콘서트가 취소되었다는 말을 들었어요? B: 네, 나쁜 날씨 때문이라고 들었어요. A: 저는 박물관 전시가 정말 매력적이라고 믿어요. B: 선생님께서 다음 주에 개관한다고 말씀하셨어요."
동사be를 사용할 수 있어요.,"I ___ a student, and my best friend is a neighbor.","저는 학생이고, 제 친한 친구는 이웃이에요.",is,am,are,am,2,I ___ happy because I study with my friend. My friend is always kind and cheerful.,저는 친구와 함께 공부해서 행복해요. 제 친구는 항상 친절하고 쾌활해요.,am,are,is,am,1,A: Are you a teacher? B: I am a teacher and my assistant is helpful. A: Is your room clean? B: It is clean and the window is bright.,"A: 선생님이세요? B: 저는 선생님이고, 제 조수가 도움이 돼요. A: 방이 깨끗해요? B: 네, 방이 깨끗하고 창문이 밝아요."
현재진행형을 사용할 수 있어요.,I'm ___ a healthy snack.,저는 건강한 간식을 준비하고 있어요.,prepare,preparing,prepared,preparing,2,I'm ___ my favorite sport.,저는 가장 좋아하는 스포츠를 하고 있어요.,playing,play,played,playing,1,A: What are you doing right now? B: I'm painting a landscape. A: Are you listening to music now? B: I'm enjoying some jazz tunes.,A: 지금 뭐 하고 있어요? B: 풍경화를 그리고 있어요. A: 지금 음악 듣고 있어요? B: 재즈 음악을 즐기고 있어요.
동사의 과거형을 사용할 수 있어요.,I _____ to school before the bell rang.,나는 종이 울리기 전에 학교에 걸어갔어요.,walk,walked,walking,walked,2,He _____ the club last month.,그는 지난달에 클럽에 가입했어요.,join,joined,joining,joined,1,A: What did you cook for dinner yesterday? B: I cooked pasta and salad. A: How did you get to the park last weekend? B: I walked there quickly.,A: 어제 저녁에 무엇을 요리했어요? B: 파스타와 샐러드를 요리했어요. A: 지난 주말에 어떻게 공원에 갔어요? B: 빠르게 걸어갔어요.
동명사를 사용할 수 있어요.,I enjoyed ___ quaint cafes along winding roads.,나는 구불구불한 길을 따라 독특한 카페를 발견하는 것을 즐겼어요.,discover,discovering,discovered,discovering,2,She loves ___ memorable photos at sunset.,그녀는 해질녘에 인상적인 사진을 찍는 것을 좋아해요.,taking,take,took,taking,1,A: Did you enjoy painting landscapes? B: I enjoyed painting landscapes at the park. A: Does she love cooking delicious meals? B: She loves cooking delicious meals at home.,A: 풍경화를 그리는 것을 즐겼어요? B: 공원에서 풍경화를 그리는 것을 즐겼어요. A: 그녀는 맛있는 음식을 요리하는 것을 좋아해요? B: 집에서 맛있는 음식을 요리하는 것을 좋아해요.
비교급과 최상급을 사용할 수 있어요.,I solved the mystery ___ than my friend.,나는 내 친구보다 더 빠르게 미스터리를 해결했어요.,fast,faster,more fast,faster,2,It was the ___ difficult case of all.,그것은 모든 경우 중에서 가장 어려운 사건이었어요.,most,more,very,most,1,"A: Did you solve the puzzle faster than your brother? B: Yes, I solved it faster than him. A: Which exam was the most challenging of all? B: Indeed, that exam was the most challenging.","A: 형제보다 퍼즐을 더 빨리 풀었어요? B: 네, 그보다 더 빨리 풀었어요. A: 어떤 시험이 가장 어려웠어요? B: 맞아요, 그 시험이 가장 어려웠어요."
부정사의 명사적 to 용법을 사용할 수 있어요.,___ is a noble mission.,자연을 돌보는 것은 고귀한 임무예요.,To caring for nature,To care for nature,To care of nature,To care for nature,2,___ is to protect our future.,쓰레기를 줄이는 것은 우리의 미래를 보호하는 것이에요.,To reduce waste,To reducing waste,To reduce wastes,To reduce waste,1,"A: To learn a new language is exciting? B: Yes, studying languages opens many opportunities. A: To travel around the world is adventurous? B: Indeed, exploring new cultures broadens the mind.","A: 새로운 언어를 배우는 것은 흥미로워요? B: 네, 언어 공부는 많은 기회를 열어줘요. A: 세계 여행을 하는 것은 모험적이에요? B: 맞아요, 새로운 문화를 탐험하는 것은 시야를 넓혀줘요."
부정사의 부사적 to 용법을 사용할 수 있어요.,I read books ____.,나는 새로운 관점을 얻기 위해 책을 읽었어요.,gaining new perspectives,to gain new perspectives,for gain new perspectives,to gain new perspectives,2,She writes letters ____.,그녀는 자신의 생각을 나누기 위해 편지를 썼어요.,to share her thoughts,share her thoughts,sharing her thoughts,to share her thoughts,1,A: I study to excel in my class. B: I repair my bike to understand mechanics. A: I listen to music to relax after school. B: I paint to express creative ideas.,A: 저는 수업에서 우수한 성적을 받기 위해 공부해요. B: 저는 기계 원리를 이해하기 위해 자전거를 고쳐요. A: 저는 방과 후에 휴식을 위해 음악을 들어요. B: 저는 창의적인 생각을 표현하기 위해 그림을 그려요.
수여동사를 사용할 수 있어요.,She ___ her friend a kind message.,그녀는 친구에게 친절한 메시지를 줬어요.,give,gave,gived,gave,2,He ___ his teacher an encouraging email.,그는 선생님에게 격려의 이메일을 보냈어요.,sent,sended,send,sent,1,"A: Who gave you the invitation? B: My neighbor gave me an elegant invitation. A: Did he send you the recipe? B: Yes, he sent me a secret recipe.","A: 누구에게 초대를 받았어요? B: 이웃이 저에게 우아한 초대를 줬어요. A: 그가 레시피를 보냈어요? B: 네, 그가 저에게 비밀 레시피를 보냈어요."
be동사를 사용할 수 있어요.,I ___ ready for a new challenge.,저는 새로운 도전을 맞이할 준비가 되어있어요.,are,am,is,am,2,They ___ excited to learn.,그들은 배우는 것에 신이 났어요.,are,am,is,are,1,A: I am excited about the music concert. B: I am enjoying the lively tunes. A: This cafe is cozy. B: They are relaxing peacefully.,A: 저는 음악회에 신이 나요. B: 저는 활기찬 선율을 즐기고 있어요. A: 이 카페는 아늑해요. B: 그들은 평화롭게 휴식을 취하고 있어요.
현재진행형을 사용할 수 있어요.,He ___ reading a book.,그는 책을 읽고 있어요.,are,is,am,is,2,They ___ eating lunch at school.,그들은 학교에서 점심을 먹고 있어요.,are,is,am,are,1,"A: Is he watching TV? B: Yes, he is watching TV. A: Are they playing soccer? B: Yes, they are playing soccer.","A: 그는 TV를 보고 있어요? B: 네, 그는 TV를 보고 있어요. A: 그들은 축구를 하고 있어요? B: 네, 그들은 축구를 하고 있어요."
조동사 can을 사용할 수 있어요.,I ___ almost tell I look cool in the mirror.,거울을 보고 내가 멋있게 보인다는 것을 거의 알 수 있어요.,could,can,may,can,2,She ___ smile even on tough days.,그녀는 힘든 날에도 웃을 수 있어요.,can,could,will,can,1,"A: Can you help me with the assignment tonight? B: Yes, I can finish it efficiently. A: Can you join the concert tomorrow? B: Yes, I can attend it happily.","A: 오늘 밤 과제를 도와줄 수 있어요? B: 네, 효율적으로 끝낼 수 있어요. A: 내일 콘서트에 참석할 수 있어요? B: 네, 기쁘게 참석할 수 있어요."
과거 시제를 사용할 수 있어요.,We ___ a hill and felt the warm sun on our faces.,우리는 언덕을 올랐고 얼굴에 따뜻한 태양을 느꼈어요.,climb,climbed,climbing,climbed,2,I ___ an amazing day at the beach yesterday.,나는 어제 해변에서 멋진 하루를 즐겼어요.,enjoyed,enjoy,enjoying,enjoyed,1,A: What did you cook yesterday? B: I baked a cake and served coffee. A: Where did you visit last summer? B: I toured a historic castle with my family.,A: 어제 무엇을 요리했어요? B: 케이크를 구워서 커피를 대접했어요. A: 지난 여름에 어디를 방문했어요? B: 가족과 함께 역사적인 성을 둘러봤어요.
"조동사 will, won't을 사용할 수 있어요.",The art exhibition ___ start soon.,미술 전시회가 곧 시작할 거예요.,willed,will,wil,will,2,The community center ___ be crowded tonight.,커뮤니티 센터는 오늘 밤 사람이 붐비지 않을 거예요.,won't,willn't,wont,won't,1,A: Will you join the study session tomorrow? B: I won't join because I have a family dinner. A: Will the new movie premiere tonight? B: I will go if tickets are available.,A: 내일 스터디 모임에 참석할 거예요? B: 가족 모임이 있어서 참석하지 않을 거예요. A: 오늘 밤 새 영화 시사회가 시작할 거예요? B: 티켓이 있으면 갈 거예요.
to부정사의 명사적 용법을 사용할 수 있어요.,I hope ___ new songs.,나는 새로운 노래를 공부하기를 바라요.,study,to study,studies,to study,2,He wants ___ how to dance.,그는 춤추는 법을 배우고 싶어요.,to learn,learn,learning,to learn,1,A: I plan to visit the library tomorrow. B: I hope to read a new book. A: She wants to cook dinner tonight. B: They plan to try a new recipe.,A: 저는 내일 도서관에 방문할 계획이에요. B: 저는 새로운 책을 읽기를 바라요. A: 그녀는 오늘 저녁 식사를 요리하고 싶어요. B: 그들은 새로운 요리법을 시도할 계획이에요.
4형식을 사용할 수 있어요.,My teacher ___ my friend a book.,나의 선생님께서 내 친구에게 책을 주셨어요.,gives,gave,give,gave,2,The neighbor ___ my sister a postcard.,이웃이 내 여동생에게 엽서를 보냈어요.,sent,sends,send,sent,1,"A: Did you give your friend a gift? B: Yes, I gave her a gift. A: Did the neighbor send you a postcard? B: Yes, he sent me a postcard.","A: 친구에게 선물을 주셨어요? B: 네, 친구에게 선물을 주셨어요. A: 이웃이 당신에게 엽서를 보내셨어요? B: 네, 이웃이 당신에게 엽서를 보내셨어요."
목적어로 쓰이는 동명사를 사용할 수 있어요.,I enjoyed ___ old markets.,저는 오래된 시장을 방문하는 것을 즐겼어요.,visited,visiting,visit,visiting,2,She loves ___ new streets.,그녀는 새로운 거리를 탐험하는 것을 좋아해요.,exploring,explore,explored,exploring,1,A: I enjoyed reading sci-fi stories. B: I enjoyed traveling by train. A: He loves painting modern art. B: She appreciates dancing gracefully.,A: 저는 공상 과학 소설을 읽는 것을 즐겼어요. B: 저는 기차로 여행하는 것을 즐겼어요. A: 그는 현대 미술을 그리는 것을 좋아해요. B: 그녀는 우아하게 춤추는 것을 감상해요.
be동사를 사용할 수 있어요.,I ___ a happy learner.,나는 행복한 학습자예요.,is,am,are,am,2,She ___ a new friend.,그녀는 새로운 친구예요.,is,am,are,is,1,"A: Are you a curious explorer? B: I am a curious explorer. A: Is this an exciting adventure? B: Yes, it is an exciting adventure.","A: 당신은 호기심 많은 탐험가예요? B: 저는 호기심 많은 탐험가예요. A: 이것은 신나는 모험이에요? B: 네, 이것은 신나는 모험이에요."
의문문을 사용할 수 있어요.,Do you ___ any allergy symptoms?,알레르기 증상이 있나요?,had,have,has,have,2,Do you have a ___ fever?,미열이 있나요?,mild,very,often,mild,1,"A: Do you like to play sports? B: Yes, I play sports every day. A: Do you need extra books for class? B: No, I don't need extra books.","A: 운동하는 것을 좋아해요? B: 매일 운동해요. A: 수업에 필요한 책이 있나요? B: 아니요, 책이 필요 없어요."
조동사 can과 will를 사용할 수 있어요.,I ___ speak confidently with my team.,저는 팀과 함께 자신감 있게 말할 거예요.,am,will,willed,will,2,I ___ lead a school project.,저는 학교 프로젝트를 이끌 수 있어요.,cans,willed,can,can,3,A: Will you join the workshop tomorrow? B: I will certainly join. A: Can you solve the math problem? B: I can definitely solve it.,A: 내일 워크숍에 참석할 거예요? B: 저는 꼭 참석할 거예요. A: 수학 문제를 풀 수 있어요? B: 저는 확실히 풀 수 있어요.
과거시제를 사용할 수 있어요.,We ___ together last weekend.,우리는 지난 주말에 함께 축하했어요.,celebrate,celebrated,celebrates,celebrated,2,They ___ into their new house last month.,그들은 지난 달에 새 집으로 이사갔어요.,moved,move,moves,moved,1,"A: Did you finish the project yesterday? B: Yes, I completed it on time. A: Did you watch a movie last night? B: I watched an exciting film with my friends.","A: 어제 프로젝트를 끝냈어요? B: 네, 시간 내에 마쳤어요. A: 어젯밤에 영화를 봤어요? B: 친구들과 함께 흥미로운 영화를 봤어요."
to+동사원형을 사용할 수 있어요.,I plan ___ walk in the park tomorrow.,나는 내일 공원에서 걸을 계획이에요.,to,in,at,to,1,I hope ___ eat healthy food every day.,나는 매일 건강한 음식을 먹기를 바라요.,in,to,of,to,2,A: I plan to explore the city this weekend. B: I plan to learn a new skill in the morning. A: I hope to try a new recipe tonight. B: I hope to relax after dinner.,A: 저는 이번 주말에 도시를 탐험할 계획이에요. B: 저는 아침에 새로운 기술을 배울 계획이에요. A: 저는 오늘 밤 새로운 레시피를 시도할 계획이에요. B: 저는 저녁 후에 휴식을 취할 거예요.
형용사+smell을 사용할 수 있어요.,These spicy dumplings ___ amazing.,이 매콤한 만두는 환상적으로 냄새가 나요.,smelled,smell,smells,smell,2,The sizzling barbecue ___ fantastic.,이 지글지글한 바비큐는 환상적으로 냄새가 나요.,smells,smell,smelled,smells,1,"A: Does the fresh bread smell inviting? B: Yes, it smells delightful. A: Does the autumn air smell crisp? B: Absolutely, it smells refreshing.","A: 신선한 빵은 매력적으로 냄새가 나요? B: 네, 정말 매력적으로 냄새가 나요. A: 가을 공기는 상쾌하게 냄새가 나요? B: 네, 정말 상쾌하게 냄새가 나요."
비교급을 사용할 수 있어요.,This assignment is ___ challenging than expected.,이 과제는 예상보다 더 어려워요.,most,more,much,more,2,My idea is ___ than his.,내 아이디어는 그의 것보다 더 좋아요.,better,more,best,better,1,"A: Is the puzzle more challenging than yesterday's one? B: Yes, it is more intricate than expected. A: Is your plan better than the old one? B: Yes, it is better than before.","A: 어제 퍼즐보다 이 퍼즐이 더 어려워요? B: 네, 예상보다 더 복잡해요. A: 당신의 계획이 예전 것보다 더 좋아요? B: 네, 전보다 더 좋아요."
수여동사를 사용할 수 있어요.,She will ___ her friend a postcard.,그녀는 친구에게 엽서를 보낼 거예요.,sends,send,sending,send,2,He will ___ his brother a warm scarf.,그는 형제에게 따뜻한 목도리를 보낼 거예요.,send,sends,sending,send,1,"A: Will you send your mother a gift? B: Yes, I will send her a greeting card. A: Is he going to send his friend a letter? B: No, he will send his cousin a postcard.","A: 어머니께 선물을 보내실 거예요? B: 네, 어머니께 인사카드를 보낼 거예요. A: 그는 친구에게 편지를 보낼 거예요? B: 아니요, 그는 사촌에게 엽서를 보낼 거예요."
be 동사를 사용할 수 있어요.,Lily ___ so kind today.,릴리는 오늘 너무 친절해요.,are,is,am,is,2,Tom ___ very tall now.,톰은 지금 매우 키가 커요.,is,am,are,is,1,A: The garden is peaceful today. B: It is quite serene. A: The library is quiet now. B: It is indeed calm.,"A: 정원이 오늘 평화해요. B: 네, 정말 평화해요. A: 도서관이 지금 조용해요. B: 맞아요, 정말 조용해요."
명령을 사용할 수 있어요.,Put on your _____ before you ride.,타기 전에 헬멧을 쓰세요.,ride,helmet,riding,helmet,2,_____ quickly if you see danger.,위험을 보면 빨리 멈추세요.,Stop,stopped,stops,Stop,1,A: Lock the door before you exit. B: I'll lock the door right away. A: Stop talking when the teacher arrives. B: I will stop immediately.,A: 나가기 전에 문을 잠그세요. B: 바로 문을 잠글게요. A: 선생님이 오시면 말하는 것을 멈추세요. B: 곧바로 말하는 것을 멈출게요.
과거동사를 사용할 수 있어요.,I ___ my friend during the picnic.,나는 소풍 동안 내 친구를 도왔어요.,help,helped,helps,helped,2,She ___ snacks for everyone.,그녀는 모두를 위해 간식을 가져왔어요.,brought,bring,brang,brought,1,"A: Did you design a poster last week? B: Yes, I designed it with creativity. A: Did you watch a film last night? B: No, I watched a documentary instead.","A: 지난주에 포스터를 디자인하셨어요? B: 네, 창의적으로 디자인하셨어요. A: 어젯밤에 영화를 보셨어요? B: 아니요, 대신 다큐멘터리를 보셨어요."
