,textbook ID,학년,출판사,교육과정,Lesson,Title,DESCRIPTION,KEY_EXPRESSION,KEY_EXPRESSION_KOR,SUB_EXPRESSION,학습목표,Quiz 1,Korean 1,Option 1-1,Option 1-2,Option 1-3,Answer 1,Index 1,Quiz 2,Korean 2,Option 2-1,Option 2-2,Option 2-3,Answer 2,Index 2,샘플 스크립트 (영어),샘플 스크립트 (한국어)
11,702,중1,능률(양),2015,5,Why in the World?,"Because ()를 활용해 이유를 설명하기.
","Because it was raining.
","비가 왔기 때문이에요.
","It’s because ().
Since ().
","이유를 설명할 때 'Because'를 사용할 수 있어요.
이유를 설명할 때 'Since'를 사용할 수 있어요.",_____ it was raining.,비가 왔기 때문에 그랬어.,Although,Because,But,Because,2,_____ it was cloudy.,하늘이 흐렸기 때문에 그렇게 했어.,Since,Because,However,Since,1,"A: I skipped the meeting because I was busy. B: Really? I understand. A: And since traffic was terrible, I took a taxi.",A: 바빠서 회의를 건너뛰었어. B: 정말? 이해해. A: 그리고 교통이 나빠서 택시를 탔어.
12,702,중1,능률(양),2015,6,For a Better World,"I’m sorry to ()를 활용해 유감을 표현하기.
","I’m sorry to hear that.
","그 말을 들으니 안타깝네요.
","That’s too bad.
I’m sorry about that.
","유감을 표현하는 영어 표현을 사용할 수 있어요.
I’m sorry to ()를 활용하여 유감을 표현할 수 있어요.",I’m sorry to ____ that.,그 말을 들으니 유감이야.,say,hear,see,hear,2,That’s too bad. I’m ____ about that.,안타까워. 그 일에 대해 유감이야.,excited,sorry,happy,sorry,2,"A: I’m sorry to hear about the delay in your project. B: Yes, it has been challenging. A: That’s too bad. I’m sorry about the inconvenience. B: Thank you for understanding.","A: 네 프로젝트 지연 소식을 들으니 유감이야. B: 맞아, 정말 힘들었어. A: 안타깝네. 불편함에 대해 유감이야. B: 이해해줘서 고마워."
13,702,중1,능률(양),2015,7,Let's Go Green,"부가의문문을 활용해 확인 요청하기.
","She likes coffee, doesn’t she?
","그녀는 커피를 좋아하지 않나요?
","(), isn't she?
(), don't they?
","부가의문문을 활용해 확인 요청을 할 수 있어요.
Using tag questions to request confirmation.","She likes coffee, ___?","그녀는 커피를 좋아하죠, 그렇죠?",isn't she?,doesn't she?,don't they?,doesn't she?,2,"She likes tea, ___?","그녀는 차를 좋아하죠, 그렇죠?",isn't she?,doesn't she?,don't they?,isn't she?,1,"A: He enjoys reading, doesn't he? B: Absolutely, he does. A: He enjoys jogging, isn't he? B: Yes, indeed!","A: 그는 독서를 즐기죠, 그렇죠? B: 물론이죠. A: 그는 조깅을 좋아하죠, 그렇죠? B: 네, 정말 그래요!"
14,702,중1,능률(양),2015,8,Wonderful Korea,"형용사로 사물을 묘사하기.
","I like the one with blue stripes.
","나는 파란 줄무늬가 있는 게 좋아.
","I () the () one with ().
The () one with () is ().
","형용사를 사용하여 사물의 특징을 묘사할 수 있어요.
You can describe objects using adjectives.",I like the one with ______.,나는 파란 줄무늬가 있는 것을 좋아해.,red dots,blue stripes,green checks,blue stripes,2,I like the ______ one with blue stripes. The small one with green patterns is attractive.,나는 파란 줄무늬가 있는 큰 것을 좋아해. 작은 것은 녹색 무늬가 있어 매력적이야.,big,small,old,big,1,A: I like the one with blue stripes. B: I prefer the one with red dots. A: They both have different styles.,A: 나는 파란 줄무늬가 있는 것을 좋아해. B: 나는 빨간 점이 있는 것을 더 좋아해. A: 둘 다 각각 다른 매력이 있어.
15,703,중1,동아(윤),2015,1,Heart to Heart,"형용사를 활용해 소개에 반응하기.
","Pleased to meet you.
","만나서 기쁩니다.
","() to meet you.
It’s () to meet you.
","형용사를 활용하여 소개에 반응할 수 있어요.
You can respond to introductions using adjectives.",___ to meet you.,만나서 반가워요.,Glad,Pleased,Happy,Pleased,2,___ to meet you. It’s ___ to meet you.,만나서 반가워요. 만나서 반가워요.,Happy,Glad,Pleased,Pleased,3,A: Pleased to meet you. B: I'm really happy to see you. A: It's an honor to meet you. B: The pleasure is all mine.,A: 만나서 반가워요. B: 당신을 보니 기뻐요. A: 당신을 만나게 되어 영광입니다. B: 그 기쁨은 제 것입니다.
16,703,중1,동아(윤),2015,2,Have Fun at School!,"Where’s ()?를 활용해 사람/사물의 위치를 묻고 답하기.
","Where’s the teacher?
He’s in the classroom.
","선생님은 어디 계세요?
교실에 계셔.
","A: Where can I find ()?
B: He’s/She’s at ().
A: Do you know where () is?
B: He’s/She’s in ().
","사람이나 사물의 위치를 묻고 답할 수 있어요.
Using 'Where’s ()?' you can ask and answer about the location of people or objects.",___ the teacher? He’s in the classroom.,선생님은 어디 계세요? 교실에 계세요.,How's,Where's,Who's,Where's,2,A: Where can I ___ my teacher? B: He’s at the office.,내 선생님을 어디서 찾을 수 있습니까?,see,find,call,find,2,"A: Where’s the guide? He’s in the information center. B: Do you know where I can locate her? A: Yes, she’s at the reception desk. B: Thank you, I'll go ask her.","A: 가이드가 어디에 있나요? 그는 안내 센터에 있어요. B: 그녀를 어디서 찾을 수 있는지 아세요? A: 네, 그녀는 접수처에 있어요. B: 감사합니다, 제가 가서 물어볼게요."
17,703,중1,동아(윤),2015,3,Wisdom in Stories,"Can you ()?를 활용해 도움을 요청하고 이에 답하기.
","Can you please help me with my homework?
Sure. / I’m sorry, but I can’t.
","내 숙제 좀 도와줄 수 있어?
물론이지. / 미안하지만 못 도와줘.
","A: Could you help me ()?
B: Of course. / Sorry, I can’t.
A: Would you mind ()?
B: Sure, I’d be happy to. / I’m sorry, I’m unable to.
","Can you ()? 표현을 활용하여 도움을 요청하고 응답할 수 있어요.
도움을 요청하는 방법과 이에 대한 응답을 배워요.",Can you please ___ me with my homework? Sure.,내 숙제 좀 도와줄래? 물론.,assist,help,support,help,2,"Would you mind ___ me with these documents? Sure, I'd be happy to.",이 서류들을 좀 도와줄래? 물론 기꺼이 도와줄게.,help,to help,helping,helping,3,"A: Can you please help me prepare for the presentation? B: I'm sorry, but I can't. A: Would you mind helping me arrange the materials? B: Sure, I'd be happy to.","A: 내 발표 준비를 도와줄래? B: 미안하지만, 도와줄 수 없어. A: 자료 정리를 도와줄 수 있을까? B: 물론 기꺼이 도와줄게."
18,703,중1,동아(윤),2015,4,"Small Things, Big Differences","과거 동사를 활용해 과거의 일을 묻고 답하기.
","What did you do yesterday?
I studied for my test.
","어제 뭐 했어?
시험 공부했어.
","A: What were you up to ()?
B: I ().
A: How did you spend your ()?
B: I ().
","과거 동사를 사용하여 질문하고 대답할 수 있어요.
과거 활동에 대해 이야기할 때 중요한 표현을 익힐 수 있어요.",What did you do yesterday? I ______ for my test.,어제 뭐 했어? 나는 시험 공부를 했어.,played,studied,watched,studied,2,A: What were you ______?,A: 너는 무엇을 하고 있었어?,about,after,up to,up to,3,A: What did you do last night? B: I went cycling. A: What were you up to afterward? B: I rested at home.,A: 어젯밤 뭐 했어? B: 자전거 탔어. A: 그 후에 뭐 하고 있었어? B: 집에서 쉬었어.
19,703,중1,동아(윤),2015,5,Styles Around the World,"What’s the weather like in ()?를 활용해 날씨 묻고 답하기.
","What’s the weather like in Seoul today?
It’s cloudy and cool.
","오늘 서울 날씨가 어때?
구름이 많고 시원해.
","A: How’s the weather?
B: It’s ().
A: What kind of weather is it in ()?
B: It’s ().
","날씨에 대해 묻고 답할 수 있어요.
Be able to ask about the weather using 'What’s the weather like in ()?'",What’s the weather like in ___ today? It’s cloudy and cool.,오늘 서울의 날씨는 어때? 흐리고 서늘해.,Tokyo,Beijing,Seoul,Seoul,3,A: How’s the weather? B: It’s __. A: What kind of weather is it in Seoul? B: It’s cool.,A: 날씨 어때? B: 흐리고 있어. A: 서울 날씨는 어때? B: 시원해.,sunny,rainy,cloudy,cloudy,3,"A: What’s the weather like in Seoul today? B: It’s mostly sunny and a bit chilly. A: I enjoy warm weather. B: Me too, it’s perfect for a walk.","A: 오늘 서울의 날씨는 어때? B: 주로 맑고 조금 쌀쌀해. A: 나는 따뜻한 날씨를 좋아해. B: 나도 그래, 산책하기 딱 좋아."
20,703,중1,동아(윤),2015,6,People at Work,"be interested in을 활용해 관심 묻고 답하기.
","What are you interested in?
I’m interested in science.
","너는 어떤 것에 관심이 있어?
나는 과학에 관심이 있어.
","A: What do you like to do?
B: I like to ().
A: Do you have a hobby?
B: Yes, I enjoy ().
","be interested in을 활용해 관심을 묻고 답할 수 있어요.
Use 'What are you interested in?' to ask and 'I'm interested in science.' to express your interest.",What are you ___ in? I’m interested in science.,너는 무엇에 관심 있어? 나는 과학에 관심 있어.,bored,interested,excited,interested,2,I like to ___.,나는 독서를 좋아해.,sleep,read,swim,read,2,"A: What are you interested in? I'm interested in art. B: Really? I like to play soccer. A: Do you have a hobby? B: Yes, I enjoy jogging.","A: 너는 무엇에 관심 있어? 나는 예술에 관심 있어. B: 정말? 나는 축구하는 걸 좋아해. A: 너는 취미가 있어? B: 응, 나는 조깅을 즐겨."
21,703,중1,동아(윤),2015,7,Discover Korea,"be going to ()를 활용해 계획이나 예정된 일 묻고 답하기.
","What are you going to do this weekend?
I’m going to visit my grandparents.
","이번 주말에 뭐 할 거야?
나는 할아버지, 할머니 댁에 갈 거야.
","A: What are you planning to do ()?
B: I’m planning to ().
A: What will you do ()?
B: I’ll ().
","계획이나 예정된 일을 묻고 답할 수 있어요.
be going to와 planning to를 사용하여 미래의 계획이나 예정된 일을 표현할 수 있어요.",What are you ____ do this weekend? I'm going to visit my grandparents.,이번 주말에 뭐 할 거야? 나는 조부모님을 방문할 거야.,gonna,going to,going into,going to,2,What are you ____ do this weekend? I'm planning to visit my grandparents.,이번 주말에 뭐 할 계획이야? 나는 조부모님을 방문할 계획이야.,will,planning to,going to,planning to,2,A: What are you going to do tomorrow? B: I'm going to finish my project. A: What are you planning to do later? B: I'll relax at home.,A: 내일 뭐 할 거야? B: 나는 내 프로젝트를 끝낼 거야. A: 나중에 뭐 할 계획이야? B: 집에서 쉴 거야.
22,703,중1,동아(윤),2015,8,"Dream Together, Reach Higher","What do you think about ()?를 활용해 의견 묻고 답하기.
","What do you think about this book?
I think it’s really interesting.
","이 책에 대해 어떻게 생각해?
나는 정말 재미있다고 생각해.
","A: Can you give me your opinion on/about ()?
B: I think that ().
A: What’s your opinion on/about ()?
B: My opinion is that ().
","Learn to ask and answer opinions using 'What do you think about ()?'
무엇에 대해 어떻게 생각하는지 의견을 묻고 답할 수 있어요.",What do you think about ___? I think it’s really interesting.,이 책에 대해 어떻게 생각해? 난 정말 흥미롭다고 생각해.,that car,this book,these shoes,this book,2,A: Can you give me your opinion on/about ___? B: I think that it is impressive.,A: ___에 대해 너의 의견을 말해줄 수 있어? B: 나는 그것이 인상적이라고 생각해.,that question,this idea,these facts,this idea,2,A: What do you think about this novel? B: I think it's incredibly fascinating. A: Can you give me your opinion on/about this idea? B: My opinion is that it's groundbreaking.,A: 이 소설에 대해 어떻게 생각해? B: 난 정말 매혹적이라고 생각해. A: 이 아이디어에 대해 네 의견을 말해줄래? B: 내 의견은 혁신적이라는 거야.
23,715,중1,동아(윤),2022,1,Happy Together,"How’s it going?와 같은 표현을 활용해 자신을 소개하며 안부를 묻고 답하기.
","A: How’s it going?
B: Pretty good.
A: Hi, I’m Alex. Nice to meet you.
B: Nice to meet you, too. I’m Sarah.
","A: 어떻게 지내?
B: 잘 지내.
A: 안녕, 나는 알렉스야. 만나서 반가워.
B: 나도 만나서 반가워. 나는 사라야.
","A: What's up?
B: Not much, thank you.
A: Hello, I’m (). How are you?
B: I’m (), thank you.
","자신을 소개하고 안부를 묻고 답하는 표현을 익힐 수 있어요.
How’s it going?와 같은 인사말을 사용하여 대화를 시작할 수 있어요.","A: ____ it going? B: Pretty good. A: Hi, I’m Alex. Nice to meet you. B: Nice to meet you, too. I’m Sarah.","A: 어떻게 지내? B: 꽤 좋아. A: 안녕, 나는 Alex야. 만나서 반가워. B: 나도 만나서 반가워, 나는 Sarah야.",What's,How's,Where's,How's,2,"A: ____ up? B: Not much, thank you. A: Hello, I’m Tom. How are you? B: I’m good, thank you.","A: 무슨 일이야? B: 별일 없어, 고마워. A: 안녕, 나는 Tom이야. 잘 지내? B: 나는 좋아, 고마워.",Where's,What's,How's,What's,2,"A: How’s it going? B: Great, thanks. A: Hi, I’m Alex. Nice meeting you. B: Nice meeting you, too. I’m Sarah.","A: 어떻게 지내? B: 아주 좋아, 고마워. A: 안녕, 나는 Alex야. 만나서 반가워. B: 나도 만나서 반가워, 나는 Sarah야."
24,715,중1,동아(윤),2022,2,"Eat, Play, and Live Well!","빈도부사를 활용해 빈도를 묻고 답하기.
","A: How often do you exercise?
B: I exercise three times a week.
","A: 얼마나 자주 운동해?
B: 나는 일주일에 세 번 운동해.
","A: How frequently do you ()?
B: I () ().
A: Do you often ()?
B: Yes, I () ().
","빈도부사를 활용하여 빈도를 묻고 답하는 표현을 사용할 수 있어요.
Using frequency adverbs, you can ask and answer questions about frequency.",How often do you ____?,너는 얼마나 자주 운동하니?,run,exercise,jump,exercise,2,Do you often ____?,자주 운동하니?,rest,exercise,sleep,exercise,2,"A: How often do you study? B: I study four times a week. A: How frequently do you study? B: I study regularly. A: Do you often study? B: Yes, I study daily.","A: 너는 얼마나 자주 공부하니? B: 나는 일주일에 네 번 공부해. A: 얼마나 자주 공부하니? B: 나는 꾸준히 공부해. A: 공부를 자주 하니? B: 응, 나는 매일 공부해."
25,715,중1,동아(윤),2022,3,Let’s Be Positive,"감정이나 상태 말하기.
","I got a new phone. I’m thrilled.
","나는 새 휴대폰을 샀어. 정말 신나!
","I just (). I’m so happy!
I (). I feel amazing!
I finally (). I’m relieved.
I got (). I’m overjoyed!
","감정이나 상태를 표현하는 문장을 만들 수 있어요.
새로운 경험에 따른 감정을 영어로 표현할 수 있어요.",I got a new phone. I’m ______.,새 핸드폰을 샀어. 난 정말 기뻐.,annoyed,thrilled,happy,thrilled,2,I feel ______!,나는 기분이 놀라워!,dull,amazing,terrible,amazing,2,A: I got a brand new phone. I'm thrilled about it. B: That's awesome! I feel amazing whenever something exciting happens.,A: 새 브랜드 핸드폰을 샀어. 정말 신나. B: 대단해! 뭔가 신나는 일이 있을 때 나는 기분이 정말 좋아.
26,715,중1,동아(윤),2022,4,The Joy of Traveling,"be going to ~ 를 활용해 계획 묻고 답하기.
","A: What are you going to do this weekend?
B: I’m going to visit my grandparents.
","A: 너는 이번 주말에 무엇을 할 예정이야?
B: 나는 조부모님을 방문할 거야.
","A: Do you have any plans for ()?
B: Yes, I’m going to ().
A: What are you planning to ()?
B: I am planning to ().
","미래 계획을 묻고 답하는 방법을 배워요.
Learn to ask and answer questions about future plans using 'be going to ~'.",What are you ___ do this weekend?,이번 주말에 무엇을 할 계획이야?,willing to,going to,planning to,going to,2,What are you ___ do?,뭐 할 계획이니?,willing to,planning to,going to,planning to,2,"A: What are you going to do tomorrow? B: I'm going to visit a museum. A: Do you have any plans for the evening? B: Yes, I'm planning to watch a movie.","A: 내일 뭐 할 거야? B: 박물관에 갈 거야. A: 저녁에 계획이 있니? B: 응, 영화 볼 계획이야."
27,715,중1,동아(윤),2022,5,Think like Sherlock Holmes!,"조동사 may를 활용해 허락을 요청하고 답하기.
","A: May I leave early?
B: Yes, you may.
B: No, you may not.
","A: 제가 일찍 가도 될까요?
B: 네, 괜찮아요.
B: 아니요, 안 됩니다.
","A: Could I ()?
B: Sure, you can. / Sorry, you can’t.
A: Can I ()?
B: Yes, you can. / No, you can’t.
","조동사를 사용하여 허락을 요청하는 표현을 익힐 수 있어요.
may, can, could 등의 조동사를 활용한 허락 요청과 답변을 이해할 수 있어요.",___ I leave early?,일찍 퇴근해도 될까요?,Might,Can,May,May,3,A: ___ I borrow your pen?,펜을 빌려도 될까요?,Can,Could,May,Could,2,"A: May I take a day off tomorrow? B: Yes, you may. A: Could I try the new game during break time? B: Sure, you can.","A: 내일 하루 쉬어도 될까요? B: 네, 그렇게 하세요. A: 쉬는 시간에 새로운 게임을 해봐도 될까요? B: 물론, 그렇게 하세요."
28,715,중1,동아(윤),2022,6,"Good for the Earth, Good for Us","Can you ()?를 활용해 도움을 요청하고 이에 답하기.
","A: Can you please help me with this?
B: Sure. No problem.
B: I’m sorry, but I can’t.
","A: 이거 도와줄 수 있어?
B: 물론, 문제없어.
B: 미안하지만 도와줄 수 없어.
","A: Could you ()?
B: Of course, I can. / Sorry, I can’t.
A: Would you mind ()?
B: Of course, no problem. / I'm afraid, but I can't.
","‘Can you ...?’ 표현을 활용해 도움을 요청할 수 있어요.
‘Could you ...?’ 또는 ‘Would you mind ...?’ 표현을 사용해 도움을 청하는 방법을 배워요.",Can you please ___ me with this?,이거 좀 도와줄 수 있어?,assist,help,support,help,2,Could you ___?,도와줄 수 있어?,repair,help,ignore,help,2,"A: Can you please help me with my project? B: Sure, I'd love to help. A: Could you help me with the presentation? B: I'm sorry, but I can't.","A: 내 프로젝트 좀 도와줄 수 있어? B: 물론, 기꺼이 도와줄게. A: 발표 준비도 도와줄 수 있어? B: 미안하지만, 못 도와줘."
29,715,중1,동아(윤),2022,7,Find Your Dream,"be interested in을 활용해 관심사를 묻고 답하기.
","A: What are you interested in?
B: I’m interested in photography.
","A: 너는 무엇에 관심이 있어?
B: 나는 사진 촬영에 관심이 있어.
","A: Do you enjoy ()?
B: Yes, I like ().
A: What do you like doing?
B: I like ().
","질문을 통해 관심사를 묻고 답할 수 있어요.
be interested in을 사용하여 관심사를 나타낼 수 있어요.",A: What are you _____ in? B: I'm interested in photography.,A: 무엇에 관심이 있나요? B: 나는 사진 찍기에 관심이 있어요.,excited,interested,bored,interested,2,"A: Do you _____ photography? B: Yes, I like it.","A: 사진 찍는 것을 즐기세요? B: 네, 좋아해요.",dislike,enjoy,ignore,enjoy,2,"A: What are you interested in? B: I'm interested in cooking. A: Do you enjoy cooking? B: Yes, I like it. A: What do you like doing in your free time? B: I like trying new recipes.","A: 무엇에 관심이 있나요? B: 저는 요리에 관심이 있어요. A: 요리하는 것을 즐기세요? B: 네, 좋아해요. A: 여가 시간에 무엇을 하는 것을 좋아하세요? B: 새로운 요리법을 시도하는 것을 좋아해요."
30,715,중1,동아(윤),2022,8,Be Smart Online,"think 동사를 활용해 의견을 묻고 답하기.
","A: I think it’s a great idea. What do you think?
B: I think it’s interesting.
","A: 나는 이게 좋은 아이디어라고 생각해. 너는 어떻게 생각해?
B: 나는 흥미롭다고 생각해.
","A: What do you think about ()?
B: I think ().
A: How do you feel about ()?
B: I feel ().
","think 동사를 사용하여 의견을 묻고 답할 수 있어요.
You can ask and answer opinions effectively using 'think'.",I ___ it’s a great idea. What do you think?,멋진 생각인 것 같아. 너는 어떻게 생각해?,drink,think,sleep,think,2,B: I ___ excited about the plan.,B: 그 계획에 대해 나는 신이 난다.,jump,feel,sleep,feel,2,A: I think it's a brilliant idea. What do you think? B: I think it's innovative. A: How do you feel about the decision? B: I feel confident.,A: 내 생각에는 정말 훌륭한 아이디어야. 너는 어떻게 생각해? B: 내 생각에는 혁신적이야. A: 그 결정에 대해 어떻게 생각해? B: 난 자신감을 느껴.
