,"*중고등1200 교육부 지정 영단어의 영어 데이터 > 워드P에서 해당 단어의 모든 다의어 리스트업
*중등 교과서 영단어의 영어 데이터 > 워드P에서 해당 단어의 모든 다의어 리스트업",,,,,,,,,,,,,,,
중고등1200,21,,,belief,신념,2,명사,7982,21466,[bilí:f],Her deep belief in justice and equality continuously inspired those around her to act fairly.,그녀의 깊은 신념인 정의와 평등은 주변 사람들에게 계속해서 공정하게 행동하도록 영감을 주었어요.,TRUE,,,
중고등1200,22,,,bench,벤치,2,명사,1453,2354,[bénʧ],I sat on a colorful bench in the park enjoying a very peaceful sunny afternoon.,나는 공원에 있는 화사한 벤치에 앉아 매우 평화로운 화창한 오후를 즐겼어요.,TRUE,,,
중고등1200,23,,,beyond,능가하는,3,형용사,7955,18941,[bijánd; biánd],"The athlete's extraordinary skills were clearly beyond ordinary limits, impressing everyone with his remarkable talent.",그 선수의 비범한 실력은 평범한 한계를 능가하여 모든 사람의 감탄을 자아냈어요.,TRUE,,,
중고등1200,24,,,beyond,저편에,6,전치사,2984,4918,[bijánd; biánd],The breathtaking view extended far beyond the rolling hills into a mysterious valley at sunset.,"해질녘에, 숨막히는 풍경은 구불구불한 언덕 너머의 신비로운 계곡으로 이어졌어요.",TRUE,,,
중고등1200,25,,,bind,묶다,1,동사,1262,2040,[báind],I need to bind several important documents tightly together using strong rope for secure shipment.,나는 안전한 배송을 위해 강한 밧줄로 여러 중요한 문서를 단단하게 묶었어요.,TRUE,,,
중고등1200,26,,,bless,축복하다,1,동사,3471,5764,[blés],"Every Sunday, I generously bless my family with warm wishes and heartfelt blessings for health.",매주 일요일마다 저는 제 가족에게 따뜻한 소원과 진심 어린 축복을 건강을 위해 아낌없이 축복해요.,TRUE,,,
중고등1200,27,,,boom,"번창하다,호황을 맞다",1,동사,1432,2315,[bú:m],"After months of hard work, the startup began to boom in popularity across multiple markets.","수개월간의 노력 후, 그 스타트업은 다양한 시장에서 번창하며 호황을 맞이했어요.",TRUE,,,
중고등1200,28,,,boom,윙윙 울리다,1,동사,11605,31119,[buːm],"Every evening, a motorcycle engine booms across the road, echoing its sound throughout the valley.","매일 저녁, 한 대의 오토바이 엔진이 도로를 가로질러 윙윙 울리며 계곡 전체에 소리를 퍼뜨렸어요.",TRUE,,,
중고등1200,29,,,bore,뚫다,1,동사,667,14350,[bɔ́:r],The skilled carpenter expertly bored a remarkably precise circular hole in the thick wooden board.,이 숙련된 목수는 놀랍도록 정밀한 원형 구멍을 두꺼운 나무 판에 뚫었어요.,TRUE,,,
중고등1200,30,,,bore,지루하게 하다,1,동사,4999,16502,[bɔ́:r],The long history documentary often bore the audience with its complicated details and slow pace.,그 긴 역사 다큐멘터리가 복잡한 세부사항과 느린 전개로 관객들을 지루하게 했어요.,TRUE,,,
중고등1200,31,,,bore,지루하게 하다,1,동사,4999,17055,[bɔːr],"The long, monotonous lecture quickly began to bore the entire class, absolutely leaving everyone uninterested.","긴, 단조로운 강의는 순식간에 학급 전체를 지루하게 하여, 모든 학생들이 흥미를 잃게 했어요.",TRUE,,,
중고등1200,32,,,boss,지배하다,1,동사,9909,20763,[bɔ́:s; bas],I boss my diligent team with clear authority during our heated corporate meetings every quarter.,저는 매 분기마다 열정적인 팀을 명확하게 지배하며 중요한 회의를 이끌어 가요.,TRUE,,,
중고등1200,33,,,boss,상사,2,명사,1750,2909,[bɔ́:s; bas],My new boss scheduled a challenging meeting that forced our team to devise creative strategies.,제 새로운 상사는 우리 팀이 창의적인 전략을 구상하도록 도전적인 회의를 계획하셨어요.,TRUE,,,
중고등1200,34,,,brake,브레이크,2,명사,10392,14048,[bréik],"During my routine checkup, I realized that the old brake system required a complete overhaul. I had to immediately schedule repairs for it.","정기 점검 중에 낡은 브레이크 시스템이 완전히 교체되어야 한다는 것을 깨달았고, 즉시 수리 일정을 잡아야 했어요.",TRUE,,,
중고등1200,35,,,bubble,거품,2,명사,209,315,[bʌ́bl],"During a bright summer afternoon, the shiny bubble slowly floated silently above the calm lake.",밝은 여름 오후에 반짝이는 거품이 천천히 떠올라 고요한 호수 위를 지나갔어요.,TRUE,,,
중고등1200,36,,,bug,괴롭히다,1,동사,4081,25210,[bʌ́g],The constant noise from the construction site continued to bug me throughout the long night.,건설 현장에서 나는 끊임없는 소음이 긴 밤 내내 저를 괴롭혔어요.,TRUE,,,
중고등1200,37,,,bug,"벌레,곤충",2,명사,351,14364,[bʌ́g],I carefully examined a fascinating bug found in my large garden during a spring morning.,나는 봄 아침에 커다란 정원에서 발견된 매혹적인 벌레를 조심스럽게 조사했어요.,TRUE,,,
중고등1200,38,,,bug,컴퓨터상의 오류,2,명사,4428,18216,[bʌ́g],Yesterday I discovered a hidden bug in my computer software that unexpectedly crashed the system.,어제 저는 제 컴퓨터 소프트웨어에서 숨겨진 오류를 발견하여 시스템이 예기치 않게 멈췄어요.,TRUE,,,
중고등1200,39,,,bush,수풀,2,명사,1990,3281,[búʃ],I spotted an unusual bush near the edge of the park during my morning walk.,나는 아침 산책 중 공원 가장자리 근처에서 독특한 수풀을 발견했어요.,TRUE,,,
중고등1200,40,,,cable,케이블,2,명사,3534,5879,[kéibl],The technician installed the new cable to connect our television to the internet service.,기술자가 우리 텔레비전을 인터넷 서비스에 연결하기 위해 새 케이블을 설치했어요.,TRUE,,,
중고등1200,41,,,calculator,계산기,2,명사,10466,14143,[kǽlkjulèitər],The advanced calculator quickly solved complicated equations and provided accurate results during our math class.,첨단 계산기가 우리 수업 시간에 복잡한 방정식을 신속하게 풀고 정확한 결과를 제공했어요.,TRUE,,,
중고등1200,42,,,calendar,달력,2,명사,863,1380,[kǽləndər],I carefully recorded every meeting detail on my new calendar to manage my busy schedule.,나는 바쁜 일정을 관리하기 위해 내 새 달력에 모든 회의 일정을 신중히 기록했어요.,TRUE,,,
중고등1200,43,,,calendar,일정표,2,명사,10998,19505,[kǽləndər],I carefully planned my week by marking every appointment on my calendar for smooth planning.,나는 원활한 계획을 위해 내 일정표에 모든 약속을 세심하게 표시했어요.,TRUE,,,
중고등1200,44,,,cape,망토,2,명사,11267,16507,[kéip],The hero wore a mysterious cape that fluttered in the wind when he stepped outside.,영웅이 밖으로 나갈 때 바람에 휘날리던 신비로운 망토를 입었어요.,TRUE,,,
중고등1200,45,#N/A,#N/A,catalog,카탈로그,2,명사,3525,5868,[kǽtəlɔ̀:g],The printed catalog displayed the detailed information of exclusive high-quality products available in stores today.,인쇄된 카탈로그는 오늘 매장에서 구할 수 있는 고급 제품들에 대한 자세한 정보를 제공했어요.,FALSE,,,
중고등1200,46,,,catalogue,상품목록,2,명사,1767,2944,[kǽtəlɔ̀:g],"Our company's extensive catalogue displays innovative products, seasonal trends, and competitive prices for discerning customers.","우리 회사의 광범위한 상품목록은 혁신적인 제품, 계절별 트렌드, 그리고 경쟁력 있는 가격들을 소개하고 있어요.",TRUE,,,
중고등1200,47,,,chain,묶다,1,동사,10886,21484,[ʧéin],They chained the boxes tightly together to secure the valuable items from easily being scattered.,그들은 소중한 물건들이 쉽게 흩어지지 않도록 박스들을 단단히 묶었어요.,TRUE,,,
중고등1200,48,,,chain,사슬,2,명사,1699,2825,[ʧéin],The heavy metal chain was tightly wrapped around the secure gate of the abandoned warehouse.,무거운 금속 사슬이 버려진 창고의 안전문에 단단히 감겨 있었어요.,TRUE,,,
중고등1200,49,,,cigarette,담배,2,명사,12198,16450,[sìgərét],He lit a cigarette during his short break while discussing his ambitious plans for the evening.,그는 짧은 휴식 시간 동안 담배를 피우며 저녁의 야심찬 계획에 대해 이야기했어요.,TRUE,,,
중고등1200,50,,,commerce,상업,2,명사,1757,2923,[kɔ́mərs],"During his travels, he learned that commerce in ancient cities was filled with vibrant traditions.",여행 중에 그는 고대 도시에서 상업이 다채로운 전통으로 운영되는 것을 배웠어요.,TRUE,,,
중고등1200,51,,,context,전후 관계,2,명사,10897,5019,[kántekst],Understanding the overall context of events is crucial for accurately interpreting historical actions and outcomes.,사건들의 전후 관계를 이해하는 것은 역사적 사건과 그 결과를 올바르게 해석하는 데 매우 중요해요.,TRUE,,,
중고등1200,52,,,context,문맥,2,명사,10897,27183,[kάntekst],Understanding the broader context helped me decipher the hidden meaning behind each unusual conversation detail.,넓은 문맥을 이해하니 각 대화의 숨은 의미를 해석하는 데 큰 도움이 되었어요.,TRUE,,,
중고등1200,53,,,converse,이야기하다,1,동사,7974,20347,[kənvə́:rs],They sat in the quiet park to converse about interesting topics during their lunch break.,그들은 조용한 공원에서 점심 시간 동안 흥미로운 주제에 대해 이야기했어요.,TRUE,,,
중고등1200,54,,,converse,거꾸로의,3,형용사,9483,2175,[kənvə́:rs],The remarkably skilled mathematician carefully arranged the numbers in converse order to reveal hidden patterns.,놀랍도록 숙련된 수학자는 숨겨진 패턴을 발견하기 위해 숫자들을 거꾸로의 순서로 신중하게 배열했어요.,TRUE,,,
중고등1200,55,,,cop,경찰,2,명사,7855,29724,[kap],"The dedicated cop quickly responded to the emergency call, ensuring the safety of several citizens.",그 헌신적인 경찰은 긴급 전화를 신속하게 응답하여 여러 시민의 안전을 보장했어요.,TRUE,,,
중고등1200,56,,,county,(미국의 행정단위) 군,2,명사,484,768,[káunti],The county encompasses several charming small towns and scenic rural areas spread across the landscape.,그 군은 여러 매력적인 소도시와 경치 좋은 농촌 지역들이 넓게 펼쳐져 있어요.,TRUE,,,
중고등1200,57,,,county,자치주,2,명사,13021,18962,[káunti],The county efficiently managed its own local laws and provided autonomous services to benefit residents.,이 자치주는 효율적으로 자체 법규를 관리하며 주민들을 위해 자치 서비스를 제공했어요.,TRUE,,,
중고등1200,58,,,cruel,잔인한,3,형용사,2900,4801,[krú:əl],"The cruel dictator ordered unnecessary punishments for minor mistakes, causing widespread terror across the nation.",그 잔인한 독재자는 사소한 실수에도 불필요한 처벌을 명령하여 전국에 공포를 퍼뜨렸어요.,TRUE,,,
중고등1200,59,,,curiosity,호기심,2,명사,3875,6434,[kjʊriásəti],My constant curiosity drove me to carefully explore every hidden corner in the historic museum.,나의 끊임없는 호기심은 나를 역사적인 박물관의 모든 숨은 구석을 신중히 탐험하게 했어요.,TRUE,,,
중고등1200,60,,,cycle,자전거를 타다,1,동사,4946,17104,[sáikl],"Yesterday, I decided to cycle around the beautiful park to enjoy the warm refreshing breeze.",어제 저는 자전거를 타고 아름다운 공원을 돌아 따뜻하고 상쾌한 바람을 즐겼어요.,TRUE,,,
중고등1200,61,,,cycle,자전거,2,명사,2881,17103,[sáikl],"I thoroughly enjoy riding my cycle every morning, as it helps me clear my mind.",나는 매일 아침 자전거를 타며 건강을 챙기고 즐거운 하루의 시작을 맞이해요.,TRUE,,,
중고등1200,62,,,cycle,"주기,순환",2,명사,3185,5273,[sáikl],The cycle of seasons repeats continuously though they often come with unpredictable weather changes naturally.,계절의 순환은 예측할 수 없는 날씨 변화와 함께 자연스럽게 반복돼요.,TRUE,,,
중고등1200,63,,,cyclist,자전거 타는 사람,2,명사,11281,15564,[sáiklist],"The experienced cyclist rode confidently along the scenic park trail, avoiding obstacles while maintaining speed.","경험 많은 자전거 타는 사람은 활기찬 풍경의 공원 길을 자신감 있게 달렸고, 장애물을 피해 속도를 유지했어요.",TRUE,,,
중고등1200,64,,,debt,"은혜를 입음,신세를 짐",2,명사,4121,27206,[det],He always felt an overwhelming debt to his mentor for the invaluable guidance he received.,그는 항상 멘토에게 받은 귀중한 조언에 대해 깊은 은혜와 신세를 느꼈어요.,TRUE,,,
중고등1200,65,,,debt,빚,2,명사,10870,2741,[dét],"Unfortunately, he struggled hard to manage his enormous debt accumulated over many years of overspending.","불행하게도, 그는 수년간 과소비한 결과 쌓인 막대한 빚을 관리하기 위해 고군분투했어요.",TRUE,,,
중고등1200,66,고1,10,defense,"수비,방어",2,명사,1390,9111,[diféns],"During the intense soccer match, our solid defense brilliantly foiled each opponent's dangerous offensive attempt.",격렬한 축구 경기 중에 우리의 견고한 수비가 상대의 위험한 공격 시도를 효과적으로 저지했어요.,TRUE,,,
중고등1200,67,,,define,정의하다,1,동사,3081,5096,[difáin],I always try to define each new concept precisely before explaining it to everyone clearly.,저는 모든 사람에게 명확하게 설명하기 전에 새로운 개념을 정확하게 정의하려고 노력해요.,TRUE,,,
중고등1200,68,,,definite,확실한,3,형용사,8040,1920,[défənit],"His definite plan carefully included every minor detail, ensuring the entire project runs efficiently and smoothly.",그의 확실한 계획은 모든 세부사항을 신중하게 포함시켜 전체 프로젝트가 효율적으로 진행되도록 했어요.,TRUE,,,
중고등1200,69,,,depress,내리누르다,1,동사,2210,22780,[diprés],"The strong wind depressed the leaves onto the ground, making them completely settle without moving.","강한 바람이 나뭇잎들을 땅에 내리누르며, 그것들을 완전히 가라앉게 했어요.",TRUE,,,
중고등1200,70,,,depress,우울하게 하다,1,동사,3182,4189,[diprés],"The continuous negative news stories tend to depress many people, making daily life feel hopeless.",연속되는 부정적인 뉴스들이 많은 사람들을 우울하게 만들고 일상이 희망이 없게 느껴져요.,TRUE,,,
중고등1200,71,,,disappoint,실망시키다,1,동사,1589,3455,[dìsəpɔ́int],"He tried his best to meet expectations, but his performance managed to disappoint several fans.","그는 최선을 다해 기대를 충족시키려 했지만, 그의 공연은 여러 팬들을 실망시키고 말았어요.",TRUE,,,
중고등1200,72,,,discharge,"해고하다,내보내다",1,동사,9573,5994,[disʧá:rdʒ],"After issuing multiple warnings, the management decided to discharge the uncooperative employee from his duties.","여러 차례 경고 후에, 경영진은 규칙을 지키지 않는 직원을 해고하기로 결정했어요.",TRUE,,,
중고등1200,73,,,discharge,"방출(량),방출하다",1,동사,9573,30999,[disʧάːrdʒ],"After undergoing a thorough cleaning, the treatment plant will discharge purified water into the river.",철저한 청소 후 정수 처리 시설은 강으로 정제된 물을 방출해요.,TRUE,,,
중고등1200,74,,,discharge,(기체 등이) 흐르다,1,동사,10935,22813,[disʧάːrdʒ],"Under high pressure conditions, the gas can discharge from the container and mix with air.",높은 압력 조건에서 가스가 용기에서 흘러나와 공기와 섞여요.,TRUE,,,
중고등1200,75,,,disgust,"혐오감,역겨움",2,명사,2358,6410,[disgʌ́st],"I felt overwhelming disgust upon finally seeing the extremely filthy, abandoned warehouse late at night.",나는 늦은 밤에 극도로 더럽고 버려진 창고를 보고 엄청난 역겨움을 느꼈어요.,TRUE,,,
중고등1200,76,,,divorce,이혼,2,명사,2769,4592,[divɔ́:rs],The couple decided on a divorce after realizing that their constant conflicts hindered their happiness.,부부는 지속되는 갈등이 행복을 방해한다는 것을 깨닫고 이혼을 결심했어요.,TRUE,,,
중고등1200,77,,,dozen,1다스,2,명사,34,34,[dʌ́zn],I bought a dozen fresh eggs from the local grocery market to prepare our breakfast.,나는 지역 식료품 시장에서 한 다스의 신선한 달걀을 사서 우리 아침 식사를 준비했어요.,TRUE,,,
중고등1200,78,,,drug,약,2,명사,2237,14485,[drʌ́g],The doctor immediately prescribed a new drug to help alleviate my persistent cough and discomfort.,의사가 즉시 새로운 약을 처방해주어서 내 지속적인 기침과 불편함을 완화했어요.,TRUE,,,
중고등1200,79,,,ease,(고통/불편이) 덜해지다,1,동사,7850,4094,[í:z],"After a long night of work, his pain slowly began to ease, providing him relief.","오랜 밤의 근무 후에, 그의 고통이 서서히 덜해지기 시작하여 그에게 안도감을 주었어요.",TRUE,,,
중고등1200,80,,,ease,수월하게 하다,1,동사,7850,30744,[iːz],The new software program will ease our workload and streamline tasks in the office easily.,"이 새로운 소프트웨어 프로그램은 우리 업무를 수월하게 하며, 사무실 작업을 간소화할 거예요.",TRUE,,,
중고등1200,81,,,ease,"쉬움,용이함",2,명사,10967,25448,[íːz],The user appreciated the unexpected ease of use provided by the innovative new software interface.,사용자는 혁신적인 새로운 소프트웨어 인터페이스가 제공한 사용의 쉬움에 깊은 감사를 표했어요.,TRUE,,,
중고등1200,82,,,elect,선출하다,1,동사,1816,3026,[ilékt],"During the upcoming elections, the community will elect a dedicated leader who understands their needs.","다가오는 선거 기간 동안, 지역 사회는 헌신적인 지도자를 선출하여 그들의 필요를 잘 이해할 거예요.",TRUE,,,
중고등1200,83,,,embarrass,당황하게 하다,1,동사,878,1398,[imbǽrəs],The man’s awkward comment embarrassed his friend in front of a large group during dinner.,그 남자의 어색한 발언은 저녁 식사 중 대규모 모임 앞에서 친구를 당황하게 했어요.,TRUE,,,
중고등1200,84,,,enroll,"등록하다,입학시키다",1,동사,6367,4708,[inróul],Many ambitious students decide to enroll in famous universities as they believe in high-quality academic programs.,많은 야심찬 학생들이 명문 대학에 등록하기로 결정했어요 그들은 우수한 교육 프로그램을 믿기 때문이에요.,TRUE,,,
중고등1200,85,,,entertain,즐겁게 하다,1,동사,8517,5397,[èntərtéin],The talented magician used brilliant illusions to entertain the curious crowd at the lively party.,재능 있는 마술사가 생동감 넘치는 파티에서 호기심 많은 관중들을 즐겁게 했어요.,TRUE,,,
중고등1200,86,,,entertain,(생각을) 품다,1,동사,9311,22896,[èntərtéin],I thoughtfully entertained the idea of going to a concert even though it seemed unlikely.,나는 콘서트에 가는 생각을 신중하게 품었어요.,TRUE,,,
중고등1200,87,,,especial,특별한,3,형용사,9841,17133,[ispéʃəl; espéʃəl],The teacher wore an especial outfit that made the classroom environment delightfully unique and inviting.,선생님은 특별한 옷을 입으셔서 교실 분위기를 기분 좋게 독특하고 매력적으로 만드셨어요.,TRUE,,,
중고등1200,88,,,essay,"수필,에세이",2,명사,5076,9095,[ései],I wrote a thoughtful essay that honestly explored the deeper meaning of my childhood memories.,나는 어린 시절의 추억 속 깊은 의미를 솔직하게 탐구한 수필을 썼어요.,TRUE,,,
중고등1200,89,#N/A,#N/A,exam,시험,2,명사,9569,14500,[igzǽm],I studied extra hard all week for the final exam that thoroughly tested my knowledge.,나는 마지막 시험이 내 지식을 철저히 평가하는지 확인하기 위해 일주일 내내 열심히 공부했어요.,FALSE,,,
중고등1200,90,,,examination,검사,2,명사,3140,17137,[igzæmənéiʃən],"During the routine examination, the experienced doctor thoroughly checked every part of the patient's body.",정기 검사 중에 경험 많은 의사가 환자의 몸 모든 부위를 꼼꼼하게 검사했어요.,TRUE,,,
중고등1200,91,,,examination,시험,2,명사,9569,3393,[igzæmənéiʃən],The professor administered a difficult examination to test the students' grasp on the course fundamentals.,교수님은 학생들의 기본 개념을 확인하기 위해 어려운 시험을 치르셨어요.,TRUE,,,
중고등1200,92,,,excite,흥분시키다,1,동사,10758,6641,[iksáit],The vibrant music and colorful fireworks never fail to excite everyone in the lively parade.,다채로운 음악과 화려한 불꽃놀이가 활기찬 퍼레이드에서 모든 사람들을 흥분시키고 있어요.,TRUE,,,
중고등1200,93,,,exit,출구,2,명사,3477,5779,[égzit],"After the fire alarm went off, everyone hurried to the exit to escape the burning building.",화재 경보가 울리자 모두가 불타는 건물에서 벗어나기 위해 출구로 서둘러 갔어요.,TRUE,,,
중고등1200,94,,,factory,공장,2,명사,382,606,[fǽktəri],"The modern factory, located near the busy port, efficiently manufactures a variety of high-quality products.","현대 공장은 바쁜 항구 근처에 위치해 있으며, 다양한 고품질 제품들을 효율적으로 제조하고 있어요.",TRUE,,,
중고등1200,95,고1,10,favor,편애하다,1,동사,7975,21331,[féivər],The teacher did not favor any student over the others during the thoughtful class discussions.,선생님은 수업 시간 동안 어떤 학생도 특별히 편애하지 않으셨어요.,TRUE,,,
중고등1200,96,고1,10,favor,좋아하다,1,동사,9910,19967,[féivər],I always favor kind people because their positive attitude can inspire others in many ways.,"나는 항상 친절한 사람들을 좋아하고, 그들의 긍정적인 태도가 다른 사람들에게 영감을 주기 때문이에요.",TRUE,,,
중고등1200,97,고1,10,favor,"부탁,호의",2,명사,7084,6441,[féivər],"My friend kindly requested a favor, promising to return the kindness after finishing her task.","내 친구가 작은 호의를 부탁했고, 일을 마친 후 반드시 보답하겠다고 약속했어요.",TRUE,,,
중고등1200,98,고1,10,favor,"호의,친절",2,명사,10736,25654,[féivər],"When my friend was in distress, I willingly offered a favor to brighten her day.","친구가 어려움에 처했을 때, 저는 기꺼이 그녀의 하루를 밝게 해주기 위해 호의를 베풀었어요.",TRUE,,,
중고등1200,99,고1,10,favor,"인기,평판",2,명사,10823,22968,[féivər],His diligent work and kindness earned him a strong favor and glowing reputation among colleagues.,그의 부지런한 일과 친절함은 동료들 사이에서 강한 인기와 좋은 평판을 얻게 했어요.,TRUE,,,
중고등1200,100,고1,10,honor,존중하다,1,동사,3164,19996,[ánər],Many people truly honor their teachers by recognizing their unique guidance and unwavering dedication daily.,많은 사람들이 매일 그들의 독특한 지도력과 변함없는 헌신을 인정하며 스승님들을 존중하고 있어요.,TRUE,,,
중고등1200,101,고1,10,honor,"(약속 등을) 지키다,이행하다",1,동사,7486,27368,[άnər],I honor my promises diligently by ensuring that every commitment is fulfilled with utmost integrity.,저는 제 약속을 성실하게 이행하여 모든 의무를 최대한 정직하게 완수해요.,TRUE,,,
중고등1200,102,고1,10,honor,~에게 경의를 표하다,1,동사,8401,25686,[ánər],We honor our teachers during annual awards ceremonies to express our heartfelt gratitude and respect.,우리는 연례 시상식에서 선생님들에게 경의를 표하여 진심 어린 감사를 표현해요.,TRUE,,,
중고등1200,103,고1,10,honor,명예를 주다,1,동사,10861,30016,,The community gathered to honor the brave firefighter with a special ceremony and heartfelt applause.,지역 사회가 용감한 소방관에게 특별한 시상식과 진심 어린 박수를 보내어 명예를 주었어요.,TRUE,,,
중고등1200,104,,,humor,유머,2,명사,11010,4324,[hjú:mər],The comedian's clever humor brightened the dull evening beautifully and instantly evoked hearty laughter tonight.,그 코미디언의 재치 있는 유머가 지루한 저녁을 아름답게 밝혀 즉시 모두에게 따뜻한 웃음을 선사했어요.,TRUE,,,
중고등1200,105,#N/A,#N/A,lab,실험실,2,명사,12034,16286,[lǽb],The advanced research lab contained a variety of innovative instruments that enabled scientists to conduct groundbreaking experiments.,첨단 장비가 갖춰진 이 연구실은 과학자들이 혁신적인 실험을 수행할 수 있도록 도움을 주었어요.,FALSE,,,
중고등1200,106,고2,11,labor,애쓰다,1,동사,4010,23268,[léibər],"They labored diligently throughout the night, determined to complete the important research project on time.",그들은 밤새도록 애쓰며 중요한 연구 프로젝트를 제시간에 완성하려고 노력했어요.,TRUE,,,
