구분,voca NO,grade ID,grade NO,WordText,WordMeaning,PoS,품사,image ID,WordID(SoundID),WordSymbol,example_english,example_korean,초등800 포함여부,,워드P 매핑용,워드P 매핑용 쿼리,,사운드파일명,사운드배치,이미지파일명,이미지배치
초등800,10010,초등,5,actual,실제의,3,형용사,9533,3469,[ǽkʧuəl],,,#REF!,,again,WordText='again' OR ,,003469,XCOPY /F/Y .\003469.mp3 .\cutMp3\,009533,XCOPY /F/Y .\009533.png .\cutPng\
초등800,10011,초등,5,add,"추가하다,더하다",1,동사,926,1471,[ǽd],,,#REF!,,against,WordText='against' OR ,,001471,XCOPY /F/Y .\001471.mp3 .\cutMp3\,000926,XCOPY /F/Y .\000926.png .\cutPng\
초등800,10012,초등,5,address,주소,2,명사,10727,5292,[ǽdres],,,#REF!,,age,WordText='age' OR ,,005292,XCOPY /F/Y .\005292.mp3 .\cutMp3\,010727,XCOPY /F/Y .\010727.png .\cutPng\
초등800,10013,초등,5,address,연설,2,명사,10977,18137,[ǽdres],,,#REF!,,ago,WordText='ago' OR ,,018137,XCOPY /F/Y .\018137.mp3 .\cutMp3\,010977,XCOPY /F/Y .\010977.png .\cutPng\
초등800,10014,초등,5,address,다루다,1,동사,2710,18138,[ədrés],,,#REF!,,agree,WordText='agree' OR ,,018138,XCOPY /F/Y .\018138.mp3 .\cutMp3\,002710,XCOPY /F/Y .\002710.png .\cutPng\
초등800,10015,초등,5,address,검토하다,1,동사,3140,20702,[ədrés],,,#REF!,,disagree,WordText='disagree' OR ,,020702,XCOPY /F/Y .\020702.mp3 .\cutMp3\,003140,XCOPY /F/Y .\003140.png .\cutPng\
초등800,10016,초등,5,address,말을 걸다,1,동사,1129,25434,[ədrés],,,#REF!,,ahead,WordText='ahead' OR ,,025434,XCOPY /F/Y .\025434.mp3 .\cutMp3\,001129,XCOPY /F/Y .\001129.png .\cutPng\
초등800,10017,초등,5,adult,어른,2,명사,2281,3741,[ədʌ́lt],,,#REF!,,air,WordText='air' OR ,,003741,XCOPY /F/Y .\003741.mp3 .\cutMp3\,002281,XCOPY /F/Y .\002281.png .\cutPng\
초등800,10018,초등,5,afraid,두려워 하는,3,형용사,8064,1607,[əfréid],,,#REF!,,airplane,WordText='airplane' OR ,,001607,XCOPY /F/Y .\001607.mp3 .\cutMp3\,008064,XCOPY /F/Y .\008064.png .\cutPng\
초등800,10019,초6,4,after,(시간/순서) 후에,6,전치사,251,1628,[ǽftər],,,#REF!,,album,WordText='album' OR ,,001628,XCOPY /F/Y .\001628.mp3 .\cutMp3\,000251,XCOPY /F/Y .\000251.png .\cutPng\
초등800,10020,초3,1,afternoon,오후,2,명사,2452,4050,[æftərnú:n],,,#REF!,,all,WordText='all' OR ,,004050,XCOPY /F/Y .\004050.mp3 .\cutMp3\,002452,XCOPY /F/Y .\002452.png .\cutPng\
초등800,10021,초4,2,again,다시,4,부사,834,1331,[əɡén; əgéin],,,#REF!,,almost,WordText='almost' OR ,,001331,XCOPY /F/Y .\001331.mp3 .\cutMp3\,000834,XCOPY /F/Y .\000834.png .\cutPng\
초등800,10022,초등,5,against,반대하여,6,전치사,1348,3832,[əgénst],,,#REF!,,alone,WordText='alone' OR ,,003832,XCOPY /F/Y .\003832.mp3 .\cutMp3\,001348,XCOPY /F/Y .\001348.png .\cutPng\
초등800,10023,초등,5,against,~을 배경으로,6,전치사,12820,18139,[əgénst],,,#REF!,,along,WordText='along' OR ,,018139,XCOPY /F/Y .\018139.mp3 .\cutMp3\,012820,XCOPY /F/Y .\012820.png .\cutPng\
초등800,10024,초등,5,against,"~에 대비하여,예방하여",6,전치사,9472,20275,[əgénst; əgéinst],,,#REF!,,already,WordText='already' OR ,,020275,XCOPY /F/Y .\020275.mp3 .\cutMp3\,009472,XCOPY /F/Y .\009472.png .\cutPng\
초등800,10025,초등,5,against,~을 거슬러,6,전치사,3251,25976,[əgénst],,,#REF!,,alright,WordText='alright' OR ,,025976,XCOPY /F/Y .\025976.mp3 .\cutMp3\,003251,XCOPY /F/Y .\003251.png .\cutPng\
초등800,10026,초등,5,against,"~을 항하여,충돌하여",6,전치사,1348,28343,"[əgénst, əgéinst]",,,#REF!,,also,WordText='also' OR ,,028343,XCOPY /F/Y .\028343.mp3 .\cutMp3\,001348,XCOPY /F/Y .\001348.png .\cutPng\
초등800,10027,초등,5,age,"나이,시대",2,명사,691,1108,[éidʒ],,,#REF!,,always,WordText='always' OR ,,001108,XCOPY /F/Y .\001108.mp3 .\cutMp3\,000691,XCOPY /F/Y .\000691.png .\cutPng\
초등800,10028,초등,5,age,시대,2,명사,9347,25995,[éidʒ],,,#REF!,,and,WordText='and' OR ,,025995,XCOPY /F/Y .\025995.mp3 .\cutMp3\,009347,XCOPY /F/Y .\009347.png .\cutPng\
초등800,10029,초등,5,age,노화시키다,1,동사,9517,27302,[eidʒ],,,#REF!,,animal,WordText='animal' OR ,,027302,XCOPY /F/Y .\027302.mp3 .\cutMp3\,009517,XCOPY /F/Y .\009517.png .\cutPng\
초등800,10030,초등,5,ago,전에,4,부사,7718,4989,[əgóu],,,#REF!,,another,WordText='another' OR ,,004989,XCOPY /F/Y .\004989.mp3 .\cutMp3\,007718,XCOPY /F/Y .\007718.png .\cutPng\
초등800,10031,초등,5,agree,동의하다,1,동사,995,1577,[əgrí:],,,#REF!,,answer,WordText='answer' OR ,,001577,XCOPY /F/Y .\001577.mp3 .\cutMp3\,000995,XCOPY /F/Y .\000995.png .\cutPng\
초등800,10032,초4,2,ahead,"앞으로,앞에",4,부사,2215,3647,[əhéd],,,#REF!,,any,WordText='any' OR ,,003647,XCOPY /F/Y .\003647.mp3 .\cutMp3\,002215,XCOPY /F/Y .\002215.png .\cutPng\
초등800,10033,초5,3,air,공기,2,명사,10606,584,[έər],,,#REF!,,apartment,WordText='apartment' OR ,,000584,XCOPY /F/Y .\000584.mp3 .\cutMp3\,010606,XCOPY /F/Y .\010606.png .\cutPng\
초등800,10034,초5,3,air,방송하다,1,동사,9594,21447,[έər],,,#REF!,,apple,WordText='apple' OR ,,021447,XCOPY /F/Y .\021447.mp3 .\cutMp3\,009594,XCOPY /F/Y .\009594.png .\cutPng\
초등800,10035,초5,3,air,느낌,2,명사,605,24041,[έər],,,#REF!,,area,WordText='area' OR ,,024041,XCOPY /F/Y .\024041.mp3 .\cutMp3\,000605,XCOPY /F/Y .\000605.png .\cutPng\
초등800,10036,초5,3,airplane,비행기,2,명사,1644,2725,[έərplèin],,,#REF!,,arm,WordText='arm' OR ,,002725,XCOPY /F/Y .\002725.mp3 .\cutMp3\,001644,XCOPY /F/Y .\001644.png .\cutPng\
초등800,10037,초3,1,album,앨범,2,명사,10690,3663,[ǽlbəm],,,#REF!,,arrive,WordText='arrive' OR ,,003663,XCOPY /F/Y .\003663.mp3 .\cutMp3\,010690,XCOPY /F/Y .\010690.png .\cutPng\
초등800,10038,초5,3,all,모든,5,대명사,10652,1923,[ɔ́:l],,,#REF!,,art,WordText='art' OR ,,001923,XCOPY /F/Y .\001923.mp3 .\cutMp3\,010652,XCOPY /F/Y .\010652.png .\cutPng\
초등800,10039,초등,5,almost,"거의,대부분",4,부사,10601,295,[ɔ́:lmoust],,,#REF!,,as,WordText='as' OR ,,000295,XCOPY /F/Y .\000295.mp3 .\cutMp3\,010601,XCOPY /F/Y .\010601.png .\cutPng\
초등800,10040,초등,5,along,~를 따라서,6,전치사,10706,4416,[əlɔ́:ŋ],,,#REF!,,ask,WordText='ask' OR ,,004416,XCOPY /F/Y .\004416.mp3 .\cutMp3\,010706,XCOPY /F/Y .\010706.png .\cutPng\
초등800,10041,초등,5,along,~와 함께,4,부사,2466,25545,[əlɔ́:ŋ],,,#REF!,,at,WordText='at' OR ,,025545,XCOPY /F/Y .\025545.mp3 .\cutMp3\,002466,XCOPY /F/Y .\002466.png .\cutPng\
초등800,10042,초등,5,already,"이미,벌써",4,부사,1627,2326,[ɔ:lrédi],,,#REF!,,autumn,WordText='autumn' OR ,,002326,XCOPY /F/Y .\002326.mp3 .\cutMp3\,001627,XCOPY /F/Y .\001627.png .\cutPng\
초등800,10043,초등,5,alright,괜찮아,9,숙어/관용어,11571,15823,[ɔ:lráit],,,#REF!,,away,WordText='away' OR ,,015823,XCOPY /F/Y .\015823.mp3 .\cutMp3\,011571,XCOPY /F/Y .\011571.png .\cutPng\
초등800,10044,초등,5,alright,"괜찮은,받아들일 만한",3,형용사,11571,28743,[ɔːlráit],,,#REF!,,baby,WordText='baby' OR ,,028743,XCOPY /F/Y .\028743.mp3 .\cutMp3\,011571,XCOPY /F/Y .\011571.png .\cutPng\
초등800,10045,초6,4,also,~도 역시,4,부사,939,1491,[ɔ́:lsou],,,#REF!,,back,WordText='back' OR ,,001491,XCOPY /F/Y .\001491.mp3 .\cutMp3\,000939,XCOPY /F/Y .\000939.png .\cutPng\
초등800,10046,초5,3,always,언제나,4,부사,8253,3778,[ɔ́:lweiz; ɔ́:lwi:z],,,#REF!,,bad,WordText='bad' OR ,,003778,XCOPY /F/Y .\003778.mp3 .\cutMp3\,008253,XCOPY /F/Y .\008253.png .\cutPng\
초등800,10047,초5,3,always,항상,4,부사,8253,25546,[ɔ́:lweiz; ɔ́:lwi:z],,,#REF!,,badminton,WordText='badminton' OR ,,025546,XCOPY /F/Y .\025546.mp3 .\cutMp3\,008253,XCOPY /F/Y .\008253.png .\cutPng\
초등800,10048,초3,1,and,그리고,7,접속사,14865,841,[ənd; ən],,,#REF!,,ball,WordText='ball' OR ,,000841,XCOPY /F/Y .\000841.mp3 .\cutMp3\,014865,XCOPY /F/Y .\014865.png .\cutPng\
초등800,10049,초5,3,animal,동물,2,명사,985,1557,[ǽnəməl],,,#REF!,,bank,WordText='bank' OR ,,001557,XCOPY /F/Y .\001557.mp3 .\cutMp3\,000985,XCOPY /F/Y .\000985.png .\cutPng\
초등800,10050,초등,5,another,"또 하나의,더",5,대명사,939,1695,[ənʌ́ðər],,,#REF!,,baseball,WordText='baseball' OR ,,001695,XCOPY /F/Y .\001695.mp3 .\cutMp3\,000939,XCOPY /F/Y .\000939.png .\cutPng\
초등800,10051,초6,4,answer,대답하다,1,동사,14474,1407,[ǽnsər],,,#REF!,,basket,WordText='basket' OR ,,001407,XCOPY /F/Y .\001407.mp3 .\cutMp3\,014474,XCOPY /F/Y .\014474.png .\cutPng\
초등800,10052,초6,4,answer,답,2,명사,8320,17608,[ǽnsər],,,#REF!,,basketball,WordText='basketball' OR ,,017608,XCOPY /F/Y .\017608.mp3 .\cutMp3\,008320,XCOPY /F/Y .\008320.png .\cutPng\
초등800,10053,초3,1,any,"무언가의,아무",5,대명사,16192,2025,[éni; əni],,,#REF!,,be,WordText='be' OR ,,002025,XCOPY /F/Y .\002025.mp3 .\cutMp3\,016192,XCOPY /F/Y .\016192.png .\cutPng\
초등800,10054,초3,1,any,"전혀,조금도",4,부사,12412,25548,[éni; əni],,,#REF!,,beach,WordText='beach' OR ,,025548,XCOPY /F/Y .\025548.mp3 .\cutMp3\,012412,XCOPY /F/Y .\012412.png .\cutPng\
초등800,10055,초등,5,apartment,아파트,2,명사,2173,3575,[əpá:rtmənt],,,#REF!,,bear,WordText='bear' OR ,,003575,XCOPY /F/Y .\003575.mp3 .\cutMp3\,002173,XCOPY /F/Y .\002173.png .\cutPng\
초등800,10056,초3,1,apple,사과,2,명사,1678,2782,[ǽpl],,,#REF!,,beauty,WordText='beauty' OR ,,002782,XCOPY /F/Y .\002782.mp3 .\cutMp3\,001678,XCOPY /F/Y .\001678.png .\cutPng\
초등800,10057,초5,3,area,지역,2,명사,3278,1886,[έəriə],,,#REF!,,bed,WordText='bed' OR ,,001886,XCOPY /F/Y .\001886.mp3 .\cutMp3\,003278,XCOPY /F/Y .\003278.png .\cutPng\
초등800,10058,초5,3,area,면적,2,명사,1574,18153,[έəriə],,,#REF!,,bee,WordText='bee' OR ,,018153,XCOPY /F/Y .\018153.mp3 .\cutMp3\,001574,XCOPY /F/Y .\001574.png .\cutPng\
초등800,10059,초5,3,area,분야,2,명사,2952,19828,[έəriə],,,#REF!,,beef,WordText='beef' OR ,,019828,XCOPY /F/Y .\019828.mp3 .\cutMp3\,002952,XCOPY /F/Y .\002952.png .\cutPng\
초등800,10060,초5,3,area,부위,2,명사,14569,28804,[έəriə],,,#REF!,,before,WordText='before' OR ,,028804,XCOPY /F/Y .\028804.mp3 .\cutMp3\,014569,XCOPY /F/Y .\014569.png .\cutPng\
초등800,10061,초4,2,arm,팔,2,명사,3663,6062,[á:rm],,,#REF!,,begin,WordText='begin' OR ,,006062,XCOPY /F/Y .\006062.mp3 .\cutMp3\,003663,XCOPY /F/Y .\003663.png .\cutPng\
초등800,10062,초4,2,arm,무기,2,명사,1234,24079,[áːrm],,,#REF!,,behind,WordText='behind' OR ,,024079,XCOPY /F/Y .\024079.mp3 .\cutMp3\,001234,XCOPY /F/Y .\001234.png .\cutPng\
초등800,10063,초4,2,arm,무장시키다,1,동사,14716,28549,[aːrm],,,#REF!,,believe,WordText='believe' OR ,,028549,XCOPY /F/Y .\028549.mp3 .\cutMp3\,014716,XCOPY /F/Y .\014716.png .\cutPng\
초등800,10064,초5,3,around,"주위에,둘레에",4,부사,8408,5298,[əráund],,,#REF!,,bell,WordText='bell' OR ,,005298,XCOPY /F/Y .\005298.mp3 .\cutMp3\,008408,XCOPY /F/Y .\008408.png .\cutPng\
초등800,10065,초5,3,around,"약,~쯤",4,부사,9403,16736,[əráund],,,#REF!,,below,WordText='below' OR ,,016736,XCOPY /F/Y .\016736.mp3 .\cutMp3\,009403,XCOPY /F/Y .\009403.png .\cutPng\
초등800,10066,초등,5,arrive,도착하다,1,동사,9408,1512,[əráiv],,,#REF!,,belt,WordText='belt' OR ,,001512,XCOPY /F/Y .\001512.mp3 .\cutMp3\,009408,XCOPY /F/Y .\009408.png .\cutPng\
초등800,10067,초4,2,art,예술,2,명사,2426,4004,[á:rt],,,#REF!,,beside,WordText='beside' OR ,,004004,XCOPY /F/Y .\004004.mp3 .\cutMp3\,002426,XCOPY /F/Y .\002426.png .\cutPng\
초등800,10068,초4,2,art,"미술,예술",2,명사,6287,16490,[á:rt],,,#REF!,,between,WordText='between' OR ,,016490,XCOPY /F/Y .\016490.mp3 .\cutMp3\,006287,XCOPY /F/Y .\006287.png .\cutPng\
초등800,10069,초등,5,as,~할 때,7,접속사,14774,4390,[ǽz; əz],,,#REF!,,bill,WordText='bill' OR ,,004390,XCOPY /F/Y .\004390.mp3 .\cutMp3\,014774,XCOPY /F/Y .\014774.png .\cutPng\
초등800,10070,초등,5,as,~듯이,4,부사,14772,21452,[ǽz; əz],,,#REF!,,bird,WordText='bird' OR ,,021452,XCOPY /F/Y .\021452.mp3 .\cutMp3\,014772,XCOPY /F/Y .\014772.png .\cutPng\
초등800,10071,초등,5,as,~로서,6,전치사,14773,21453,[ǽz; əz],,,#REF!,,birth,WordText='birth' OR ,,021453,XCOPY /F/Y .\021453.mp3 .\cutMp3\,014773,XCOPY /F/Y .\014773.png .\cutPng\
초등800,10072,초등,5,as,"~대로,~처럼",6,전치사,7789,25550,[ǽz; əz],,,#REF!,,biscuit,WordText='biscuit' OR ,,025550,XCOPY /F/Y .\025550.mp3 .\cutMp3\,007789,XCOPY /F/Y .\007789.png .\cutPng\
초등800,10073,초5,3,ask,묻다,1,동사,1279,2066,[ǽsk],,,#REF!,,black,WordText='black' OR ,,002066,XCOPY /F/Y .\002066.mp3 .\cutMp3\,001279,XCOPY /F/Y .\001279.png .\cutPng\
초등800,10074,초5,3,ask,요청하다,1,동사,9651,19475,[ǽsk],,,#REF!,,blood,WordText='blood' OR ,,019475,XCOPY /F/Y .\019475.mp3 .\cutMp3\,009651,XCOPY /F/Y .\009651.png .\cutPng\
초등800,10075,초3,1,at,~에서,6,전치사,2332,3834,[ǽt; ət],,,#REF!,,board,WordText='board' OR ,,003834,XCOPY /F/Y .\003834.mp3 .\cutMp3\,002332,XCOPY /F/Y .\002332.png .\cutPng\
초등800,10076,초4,2,aunt,"숙모,고모/이모",2,명사,10686,3564,[ǽnt; a:nt],,,#REF!,,body,WordText='body' OR ,,003564,XCOPY /F/Y .\003564.mp3 .\cutMp3\,010686,XCOPY /F/Y .\010686.png .\cutPng\
초등800,10077,초등,5,autumn,가을,2,명사,90,107,[ɔ́:təm],,,#REF!,,bone,WordText='bone' OR ,,000107,XCOPY /F/Y .\000107.mp3 .\cutMp3\,000090,XCOPY /F/Y .\000090.png .\cutPng\
초등800,10078,초등,5,away,떨어져서,4,부사,1060,1686,[əwéi],,,#REF!,,book,WordText='book' OR ,,001686,XCOPY /F/Y .\001686.mp3 .\cutMp3\,001060,XCOPY /F/Y .\001060.png .\cutPng\
초등800,10079,초등,5,away,"~에 없는,부재중인",4,부사,2155,25553,[əwéi],,,#REF!,,borrow,WordText='borrow' OR ,,025553,XCOPY /F/Y .\025553.mp3 .\cutMp3\,002155,XCOPY /F/Y .\002155.png .\cutPng\
초등800,10080,초3,1,baby,아기,2,명사,2144,209,[béibi],,,#REF!,,both,WordText='both' OR ,,000209,XCOPY /F/Y .\000209.mp3 .\cutMp3\,002144,XCOPY /F/Y .\002144.png .\cutPng\
초등800,10081,초4,2,back,뒤로,4,부사,10639,1620,[bǽk],,,#REF!,,bottle,WordText='bottle' OR ,,001620,XCOPY /F/Y .\001620.mp3 .\cutMp3\,010639,XCOPY /F/Y .\010639.png .\cutPng\
초등800,10082,초4,2,back,등,2,명사,12239,16492,[bǽk],,,#REF!,,bottom,WordText='bottom' OR ,,016492,XCOPY /F/Y .\016492.mp3 .\cutMp3\,012239,XCOPY /F/Y .\012239.png .\cutPng\
초등800,10083,초4,2,back,"제자리에,돌아와서",4,부사,7378,25555,[bǽk],,,#REF!,,box,WordText='box' OR ,,025555,XCOPY /F/Y .\025555.mp3 .\cutMp3\,007378,XCOPY /F/Y .\007378.png .\cutPng\
초등800,10084,초4,2,back,~로 거슬러 올라가,4,부사,10639,31329,[bǽk],,,#REF!,,boy,WordText='boy' OR ,,031329,XCOPY /F/Y .\031329.mp3 .\cutMp3\,010639,XCOPY /F/Y .\010639.png .\cutPng\
초등800,10085,초4,2,bad,(기분이) 나쁜,3,형용사,14778,1102,[bǽd],,,#REF!,,break,WordText='break' OR ,,001102,XCOPY /F/Y .\001102.mp3 .\cutMp3\,014778,XCOPY /F/Y .\014778.png .\cutPng\
초등800,10086,초4,2,bad,"(행실이) 나쁜,불량한",3,형용사,5242,21675,[bǽd],,,#REF!,,breakfast,WordText='breakfast' OR ,,021675,XCOPY /F/Y .\021675.mp3 .\cutMp3\,005242,XCOPY /F/Y .\005242.png .\cutPng\
초등800,10087,초4,2,bad,"나쁜,형편없는",3,형용사,8252,25556,[bǽd],,,#REF!,,bridge,WordText='bridge' OR ,,025556,XCOPY /F/Y .\025556.mp3 .\cutMp3\,008252,XCOPY /F/Y .\008252.png .\cutPng\
초등800,10088,초4,2,bad,"나쁜,심한",3,형용사,7862,25968,[bǽd],,,#REF!,,bright,WordText='bright' OR ,,025968,XCOPY /F/Y .\025968.mp3 .\cutMp3\,007862,XCOPY /F/Y .\007862.png .\cutPng\
초등800,10089,초4,2,badminton,배드민턴,2,명사,5539,14310,[bǽdmintn],,,#REF!,,bring,WordText='bring' OR ,,014310,XCOPY /F/Y .\014310.mp3 .\cutMp3\,005539,XCOPY /F/Y .\005539.png .\cutPng\
초등800,10090,초3,1,bag,가방,2,명사,78,94,[bǽg],,,#REF!,,brother,WordText='brother' OR ,,000094,XCOPY /F/Y .\000094.mp3 .\cutMp3\,000078,XCOPY /F/Y .\000078.png .\cutPng\
초등800,10091,초3,1,bag,봉지에 담다,1,동사,16151,25558,[bǽg],,,#REF!,,brown,WordText='brown' OR ,,025558,XCOPY /F/Y .\025558.mp3 .\cutMp3\,016151,XCOPY /F/Y .\016151.png .\cutPng\
초등800,10092,초4,2,bake,굽다,1,동사,493,780,[béik],,,#REF!,,brush,WordText='brush' OR ,,000780,XCOPY /F/Y .\000780.mp3 .\cutMp3\,000493,XCOPY /F/Y .\000493.png .\cutPng\
초등800,10093,초3,1,ball,공,2,명사,356,567,[bɔ́:l],,,#REF!,,burn,WordText='burn' OR ,,000567,XCOPY /F/Y .\000567.mp3 .\cutMp3\,000356,XCOPY /F/Y .\000356.png .\cutPng\
초등800,10094,초3,1,ball,무도회,2,명사,9843,20731,[bɔ́:l],,,#REF!,,bus,WordText='bus' OR ,,020731,XCOPY /F/Y .\020731.mp3 .\cutMp3\,009843,XCOPY /F/Y .\009843.png .\cutPng\
초등800,10095,초3,1,banana,바나나,2,명사,5265,9721,[bənǽnə],,,#REF!,,busy,WordText='busy' OR ,,009721,XCOPY /F/Y .\009721.mp3 .\cutMp3\,005265,XCOPY /F/Y .\005265.png .\cutPng\
초등800,10096,초4,2,bank,은행,2,명사,2648,4400,[bǽŋk],,,#REF!,,cake,WordText='cake' OR ,,004400,XCOPY /F/Y .\004400.mp3 .\cutMp3\,002648,XCOPY /F/Y .\002648.png .\cutPng\
초등800,10097,초4,2,bank,강둑,2,명사,11845,18168,[bǽŋk],,,#REF!,,call,WordText='call' OR ,,018168,XCOPY /F/Y .\018168.mp3 .\cutMp3\,011845,XCOPY /F/Y .\011845.png .\cutPng\
초등800,10098,초등,5,base,"기초,기본(재료)",2,명사,10621,987,[béis],,,#REF!,,camera,WordText='camera' OR ,,000987,XCOPY /F/Y .\000987.mp3 .\cutMp3\,010621,XCOPY /F/Y .\010621.png .\cutPng\
초등800,10099,초등,5,base,비열한,3,형용사,5316,9784,[béis],,,#REF!,,camp,WordText='camp' OR ,,009784,XCOPY /F/Y .\009784.mp3 .\cutMp3\,005316,XCOPY /F/Y .\005316.png .\cutPng\
초등800,10100,초등,5,base,(군사) 기지,2,명사,12677,17684,[béis],,,#REF!,,campaign,WordText='campaign' OR ,,017684,XCOPY /F/Y .\017684.mp3 .\cutMp3\,012677,XCOPY /F/Y .\012677.png .\cutPng\
초등800,10101,초등,5,base,~에 기반을 두다,1,동사,9784,19835,[béis],,,#REF!,,can,WordText='can' OR ,,019835,XCOPY /F/Y .\019835.mp3 .\cutMp3\,009784,XCOPY /F/Y .\009784.png .\cutPng\
초등800,10102,초등,5,base,사물의 맨 아래 부분,2,명사,12810,27394,[beis],,,#REF!,,candy,WordText='candy' OR ,,027394,XCOPY /F/Y .\027394.mp3 .\cutMp3\,012810,XCOPY /F/Y .\012810.png .\cutPng\
초등800,10103,초등,5,base,(야구)~루,2,명사,16512,28431,[beis],,,#REF!,,cap,WordText='cap' OR ,,028431,XCOPY /F/Y .\028431.mp3 .\cutMp3\,016512,XCOPY /F/Y .\016512.png .\cutPng\
초등800,10104,초4,2,baseball,야구,2,명사,2228,3664,[béisbɔ̀:l],,,#REF!,,car,WordText='car' OR ,,003664,XCOPY /F/Y .\003664.mp3 .\cutMp3\,002228,XCOPY /F/Y .\002228.png .\cutPng\
초등800,10105,초4,2,baseball,야구공,2,명사,12240,16493,[béisbɔ̀:l],,,#REF!,,card,WordText='card' OR ,,016493,XCOPY /F/Y .\016493.mp3 .\cutMp3\,012240,XCOPY /F/Y .\012240.png .\cutPng\
초등800,10106,초4,2,basket,바구니,2,명사,1328,2135,[bǽskit],,,#REF!,,care,WordText='care' OR ,,002135,XCOPY /F/Y .\002135.mp3 .\cutMp3\,001328,XCOPY /F/Y .\001328.png .\cutPng\
초등800,10107,초4,2,basketball,농구,2,명사,778,1246,[bǽskitbɔ̀:l],,,#REF!,,carrot,WordText='carrot' OR ,,001246,XCOPY /F/Y .\001246.mp3 .\cutMp3\,000778,XCOPY /F/Y .\000778.png .\cutPng\
초등800,10108,초4,2,basketball,농구공,2,명사,12242,16496,[bǽskitbɔ̀:l],,,#REF!,,carry,WordText='carry' OR ,,016496,XCOPY /F/Y .\016496.mp3 .\cutMp3\,012242,XCOPY /F/Y .\012242.png .\cutPng\
초등800,10109,초3,1,bat,야구 방망이,2,명사,14780,14317,[bǽt],,,#REF!,,case,WordText='case' OR ,,014317,XCOPY /F/Y .\014317.mp3 .\cutMp3\,014780,XCOPY /F/Y .\014780.png .\cutPng\
초등800,10110,초3,1,bat,박쥐,2,명사,12357,16743,[bǽt],,,#REF!,,casual,WordText='casual' OR ,,016743,XCOPY /F/Y .\016743.mp3 .\cutMp3\,012357,XCOPY /F/Y .\012357.png .\cutPng\
초등800,10111,초3,1,bat,(배트로) 공을 치다,1,동사,11709,25437,[bǽt],,,#REF!,,cash,WordText='cash' OR ,,025437,XCOPY /F/Y .\025437.mp3 .\cutMp3\,011709,XCOPY /F/Y .\011709.png .\cutPng\
초등800,10112,초5,3,bath,목욕,2,명사,1212,1961,[bǽθ],,,#REF!,,cat,WordText='cat' OR ,,001961,XCOPY /F/Y .\001961.mp3 .\cutMp3\,001212,XCOPY /F/Y .\001212.png .\cutPng\
초등800,10113,초3,1,be,(be의 원형) ~이다,1,동사,14782,6666,[bi],,,#REF!,,center,WordText='center' OR ,,006666,XCOPY /F/Y .\006666.mp3 .\cutMp3\,014782,XCOPY /F/Y .\014782.png .\cutPng\
