,textbook ID,학년,출판사,교육과정,단원 번호,단원 명,DESCRIPTION,KEY_EXPRESSION,KEY_EXPRESSION_KOR,SUB_EXPRESSION
70,402,초4,YBM(김),2015,4,Let’s Play Baseball,Let's ()를 활용해 제안하고 이에 답하기. ,A: Let's play soccer! B: Sure. ,,A: How about cycling this afternoon? B: Alright! A: Why don't we go fishing? B: That sounds great! 
71,402,초4,YBM(김),2015,5,Is This Your Rocket?,소유격 표현을 이용해 물건의 주인 묻고 답하기. ,"A: Is this your ball? B: Yes, it is. ",,"A: Is this your ()? B: Yes, it is. A: Is this ((item)) yours? B: No, it isn’t. "
72,402,초4,YBM(김),2015,6,What Time Is It?,What time -을 활용해 시각을 묻고 답하기. ,A: What time is it? B: It's five o'clock. ,,A: Can you tell me the time? B: It's () o'clock. A: Do you know the current time? B: It's () o'clock. 
73,402,초4,YBM(김),2015,7,It’s Under the Table,Where is ()? 을 활용해 물건의 위치를 묻고 답하기. ,A: Where is my book? B: It's on the table. ,,A: Where can I find my shoes? B: They're under the bed. A: Where did you put my bag? B: It's beside the chair. 
74,402,초4,YBM(김),2015,8,Do You Want Some Ice Cream?,권유 표현을 활용해 상대방이 음식이나 물건을 원하는지 묻고 답하기. ,"A: Would you like a slice of pizza? B: No, thank you. ",,"A: Do you care for some soup? B: Yes, I'd like that. A: How about some tea? B: No, thanks. "
75,402,초4,YBM(김),2015,9,Can I Come In?,질문 표현을 활용해 상대방에게 허락 요청하고 그에 대한 답변하기. ,A: Can I stay here? B: Sure. ,,"A: May I sit down here? B: Of course. A: Would it be okay if I take this? B: Sorry, you can't. "
76,402,초4,YBM(김),2015,10,What Are You Doing?,현재 진행형을 활용하여 지금 하고 있는 일 묻고 답하기. ,A: What are you doing? B: I'm painting a picture. ,,A: What are you busy with? B: I am working on (). A: What’s keeping you occupied? B: I'm engaged in (). 
77,402,초4,YBM(김),2015,11,"Put On Your Jacket, Please",상대방에게 요청을 하고 이에 답하는 간단한 표현을 활용해 대화 진행하기. ,"A: Could you take off your hat, please? B: Sure. ",,"A: Would you put on your shoes, please? B: Certainly. A: Please take off your backpack. B: No problem. "
78,402,초4,YBM(김),2015,12,How Much Is It?,How much를 활용해 가격 묻고 답하기. ,A: How much is this item? B: It's twelve fifty. ,,A: What does this cost? B: It's (). A: What's the price of this? B: It's (). 
79,402,초4,YBM(김),2015,13,What Day Is It?,요일을 표현하는 단어를 활용해 현재 요일 묻고 답하기. ,A: What day is it today? B: It’s Thursday. ,,"A: Can you tell me the day today? B: It’s (). A: Do you know what day it is? B: Oh, it’s (). "
80,403,초4,YBM(최),2015,1,How Are You?,하루의 시간대에 알맞은 인사말을 활용해 인사하기. ,Good morning! ,,Good afternoon! Good evening! 
81,403,초4,YBM(최),2015,2,This Is Kate,This is ()를 이용하여 다른 사람 소개하기. ,This is my teacher. ,,This is my classmate. This is my neighbor. 
82,403,초4,YBM(최),2015,3,Where Is My Watch?,상대방과 물건의 위치를 묻고 답하기. ,A: Where is my bag? B: It's on the table. ,,A: Where is my phone? B: It's near the () A: Where are my glasses? B: They are on the () 
83,403,초4,YBM(최),2015,4,Are You Okay?,기쁨을 나타낼 때 사용할 수 있는 간단한 표현 활용하기. ,I'm thrilled! ,,I'm excited! I'm overjoyed! 
84,403,초4,YBM(최),2015,5,What Time Is It?,시각을 물어보고 대답하기 위한 What time is it? 문장을 통해 시간 표현에 익숙해지기. ,A: What time is it? B: It's 7 o'clock. ,,A: What's the time? B: It's () o'clock. A: Do you know the time? B: It's () o'clock. 
85,403,초4,YBM(최),2015,6,Let’s Play Badminton,Let's ()을 활용하여 제안·권유하고 이에 응답하기. ,"A: Let's go swimming. B: Sure, that sounds great. ",,"A: Why don’t we try ()? B: Yeah, I’d like that. A: How about we enjoy ()? B: I'm unable to join because (). "
86,403,초4,YBM(최),2015,7,What Are You Doing?,'be ()ing'를 활용해 상대방이 지금 하고 있는 행동 묻고 답하기. ,A: What are you doing? B: I’m making a drawing. ,,A: What are you up to? B: I’m currently (). A: What’s happening? B: I’m busy (). 
87,403,초4,YBM(최),2015,8,What Do You Want?,want 표현을 활용해 원하는 것 묻고 답하기. ,A: What do you wish to have? B: I would like some fruits. ,,A: What are you looking for? B: I want some (). A: What would you like? B: I need some (). 
88,403,초4,YBM(최),2015,9,What Day Is It Today?,"요일을 묻고 답할 때, What day is ()를 활용하기. ",A: What day is today? B: It’s Wednesday. ,,A: What is the day? B: It’s (). A: What weekday is it? B: Today is (). 
89,403,초4,YBM(최),2015,10,Is This Your Cap?,be 동사를 활용해 물건의 주인이 맞는지 묻고 답하기. ,"A: Is this your bag? B: Yes, it is. ",,"A: Is this your (item)? B: Yes, it is. A: Is (item) yours? B: No, it isn’t. "
90,403,초4,YBM(최),2015,11,Touch Your Feet,명령문을 활용해 특정 동작 수행 지시하기. ,Stand on one leg. ,,Jump in the air. Raise your hand. 
91,403,초4,YBM(최),2015,12,Do You Like Fishing?,do you like-? 을 활용해 취미 활동에 대해 긍정부정 의사 표현 연습하기. ,"A: Do you enjoy swimming? B: Yes, I do. / No, I don’t. I like baking. ",,"A: Do you like hiking? B: Yes, I do. / No, I don’t. I enjoy (). A: Are you into crafting? B: Yes, I am. / No, I’m not. I enjoy (). "
92,503,초5,YBM(김),2015,1,How’s It Going?,How’s it going?을 활용해 안부 묻고 답하기. ,How are you doing? — I'm doing well. ,,How have you been? — I've been doing well. How’s everything? — Everything is good. 
93,503,초5,YBM(김),2015,2,I’m in the Kitchen,의문사 Where를 활용해 사람의 위치 묻고 답하기. ,A: Where are you? B: I'm in the living room. ,,A: Where is he? B: He's in the () room. A: Where are they? B: They're in the () area. 
94,503,초5,YBM(김),2015,3,Whose Balloon Is This?,Whose의 소유격 의문사를 활용해 물건의 주인이 누구인지 묻고 답하기. ,A: Whose bag is this? B: It's Donna's. ,,A: To whom does this belong? B: It's ()'s. A: Whose item is this? B: Belongs to (). 
95,503,초5,YBM(김),2015,4,Let’s Go Camping,Let's 표현을 통해 제안하기. ,Let's go hiking. ,,Let's have a picnic. Let's visit the park. 
96,503,초5,YBM(김),2015,5,I Want an Airplane,want를 활용해 바라는 것 묻고 답하기. ,What would you like for your birthday? — I would like a car. ,,What do you wish to have for ()? — I would like (). What gift would you choose for ()? — I want (). 
97,503,초5,YBM(김),2015,6,What Does He Do?,직업 관련 질문에 대한 답변을 활용해 직업 묻고 답하기. ,A: What does she do? B: She's a teacher. ,,A: What is his job? B: He’s a (). A: What is her profession? B: She’s a (). 
98,503,초5,YBM(김),2015,7,What Time Do You Get Up?,질문 및 응답 문장을 활용해 하루의 일과에 대해 묻고 답하기. ,A: What time do you wake up? B: I wake up at 6:30. ,,A: What time do you go to bed? B: I go to bed at (). A: When do you have breakfast? B: I have breakfast at (). 
99,503,초5,YBM(김),2015,8,Where Are You From?,출신지를 묻고 답할 때 사용하는 표현을 학습하기. ,A: Where are you from? B: I'm from Japan. ,,A: Where do you come from? B: I come from (). A: Which country are you from? B: I'm from (). 
100,503,초5,YBM(김),2015,9,I Went to the Museum,과거시제 동사를 활용해 이전에 한 일 묻고 답하기. ,A: What did you do yesterday? B: I went to the park. ,,A: What were you up to yesterday? B: I visited the (place). A: How did you spend yesterday? B: I enjoyed (activity). 
101,503,초5,YBM(김),2015,10,What Does He Look Like?,"""look like""를 활용해 생김새 묻고 답하기. ",A: What does she look like? B: She has curly hair. ,,A: Could you describe her appearance? B: She has (). A: What kind of hair does he have? B: He has (). 
102,503,초5,YBM(김),2015,11,He’s Listening to Music,현재 진행형을 사용하여 누군가가 지금 무엇을 하고 있는지 묻고 답하기. ,A: What is he doing? B: He's reading a book. ,,A: What is she doing? B: She's ()ing. A: What is happening over there? B: He's ()ing. 
103,503,초5,YBM(김),2015,12,They’re Three Dollars,가격을 묻고 답하는 표현을 활용해 대화하기. ,A: How much is this shirt? B: It's eight dollars. ,,A: What's the price of this watch? B: It's () dollars. A: How many dollars is this item? B: It's (). 
104,503,초5,YBM(김),2015,13,Where Is the Gift Shop?,위치 표현을 사용해 물건의 위치 묻고 답하기. ,A: Where is the library? B: It's near the coffee shop. ,,A: Where can I find the ( )? B: It's located ( ) the ( ). A: Where is the ( )? B: It's ( ). 
105,503,초5,YBM(김),2015,14,What Do You Do in Your Free Time?,free time라는 표현을 활용해 여가 활동 묻고 답하기. ,A: What do you do for fun? B: I paint pictures. ,,A: What activities do you enjoy in your leisure time? B: I () for fun. A: What do you like to do when you're not working? B: I enjoy (). 
106,504,초5,YBM(최),2015,1,I’m from Mexico,Where are you from?에 대한 답변을 통해 출신 국가를 묻고 답하기. ,A: Where are you from? B: I'm from Japan. ,,A: What country are you from? B: I'm from (). A: Which place do you hail from? B: I come from (). 
107,504,초5,YBM(최),2015,2,What Are These?,'What are these?'을 활용해 여러 개의 물건이 무엇인지 묻고 답하기. ,A: What are these? B: They're books. ,,A: What are those? B: They're (). A: What are they called? B: They're (). 
108,504,초5,YBM(최),2015,3,Can I Take a Picture?,can를 사용하여 허락을 구하고 이에 대해 긍정 또는 부정으로 답하기. ,"A: Can I play with the puppy? B: Yes, you can. ",,"A: Could I try this candy? B: Sure, you can. A: May I read that book? B: Sorry, you can’t. "
109,504,초5,YBM(최),2015,4,Whose Shoes Are These?,Whose ()?를 활용해 물건의 주인이 누구인지 묻고 답하기. ,A: Whose bag is this? B: It's Mina's. ,,A: Who owns this bag? B: It's ()'s. A: To whom does this belong? B: It's ()'s. 
110,504,초5,YBM(최),2015,5,My Favorite Subject Is Music,favorite를 활용해 좋아하는 과목을 묻고 답하기. ,A: What's your favorite subject? B: My favorite subject is math. ,,A: Which subject do you like most? B: I prefer (). A: What's the subject you like best? B: My favorite is (). 
111,504,초5,YBM(최),2015,6,I Get Up at Five,What time ()를 활용해 상대방의 일과 시간에 대해 묻고 답하기. ,What time do you wake up? I wake up at 7. ,,When do you rise? I get up at (). When do you start your day? I begin my day at (). 
112,504,초5,YBM(최),2015,7,I Will Join a Book Club,미래 시제 will를 활용해 미래의 계획을 묻고 답하기. ,A: What will you do this weekend? B: I will visit my grandparents. ,,A: What are your plans for this afternoon? B: I will (). A: What do you aim to do tomorrow? B: I will (). 
113,504,초5,YBM(최),2015,8,I Went to the Beach,과거 시제를 활용해 과거에 한 일에 대해 묻고 답하기. ,A: What did you do during your vacation? B: I visited a zoo and saw animals. ,,A: What did you enjoy yesterday? B: I () and also (). A: Where did you go before? B: I went to () and ()ed there. 
114,504,초5,YBM(최),2015,9,Where Is the Ticket Office?,방향 안내 관련 표현을 활용해 길 묻고 답하기. ,A: Where is the City Library? B: Go straight and turn left. It's beside the park. ,,A: Where can I find ()? B: Go straight and then (). It's near (). A: How do I get to ()? B: Go down this way and then (). It's () from there. 
115,504,초5,YBM(최),2015,10,How Much Are These Gloves?,How much is ()를 활용해 물건의 가격을 묻고 답하기. ,A: How much is this book? B: It’s five dollars. ,,A: What’s the price of this item? B: It costs (). A: How much does this pen cost? B: It is (). 
116,504,초5,YBM(최),2015,11,What’s in the Bedroom?,This is ~를 활용하여 집 내부를 소개하기. ,This is the kitchen. ,,This is the bedroom. This is the balcony. 
117,504,초5,YBM(최),2015,12,I Want to Climb Hallasan,want to ()를 활용해 하고 싶은 일 묻고 답하기. ,A: What do you want to do? B: I want to visit the amusement park. ,,A: What do you wish to do? B: I want to (). A: What would you like to do? B: I want to (). 
118,504,초5,YBM(최),2015,13,What Season Do You Like?,"""do you like""를 활용해 상대방이 좋아하는 계절에 대해 묻고 답하기. ",A: Which season do you like? B: I enjoy autumn. ,,A: What is your favorite season? B: I love (). A: Which time of year do you enjoy most? B: I prefer (). 
119,603,초6,YBM(김),2015,1,What Grade Are You In?,What grade are you in? — I’m in the sixth grade를 통해 자신의 학년을 묻고 답하기. ,A: What grade are you in? B: I'm in third grade. ,,A: What year are you in? B: I am in () grade. A: Which grade are you in? B: I'm in () level. 
