,학년,출판사,교육과정,Lesson,Title,DESCRIPTION,KEY_EXPRESSION,KEY_EXPRESSION_KOR,SUB_EXPRESSION
47,중1,동아(윤),2015,4,"Small Things, Big Differences",과거 동사를 활용해 과거의 일을 묻고 답하기. ,What did you do yesterday? I studied for my test. ,어제 뭐 했어? 시험 공부했어. ,A: What were you up to ()? B: I (). A: How did you spend your ()? B: I (). 
48,중1,동아(윤),2015,5,Styles Around the World,What’s the weather like in ()?를 활용해 날씨 묻고 답하기. ,What’s the weather like in Seoul today? It’s cloudy and cool. ,오늘 서울 날씨가 어때? 구름이 많고 시원해. ,A: How’s the weather? B: It’s (). A: What kind of weather is it in ()? B: It’s (). 
49,중1,동아(윤),2015,6,People at Work,be interested in을 활용해 관심 묻고 답하기. ,What are you interested in? I’m interested in science. ,너는 어떤 것에 관심이 있어? 나는 과학에 관심이 있어. ,"A: What do you like to do? B: I like to (). A: Do you have a hobby? B: Yes, I enjoy (). "
50,중1,동아(윤),2015,7,Discover Korea,be going to ()를 활용해 계획이나 예정된 일 묻고 답하기. ,What are you going to do this weekend? I’m going to visit my grandparents. ,"이번 주말에 뭐 할 거야? 나는 할아버지, 할머니 댁에 갈 거야. ",A: What are you planning to do ()? B: I’m planning to (). A: What will you do ()? B: I’ll (). 
51,중1,동아(윤),2015,8,"Dream Together, Reach Higher",What do you think about ()?를 활용해 의견 묻고 답하기. ,What do you think about this book? I think it’s really interesting. ,이 책에 대해 어떻게 생각해? 나는 정말 재미있다고 생각해. ,A: Can you give me your opinion on/about ()? B: I think that (). A: What’s your opinion on/about ()? B: My opinion is that (). 
52,중2,동아(윤),2015,1,My Happy Everyday Life,usually와 free time을 활용하여 여가시간에 하는 활동 묻고 답하기. ,A: What do you usually do in your free time? B: I usually go for a walk. ,A: 너는 보통 여가 시간에 무엇을 하니? B: 나는 보통 산책을 해. ,A: What do you like to do in your free time? B: I like to (). A: How do you spend your free time? B: I spend it by (). 
53,중2,동아(윤),2015,2,Enjoying Local Culture,전치사를 활용해 장소의 위치를 묻고 답하기. ,A: Where is the nearest bookstore? B: The bookstore is next to the coffee shop. ,A: 가장 가까운 서점이 어디에 있나요? B: 그 서점은 커피숍 옆에 있어요. ,A: Can you tell me where the () is? B: It’s located (). A: Do you know the location of the ()? B: It’s (). 
54,중2,동아(윤),2015,3,Ideas for Saving the Earth,물건의 가격을 묻기. ,A: How much is this jacket? B: It’s $50. ,A: 이 재킷은 얼마인가요? B: 50달러입니다. ,A: What’s the price of ()? B: It costs (). A: Can you tell me how much () costs? B: It’s (). 
55,중2,동아(윤),2015,4,The Amazing World of Animals,look like와 색깔 및 크기 표현을 활용하여 외모 묘사하기. ,"A: What does the new car look like? B: It’s red, and it’s very sleek. ",A: 새 차는 어떻게 생겼나요? B: 빨간색이고 매우 세련됐어요. ,A: Can you describe how () looks? B: It’s () with (). A: What appearance does () have? B: It’s () and (). 
56,중2,동아(윤),2015,5,Living Healthily and Safely,What’s wrong?를 활용해 문제점이나 증상을 묻고 답하기. ,A: What’s wrong? B: I have a stomachache. ,A: 무슨 일이야? B: 배가 아파. ,"A: What’s the problem? B: I feel (). A: Are you feeling OK? B: No, I’m (). "
57,중2,동아(윤),2015,6,"Different People, Different Views","be planning/going to, be thinking of를 활용하여 계획 말하기. ",I’m planning to visit my grandparents this weekend. ,나는 이번 주말에 조부모님을 방문할 계획이야. ,I’m going to (). I’m thinking of (). 
58,중2,동아(윤),2015,7,Life in Space,Did you hear about ()?를 활용해 알고 있는지 묻기. ,"A: Did you hear about the new policy change? B: Yes, I did. / No, I didn’t. ","A: 새로운 정책 변화에 대해 들었어? B: 응, 들었어. / 아니, 못 들었어. ","A: Have you heard about ()? B: Yes, I have. / No, I haven’t. A: Do you know about ()? B: Yes, I do. / No, I don’t. "
59,중2,동아(윤),2015,8,Pride of Korea,to 부정사와 if를 활용하여 허가 여부 묻기. ,A: Is it OK to park here? B: Sure. Go ahead. / I’m afraid not. ,"A: 여기 주차해도 괜찮나요? B: 네, 괜찮아요. / 죄송하지만 안 됩니다. ","A: Is it OK if ()? B: Yes, you can. / No, you can’t. A: Would you mind ()? B: Of course. / Sorry, you can’t. "
60,중3,동아(윤),2015,1,Follow Your Dream,Have you (ever)를 활용해 경험 묻고 답하기. ,"A: Have you ever been to Japan? B: Yes, I have. / No, I haven’t. ","A: 일본에 가본 적 있나요? B: 네, 가봤어요. / 아니요, 안 가봤어요. ","A: Have you tried () before? B: Yes, I have. / No, I haven’t. A: Have you had any experience ()? B: Yes, I have. / No, I haven’t. "
61,중3,동아(윤),2015,2,Food for the Heart,What would you like to order?를 활용해 음식 주문하기. ,A: What would you like to order? B: I’d like to order a cheeseburger. ,A: 무엇을 주문하시겠어요? B: 치즈버거를 주문할게요. ,A: What can I get you? B: I’d like (). A: What do you want to eat? B: I want to eat (). 
62,중3,동아(윤),2015,3,Stories of English Words and Expressions,What does () mean?를 활용해 설명 요청하기. ,"A: What does ""sustainable"" mean? B: It means ""able to be maintained for a long time."" ","A: ""Sustainable""은 무슨 뜻인가요? B: ""오랫동안 유지될 수 있는""이라는 뜻이에요. ",A: Can you explain () to me? B: It refers to (). A: What’s the meaning of ()? B: It’s (). 
63,중3,동아(윤),2015,4,Be a Smart Spender,상점에서 물건의 교환을 요청한다. ,I’d like to exchange this shirt for a larger size. ,이 셔츠를 더 큰 사이즈로 교환하고 싶어요. ,I want to swap () for (). Can I trade () for ()? 
64,중3,동아(윤),2015,5,The Team Behind the Team,빈도부사를 활용해 빈도를 묻고 답하기. ,A: How often do you exercise? B: I exercise three times a week. ,A: 얼마나 자주 운동하세요? B: 저는 일주일에 세 번 운동해요. ,A: How frequently do you ()? B: I usually (). A: How many times do you ()? B: I () () times a week/month/year. 
65,중3,동아(윤),2015,6,Stories for All Time,"congratulations와 동명사, 위로 표현을 활용해 축하와 유감 표현하기. ",Congratulations on passing your exam! I’m sorry to hear that you’re not feeling well. ,시험에 합격한 것을 축하해! 몸이 안 좋다니 안타깝네요. ,Great job on (). I feel bad about (). 
66,중3,동아(윤),2015,7,Technology in Our Lives,Do you know how to ()?를 활용해 방법이나 절차 묻고 답하기. ,"A: Do you know how to bake a cake? B: Sure. First, mix the ingredients, then bake at 180°C. ",A: 케이크를 굽는 방법을 아세요? B: 네. 먼저 재료를 섞은 후 180°C에서 구우세요. ,"A: Can you explain how to ()? B: Of course! You need to (), and then (). A: Could you tell me the steps to ()? B: Yes. First (), and then (). "
67,중3,동아(윤),2015,8,The Joseon Dynasty Through Paintings,Which () do you prefer?를 활용해 선호 표현하기. ,"A: Which season do you prefer, summer or winter? B: I prefer winter. ",A: 여름과 겨울 중 어떤 계절을 더 좋아해? B: 나는 겨울을 더 좋아해. ,"A: Do you like () or () better? B: I like () better. A: Which is your favorite, () or ()? B: I’d choose (). "
68,중1,동아(윤),2022,1,Happy Together,How’s it going?와 같은 표현을 활용해 자신을 소개하며 안부를 묻고 답하기. ,"A: How’s it going? B: Pretty good. A: Hi, I’m Alex. Nice to meet you. B: Nice to meet you, too. I’m Sarah. ","A: 어떻게 지내? B: 잘 지내. A: 안녕, 나는 알렉스야. 만나서 반가워. B: 나도 만나서 반가워. 나는 사라야. ","A: What's up? B: Not much, thank you. A: Hello, I’m (). How are you? B: I’m (), thank you. "
69,중1,동아(윤),2022,2,"Eat, Play, and Live Well!",빈도부사를 활용해 빈도를 묻고 답하기. ,A: How often do you exercise? B: I exercise three times a week. ,A: 얼마나 자주 운동해? B: 나는 일주일에 세 번 운동해. ,"A: How frequently do you ()? B: I () (). A: Do you often ()? B: Yes, I () (). "
70,중1,동아(윤),2022,3,Let’s Be Positive,감정이나 상태 말하기. ,I got a new phone. I’m thrilled. ,나는 새 휴대폰을 샀어. 정말 신나! ,I just (). I’m so happy! I (). I feel amazing! I finally (). I’m relieved. I got (). I’m overjoyed! 
71,중1,동아(윤),2022,4,The Joy of Traveling,be going to ~ 를 활용해 계획 묻고 답하기. ,A: What are you going to do this weekend? B: I’m going to visit my grandparents. ,A: 너는 이번 주말에 무엇을 할 예정이야? B: 나는 조부모님을 방문할 거야. ,"A: Do you have any plans for ()? B: Yes, I’m going to (). A: What are you planning to ()? B: I am planning to (). "
72,중1,동아(윤),2022,5,Think like Sherlock Holmes!,조동사 may를 활용해 허락을 요청하고 답하기. ,"A: May I leave early? B: Yes, you may. B: No, you may not. ","A: 제가 일찍 가도 될까요? B: 네, 괜찮아요. B: 아니요, 안 됩니다. ","A: Could I ()? B: Sure, you can. / Sorry, you can’t. A: Can I ()? B: Yes, you can. / No, you can’t. "
73,중1,동아(윤),2022,6,"Good for the Earth, Good for Us",Can you ()?를 활용해 도움을 요청하고 이에 답하기. ,"A: Can you please help me with this? B: Sure. No problem. B: I’m sorry, but I can’t. ","A: 이거 도와줄 수 있어? B: 물론, 문제없어. B: 미안하지만 도와줄 수 없어. ","A: Could you ()? B: Of course, I can. / Sorry, I can’t. A: Would you mind ()? B: Of course, no problem. / I'm afraid, but I can't. "
74,중1,동아(윤),2022,7,Find Your Dream,be interested in을 활용해 관심사를 묻고 답하기. ,A: What are you interested in? B: I’m interested in photography. ,A: 너는 무엇에 관심이 있어? B: 나는 사진 촬영에 관심이 있어. ,"A: Do you enjoy ()? B: Yes, I like (). A: What do you like doing? B: I like (). "
75,중1,동아(윤),2022,8,Be Smart Online,think 동사를 활용해 의견을 묻고 답하기. ,A: I think it’s a great idea. What do you think? B: I think it’s interesting. ,A: 나는 이게 좋은 아이디어라고 생각해. 너는 어떻게 생각해? B: 나는 흥미롭다고 생각해. ,A: What do you think about ()? B: I think (). A: How do you feel about ()? B: I feel (). 
76,중1,동아(이),2015,1,An Exciting New World,like와 favorite을 활용해 좋아하는 것을 묻고 답하기. ,"Do you like pizza? Yes, I like cheese pizza. / No, I don't like spicy pizza. ","너 피자 좋아해? 응, 나는 치즈 피자를 좋아해. / 아니, 나는 매운 피자를 좋아하지 않아. ",A: What () do you like? B: I love (). A: What's your favorite ()? B: () is my favorite. 
77,중1,동아(이),2015,2,"Be Healthy, Be Happy!",다양한 의문문을 활용해 상태의 원인을 묻고 답하기. ,What’s wrong with your arm? ,네 팔 왜 그래? ,What happened? Why the long face? 
78,중1,동아(이),2015,3,How Do I Look?,형용사와 신체부위를 가리키는 어휘를 활용해 외모를 묘사하기. ,A: What does your brother look like? B: He is tall and strong. He has short black hair. ,A: 네 남동생은 어떻게 생겼어? B: 그는 키가 크고 튼튼해. 그는 짧은 검은 머리를 가지고 있어. ,A: Can you describe your friend? B: She is short and has curly hair. A: How does your teacher look? B: He is tall and wears glasses. 
79,중1,동아(이),2015,4,Catch the Sun,과거시제를 활용해 과거 사실을 말하기. ,What did you do last summer? I traveled to Japan. ,지난 여름에 뭐 했어? 나는 일본을 여행했어. ,A: When did you ()? B: I (). A: Where did you ()? B: I (). 
80,중1,동아(이),2015,5,Art for All,be going to ()를 활용해 계획을 말하기. ,What are you going to do this weekend? I’m going to visit my grandparents. ,"이번 주말에 뭐 할 거야? 나는 할아버지, 할머니 댁에 갈 거야. ","A: What are you planning to do ()? B: I’m planning to (). A: Do you have any plans for ()? B: Yes, I’ll (). "
81,중1,동아(이),2015,6,"Dream High, Fly High!",be interested in을 활용해 관심사를 말하기. ,What are you interested in? I’m interested in photography. ,너는 어떤 것에 관심이 있어? 나는 사진 촬영에 관심이 있어. ,"A: Do you enjoy ()? B: Yes, I like (). A: What do you like doing? B: I like (). "
82,중1,동아(이),2015,7,Money Doesn’t Grow on Trees,be looking for를 활용해 상점에서 찾는 물건을 말하기. ,"Can I help you? Yes, I’m looking for a new backpack. ","도와드릴까요? 네, 새 배낭을 찾고 있어요. ","A: Are you looking for something? B: Yes, do you sell ()? A: Do you need any help? B: Yes, I want to buy (). "
83,중1,동아(이),2015,8,The Way to Korea,think 동사를 활용해 의견을 말하기. ,What do you think about this movie? I think it’s really exciting. ,이 영화에 대해 어떻게 생각해? 나는 정말 재미있다고 생각해. ,A: How do you feel about ()? B: I feel (). A: What’s your opinion on ()? B: My opinion is that (). 
84,중2,동아(이),2015,1,Can We Talk?,What can I do to ()?를 활용해 조언 구하기. ,A: What can I do to improve my English? B: You can practice speaking every day. ,A: 영어 실력을 향상시키려면 어떻게 해야 할까? B: 매일 말하기 연습을 하면 돼. ,A: Do you have any advice for ()? B: I recommend (). A: How can I improve ()? B: Try (). 
85,중2,동아(이),2015,2,Close to You,I’m sure ()를 활용해 확신 표현하기. ,A: This answer must be correct. B: I’m sure it is. ,A: 이 답이 맞을 거야. B: 확실해. ,A: I studied a lot for this test. B: I’m confident that you’ll do well. A: He will come on time. B: I have no doubt that he will. 
86,중2,동아(이),2015,3,The Music Goes,Which () do you like best?를 활용해 선호 표현하기. ,A: Which sport do you like best? B: I like soccer best. ,A: 네가 가장 좋아하는 스포츠는 뭐야? B: 나는 축구를 가장 좋아해. ,A: What’s your favorite ()? B: My favorite is (). A: Do you prefer () or ()? B: I prefer (). 
87,중2,동아(이),2015,4,Go for It!,"often, usually를 활용해 여가 활동 말하기. ",A: What do you do in your free time? B: I often read books. ,A: 자유시간에 뭐 해? B: 나는 종종 책을 읽어. ,A: How do you spend your free time? B: I usually (). A: What’s your favorite leisure activity? B: It’s (). 
88,중2,동아(이),2015,5,"Come One, Come",명령문을 활용하여 길 안내하기. ,A: Where can I find the nearest bus stop? B: Go straight and turn right at the corner. ,A: 가장 가까운 버스 정류장은 어디에 있어요? B: 직진하다가 모퉁이에서 오른쪽으로 도세요. ,A: Do you know where ()? B: Take () and you’ll see it on your (). A: What’s the best way to get to ()? B: Follow the road and (). 
89,중2,동아(이),2015,6,Into Outer Space,알고 있는지 묻고 답하기: 의문문 do you know ()를 활용해 알고 있는지 묻고 답하기. ,"A: Do you know where the library is? B: Yes, I do. It is next to the school. ","A: 도서관이 어디 있는지 알아? B: 응, 학교 옆에 있어. ","A: Do you know about ()? B: Yes, I do. It is (). A: Are you familiar with () () is? B: Yes, I am. It is (). "
90,중2,동아(이),2015,7,Can I Trust It?,recommend를 활용하여 추천 요청하기. ,A: Can you recommend a good restaurant? B: How about the new Italian place downtown? ,A: 좋은 식당 추천해 줄 수 있어? B: 시내에 새로 생긴 이탈리안 레스토랑은 어때? ,A: What would you recommend? B: I recommend (). A: Can you suggest ()? B: Try (). 
