학년,출판사,교육과정,단원 번호,단원 명,의사소통 기능,prompt 수정 사항,어휘,문화,소재,Function Material 1,Function Material 2,Function Material 3,Function Material 4,Phonics
초3,YBM(김),2022 개정 교육과정,11,How’s the Weather?,"• 날씨 묻고 답하기 How’s the weather? — It’s sunny.
• 제안하는 말 하기 Let’s go outside.",,"cloudy, cold, go, hot, let, outside, raining, see, snowing, sunny, we, weather, windy",여러 나라의 12월 날씨,"일반교양, 사회생활, 문화","[DESCRIPTION]

날씨를 묻고 표현을 활용하여 답하기.

[KEY_EXPRESSION]

A: How’s the weather?
B: It's rainy.

[SUB_EXPRESSION_1]

A: What’s the weather like?
B: It's ().

[SUB_EXPRESSION_2]

A: How does the sky look today?
B: It’s ().","[DESCRIPTION]

Let’s ()를 활용해 제안하는 말 하기.

[KEY_EXPRESSION]

Let's eat some snacks.

[SUB_EXPRESSION_1]

Let's play a game.

[SUB_EXPRESSION_2]

Let's read a book.",,,
초3,YBM(최),2022 개정 교육과정,1,"Hello, ABC!","• 만날 때 인사하기: Hi. / Hello.
• 자기소개하기: I’m Leo. / My name is Hana.
• 감사 표현하기: Thank you.
• 헤어질 때 인사하기: Goodbye.",,"알파벳,I, am, goodbye, hello, hi, is, name, thank, you",N/A,"개인생활, 사회생활","[DESCRIPTION]

만났을 때 사용하는 간단한 인사말 활용하기.

[KEY_EXPRESSION]

Good day!

[SUB_EXPRESSION_1]

How are you?

[SUB_EXPRESSION_2]

Hi there!","[DESCRIPTION]

자기 자신을 소개할 때 활용할 수 있는 간단한 표현 연습하기.

[KEY_EXPRESSION]

Hello, I'm Jina. What's your name?

[SUB_EXPRESSION_1]

Hi, I'm ().

[SUB_EXPRESSION_2]

My name is ().","[DESCRIPTION]

일상 대화에서 감사 표현하기.

[KEY_EXPRESSION]

Thank you for helping me.

[SUB_EXPRESSION_1]

Thanks for your assistance.

[SUB_EXPRESSION_2]

I appreciate your support.","[DESCRIPTION]

헤어질 때 적절한 인사표현을 활용해 작별 인사하기.

[KEY_EXPRESSION]

Goodbye.

[SUB_EXPRESSION_1]

See you later.

[SUB_EXPRESSION_2]

Take care.",
초3,YBM(최),2022 개정 교육과정,2,What’s This?,"• 무엇인지 묻고 답하기: What’s this? - It’s a ball.
• 사물 묘사하기: It’s big.",,"bag, ball, car, chair, clock, cup, doll, big, small",세계 여러 나라의 전통 놀잇감,"개인생활, 사회생활","[DESCRIPTION]

What’s ()? 패턴을 활용해 무엇인지 묻고 답하기.

[KEY_EXPRESSION]

A: What’s this?
B: It’s a toy.

[SUB_EXPRESSION_1]

A: What’s that?
B: It’s a ().

[SUB_EXPRESSION_2]

A: What’s this called?
B: It’s a ().","[DESCRIPTION]

간단한 형용사를 활용해 사물 묘사하기.

[KEY_EXPRESSION]

It is large.

[SUB_EXPRESSION_1]

It is small.

[SUB_EXPRESSION_2]

It is new.",,,
초3,YBM(최),2022 개정 교육과정,3,"Sit Down, Please","• 행동 지시하고 답하기: Sit down, please. - Okay.
• 금지하기: Don’t run, please.",,"close, come, look, open, run, sit, stand",세계 여러 나라의 몸짓 언어,"학교생활, 민주시민 (공중도덕)","[DESCRIPTION]

명령문을 활용해 상대방에게 요청하고 응답하기.

[KEY_EXPRESSION]

A: Sit down, please.
B: Sure.

[SUB_EXPRESSION_1]

A: Come here, please.
B: Alright.

[SUB_EXPRESSION_2]

A: Stand up, please.
B: Okay.","[DESCRIPTION]

Don’t ()를 활용해 금지하기.

[KEY_EXPRESSION]

Please don't jump, okay?

[SUB_EXPRESSION_1]

Please don't touch that, alright?

[SUB_EXPRESSION_2]

Don't make noise,please.",,,
초3,YBM(최),2022 개정 교육과정,4,How Many Cows?,"• 수 묻고 답하기: How many cows? - Three cows.
• 주의 끌기: Look!",,"cat, cow, dog, duck, lion, monkey, pig, rabbit, zebra, one, two, three, four, five",세계 여러 나라에서 사랑받는 동물,"개인생활, 학교생활","[DESCRIPTION]

How many ()를 활용해 수 묻고 답하기.

[KEY_EXPRESSION]

A: How many apples do you have?
B: I have five apples.

[SUB_EXPRESSION_1]

A: How many pencils are there?
B: There are () pencils.

[SUB_EXPRESSION_2]

A: How many cars do you see?
B: I see () cars.","[DESCRIPTION]

상대방의 주의를 끌기 위해 간단한 표현 활용하기.

[KEY_EXPRESSION]

Look!

[SUB_EXPRESSION_1]

Hey, check this out!

[SUB_EXPRESSION_2]

Wow! Come on and see this!",,,
초3,YBM(최),2022 개정 교육과정,5,Do You Like Apples?,"• 좋아하는 것 묻고 답하기: Do you like apples? - Yes, I do. / No, I don’t.
• 좋아하거나 싫어하는 것 표현하기: I like oranges.","[DESCRIPTION]

like [something]를 활용하여 좋아하거나 싫어하는 것에 대해 묘사하기","apple, banana, fig, grapes, orange, tomato, bread, ice cream, pizza, salad, soup",세계 여러 나라의 간식,"개인생활, 학교생활, 문화","[DESCRIPTION]

Do you like ()?를 활용해 좋아하는 것 묻고 답하기.

[KEY_EXPRESSION]

A: Do you like strawberries?
B: Yes, I do.

[SUB_EXPRESSION_1]

A: Do you enjoy eating ()?
B: Yes, I do.

[SUB_EXPRESSION_2]

A: Do you find () enjoyable?
B: No, I don't.","[DESCRIPTION]

like를 활용해 좋아하거나 싫어하는 것 표현하기.

[KEY_EXPRESSION]

I enjoy apples.

[SUB_EXPRESSION_1]

I love ().

[SUB_EXPRESSION_2]

I don't like ().",,,
초3,YBM(최),2022 개정 교육과정,6,I Can Jump,"• 할 수 있는지 묻고 답하기: Can you jump? - Yes, I can.
• 격려하기: You can do it.",,"catch, climb, dance, fly, jump, kick, ski, slide, swim",세계 여러 나라의 대표 운동,"개인생활, 문화 (스포츠), 일반교양 (생활 안전)","[DESCRIPTION]

Can you ()? 을 활용해 할 수 있는지 묻고 답하기.

[KEY_EXPRESSION]

A: Can you run fast?
B: Yes, I can.

[SUB_EXPRESSION_1]

A: Are you able to ()?
B: No, I cannot.

[SUB_EXPRESSION_2]

A: Do you know how to ()?
B: Yes, I do.","[DESCRIPTION]

응원의 표현을 활용해 격려하기.

[KEY_EXPRESSION]

Believe in yourself.

[SUB_EXPRESSION_1]

Keep going, you can achieve ().

[SUB_EXPRESSION_2]

Don't give up, you're capable of ().",,,
초3,YBM(최),2022 개정 교육과정,7,I Have a Pencil,"• 물건을 가지고 있는지 묻고 답하기: Do you have a pencil? - Yes, I do. / No, I don’t.
• 물건을 가지고 있는지 표현하기: I (don’t) have a pencil.",,"crayon, eraser, glue stick, notebook, pencil, pencil case, ruler, scissors",지구를 위한 작은 실천! 업사이클링,"학교생활, 생태전환","[DESCRIPTION]

Do you ()를 활용해 물건을 가지고 있는지 묻고 답하기.

[KEY_EXPRESSION]

A: Do you have a marker?
B: No, I don't.

[SUB_EXPRESSION_1]

A: Do you own a ()?
B: Yes, I do.

[SUB_EXPRESSION_2]

A: Do you possess a ()?
B: No, I don’t.","[DESCRIPTION]

have를 사용해 물건을 가지고 있는지 표현하기.

[KEY_EXPRESSION]

A: Do you have a bag?
B: Yes, I have a bag.

[SUB_EXPRESSION_1]

A: Do you own a ()?
B: Yes, I have a ().

[SUB_EXPRESSION_2]

A: Have you got a ()?
B: No, I don’t have a ().",,,
초3,YBM(최),2022 개정 교육과정,8,I’m Happy,"• 감정이나 상태 표현하기: I’m happy.
• 나이 묻고 답하기: How old are you? - I’m ten years old.",,"angry, happy, hungry, sad, tired, six, seven, eight, nine, ten, birthday",세계 여러 나라의 생일 축하 문화,"개인생활 (생일), 학교생활, 사회생활","[DESCRIPTION]

I am () 표현을 활용해 감정이나 상태 표현하기.

[KEY_EXPRESSION]

I'm joyful.

[SUB_EXPRESSION_1]

I'm content.

[SUB_EXPRESSION_2]

I'm thrilled.","[DESCRIPTION]

How old are you?'를 활용해 상대방의 나이를 묻고 답하기.

[KEY_EXPRESSION]

A: How old are you?
B: I'm six years old.

[SUB_EXPRESSION_1]

A: What's your age?
B: I'm () years old.

[SUB_EXPRESSION_2]

A: Can you tell me your age?
B: I'm () years old.",,,
초3,YBM(최),2022 개정 교육과정,9,What Color Is It?,"• 색깔 묻고 답하기: What color is it? - It’s red.
• 동의하기: That’s right.",,"blue, brown, green, orange, pink, purple, red, yellow, white, color",아름다운 색깔의 자연환경,"학교생활, 일반교양, 생태전환","[DESCRIPTION]

What color is ()?을 통해 색깔 묻고 답하기.

[KEY_EXPRESSION]

A: What color is the car?
B: It is blue.

[SUB_EXPRESSION_1]

A: What is its color?
B: It is ().

[SUB_EXPRESSION_2]

A: Can you tell me the color?
B: It is ().","[DESCRIPTION]

상대방의 의견이나 말에 동의하기.

[KEY_EXPRESSION]

Absolutely correct.

[SUB_EXPRESSION_1]

Exactly.

[SUB_EXPRESSION_2]

That's accurate.",,,
초3,YBM(최),2022 개정 교육과정,10,How’s the Weather?,"• 날씨 묻고 답하기: How’s the weather? - It’s raining.
• 제안하고 답하기: Let’s go outside. - Okay.",,"cloudy, cold, hot, raining, snowing, sunny, windy, hat, snowman, weather",세계 여러 나라의 모자,"학교생활, 디지털·인공지능","[DESCRIPTION]

날씨를 묻고 답하기 위한 How's ()? 표현을 활용.

[KEY_EXPRESSION]

A: How’s the weather?
B: It’s sunny.

[SUB_EXPRESSION_1]

A: What's the weather like?
B: It’s ().

[SUB_EXPRESSION_2]

A: How is it outside?
B: It's ().","[DESCRIPTION]

'Let's ()'를 활용해 활동을 제안하고 답하기.

[KEY_EXPRESSION]

A: Let's play together.
B: Sure.

[SUB_EXPRESSION_1]

A: Let's go for a walk.
B: Okay.

[SUB_EXPRESSION_2]

A: Let's sing a song.
B: Great idea.",,,
초3,YBM(김),2015 개정 교육과정,1,"Hello, I’m Tibo","• 만날 때 인사하기: Hello!
• 소개하고 이에 답하기: I’m Tibo. — Nice to meet you.
• 헤어질 때 인사하기: Goodbye.",,"apple, be, book, goodbye, hello, I, meet, nice, no, to, too, you (외래어) cup",여러 나라의 인사법,"학교생활, 개인 생활, 가정생활","[DESCRIPTION]

만날 때 사용하는 기본적인 인사 표현 익히기.

[KEY_EXPRESSION]

Hello there!

[SUB_EXPRESSION_1]

Hi!

[SUB_EXPRESSION_2]

Greetings!","[DESCRIPTION]

간단한 자기소개 및 이에 대한 답례 표현 익히기.

[KEY_EXPRESSION]

Hi, I'm Alex. — Pleased to meet you.

[SUB_EXPRESSION_1]

Hi, my name is (). — It's nice to meet you.

[SUB_EXPRESSION_2]

Hello, I am (). — How do you do?","[DESCRIPTION]

헤어질 때 사용하는 간단한 인사 표현 배우기.

[KEY_EXPRESSION]

Goodbye!

[SUB_EXPRESSION_1]

See you!

[SUB_EXPRESSION_2]

Take care!",,
초3,YBM(김),2015 개정 교육과정,2,What’s This?,"• 무엇인지 묻고 답하기: What’s this / that? — It’s a pencil.
• 사물의 크기 묘사하기: It’s big.",,"a, big, doll, egg, it, notebook, pencil, small, that, this, what (외래어) bag, camera, cheese, fork",여러 나라의 전통 물건,"심미적 심성 및 상상력 확장, 여가 선용, 사회생활과 대인 관계","[DESCRIPTION]

What’s ()?를 활용해 사물이나 대상을 묻고 답하기.

[KEY_EXPRESSION]

A: What's this?
B: It's a book.

[SUB_EXPRESSION_1]

A: What's that?
B: It's a ()

[SUB_EXPRESSION_2]

A: What is it?
B: It's a ()","[DESCRIPTION]

사물의 크기를 나타내는 표현으로 It's ()를 활용해 크기 묘사하기.

[KEY_EXPRESSION]

It’s large.

[SUB_EXPRESSION_1]

It’s massive.

[SUB_EXPRESSION_2]

It’s enormous.",,,
초3,YBM(김),2015 개정 교육과정,3,"Sit Down, Please","• 요청하고 이에 답하기: Open the door, please. — Okay.
• 칭찬하기: Great!",,"close, door, down, grape, great, ice, jump, open, please, sit, stand, the, up (외래어) cream, okay","마음을 움직이는 마법의 말, ‘please’","창의력, 상상력 확장","[DESCRIPTION]

please 를 활용해 상대방에게 요청하고 이에 응답하기.

[KEY_EXPRESSION]

A: Close the window, please.
B: Sure.

[SUB_EXPRESSION_1]

A: Pass the book, please.
B: Certainly.

[SUB_EXPRESSION_2]

A: Turn on the light, please.
B: Of course.","[DESCRIPTION]

간단한 표현을 활용해 칭찬이나 긍정적인 반응하기.

[KEY_EXPRESSION]

Fantastic!

[SUB_EXPRESSION_1]

Amazing!

[SUB_EXPRESSION_2]

Wonderful!",,,
초3,YBM(김),2015 개정 교육과정,4,Do You Like Pizza?,"• 좋아하거나 싫어하는 음식 묻고 답하기: Do you like pizza? — Yes, I do. / No, I don’t.
• 좋아하거나 싫어하는 음식 표현하기: I like salad. / I don’t like salad.",,"banana, bread, cookie, do, kiwi, like, mom, not, yes (외래어) lemon, pizza, salad",여러 나라의 대표적인 과일,"개인 생활, 가정생활과 의식주, 건강","[DESCRIPTION]

Do you like ()?를 활용해 좋아하거나 싫어하는 음식 묻고 답하기.

[KEY_EXPRESSION]

A: Do you like ice cream?
B: Yes, I do. / No, I don’t.

[SUB_EXPRESSION_1]

A: Do you enjoy ()?
B: Yes, I do. / No, I don’t.

[SUB_EXPRESSION_2]

A: Are you fond of ()?
B: Yes, I am. / No, I’m not.","[DESCRIPTION]

like를 활용해 좋아하거나 싫어하는 음식 표현하기.

[KEY_EXPRESSION]

I enjoy fruits.

[SUB_EXPRESSION_1]

I like ().

[SUB_EXPRESSION_2]

I don’t enjoy ().",,,
초3,YBM(김),2015 개정 교육과정,5,How Are You?,"• 안부 묻고 답하기: How are you? — I’m good.
• 때에 맞는 인사하기: Good morning.",,"afternoon, good, how, make, morning, queen, red, they, tomato (외래어) coat, orange, shirt",때에 따라 달라지는 영어 인사말,"학교생활과 교우 관계, 사회생활과 대인 관계, 예절","[DESCRIPTION]

인사말을 통해 안부를 묻고 답하기.

[KEY_EXPRESSION]

A: How are you?
B: I'm doing well.

[SUB_EXPRESSION_1]

A: How have you been?
B: I'm feeling good.

[SUB_EXPRESSION_2]

A: How's it going?
B: I'm feeling fine.","[DESCRIPTION]

하루의 시간대에 맞는 인사하기.

[KEY_EXPRESSION]

Good morning!

[SUB_EXPRESSION_1]

Hello!

[SUB_EXPRESSION_2]

Hi there!",,,
초3,YBM(김),2015 개정 교육과정,6,Can You Swim?,"• 할 수 있는 것 묻고 답하기: Can you swim? — Yes, I can. / No, I can’t.
• 할 수 있는 것과 없는 것 표현하기: I can swim. / I can’t swim.",,"can, dance, fly, hurry, sing, skate, ski, swim, umbrella (외래어) violin",여러 나라의 여가 활동,"취미, 오락, 여행, 건강, 운동 등 여가 선용","[DESCRIPTION]

가능 여부를 묻고 답할 때 'Can you ()?' 구문을 활용하기.

[KEY_EXPRESSION]

A: Can you ride a bicycle?
B: Yes, I can.

[SUB_EXPRESSION_1]

A: Are you able to (action)?
B: Yes, I can.

[SUB_EXPRESSION_2]

A: Do you know how to (verb)?
B: No, I can’t.","[DESCRIPTION]

can/can't 표현을 통해 능력 여부를 나타내기.

[KEY_EXPRESSION]

A: Can you cook?
B: Yes, I can.

[SUB_EXPRESSION_1]

A: Are you able to ()?
B: Absolutely, I can do that.

[SUB_EXPRESSION_2]

A: Do you know how to ()?
B: Indeed, I know how.",,,
초3,YBM(김),2015 개정 교육과정,7,How Many Lions?,"• 동물의 수 묻고 답하기: How many lions? — Four lions.
• 주의 끌기: Look!",,"car, cat, dog, kangaroo, lion, look, many, one, panda, pig, walk, yellow, zebra <two, three, four, five, six>",여러 나라를 대표하는 동물,"교우 관계, 여가 선용, 동식물 등 자연 현상","[DESCRIPTION]

How many ()?를 통해 동물의 수 묻고 답하기.

[KEY_EXPRESSION]

A: How many cats are there?
B: Three cats.

[SUB_EXPRESSION_1]

A: How many dogs?
B: Four dogs.

[SUB_EXPRESSION_2]

A: How many birds?
B: Two birds.","[DESCRIPTION]

사용자의 주의를 끌 때 사용할 표현 활용하기.

[KEY_EXPRESSION]

Look over there!

[SUB_EXPRESSION_1]

Look at that!

[SUB_EXPRESSION_2]

Take a look!",,,
초3,YBM(김),2015 개정 교육과정,8,What Color Is It?,"• 색깔 묻고 답하기: What color is it? — It’s red.
• 감사하고 이에 답하기: Thank you. — You’re welcome.",,"black, blue, color, green, now, orange, thank, welcome",여러 나라 축구 대표 팀 유니폼의 대표 색깔,"학교생활과 교우 관계, 예술 분야의 학문적 소양, 여가 선용","[DESCRIPTION]

What color is ()?을 통해 색깔 묻고 답하기.

[KEY_EXPRESSION]

A: What color is the car?
B: It is blue.

[SUB_EXPRESSION_1]

A: What is its color?
B: It is ().

[SUB_EXPRESSION_2]

A: Can you tell me the color?
B: It is ().","[DESCRIPTION]

감사의 표현을 활용하고 답하기.

[KEY_EXPRESSION]

Thank you.

[SUB_EXPRESSION_1]

Thanks!

[SUB_EXPRESSION_2]

You're welcome!",,,
초3,YBM(김),2015 개정 교육과정,9,Let’s Jump,"• 제안하고 이에 답하기: Let’s run. — Okay. / Sorry, I can’t.
• 기원하기: Have a good time!",,"go, have, help, let, run, sorry, time, together, we",세계의 명화 속 동작들,"배려, 봉사, 책임감, 취미, 오락, 여행 등 여가선용","[DESCRIPTION]

Let's ()를 활용해 제안하고 이에 답하기.

[KEY_EXPRESSION]

A: Let’s eat lunch.
B: Sure.

[SUB_EXPRESSION_1]

A: Let’s go fishing.
B: Sorry, I can’t.

[SUB_EXPRESSION_2]

A: Let’s play a game.
B: Alright.","[DESCRIPTION]

상대방의 즐거움을 바라는 인사를 활용해 기원하기.

[KEY_EXPRESSION]

Enjoy your day!

[SUB_EXPRESSION_1]

Wishing you fun!

[SUB_EXPRESSION_2]

Make it a great time!",,,
