,제목,출판사,교육과정,Lesson,Title,DESCRIPTION,KEY_EXPRESSION,KEY_EXPRESSION_KOR,SUB_EXPRESSION
42,영어,YBM(박),2015,1,Dream It and Achieve It,be interested in ()를 활용해 관심을 표현하기. ,A: What do you do in your free time? B: I’m interested in dancing. ,A: 너는 자유 시간에 뭐 해? B: 나는 춤추는 것에 관심이 있어. ,"A: Are you interested in ()? B: Yes, I enjoy it a lot! A: I’m interested in () because it’s fun. B: That sounds great! "
43,영어,YBM(박),2015,2,Color Your Language,What do you mean by ()?를 활용해 설명을 요청하기. ,A: I think this book is deep. B: What do you mean by that? ,A: 나는 이 책이 깊이가 있다고 생각해. B: 그게 무슨 뜻이야? ,"A: What do you mean by ()? B: I mean (). A: Can you explain what you mean by ()? B: Sure, I was saying that (). "
44,영어,YBM(박),2015,3,Enjoy the Tasty World,Would you like to ()?를 활용해 음식을 권하기. ,A: This cake is delicious! B: Would you like to try some? ,A: 이 케이크 맛있어! B: 좀 먹어볼래? ,"A: Would you like to taste ()? B: Sure, I’d love to! A: Do you want to try ()? B: Yes, please! "
45,영어,YBM(박),2015,4,Preparing for Weather,It says ()를 활용해 정보를 보고하기. ,A: Should we bring an umbrella? B: It says we can expect heavy rain today. ,A: 우산 가져가야 할까? B: 오늘 폭우가 올 거라고 해. ,A: It says () on the news. B: That’s useful information! A: The report says (). B: I’ll keep that in mind. 
46,영어,YBM(박),2015,5,The Joy of Appreciating Art,be looking forward to ()를 활용해 기대를 표현하기. ,A: The concert is next weekend! B: I’ll be looking forward to seeing it. ,A: 콘서트가 다음 주말이야! B: 나는 그걸 보는 게 기대돼. ,"A: I’m looking forward to (). B: Me too! A: Are you looking forward to ()? B: Yes, I can’t wait! "
47,영어,YBM(박),2015,6,Traveling for Volunteer Work,be thinking of ()를 활용해 의도를 표현하기. ,A: What are your plans for summer vacation? B: I’m thinking of volunteering to do educational work. ,A: 여름 방학에 무슨 계획 있어? B: 나는 교육 봉사를 할까 생각 중이야. ,"A: I’m thinking of () next month. B: That sounds great! A: Are you thinking of ()? B: Yes, I might do that. "
48,영어,YBM(박),2015,7,Bringing Creativity into Our Lives,be not satisfied with ()를 활용해 불만족을 표현하기. ,A: How do you feel about these shoes? B: I’m not satisfied with them. ,A: 이 신발들 어때? B: 나는 만족스럽지 않아. ,A: I’m not happy with (). B: Me neither. A: I don’t like (). B: I feel the same way. 
49,영어,YBM(박),2015,8,"Green Life, Green Earth",be worried that ()를 활용해 걱정을 표현하기. ,A: I think we use too much electricity. B: I’m worried that we waste electricity at home. ,A: 우리 전기를 너무 많이 쓰는 것 같아. B: 나는 우리가 집에서 전기를 낭비하는 게 걱정돼. ,A: I’m worried that (). B: Me too. A: I feel anxious about (). B: I understand. 
50,영어,YBM(박),2015,9,What Makes Sports More Exciting,Do you know ()?를 활용해 알고 있는지 묻기. ,"A: Do you know what the most popular sport in India is? B: Yes, it’s cricket! ","A: 인도에서 가장 인기 있는 스포츠가 뭔지 알아? B: 응, 크리켓이야! ","A: Do you know about ()? B: No, tell me! A: Have you heard of ()? B: Yes, I have! "
51,영어,YBM(박),2015,10,Feel What Others Feel,다양한 표현을 활용해 유감을 표현하기. ,A: My pet is sick. B: I’m sorry to hear that. ,"A: 내 반려동물이 아파. B: 안됐다, 걱정되겠다. ","A: That’s too bad. B: Yeah, I feel really sad. A: I feel sorry about (). B: Thanks, I appreciate it. "
52,영어,YBM(한),2015,1,"A Fresh New
 Start",be looking forward to ()를 활용해 희망이나 기대를 표현하기. ,A: Are you excited about next week? B: I’m looking forward to the sports day. ,A: 다음 주 기대돼? B: 나는 운동회가 기대돼. ,"A: I’m looking forward to (). B: Me too! A: Are you looking forward to ()? B: Yes, I can’t wait! "
53,영어,YBM(한),2015,2,"Working
 Together",Do you think (that) ()?를 활용해 가능성을 표현하기. ,"A: Do you think animals can predict an earthquake? B: I’m not sure, but some people believe so. ","A: 동물들이 지진을 예측할 수 있다고 생각해? B: 잘 모르겠지만, 몇몇 사람들은 그렇게 믿어. ",A: Do you think (that) () will happen? B: Maybe. A: Is it possible that ()? B: I think so. 
54,영어,YBM(한),2015,3,"Eat Right,
 Be Healthy",prefer A to B를 활용해 선호를 표현하기. ,A: Do you like soda? B: I prefer water to soda. ,A: 너는 탄산음료 좋아해? B: 나는 탄산음료보다 물을 더 좋아해. ,A: I prefer () to (). B: That’s a healthy choice! A: I’d rather () than (). B: I understand why. 
55,영어,YBM(한),2015,4,"Invention for
 the Rainforests",I wonder ()를 활용해 궁금증을 표현하기. ,A: What can I make with this? B: I wonder what I can make with it. ,A: 이걸로 뭘 만들 수 있을까? B: 나는 이걸로 뭘 만들 수 있을지 궁금해. ,A: I wonder how (). B: That’s interesting! A: I want to know more about (). B: Me too! 
56,영어,YBM(한),2015,5,"How to Win
 Over Someone's
 Mind",It’s important to ()를 활용해 강조하기. ,A: You look tired these days. B: It’s important not to be stressed out. ,A: 요즘 피곤해 보여. B: 스트레스받지 않는 게 중요해. ,A: It’s important to (). B: I totally agree. A: We should remember that (). B: That’s true. 
57,영어,YBM(한),2015,6,"The Most
 Efficient Job in
 the World",Have you heard about ()?를 활용해 알고 있는지 묻기. ,"A: Have you heard about the honey hunters in Nepal? B: No, what is it about? ","A: 네팔의 꿀 사냥꾼들에 대해 들어본 적 있어? B: 아니, 그게 뭐야? ","A: Have you heard about ()? B: Yes, I have! A: Do you know anything about ()? B: No, tell me more! "
58,영어,YBM(한),2015,7,"Amazing
 Architecture",What comes to mind when you think of ()?를 활용해 떠오르는 것 묻기. ,A: What comes to mind when you think of New York City? B: I think of the Statue of Liberty. ,A: 뉴욕 하면 뭐가 떠올라? B: 자유의 여신상이 떠올라. ,A: What do you think of when you hear ()? B: I imagine (). A: What first comes to mind when you think of ()? B: Probably (). 
59,영어,YBM(한),2015,8," Living with
 Robots",다양한 표현을 활용해 놀람을 표현하기. ,A: They finished the project in one day! B: I can’t believe it. ,A: 그들이 하루 만에 프로젝트를 끝냈어! B: 믿을 수가 없어. ,"A: That’s unbelievable! B: I know, right? A: No way! B: It’s true! "
60,영어Ⅰ,YBM(박),2015,1,"Healthy Living, Happy Life",should ()를 활용해 충고하기. ,A: I don’t feel like doing my homework. B: You should do your homework. ,A: 숙제하고 싶은 기분이 아니야. B: 너는 숙제를 해야 해. ,A: You should () to improve. B: That’s true. A: You’d better (). B: I’ll think about it. 
61,영어Ⅰ,YBM(박),2015,2,Origins of Everyday Things,I wonder ()를 활용해 궁금증을 표현하기. ,A: Chess is a very old game. B: I wonder where chess was first played. ,A: 체스는 아주 오래된 게임이야. B: 나는 체스가 처음 어디서 시작되었는지 궁금해. ,A: I wonder why (). B: That’s a good question. A: I’d like to know more about (). B: Let’s look it up! 
62,영어Ⅰ,YBM(박),2015,3,Advertising in Your Life,Don’t you agree?를 활용해 동의 여부 묻기. ,A: This place is so beautiful. B: Don’t you agree? ,A: 이곳 정말 아름답지 않아? B: 너도 그렇게 생각하지 않아? ,"A: Don’t you think ()? B: Yes, I do. A: Would you agree that ()? B: Absolutely. "
63,영어Ⅰ,YBM(박),2015,4,Becoming Active as Consumers and Sellers,I heard that ()를 활용해 알고 있는 정보를 표현하기. ,A: Have you heard about online shopping trends? B: I heard that group buying is popular nowadays. ,A: 온라인 쇼핑 트렌드에 대해 들어봤어? B: 나는 요즘 공동구매가 인기라고 들었어. ,A: I heard that (). B: That’s interesting. A: I read that (). B: Really? That’s cool. 
64,영어Ⅰ,YBM(박),2015,5,Cultures Around the World,Do you have an interest in ()?를 활용해 관심 여부 묻기. ,"A: Do you have an interest in traditional Korean culture? B: Yes, I love learning about it. ","A: 너는 전통 한국 문화에 관심이 있어? B: 응, 배우는 걸 좋아해. ","A: Are you interested in ()? B: Yes, I am! A: Do you like learning about ()? B: A little bit. "
65,영어Ⅰ,YBM(박),2015,6,The Future of Space Exploration,Is it likely that ()?를 활용해 가능성을 묻기. ,A: Will we ever see Earth from another planet? B: Is it likely that we can look at Earth from there? ,A: 우리가 다른 행성에서 지구를 볼 수 있을까? B: 우리가 거기서 지구를 볼 가능성이 있을까? ,A: Do you think it’s likely that ()? B: Maybe. A: What are the chances that ()? B: Hard to say. 
66,영어Ⅰ,YBM(한),2015,1,Learn from Failures,I’m afraid that ()를 활용해 걱정이나 두려움을 표현하기. ,A: Are you ready for the test? B: I’m afraid that I might make mistakes. ,A: 시험 볼 준비됐어? B: 나는 실수할까 봐 걱정돼. ,A: I’m afraid that (). B: Don’t worry too much. A: I’m nervous about (). B: You’ll be fine. 
67,영어Ⅰ,YBM(한),2015,2, Technology and Life,What do you mean by ()?를 활용해 설명을 요청하기. ,A: I think this idea is too vague. B: What do you mean by that? ,A: 나는 이 아이디어가 너무 모호하다고 생각해. B: 그게 무슨 뜻이야? ,"A: What do you mean by ()? B: I mean (). A: Can you explain what you mean by ()? B: Sure, I meant (). "
68,영어Ⅰ,YBM(한),2015,3, Extend Your View of Art,What do you think about ()?를 활용해 의견을 묻기. ,A: This book became a bestseller. B: What do you think about it? ,A: 이 책이 베스트셀러가 됐어. B: 너는 그거에 대해 어떻게 생각해? ,A: What’s your opinion on ()? B: I think it’s great. A: How do you feel about ()? B: I’m not sure. 
69,영어Ⅰ,YBM(한),2015,4,A Trip for Cultural Diversity,Which would you rather ()?를 활용해 선택을 묻기. ,A: We have two options for our trip. B: Which would you rather do? Visit a market or visit a temple? ,"A: 우리 여행에 두 가지 선택지가 있어. B: 시장에 가고 싶어, 아니면 사원을 방문하고 싶어? ","A: Would you rather () or ()? B: I’d rather (). A: Which do you prefer, () or ()? B: I prefer (). "
70,영어Ⅰ,YBM(한),2015,5,The Small but Great Potato,What makes you think so?를 활용해 의견의 이유를 묻기. ,A: I believe this book is very inspiring. B: What makes you think so? ,A: 나는 이 책이 매우 영감을 준다고 생각해. B: 왜 그렇게 생각해? ,A: What makes you say that? B: I (). A: Why do you think ()? B: Because (). 
71,영어Ⅰ,YBM(한),2015,6, Nature and Environment,I hope ()를 활용해 희망이나 바람을 표현하기. ,A: I’m going to visit Bridal Cave this weekend. B: I hope you will enjoy your visit to Bridal Cave. ,A: 이번 주말에 브라이들 동굴을 방문할 거야. B: 네가 즐거운 방문이 되길 바라. ,A: I hope () goes well. B: Thank you! A: I wish you (). B: That’s so kind of you. 
72,영어Ⅱ,YBM(박),2015,1,Treasure out of Trash,모르는 것을 말할 때 사용하는 표현. ,A: Do you know how to reuse this material? B: I don’t know how to reuse it. ,A: 이 재료를 어떻게 재사용하는지 알아? B: 나는 어떻게 재사용하는지 몰라. ,A: I’m not sure how to (). B: Let’s find out together. A: I have no idea how to (). B: Maybe we can look it up. 
73,영어Ⅱ,YBM(박),2015,2,We Are Stronger Together,상대방에게 힘을 주거나 용기를 북돋아 줄 때 사용하는 표현. ,A: This task is so difficult! B: Don’t give up! ,A: 이 작업 너무 어려워! B: 포기하지 마! ,A: Keep trying! B: I’ll do my best. A: You can do it! B: Thanks for the encouragement. 
74,영어Ⅱ,YBM(박),2015,3,Fun Science about the Human Body,다양한 표현을 활용해 동의를 나타내기. ,A: This place is really crowded. B: You can say that again! ,A: 이곳 진짜 붐비네. B: 그러게 말이야! ,A: I totally agree! B: Exactly! A: That’s so true! B: I couldn’t agree more. 
75,영어Ⅱ,YBM(박),2015,4,Equality for All,다양한 표현을 활용해 반대 의견을 나타내기. ,A: Do you support this policy? B: I’m against any form of discrimination. ,A: 너는 이 정책을 지지해? B: 나는 어떤 형태의 차별도 반대해. ,"A: I don’t agree with (). B: I see your point, but I disagree. A: I strongly oppose (). B: That makes sense, but I have a different opinion. "
76,영어Ⅱ,YBM(박),2015,5,Sharing the Planet with Every Creature,다양한 표현을 활용해 어떤 사실에 대한 확신의 정도를 나타내기. ,A: Why do you think pollution is a big problem? B: I am sure that pollution is one of the major causes. ,A: 왜 환경오염이 큰 문제라고 생각해? B: 나는 오염이 주요 원인 중 하나라고 확신해. ,A: I’m certain that (). B: That sounds reasonable. A: I strongly believe that (). B: I agree. 
77,영어Ⅱ,YBM(박),2015,6,Humans and Technology,상대방이 걱정하거나 두려워하는 것이 있는지 물을 때 사용하는 표현. ,"A: Are you concerned about security? B: Yes, I think we need better protection. ","A: 너 보안에 대해 걱정돼? B: 응, 우리는 더 나은 보호가 필요하다고 생각해. ","A: Do you worry about ()? B: A little bit. A: Are you afraid of ()? B: Sometimes, yes. "
78,영어Ⅱ,YBM(한),2015,1,"Microbes and
 Health",Do you know how to ()?를 활용해 방법을 물어보기. ,"A: Do you know how to avoid catching the flu? B: Yes, washing your hands frequently can help. ","A: 독감을 피하는 방법을 알고 있어? B: 응, 손을 자주 씻으면 도움이 될 거야. ","A: Can you tell me how to ()? B: Sure, here’s what you can do. A: What’s the best way to ()? B: You can try (). "
79,영어Ⅱ,YBM(한),2015,2,"Lesson 2
 Money
 Matters",다양한 표현을 활용해 상대방에게 장담하거나 보장하기. ,A: I don’t know if my dad will like this gift. B: I guarantee that your dad will like it. ,A: 우리 아빠가 이 선물을 좋아하실지 모르겠어. B: 장담하는데 아빠가 좋아하실 거야. ,A: I promise that (). B: That’s reassuring! A: You can be sure that (). B: I hope so. 
80,영어Ⅱ,YBM(한),2015,3,"Lesson 3 
 Gift and
 Achievement",다양한 표현을 활용해 정중하게 의견을 전달하기. ,A: I always do things this way. B: It seems you have a fixed mindset. ,A: 나는 항상 이렇게 해. B: 네 사고방식이 고정된 것 같아. ,"A: From my perspective, (). B: That’s interesting. A: I tend to think that (). B: That’s a good point. "
81,영어Ⅱ,YBM(한),2015,4,"Lesson 4
 Look into
 Your Mind",다양한 표현을 활용해 특정한 행동이나 습관을 나타내기. ,A: Why do I always feel nervous before a test? B: You tend to avoid difficult situations. ,A: 왜 나는 시험 전에 항상 긴장될까? B: 너는 어려운 상황을 피하는 경향이 있어. ,A: You often (). B: That makes sense. A: You have a habit of (). B: I guess you’re right. 
82,영어Ⅱ,YBM(한),2015,5,"Lesson 5
 Exploring
 the Universe","To give you an example, ()를 활용해 예시를 들어 설명하기. ","A: How do astronauts breathe in space? B: To give you an example, spacesuits supply astronauts with oxygen. ","A: 우주비행사들은 우주에서 어떻게 숨을 쉬어? B: 예를 들면, 우주복이 산소를 공급해 줘. ","A: For instance, (). B: Oh, I see! A: One example is (). B: That makes sense. "
83,영어Ⅱ,YBM(한),2015,6,"Lesson 6
 Culture and
 Heritage",Would you like to ()?를 활용해 상대방에게 활동을 함께 하자고 제안하기. ,A: I’m going to visit the art exibition tomorrow. B: Would you like to go with me? ,A: 나 내일 미술 전시회에 갈 거야. B: 같이 갈래? ,A: Do you want to join me for ()? B: That sounds fun! A: How about () together? B: I’d love to! 
84,영어,비상,2015,1,Envision,I enjoy ()를 활용해 좋아하는 것을 표현하기. ,A: What do you like to do in your free time? B: I enjoy walking up the mountain trails. ,A: 자유 시간에 뭐 하는 걸 좋아해? B: 나는 산길을 걷는 것을 좋아해. ,A: I love (). B: That sounds fun! A: I’m really into (). B: That’s great! 
85,영어,비상,2015,2,Express,What do you think of ()?를 활용해 의견을 묻기. ,A: What do you think of his style? B: I think it’s unique. ,A: 그의 스타일을 어떻게 생각해? B: 나는 그게 독특하다고 생각해. ,A: How do you feel about ()? B: It looks great. A: What’s your opinion on ()? B: I think it’s interesting. 
86,영어,비상,2015,3,Contribute,Have you heard about ()?를 활용해 알고 있는지 묻기. ,"A: Have you heard about “My Tree, Our Forest”? B: No, what is it about? ","A: “내 나무, 우리 숲”에 대해 들어본 적 있어? B: 아니, 그게 뭐야? ","A: Do you know anything about ()? B: No, tell me! A: Have you heard of ()? B: Yes, I have! "
87,영어,비상,2015,4,Explore,I’m looking forward to ()를 활용해 희망이나 기대를 표현하기. ,A: When are you going to Tokyo? B: I’m looking forward to my first visit to Tokyo. ,A: 언제 도쿄에 가? B: 나는 도쿄를 처음 방문하는 게 기대돼. ,A: I can’t wait to (). B: That sounds exciting! A: I’m excited about (). B: Me too! 
88,영어,비상,2015,5,Collaborate,You’re not allowed to ()를 활용해 허용되지 않는 것을 표현하기. ,A: Can we play music late at night? B: You’re not allowed to play loud music after 10 at night. ,A: 밤늦게 음악 틀어도 돼? B: 밤 10시 이후에는 큰 소리로 음악을 틀면 안 돼. ,"A: You can’t (). B: Oh, I didn’t know that. A: It’s against the rules to (). B: Thanks for letting me know. "
89,영어,비상,2015,6,Decide,How do you like ()?를 활용해 만족도를 묻기. ,A: How do you like the headphones? B: They sound great! ,A: 그 헤드폰 어때? B: 소리가 좋아! ,"A: Are you happy with ()? B: Yes, I love it. A: Do you like ()? B: It’s okay, but I expected more. "
90,영어,비상,2015,7,Observe,Could you explain ()?를 활용해 설명을 요청하기. ,A: This technique improves memory. B: Could you explain how that helps? ,A: 이 기술이 기억력을 향상시켜. B: 그게 어떻게 도움이 되는지 설명해 줄 수 있어? ,A: Can you tell me more about ()? B: Sure! A: What do you mean by ()? B: Here’s an example. 
