Key Expression (한국어),Sub Expression (한국어)
창문을 열어.,"네 노트북을 가져와, (). 일어나, ()."
A: 사과 몇 개 있어? B: 사과 다섯 개 있어.,A: 오렌지 몇 개 있어? B: () 오렌지. A: 바나나 몇 개 있어? B: () 바나나.
"A: 피자를 좋아해? B: 응, 좋아해.","A: () 먹는 거 즐겨? B: 응, 즐겨. A: () 좋아하니? B: 아니, 안 좋아해."
A: 이거 무슨 색이야? B: 파란색이야.,A: 저것은 무슨 색이야? B: ()야. A: 색깔 좀 알려줄래? B: ()야.
"A: 마커 있어? B: 응, 있어.","A: ()를 가지고 있어? B: 응, 있어. A: () 있어? B: 아니, 없어."
"A: 점프할 수 있어? B: 응, 할 수 있어.","A: ~할 수 있어? B: 응, 할 수 있어. A: ~하는 방법을 알아? B: 응, 할 수 있어."
그건 커.,그건 엄청 커. 그건 어마어마해.
A: 그녀는 누구야? B: 그녀는 내 선생님이야.,A: 저 사람은 누구야? B: 저 사람은 내 (). A: 그들은 누구야? B: 그들은 내 ()야.
A: 날씨 어때? B: 흐려.,A: 오늘 날씨 어때? B: 오늘은 ()야. A: 밖에 맑아? B: 밖은 ()야.
"안녕, 친구!",안녕! 잘 가!
A: 저게 뭐야? B: 그건 마커야.,A: 이것은 뭐야? B: 이것은 ()야. A: 저것은 뭐야? B: 저것은 ()야.
A: 앉아 주세요. B: 알았어요.,A: 일어서 주세요. B: 좋아요. A: 잠시만 기다려 주세요. B: 알겠어요.
"A: 새야? B: 응, 맞아.","A: ()야? B: 응, 맞아. A: 저것이 ()일까? B: 응, 맞아."
"A: 쿠키 좋아해? B: 응, 좋아해.","A: () 좋아해? B: 응, 좋아해. A: ()의 팬이야? B: 아니야."
A: 사과 몇 개 있어? B: 사과 세 개 있어.,A: 책이 몇 권 있어? B: ()권 있어. A: 사탕 몇 개 먹었어? B: ()개 먹었어.
"A: 그림 그릴 수 있어? B: 응, 할 수 있어.","A: ~할 수 있어? B: 응, 할 수 있어. A: ~하는 법 알아? B: 아니, 몰라."
"A: 연필 있어요? B: 네, 있어요. / 아니요, 없어요.","A: () 가지고 있어요? B: 네, 있어요. / 아니요, 없어요. A: () 소유하고 있어요? B: 네, 있어요. / 아니요, 없어요."
"Q: 너 신나니? A: 응, 그래.","Q: 너 만족해? A: 응, 그래. Q: 몸은 괜찮니? A: 아니, 아니야."
A: 저 사람 누구야? B: 내 삼촌이야.,A: 그 여자는 누구야? B: 내 ()야. A: 이 사람은 누구일까? B: 이 사람은 내 ()야.
A: 그 차는 무슨 색이야? B: 빨간색이야.,A: 이거 무슨 색이야? B: ()야. A: 색깔을 말해줄래? B: ()야.
A: 날씨 어때? B: 비가 와.,A: 날씨가 어때? B: () A: 밖은 어때? B: ()
안녕! / 안녕하세요! / 잘 가!,좋은 아침! / 나중에 봐!
A: 이게 뭐야? B: 이건 인형이야.,"A: ()가 뭐야? B: 이건 (). A: 이게 ()야? B: 응, 맞아. / 아니, 아니야."
"A: 일어나, 제발. B: 알았어.","A: 앉아, 제발. B: 알았어. A: 조용히 해, 제발. B: 알았어."
A: 고양이가 몇 마리야? B: 고양이가 두 마리야.,"A: () 몇 개 보이니? B: 나는 ()를 봐. A: () 있어? B: 응, 있어. / 아니, 없어."
"A: 지우개 있어? B: 응, 있어./아니, 없어.","A: () 소유하고 있어? B: 응, 있어./아니, 없어. A: () 가지고 있어? B: 응, 있어./아니, 없어."
A: 이거 무슨 색이야? B: 파란색이야.,"A: ()의 색깔은 뭐야? B: ()야. A: 이거 ()이니? B: 응, 그래. / 아니, 아니야."
"A: 바나나를 좋아해? B: 응, 좋아해./아니, 안 좋아해.","A: () 먹는 거 즐겨? B: 응, 즐겨./아니, 안 즐겨. A: () 좋아해? B: 응, 좋아해./아니, 안 좋아해."
엄청 커.,아주 ()야. ()처럼 보여.
"A: 점프할 수 있어? B: 응, 할 수 있어./아니, 못 해.","A: ()할 수 있어? B: 응, 할 수 있어./아니, 못 해. A: ()하는 방법을 알고 있어? B: 응, 알고 있어./아니, 몰라."
A: 그 사람 누구야? B: 그는 내 삼촌이야.,A: 이 사람 누구야? B: 이 사람은 내 (). A: 이 사람들은 누구야? B: 이 사람들은 내 ().
A: 날씨 어때? B: 비가 와.,"A: 날씨가 어때? B: ()야. A: 밖은 ()야? B: 응, 그래./아니, 아니야."
A: 이게 뭐야? B: 펜이야.,A: 저게 뭐야? B: 그건 ()야. A: ()가 뭐야? B: 그건 ()야.
A: 앉아줘. B: 알았어.,A: 일어서줘. B: 그래. A: 조용히 해줘. B: 알았어.
"A: 토마토를 좋아해? B: 응, 좋아해. / 아니, 안 좋아해.","A: () 좋아해? B: 응, 좋아해. / 아니, 안 좋아해. A: () 먹는 거 즐겨? B: 응, 즐겨. / 아니, 안 즐겨."
A: 소가 몇 마리야? B: 소가 네 마리야.,"A: () 몇 마리 보이니? B: 나는 ()를 봐. A: ()가 있니? B: 응, 있어. / 아니, 없어."
"A: 춤출 수 있어? B: 응, 할 수 있어. / 아니, 못해.","A: ()할 수 있어? B: 응, 할 수 있어. / 아니, 못해. A: ()하는 법 알아? B: 응, 알아. / 아니, 몰라."
"A: 지우개 있어? B: 응, 있어. / 아니, 없어.","A: 지우개 있어? B: 응, 있어. / 아니, 없어. A: 지우개 가지고 있어? B: 응, 있어. / 아니, 없어."
"A: 너 신나니? B: 응, 그래. / 아니, 그렇지 않아.","A: 너 기분이 ()야? B: 응, 그래. / 아니, 그렇지 않아. A: 너 ~를 느끼니? B: 응, 그래. / 아니, 그렇지 않아."
A: 네 가방의 색깔은 뭐야? B: 파란색이야.,"A: ()의 색깔은 뭐야? B: ()야. A: ()야? B: 응, 맞아. / 아니, 아니야."
A: 저 소년은 누구야? B: 그는 내 형제야.,A: 그는 누구야? B: 그는 내 (). A: 그들은 누구야? B: 그들은 내 ().
A: 오늘 날씨 어때? B: 흐려.,"A: 날씨가 어때? B: (~)야. A: 밖은 (~야)? B: 응, 그래. / 아니, 아니야."
A: 안녕. B: 안녕.,A: 헤이! B: 안녕 거기! A: 안녕! B: 만나서 반가워!
A: 이게 뭐야? B: 모자야.,A: 저게 뭐야? B: ()야. A: 이게 뭐야? B: ()야.
A: 앉아 주세요. B: 알겠어.,A: 일어나 주세요. B: 알겠어. A: 창문 열어 주세요. B: 알았어.
A: 오렌지가 몇 개야? B: 오렌지 네 개야.,A: () 몇 개 보이니? B: 나는 ()를 봐. A: ()를 셀 수 있니? B: ()가 있어.
"A: 아이스크림 좋아해? B: 응, 좋아해. / 아니, 안 좋아해.","A: 파스타 좋아해? B: 응, 좋아해. / 아니, 안 좋아해. A: 사과 좋아해? B: 응, 좋아해. / 아니, 안 좋아해."
A: 무슨 색이야? B: 파란색이야.,A: 이것은 무슨 색이야? B: ()야. A: 네 배낭은 무슨 색이야? B: ()야.
"A: 토끼예요? B: 네, 맞아요. / 아니요, 아니에요.","A: 고양이예요? B: 네, 맞아요. / 아니요, 아니에요. A: 물고기예요? B: 네, 맞아요. / 아니요, 아니에요."
"A: 책 있어? B: 응, 있어. / 아니, 없어.","A: () 있어? B: 응, 있어. / 아니, 없어. A: () 들고 다니고 있어? B: 응, 있어. / 아니, 없어."
"A: 너 점프할 수 있어? B: 응, 할 수 있어. / 아니, 할 수 없어.","A: 너 ~할 수 있어? B: 응, 할 수 있어. / 아니, 할 수 없어. A: 너 ~하는 방법 알아? B: 응, 알아. / 아니, 몰라."
A: 그녀는 누구야? B: 그녀는 내 여동생이야.,"A: 저 소년은 누구야? B: 그는 내 ()야. A: ()가 누구야? B: 응, 그/그녀는 ()야."
A: 날씨 어때? B: 흐려.,"A: 오늘 날씨 어때? B: 오늘 날씨는 ( )이야. A: 밖이 ( )이야? B: 응, 맞아. / 아니, 아니야."
안녕! / 안녕하세요! / 잘 가!,좋은 저녁이야! 곧 보자!
A: 이게 뭐야? B: 연이야.,A: 저게 뭐야? B: 그건 ()야. A: 너 ()가 뭐인지 알아? B: 그건 ()야.
"A: 조용히 해, 제발. B: 알았어.","A: 줄 서, 제발. B: 좋아. A: 손 들어, 제발. B: 좋아."
A: 오렌지는 몇 개야? B: 오렌지 세 개야.,"A: () 몇 개 있어? B: () 있어. A: () 있어? B: 응, 있어. / 아니, 없어."
"A: 자 있어? B: 응, 있어. / 아니, 없어.","A: () 가지고 있어? B: 응, 있어. / 아니, 없어. A: () 있어? B: 응, 있어. / 아니, 없어."
A: 네 배낭은 무슨 색이야? B: 빨간색이야.,"A: ()의 색깔은 뭐야? B: ()야. A: 이거/저거 ()야? B: 응, 그래. / 아니, 아니야."
"A: 바나나 좋아해? B: 응, 좋아해. / 아니, 안 좋아해.","A: () 먹는 거 즐기니? B: 응, 즐겨. / 아니, 즐기지 않아. A: ()에 대해 어떻게 생각해? B: 좋아해. / 별로야."
그것은 키가 크다.,그것은 매우 (). 그것은 ()처럼 보여.
"A: 수영할 수 있어? B: 응, 할 수 있어. / 아니, 못해.","A: ~할 수 있어? B: 응, 할 수 있어. / 아니, 못해. A: ~하는 방법을 알아? B: 응, 알아. / 아니, 몰라."
A: 저 사람 누구야? B: 그는 내 삼촌이야.,A: 저 여자는 누구야? B: 그녀는 내 ()야. A: 저 사람들은 누구야? B: 그 사람들은 내 ()야.
A: 오늘 날씨 어때? B: 비가 와.,"A: 날씨가 어때? B: ()야. A: 밖에 ()야? B: 응, 그래. / 아니, 아니야."
A: 나는 에릭이야.,A: 내 이름은 (). A: 나는 ()야!
고마워.,정말 고마워. 진심으로 고마워.
여기 봐!,이것 봐! 집중해!
"A: 아이스크림 좋아해? B: 응, 정말 좋아해.","A: () 즐겨? B: 응, 즐겨. A: () 싫어해? B: 아니, 정말 좋아해."
A: 그건 커.,A: 그건 커. A: 그건 엄청 커.
나는 피아노를 칠 수 있어.,나는 (~)을 잘할 수 있어. 나는 (~)을 할 수 없어.
잘 모르겠어.,전혀 모르겠어. 말할 수 없어.
"자, 여기 있어.","자, 저기 있어. 자, 여기 있어."
정말 행복한 생일 되길 바라!,늦었지만 생일 축하해! 환상적인 생일 보내!
잘했어!,멋진 일이야! 훌륭한 노력이야!
간식 먹자.,게임하자. 책 읽자.
"안녕, 나는 지나야. 너의 이름은 뭐야?","안녕, 나는 (). 내 이름은 ()."
그것은 커.,그것은 작아. 그것은 새거야.
"제발 뛰지 마, 알겠어?","제발 저것 만지지 마, 알겠어? 시끄럽게 굴지 마, 제발."
봐!,"이봐, 이거 좀 봐! 와! 어서 와서 이거 봐!"
나는 사과를 즐겨.,나는 ()를 사랑해. 나는 ()를 좋아하지 않아.
자신을 믿어.,"계속해, 네가 ()을 이룰 수 있어. 포기하지 마, 너는 ()할 수 있어."
"A: 가방 있어? B: 응, 가방 있어.","A: ()를 소유하고 있어? B: 응, () 있어. A: () 있어? B: 아니, () 없어."
A: 몇 살이야? B: 나는 여섯 살이야.,A: 너의 나이는 얼마니? B: 나는 ()살이야. A: 네 나이를 말해 줄래? B: 나는 ()살이야.
완전히 옳아.,딱 그래. 정말 정확해.
A: 같이 놀자. B: 좋아.,A: 산책하러 가자. B: 알았어. A: 노래 부르자. B: 좋은 생각이야.
"안녕, 나는 알렉스야. — 만나서 반가워.","안녕, 내 이름은 (). — 만나서 반가워. 안녕, 나는 (). — 처음 뵙겠습니다."
그건 커.,그건 엄청 커. 그건 어마어마해.
환상적이야!,놀라워! 멋져!
나는 과일을 즐겨.,나는 ()을 좋아해. 나는 ()을 즐기지 않아.
좋은 아침!,"안녕! 안녕, 거기!"
"A: 요리할 수 있어? B: 응, 할 수 있어.","A: () 할 수 있어? B: 당연히, 할 수 있어. A: () 하는 방법을 알아? B: 맞아, 방법을 알아."
저기 봐!,저것 봐! 한번 봐봐!
고마워.,고마워! 천만에!
즐거운 하루 보내!,재미있는 시간 보내길 바라! 멋진 시간이 되길!
"자, 여기 있어요.",이것 받아. 이건 너를 위한 거야.
"생일 축하해, 앨리스!","생일 축하해! 오늘 하루, 그리고 앞으로도 행복한 날들이 가득하길 바래!"
조심해! 차가 오고 있어.,조심해! 주의해!
이제 안녕.,안녕! 몸 조심해!
이름이 뭐야? 내 이름은 리암이야.,()의 이름이 뭐야? ()야. 너의 이름을 말해줄래? 나는 ().
이리 봐!,이거 좀 봐! 여기 봐!
놀라워!,환상적이야! 믿을 수 없어!
나는 아이스크림을 좋아해.,나는 ()을 즐겨. 나는 정말로 ()을 좋아해.
엄청 커.,작아. 커.
나는 자가 있어.,나는 ()가 없어. 너는 ()가 있어?
나는 점프할 수 있어.,나는 () 할 수 있어. 나는 () 할 수 있다.
계단을 걸을 때 조심해.,가장자리 근처에 있을 때 주의해. 위험한 구역에서는 항상 경계해.
그는 키가 커.,그녀는 키가 작다. 그는 날씬하다.
이것 봐!,이것 봐! 이것 좀 봐!
생일 축하해!,행복이 가득한 날들이 많이 찾아오길! 멋진 생일 보내!
우리 재미있게 놀까?,우리 () 하는 게 어때? 너 ()할래?
A: 내 이름은 잭이야.,A: 나는 (). A: 내 이름은 ().
정말 놀라워!,정말 멋져! 믿기 어려울 정도야!
A: 미안해. B: 괜찮아.,A: 사과할게. B: 문제 없어. A: 미안해. B: 괜찮아.
고마워.,고마워. 네게 정말 고마워.
A: 나는 피자를 좋아해./나는 브로콜리를 싫어해.,A: 나는 ()을 즐겨./나는 ()을 싫어해. A: 나는 ()을 좋아해./나는 ()의 팬이 아니야.
나비를 봐.,()를 주의 깊게 관찰해. ()를 집중해서 봐.
나는 지우개가 있어. / 나는 지우개가 없어.,나는 ()라는 물건이 있어. / 나는 ()라는 물건이 없어. 나는 ()를 소유하고 있어. / 나는 ()를 소유하고 있지 않아.
"A: 너 수영할 수 있어? B: 응, 할 수 있어.","A: ~할 수 있어? B: 응, 할 수 있어. A: ~하는 법 알아? B: 응, 알아."
"A: 사자야? B: 응, 맞아.","A: 새야? B: 아니야. A: 코끼리야? B: 응, 맞아."
그는 키가 커.,그녀는 키가 작. 그들은 날씬해.
A: 공원에 가자.,A: () 해보자. A: () 할까?
"안녕, 나는 킴이야.","안녕, 내 이름은 (). 안녕, 나는 ()."
정말 고마워!,정말 고마워! 정말 감사합니다!
A: 미안해. B: 괜찮아.,A: 실례해. B: 괜찮아. A: 사과할게. B: 문제없어.
그것은 엄청 커.,그것은 커. 그것은 거대해.
A: 나는 케이크를 좋아해.,A: 나는 ()을 즐겨. A: 나는 ()을 좋아해.
문제없어!,별거 아니야. 천만에.
A: 나는 춤출 수 있어.,A: 나는 () 할 수 있어. A: 나는 () 하는 법을 알아.
나는 가방을 가지고 있어.,나는 ()를 가지고 있지 않아. 너는 ()를 가지고 있어?
생일 축하해!,생일 축하해! 멋진 생일 되길 바랄게!
그녀는 키가 커.,그는 잘생겼어. 그녀는 아름다워.
나무를 관찰해.,()에 주목해. ()한번 봐.
밖에서 놀자.,밖으로 나갈까? 밖에서 놀면 어때?
나는 안나야.,내 이름은 (). 나는 ().
잘했어!,정말 잘했어! 수고했어!
A: 고마워. B: 문제없어.,A: 정말 고마워. B: 천만에. A: 진심으로 고마워. B: 언제든지.
맞아.,너 말이 맞아. 바로 그거야!
나는 자를 가지고 있어(가지고 있지 않아).,나는 ()를 소유하고 있어. 나는 ()가 없어.
A: 미안해. B: 걱정 마.,A: 그 일에 대해 미안해. B: 괜찮아. A: 진심으로 사과해. B: 걱정하지 마.
나는 오렌지를 좋아해. / 나는 오렌지를 싫어해.,나는 () 먹는 것을 즐겨. 나는 ()를 싫어해.
"A: 이게 고양이야? B: 응, 맞아./아니, 아니야.","A: 이것은 ()야? B: 응, 맞아./아니, 아니야. A: 저것은 ()야? B: 응, 맞아./아니, 아니야."
나는 수영할 수 있어./나는 수영할 수 없어.,나는 ()할 수 있어. 나는 ()하는 방법을 몰라.
그는 힘이 세.,그는 매우 (). 그녀는 ()처럼 보여.
모자 써.,네 ()를 벗어. 그 ()를 닫아.
봐!,"이거 봐봐! 야, 이리 봐!"
대단해!,굉장해! 잘했어!
나는 사과를 좋아해. / 나는 사과를 좋아하지 않아.,나는 () 먹는 것을 즐겨. 나는 ()를 싫어해.
그들은 엄청 커.,그들은 매우 (). 그들은 ()처럼 보여.
나는 노래할 수 있어. / 나는 노래할 수 없어.,나는 ~할 수 있어. 나는 ~하는 방법을 몰라.
나는 노트북이 있어. / 나는 노트북이 없어.,나는 ()를 소유해. 나는 ()가 없어.
나는 긴장돼.,나는 ()를 느껴. 나는 정말 ()해.
A: 정말 고마워! B: 천만에.,A: 정말 고마워. B: 문제없어. A: 고마워. B: 언제든지.
그녀는 친절해.,그는 매우 (). 그녀는 ()해 보여.
"A: 밖에 나가자. B: 재밌겠다. / 미안, 나는 못 가.",A: ()를 한 번 해보자. B: 좋아! / 다음에 하자. A: ()하는 건 어때? B: 정말 좋은 생각이야! / 잘 모르겠어.
A: 안녕.,A: 또 봐! A: 안녕!
A: 봐!,A: 이것 좀 봐봐! A: 저기 봐!
A: 미안해. B: 괜찮아.,A: 그거 미안해. B: 문제없어. A: 그런 의도가 아니었어. B: 괜찮아.
A: 좋아!,A: 정말 잘했어! A: 잘했어!
A: 나는 스파게티를 좋아해. A: 나는 당근을 싫어해.,A: 나는 ()을 즐겨. A: 나는 ()을 싫어해.
A: 고마워. B: 천만에.,A: 정말 고마워. B: 문제없어. A: 진심으로 고마워. B: 언제든지.
A: 작아.,A: 보송보송해. A: 빨라.
A: 나는 공책이 있어. A: 나는 연필이 없어.,A: 나는 ()를 소유해. A: 나는 ()가 필요해.
A: 나는 춤출 수 있어. A: 나는 등반할 수 없어.,A: 나는 ~을 잘해. A: 나는 ~를 어려워해.
A: 그는 힘이 세.,A: 그녀는 키가 커. A: 그는 곱슬머리야.
A: 공원에 가자.,A: 우리 ()할까? A: ()하는 게 어때?
나는 민호야.,내 이름은 (). 나는 ()라고 불려.
알겠어. [SUB_EXPRESSION] 물론이야. 좋아.,nan
나는 연필깎이를 가지고 있어.,나는 ()를 소유하고 있어. 나는 ()를 가지고 다녀.
"A: 이게 강아지야? B: 아니, 아니야.","A: 이것은 ()야? B: 응, 그래. / 아니, 아니야. A: 저것은 ()일까? B: 아마 그래. / 아니, 그런 것 같지 않아."
그녀는 친절해.,그는 매우 ~. 그녀는 ~해 보여.
"A: 등산 가자. B: 재밌겠다. / 미안, 난 못 가.",A: ~을 해보자. B: 좋아! / 다음에 하자. A: 왜 ~하지 않아? B: 좋은 생각이야! / 잘 모르겠어.
A: 네 이름이 뭐야? B: 내 이름은 Lily야.,A: 네 이름이 뭐야? B: 내 이름은 (). A: 너는 뭐라고 불려? B: 나는 ().
나를 도와줘서 고마워.,네 도움에 고마워. 네 지원에 감사해.
안녕!,다음에 봐! 몸 조심해!
나는 당근을 좋아하지 않아.,나는 ()를 싫어해. 나는 ()를 좋아하지 않아.
고마워.,천만에. 문제없어.
A: 나는 기타를 칠 수 없어.,A: 나는 ~할 수 없어. A: 나는 ~할 능력이 없어.
A: 미안해. B: 괜찮아.,A: 그 일에 대해 미안해. B: 괜찮아. A: 사과할게. B: 문제없어.
A: 정말 고마워!,A: 정말 감사합니다! A: 대단히 고마워!
A: 만나서 반가워! B: 나도 만나서 반가워!,"A: 만나서 기뻐! B: 마찬가지야, 만나서 반가워! A: 우리 만난 게 정말 기뻐! B: 나도, 만나서 반가워!"
나는 피곤해.,나는 행복해. 나는 신나.
A: 어떻게 지내? B: 잘 지내.,A: 어떻게 지내고 있어? B: 아주 잘 지내. A: 기분은 어때? B: 기분이 정말 좋아.
너는 할 수 있어!,계속해! 포기하지 마!
여기 있어.,여기 네 ()야. 이거 받아.
A: 정말 미안해. B: 괜찮아.,A: 그거에 대해 미안해. B: 걱정하지 마. A: 내 사과야. B: 신경 쓰지 마.
A: 나는 벨라야.,A: 내 이름은 (). A: 나는 (). 만나서 반가워!
A: 정말 고마워. B: 문제없어.,A: 정말 고마워. B: 천만에. A: 감사해. B: 언제든지.
"아니, 그렇지 않아. [SUB_EXPRESSION] 그건 옳지 않아. 아니, 그건 틀렸어.",nan
나중에 보자.,일단 안녕. 몸조심해.
안녕.,또 봐. 몸 조심해.
난 너를 믿어.,계속 해! 넌 정말 잘하고 있어!
A: 정말 미안해. B: 괜찮아.,A: 그 일 미안해. B: 걱정하지 마. A: 내 사과야. B: 괜찮아.
