학습목표,Quiz 1,Korean 1,Option 1-1,Option 1-2,Option 1-3,Answer 1,Index 1,Quiz 2,Korean 2,Option 2-1,Option 2-2,Option 2-3,Answer 2,Index 2,샘플 스크립트 (영어),샘플 스크립트 (한국어)
"날씨에 대해 묻고 대답할 수 있어요.
Use expressions like 'How’s the weather?' and 'How does the sky look today?' to discuss weather.",A: ___ the weather? B: It's rainy.,A: 날씨가 어때? B: 비가 와.,What's,How's,Where's,How's,2,A: How does the sky look today? B: It’s ___.,A: 오늘 하늘이 어때? B: 맑아.,stormy,clear,rainy,clear,2,A: How's the weather? B: It's sunny. A: What does the sky look like today? B: It looks bright.,A: 날씨 어때? B: 맑아. A: 오늘 하늘은 어때? B: 밝아 보여.
"간단한 인사말을 활용할 수 있어요.
Use simple greetings when meeting someone.",The host greeted the audience with '___'!,주최자가 청중에게 '좋은 하루!'라고 인사했어요.,Good morning!,Good day!,Good evening!,Good day!,2,"During the conversation, he said, '___'",대화 중에 그는 '어떻게 지내? 안녕!'이라고 말했어요.,How do you do? Hello there!,How are you? Hi there!,What’s up? Hey there!,How are you? Hi there!,2,A: Good day! B: How are you doing? Hello there! A: I'm excited for today's event.,A: 좋은 하루입니다! B: 어떻게 지내? 안녕하세요! A: 오늘 행사가 기대돼요.
"‘What’s ()?’ 패턴을 활용해 무엇인지 묻고 답할 수 있어요.
You can ask and answer what something is using the 'What's ()?' pattern.",A: What’s ___? B: It’s a toy.,이게 뭐야? 장난감이야.,that,this,these,this,2,A: What’s ___? B: It’s a doll.,저게 뭐야? 인형이야.,this,that,those,that,2,A: What’s this? B: It's a book. A: What’s that? B: It's a pen.,A: 이게 뭐야? B: 책이야. A: 저게 뭐야? B: 펜이야.
"명령문을 활용해 상대방에게 요청할 수 있어요.
상대방의 요청에 응답할 수 있어요.","A: ___, please. B: Sure.",A: 앉아 주세요. B: 네.,Stand up,Sit down,Come here,Sit down,2,"A: ___, please. B: Alright.",A: 이리 와 주세요. B: 알겠어요.,Stand up,Come here,Sit down,Come here,2,"A: Please, take a seat. B: Certainly! A: Please, step over here. B: Okay.",A: 제발 앉으세요. B: 물론이죠! A: 이쪽으로 걸어오세요. B: 알겠어요.
"수량을 묻고 답하는 방법을 연습해요.
How many를 사용하여 개수에 대해 물어보고 대답할 수 있어요.",A: ___ apples do you have? B: I have five apples.,A: 사과가 몇 개인지 말해줄래? B: 나는 사과 다섯 개가 있어.,How old,How many,How long,How many,2,A: How many cars do you ___?,A: 자동차가 몇 대 있는지 너는 보고 있니?,find,see,hear,see,2,A: How many oranges do you have? B: I have three oranges. A: How many books do you have? B: I have four books.,A: 오렌지가 몇 개 있어? B: 오렌지가 세 개 있어. A: 책이 몇 권 있어? B: 책이 네 권 있어.
"좋아하는 것을 묻고 답하는 표현을 사용할 수 있어요.
You can use expressions like 'Do you like ()?' to ask and answer about things you like.","A: Do you like _______? B: Yes, I do.","A: 딸기를 좋아하세요? B: 네, 좋아해요.",apples,strawberries,oranges,strawberries,2,"A: Do you enjoy eating _______? B: Yes, I do.","A: 딸기를 먹는 것을 즐기세요? B: 네, 즐겨요.",bananas,strawberries,grapes,strawberries,2,"A: Do you like apples? B: Yes, I do. A: Do you enjoy eating apples? B: Yes, I do.","A: 사과를 좋아하세요? B: 네, 좋아해요. A: 사과 먹는 것을 즐기세요? B: 네, 즐겨요."
"영어로 능력을 묻고 대답하는 방법을 배워요.
Can you ()?을 활용하여 할 수 있는지 묻고 답할 수 있어요.","A: Can you ___? B: Yes, I can.","A: 너는 빨리 달릴 수 있어? B: 응, 할 수 있어.",fly high,run fast,jump far,run fast,2,"A: Are you able to ___? B: No, I cannot. A: Do you know how to ___? B: Yes, I do.","A: 너는 수영할 수 있어? B: 아니, 할 수 없어. A: 너는 수영하는 방법을 알아? B: 응, 알아.",dance,swim,sing,swim,2,"A: Can you jump high? B: Yes, I can. A: Are you able to climb trees? B: No, I cannot. A: Do you know how to ride a bike? B: Yes, I do.","A: 너 높이 뛰어올 수 있어? B: 응, 할 수 있어. A: 너 나무 타는 거 할 수 있어? B: 아니, 못해. A: 자전거 타는 법 알아? B: 응, 알아."
"물건 보유 여부를 묻는 질문과 답변을 할 수 있어요.
Do you ()를 활용하여 물건 소지 여부를 묻고 답할 수 있어요.","A: Do you ___ a marker? B: No, I don't.","A: 마커 가지고 있어? B: 아니, 없어.",own,have,possess,have,2,"A: Do you ___ a pen? B: Yes, I do.","A: 펜 가지고 있어? B: 응, 있어.",possess,own,have,own,2,"A: Do you have a notebook? B: No, I don't. A: Do you own a backpack? B: Yes, I do. A: Do you possess a tablet? B: No, I don't.","A: 공책 가지고 있어? B: 아니, 없어. A: 가방 가지고 있어? B: 응, 있어. A: 태블릿 소유하고 있어? B: 아니, 없어."
"I am () 표현을 활용하여 감정이나 상태를 표현할 수 있어요.
I'm joyful, I'm content와 같이 감정을 나타내는 표현을 배워요.",I'm ______.,나는 기쁘다.,sleepy,joyful,excited,joyful,2,I'm ______.,나는 만족해.,indifferent,content,lonely,content,2,A: I'm joyful today. B: That's great to hear! A: I'm content with my progress. B: Keep up the positive spirit!,A: 오늘 나는 기쁘다. B: 그 말 들으니 정말 기분 좋네! A: 내 발전에 만족해. B: 긍정적인 기운을 계속 유지하길 바래!
"색깔 묻기와 답하기 표현을 사용할 수 있어요.
You can ask and answer about colors using 'What color is ()?'.",A: What color is the car? B: It is ___.,A: 자동차의 색깔은 무엇인가요? B: 파란색이다.,red,blue,green,blue,2,A: Can you tell me the color? B: It is ___.,A: 색깔을 알려줄 수 있니? B: 파란색이다.,red,black,blue,blue,3,A: What color is the bike? B: It is red. A: Can you tell me its color? B: It is red.,A: 자전거의 색깔은 무엇이니? B: 빨간색이야. A: 색깔을 말해줄래? B: 빨간색이야.
"날씨에 대해 묻고 대답하는 표현을 사용할 수 있어요.
Use How's the weather? expressions to inquire about the weather.",A: How’s the ___?,A: 날씨 어때?,time,weather,situation,weather,2,B: It’s ____.,B: 맑아요.,raining,sunny,snowy,sunny,2,A: How’s the weather this afternoon? B: It’s sunny. A: What’s the temperature outside? B: It's perfect for a walk.,A: 오늘 오후 날씨 어때? B: 맑아. A: 밖 온도는 어때? B: 산책하기 딱 좋아.
"만날 때 사용하는 기본적인 인사 표현 익히기
Learn to use basic greetings when meeting someone.",___ there!,안녕하세요!,Goodbye,Hello,Ciao,Hello,2,___!,안녕!,Hey,Hi,Bye,Hi,2,A: Hello there! Good to see you today. B: Hi! How have you been?,A: 안녕하세요! 오늘 만나서 반가워요. B: 안녕! 그동안 어땠어요?
"사물이나 대상을 묻고 답하는 표현을 배워요.
Learn how to ask and answer about objects using 'What's ()?'.",A: _____ this? B: It's a book.,A: 이것은 무엇이야? B: 이건 책이야.,Where's,What's,How's,What's,2,A: ______? B: It's a ball.,A: 저것은 무엇인가요? B: 이건 공이에요.,What is it?,What's that?,What's this?,What's that?,2,A: What's this? B: It's a smartphone. A: What is it? B: It's a charger.,A: 이게 뭐야? B: 이건 스마트폰이야. A: 저것은 무엇이야? B: 이건 충전기야.
"please 를 활용해 상대방에게 요청할 수 있어요.
요청에 대한 응답을 적절하게 할 수 있어요.","A: ____ the window, please. B: Sure.","창문을 닫아 주세요. 네, 알겠어요.",Open,Close,Lock,Close,2,"A: ____ the book, please. B: Certainly.","책을 건네 주세요. 네, 물론입니다.",Take,Read,Pass,Pass,3,"A: Open the door, please. B: Sure. A: Give me the pen, please. B: Of course.",A: 문을 열어 주세요. B: 물론이에요. A: 펜을 건네 주세요. B: 당연하죠.
"Do you like ()? 표현을 사용하여 좋아하는 음식과 싫어하는 음식을 묻고 답할 수 있어요.
You can ask and answer about liking or disliking food using 'Do you like ()?'.","A: Do you ___ ice cream? B: Yes, I do. / No, I don’t.","A: 아이스크림을 ___? B: 응, 그래. / 아니.",see,like,touch,like,2,"A: Do you ___ ice cream? B: Yes, I do. / No, I don’t.","A: 아이스크림을 ___? B: 응, 그래. / 아니.",consume,avoid,enjoy,enjoy,3,"A: Do you like burgers? B: Yes, I do. A: Do you enjoy spaghetti? B: No, I don't.","A: 버거를 좋아해? B: 응, 좋아해. A: 스파게티를 즐겨 먹어? B: 아니, 안 먹어."
"인사말로 안부를 묻고 대답하는 방법을 배웁니다.
Learn to ask about and answer how someone is doing using greetings.",A: ___? B: I'm doing well.,A: 어떻게 지내? B: 나 잘 지내.,What's up?,How are you?,How have you been?,How are you?,2,A: ___? B: I'm feeling good.,A: 그동안 어떻게 지냈어? B: 기분이 좋아.,How are you?,How have you been?,How's it going?,How have you been?,2,A: How are you doing today? B: I'm doing well. A: How has your mood been lately? B: I'm feeling good.,A: 오늘 기분은 어때? B: 잘 지내고 있어. A: 요즘 기분은 어때? B: 기분이 좋아.
"‘Can you ()?’ 구문을 활용하여 가능 여부를 묻는 표현을 이해할 수 있어요.
‘Do you know how to ()?’ 구문을 사용하여 능력을 질문하는 방법을 익힐 수 있어요.","A: Can you ____ a bicycle? B: Yes, I can.","A: 자전거 탈 수 있어? B: 응, 할 수 있어.",drive,ride,swim,ride,2,"A: Do you know how to ____ a bicycle? B: No, I can’t.","A: 자전거 탈 줄 알아? B: 아니, 못해.",drive,read,ride,ride,3,"A: Can you cook dinner? B: Yes, I can. A: Do you know how to bake a cake? B: No, I can’t.","A: 저녁을 준비할 수 있어? B: 응, 할 수 있어. A: 케이크를 굽는 법 알아? B: 아니, 못해."
"동물의 수를 묻고 답하는 표현을 사용할 수 있어요.
Can ask and answer questions about the number of animals.",A: How many ___ are there? B: Three cats.,A: 고양이가 몇 마리 있나요? B: 고양이는 세 마리입니다.,dogs,cats,birds,cats,2,A: How many ___? B: Four dogs.,A: 강아지가 몇 마리입니까? B: 강아지는 네 마리입니다.,cats,dogs,birds,dogs,2,A: How many rabbits are there? B: Five rabbits. A: How many turtles? B: Two turtles.,A: 토끼가 몇 마리 있나요? B: 토끼는 다섯 마리입니다. A: 거북이가 몇 마리 있나요? B: 거북이는 두 마리입니다.
"색깔을 묻고 답하는 표현을 배워요.
What color is ()?를 사용하여 색깔을 물어보고 답할 수 있어요.",A: What color is the car? B: It is ___.,A: 자동차의 색깔이 뭐야? B: 파란색이야.,red,blue,green,blue,2,A: What is its color? B: It is ___. A: Can you tell me the color? B: It is ___.,A: 이것의 색깔이 뭐야? B: 파란색이야. A: 색깔을 말해줄래? B: 파란색이야.,black,blue,yellow,blue,2,A: What color is the bike? B: It is red. A: What is its color? B: It is red.,A: 자전거의 색깔이 뭐야? B: 빨간색이야. A: 자전거 색깔이 뭐야? B: 빨간색이야.
"Let's를 활용해 제안하고 이에 답하는 표현을 배워요.
Learn to use Let's to make suggestions and responses.",A: Let’s ____ lunch. B: Sure.,A: 점심 먹자. B: 그래.,cook,eat,buy,eat,2,"A: Let’s ______. B: Sorry, I can’t.","A: 같이 낚시 가자. B: 미안, 못 가.",go fishing,ride a bike,read a book,go fishing,1,A: Let's try cooking dinner. B: Sure. A: Let's play soccer. B: Alright.,A: 저녁 요리해보자. B: 좋아. A: 축구하자. B: 그래.
"물건을 가지고 있는지 묻고 대답할 수 있어요.
Do you have ()? 등의 표현을 활용하여 물건 소유 여부를 물어볼 수 있어요.","A: Do you ___ a pencil? B: Yes, I do. / No, I don't.","A: 연필 있니? B: 응, 있어.",had,have,has,have,2,"A: Are you ______ a pencil? B: Yes, I am. / No, I'm not.","A: 연필을 들고 있니? B: 응, 들고 있어.",buying,finding,carrying,carrying,3,"A: Do you have an eraser? B: No, I don't. A: Have you got a marker? B: Yes, I have.","A: 지우개 있어? B: 아니, 없어. A: 마커 있어? B: 응, 있어."
"나이를 묻고 답할 수 있어요.
How old are you? 의 문구를 통해 나이를 묻고 답할 수 있어요.",A: ___ old are you? B: I'm seven years old.,너 몇 살이니? 나는 일곱 살이야.,What,When,How,How,3,A: ___ is your age? B: I am seven years old.,너의 나이가 뭐니? 나는 일곱 살이야.,Where,What,When,What,2,A: How old are you? B: I'm eight years old. A: How many years have you lived? B: I am eight years old.,A: 너 몇 살이니? B: 나는 여덟 살이야. A: 몇 년을 살았니? B: 나는 여덟 살이야.
"금지 표현을 사용하여 상대방에게 요구를 전달하고 응답할 수 있어요.
You can use prohibition expressions to deliver requests and respond appropriately.","A: ___, please. B: Okay.","A: 소리지르지 마, 제발. B: 알겠어.",Don't run,Don't shout,Don't touch that,Don't shout,2,"A: ___, please. B: Okay.","A: 그것을 만지지 마, 제발. B: 알겠어.",Don't touch that,Don't run,Don't shout,Don't touch that,1,"A: Don't disturb others, please. B: Okay. A: Don't leave your trash behind, please. B: Sure.","A: 다른 사람들을 방해하지 마, 제발. B: 알겠어. A: 쓰레기를 함부로 놓지 마, 제발. B: 그래."
"날씨에 대해 묻고 답하는 표현을 사용할 수 있어요.
You can ask and answer about the weather.",A: How's the weather? B: It's ______.,A: 날씨 어때? B: 흐리다.,rainy,cloudy,sunny,cloudy,2,A: What's it like outside? B: It's ______. A: How is it today? B: It's ______.,A: 밖은 어때? B: 맑아. A: 오늘은 어때? B: 맑아.,rainy,sunny,breezy,sunny,2,A: How's the weather today? B: It's chilly. A: What's the forecast? B: It's partly cloudy.,A: 오늘 날씨 어때? B: 쌀쌀해. A: 예보는 어때? B: 약간 흐려.
"만난 후 인사할 때 사용하는 간단한 표현을 익힐 수 있어요.
헤어질 때 인사하는 표현을 활용할 수 있어요.",__ there!,안녕하세요!,Hello,Hi,Bye,Hi,2,Hello! __,안녕! 잘 가!,See you!,Bye!,Good night!,Bye!,2,"A: Hi there! B: Hey, how are you? A: Hello! B: Goodbye!","A: 안녕하세요! B: 안녕, 어떻게 지내? A: 안녕! B: 잘 가!"
"사물이 무엇인지 묻고 답하는 표현을 사용할 수 있어요.
You can ask and answer questions about objects by using 'What's ()?' expressions.",A: What's ___? B: It's a book.,A: 저게 뭐야? B: 책이야.,this,that,these,that,2,B: It's a ___,B: 책이야.,pen,bag,book,book,3,A: What's that? B: It's a desk. A: What's this? B: It's a lamp.,A: 저것이 뭐야? B: 책상이야. A: 이것은 뭐야? B: 램프야.
"존대하는 요청을 하고 이에 답할 수 있어요.
You can make polite requests and respond politely.","A: ___ the book, please. B: Sure.",이 책을 열어주세요.,Close,Open,Read,Open,2,"A: ___ the pen, please. B: Certainly.",펜을 가져와 주세요.,Take,Bring,Fetch,Bring,2,A: Please open the window. B: Sure. A: Please bring me the notebook. B: Of course.,A: 창문을 열어주세요. B: 알겠습니다. A: 공책을 가져와 주세요. B: 물론이죠.
"상대방의 선호도를 물어보고, 응답하는 방법을 익힐 수 있어요.
Using 'do you like ~?' sentence patterns to ask about preferences.","A: Do you enjoy ____? B: Yes, I do.","A: 바나나를 즐겨 먹나요? B: 네, 그렇습니다.",oranges,bananas,apples,bananas,2,"A: Do you like ____? B: Yes, I do. A: Do you enjoy grapes? B: No, I don't.","A: 포도를 좋아하나요? B: 네, 그렇습니다. A: 포도를 즐겨 먹지는 않아요.",mangoes,grapes,strawberries,grapes,2,"A: Do you enjoy oranges? B: Yes, I do. A: Do you like apples? B: No, I don't.","A: 오렌지를 즐겨 먹나요? B: 네, 그렇습니다. A: 사과를 좋아하나요? B: 아니요, 그렇지 않아요."
"수량에 대해 질문하고 대답할 수 있어요.
You can ask and answer questions about quantities.",A: ___ books do you have? B: I have three.,A: 책이 몇 권 있어? B: 나는 세 개 가지고 있어.,What many,How many,How much,How many,2,A: How many chairs do you need? B: I need ___.,A: 의자가 몇 개 필요해? B: 나는 일곱 개가 필요해.,seven,six,eight,seven,1,A: How many pens do you have? B: I have two. A: How many notebooks do you need? B: I need three.,A: 펜이 몇 개 있어? B: 나는 두 개 있어. A: 공책이 몇 개 필요해? B: 나는 세 개 필요해.
"물건을 가지고 있는지 묻고 답하는 표현을 연습해요.
Practice asking and answering questions about possession using 'do you have'.","A: ___ a notebook? B: Yes, I do.",노트북 가지고 있니?,Have you got,Do you have,Do you own,Do you have,2,"A: Do you ___ a notebook? B: Yes, I do.",노트북 소유하고 있니?,have,own,got,own,2,"A: Do you have a backpack? B: Yes, I do. A: Do you own a backpack? B: No, I don't.","A: 백팩 가지고 있니? B: 응, 있어. A: 백팩 소유하고 있니? B: 아니, 없어."
"can/cannot 표현을 활용해 능력 여부 묻고 답할 수 있어요.
You can ask and answer questions about ability using can/cannot expressions.","A: ___ you paint? B: Yes, I can.","A: 너 그림 그릴 수 있어? B: 응, 할 수 있어.",Do,Can,Will,Can,2,"A: Are you ___ to paint? B: Yes, I am.","A: 너는 그림을 그릴 수 있어? B: 응, 할 수 있어.",competent,able,capable,able,2,"A: Can you draw? B: Yes, I can. A: Are you able to sketch? B: No, I don’t.","A: 너 그림 그릴 수 있어? B: 응, 할 수 있어. A: 너 스케치할 수 있어? B: 아뇨, 못해."
"금지 표현인 Don't ()를 활용할 수 있어요.
You can express prohibition using Don't ().",Don't ____.,오르지 마세요.,run,climb,jump,climb,2,Don't ____.,뛰지 마세요.,shout,jump,cry,jump,2,"A: Don't run in the hallway. B: Got it, I'll walk slowly. A: And please, don't shout in the library. B: Understood, I'll be quiet.","A: 복도에서 뛰지 마세요. B: 알겠습니다, 천천히 걸을게요. A: 그리고 도서관에서는 소리 지르지 마세요. B: 알겠습니다, 조용히 할게요."
"타인의 신원을 묻고 답하는 표현을 사용할 수 있어요.
You can ask and answer questions about someone's identity using 'Who is ()?'.",A: Who is ___? B: She's my teacher.,A: 그분은 누구세요? B: 제 선생님이에요.,he,she,them,she,2,A: Who is that? B: That's my ___.,A: 저 사람은 누구예요? B: 저 사람은 제 친구예요.,brother,friend,uncle,friend,2,A: Who is he? B: He's my coach. A: Who are they? B: They are my teammates.,A: 저 사람은 누구예요? B: 제 코치예요. A: 저 사람들은 누구예요? B: 그들은 제 팀원들이에요.
"색깔에 대해 질문하고 대답하는 구조를 익힐 수 있어요.
색깔의 명칭을 정확하게 사용할 수 있어요.",B: They are ___.,저것들은 초록색입니다.,red,green,blue,green,2,B: It is ___.,그것은 파란색입니다.,blue,yellow,red,blue,1,A: What color are those blocks? B: They are green. A: Can you tell me the shade of them? B: It is blue.,A: 저 블록들은 무슨 색인가요? B: 초록색입니다. A: 그 색조가 어떤지 말해줄래요? B: 파란색입니다.
"의문문 구조를 통해 나이를 묻고 답할 수 있어요.
Learn to ask and answer age questions using interrogative sentences.",A: ___ are you? B: I'm seven years old.,A: 몇 살이세요? B: 저는 일곱 살입니다.,How many,How old,How tall,How old,2,A: ___? B: I'm () years old.,A: 당신의 나이는 어떻게 되세요? B: 저는 몇 살입니다.,How old are you,What's your age,How many years old are you,What's your age,2,A: How old are you? B: I'm ten years old. A: What is your age? B: I'm ten years old.,A: 몇 살이세요? B: 저는 열 살입니다. A: 당신의 나이는 어떻게 되세요? B: 저는 열 살입니다.
"날씨 표현을 활용하여 즐거운 대화를 나눌 수 있어요.
Practice using weather expressions to have enjoyable conversations.",B: It's ___.,B: 날씨가 맑아.,rainy,sunny,cloudy,sunny,2,A: What's the ___ like? B: It's sunny.,A: 날씨가 어때? B: 맑아.,day,weather,mood,weather,2,A: How's the weather today? B: It's really bright. A: What's the weather like this afternoon? B: It's clear.,A: 오늘 날씨 어때? B: 정말 맑아. A: 오후 날씨는 어때? B: 맑아.
"인사말 표현을 활용하여 첫 만남 및 작별 시 자연스럽게 인사할 수 있어요.
Using greeting expressions, you can naturally greet when meeting and saying goodbye.","A: ______ there! B: Hi, good to see you!",A: 안녕하세요! B: 만나서 반가워요!,Hey,Hello,Hi,Hello,2,"A: ______, buddy. B: Catch you later, buddy.","A: 잘 가요, 친구. B: 나중에 봐요, 친구.",Goodbye,Take care,Be safe,Take care,2,"A: Hi there! B: Hello, wonderful to see you! A: Good afternoon, everyone. B: Afternoon! A: Take care! B: Catch you later!","A: 안녕! B: 안녕하세요, 반가워요! A: 좋은 오후입니다, 여러분. B: 오후예요! A: 잘 가요! B: 나중에 봐요!"
"의문사 'What'을 사용하여 물건의 정체를 묻고 답할 수 있어요.
You can ask and answer about the identity of objects using 'What'.",A: ______ that? B: It's a pen.,A: 저것은 무엇인가요? B: 펜이에요.,When's,What's,How's,What's,2,B: It's a ______.,B: 이건 펜이야.,book,pen,cup,pen,2,"A: What's that? B: It's a pencil. A: What's this? B: It's a pencil. A: Is that a pencil? B: Yes, it is.","A: 저것은 무엇인가요? B: 연필이에요. A: 이건 무엇인가요? B: 연필이에요. A: 저것은 연필인가요? B: 네, 맞아요."
"상대방에게 명령문을 사용하여 지시하는 능력을 기를 수 있어요.
지시문에 대한 응답으로 효과적인 대화를 할 수 있어요.",___ the window.,창문을 열어.,Close,Open,Lock,Open,2,___ me your notebook.,내 노트북을 가져와.,Take,Bring,Show,Bring,2,"A: Open the door. B: Okay, I've opened it. A: Bring me your book. B: Sure, here it is.","A: 문을 열어. B: 네, 열었어. A: 내 책을 가져와. B: 알겠어, 여기 있어."
"채소나 과일의 개수를 물어보고 대답할 수 있어요.
Using 'How many' to ask and answer about the number of fruits or vegetables.",A: How many _____? B: Five apples.,사과 몇 개야?,oranges,apples,bananas,apples,2,B: _____ oranges.,오렌지 몇 개야?,six,five,four,five,2,A: How many grapes? B: Seven grapes. A: How many lemons? B: Three lemons.,A: 포도 몇 개야? B: 포도 일곱 개야. A: 레몬 몇 개야? B: 레몬 세 개야.
"음식을 좋아하는지 물어보고 대답할 수 있어요.
You can ask and answer questions about whether you like certain food using 'Do you like ()?'.","A: Do you ___ pizza? B: Yes, I do.","A: 피자를 좋아하니? B: 응, 좋아해.",hate,like,eat,like,2,"A: Do you ___ eating burger? B: Yes, I do.","A: 버거 먹는 것을 즐기니? B: 응, 즐겨.",resist,dislike,enjoy,enjoy,3,"A: Do you like sushi? B: Yes, I do. A: Do you enjoy eating steak? B: No, I don't.","A: 스시를 좋아하니? B: 응, 좋아해. A: 스테이크 먹는 것을 즐기니? B: 아니, 안 즐겨."
