학습목표,Quiz 1,Korean 1,Option 1-1,Option 1-2,Option 1-3,Answer 1,Index 1,Quiz 2,Korean 2,Option 2-1,Option 2-2,Option 2-3,Answer 2,Index 2,샘플 스크립트 (영어),샘플 스크립트 (한국어)
"현재 진행형을 사용하여 누군가가 지금 무엇을 하고 있는지 묻고 답할 수 있어요.
What is he doing?와 He's ...ing를 사용하여 현재 상황을 표현할 수 있어요.",He's ___ a book.,그는 책을 읽고 있어.,writing,reading,dancing,reading,2,She's ___ing.,그녀는 달리고 있어.,jumping,running,singing,running,2,A: What is he doing? B: He's cooking dinner. A: What is she doing? B: She's cleaning her room.,A: 그가 지금 무엇을 하고 있어? B: 그는 저녁을 준비하고 있어. A: 그녀가 지금 무엇을 하고 있어? B: 그녀는 방을 청소하고 있어.
"가격을 묻고 답하는 표현을 활용할 수 있어요.
대화에서 상품의 가격을 문의하고 응답할 수 있어요.",A: ____ is this shirt? B: It's eight dollars.,이 셔츠는 얼마예요? 팔 달러예요.,How often,How much,How many,How much,2,A: ____ of this watch? B: It's twenty dollars.,이 시계의 가격은 얼마예요? 시계는 20달러예요.,How many dollars,What's the price,How much,What's the price,2,A: How much is this jacket? B: It's fifteen dollars. A: What's the price of these pants? B: They're thirty dollars.,A: 이 자켓은 얼마예요? B: 15달러예요. A: 이 바지의 가격은 얼마예요? B: 30달러예요.
"위치 표현을 사용하여 물건의 위치를 물어보고 답할 수 있어요.
You can ask and answer questions about the location of objects using location expressions.",A: Where is the ___? B: It's near the coffee shop.,A: 도서관은 어디에 있나요? B: 커피숍 근처에 있어요.,cafeteria,library,studio,library,2,B: It's located ___ the coffee shop.,B: 커피숍 근처에 있어요.,far,near,under,near,2,A: Where is the bookstore? B: It's near the park. A: Where can I find the museum? B: It's located near the main square. A: Where is the cafe? B: It's close to the library.,A: 서점은 어디에 있어요? B: 공원 근처에 있어요. A: 박물관은 어디 있는지 알려줄래요? B: 메인 광장 근처에 있어요. A: 카페는 어디에 있나요? B: 도서관 근처에 있어요.
"여가 활동에 대해 묻고 대답하는 표현을 사용할 수 있어요.
free time이라는 표현을 활용하여 여가 활동에 대해 이야기할 수 있어요.",I ____ pictures.,나는 그림을 그려요.,cook,paint,sing,paint,2,I ____ for fun.,나는 재미로 그림을 그려요.,play soccer,paint pictures,read books,paint pictures,2,A: What do you do in your free time? B: I play the guitar. A: What hobbies do you have? B: I enjoy playing music.,A: 너는 여가 시간에 뭐 해? B: 나는 기타를 연주해. A: 어떤 취미가 있어? B: 나는 음악을 즐겨.
"출신 국가를 묻고 답하는 표현을 사용할 수 있어요.
You can ask and answer questions about your home country.",B: I'm from ___.,B: 나는 일본에서 왔어.,Korea,Japan,Brazil,Japan,2,A: What ___ are you from?,A: 어느 나라에서 왔어요?,city,country,continent,country,2,"A: Where did you grow up? B: I grew up in Japan. A: Do you enjoy living there? B: Absolutely, I enjoy it a lot.","A: 어디서 자랐어요? B: 나는 일본에서 자랐어요. A: 거기 사는 게 마음에 들어요? B: 네, 정말 마음에 들어요."
"여러 개의 물건에 대해 질문하고 대답하는 표현을 사용할 수 있어요.
You can ask about multiple items by saying 'What are these?' and respond appropriately.",A: ___? B: They're books.,A: 이것들은 무엇이에요? B: 책들이에요.,Where are these?,How are these?,What are these?,What are these?,3,A: What are they ___? B: They're books.,A: 저것들은 뭐라고 부르나요? B: 책들이에요.,named,called,titled,called,2,A: What are these items? B: They're magazines. A: What are they called? B: They're comics.,A: 이 물건들은 무엇이에요? B: 잡지들이에요. A: 뭐라고 불러요? B: 만화들이에요.
"can을 사용하여 허락을 구하고 이에 대해 긍정 또는 부정으로 대답하는 표현을 사용할 수 있어요.
You can ask for permission using can and answer in the affirmative or negative.","A: ___ I play with the puppy? B: Yes, you can.",강아지와 놀아도 될까요?,May,Can,Will,Can,2,"A: ___ I try this candy? B: Sure, you can.",이 사탕을 먹어봐도 될까요?,Should,Could,Might,Could,2,"A: Can I borrow your notebook? B: Yes, you can. A: Could I also check your textbook? B: Sorry, you can’t.","A: 너의 공책을 빌려도 될까요? B: 네, 빌려도 돼요. A: 교과서도 볼 수 있을까요? B: 미안해요, 안 돼요."
"물건의 주인이 누구인지 묻는 표현을 사용할 수 있어요.
You can ask and answer questions about ownership using 'Whose'.",A: ___ bag is this? B: It's Mina's.,이 가방은 누구의 것인가요? 대답은 미나의 것이에요.,Who,How many,Whose,Whose,3,A: Who ___ this bag?,이 가방은 누구 소유인가요?,needs,owns,wants,owns,2,A: Whose jacket is this? B: It's Sarah's. A: Who owns this jacket? B: It belongs to her.,A: 이 재킷은 누구의 것이에요? B: 사라의 것이에요. A: 이 재킷은 누구 소유인가요? B: 그녀의 것입니다.
"좋아하는 과목에 대해 묻고 답할 수 있어요.
favorite를 사용하여 좋아하는 과목을 묻고 말할 수 있어요.",What's your ___ subject?,네가 좋아하는 과목은 무엇인가요?,best,favorite,most,favorite,2,I ___ math.,나는 수학을 더 좋아해.,hate,prefer,ignore,prefer,2,A: What's your favorite subject? B: My favorite subject is science. A: Which subject do you like most? B: I prefer art.,A: 네가 좋아하는 과목은 무엇인가요? B: 내가 가장 좋아하는 과목은 과학이야. A: 가장 좋아하는 과목은 무엇인가요? B: 나는 미술을 더 좋아해.
"상대방의 일과 시간에 대해 묻고 답할 수 있어요.
You can use 'What time ()' to ask and answer about daily schedules.",What time do you ___? I wake up at 7.,몇 시에 일어나요? 저는 7시에 일어나요.,get up,wake up,rise up,wake up,2,When do you ___? I get up at 8.,몇 시에 일어나요? 저는 8시에 일어나요.,wake,rise,sleep,rise,2,A: What time do you get up? B: I get up at 6. A: When do you start your day? B: I start my day at 6:30.,A: 몇 시에 일어나요? B: 저는 6시에 일어나요. A: 언제 하루를 시작해요? B: 저는 6시 30분에 시작해요.
"미래의 계획에 대해 물어보고 대답할 수 있어요.
will를 활용해 미래 시제를 표현할 수 있어요.",What ___ you do this weekend?,이번 주말에 무엇을 할 거예요?,would,will,can,will,2,A: What are your plans for this afternoon? B: I will _____.,오늘 오후에 어떤 계획이 있나요? B: 저는 공부할 거예요.,play,study,sleep,study,2,A: What will you do on Saturday? B: I will go to the park. A: What are your plans for next week? B: I will start a new hobby.,A: 토요일에 무엇을 할 거예요? B: 공원에 갈 거예요. A: 다음 주에 어떤 계획이 있나요? B: 새로운 취미를 시작할 거예요.
"과거 시제를 사용하여 과거에 한 일에 대해 묻고 대답할 수 있어요.
You can ask and answer questions about past activities using the past tense.",A: What did you do during your vacation? B: I ____ a zoo and saw animals.,A: 방학 동안 뭐 했어? B: 나는 동물원을 방문했고 동물들을 봤어.,enjoyed,visited,explored,visited,2,A: What did you enjoy yesterday? B: I ____ and also watched a movie. A: Where did you go before? B: I went to a mall and shopped there.,A: 어제 뭐가 제일 즐거웠어? B: 나는 ___하고 영화도 봤어. A: 예전에 어디 갔었어? B: 나는 쇼핑몰에 가서 쇼핑을 했어.,studied,cooked,played,played,3,A: What did you do last weekend? B: I visited a museum and admired art. A: What did you enjoy yesterday? B: I danced and also sang. A: Where did you go before? B: I went to a park and walked there.,A: 지난 주말에 뭐 했어? B: 나는 박물관을 방문하고 예술을 감상했어. A: 어제 뭐가 제일 즐거웠어? B: 나는 춤췄고 노래도 불렀어. A: 예전에 어디 갔었어? B: 나는 공원에 가서 걸었어.
"길 안내 관련 표현을 사용할 수 있어요.
방향 묻고 답하기 연습을 할 수 있어요.",B: ______.,계속 직진해서 좌회전해.,Turn right,Go straight and turn left,Walk backwards,Go straight and turn left,2,B: ______.,이쪽으로 내려가서 그 다음에.,Go down this way and then,Walk straight ahead,Turn left immediately,Go down this way and then,1,A: Where is the nearest park? B: Walk straight and turn right. It's next to the museum. A: Where can I find a cafe? B: Go down this way and then take a left. It's close by.,A: 가장 가까운 공원이 어디에 있어? B: 직진해서 오른쪽으로 돌아. 박물관 옆에 있어. A: 카페는 어디서 찾을 수 있어? B: 이쪽으로 가다가 좌회전해. 바로 근처야.
"물건의 가격을 묻고 답하는 표현을 사용할 수 있어요.
How much is ()와 관련된 구조적 표현을 활용할 수 있어요.",A: ___ is this book?,이 책은 얼마예요?,What book,How many,How much,How much,3,A: What’s the ___ of this item?,이 물건의 가격이 얼마예요?,price,color,size,price,1,A: How much is this pen? B: It’s three dollars. A: What’s the price of that notebook? B: It costs six dollars.,A: 이 펜은 얼마예요? B: 3달러입니다. A: 저 노트북 가격이 얼마예요? B: 6달러입니다.
"집 내부를 소개하는 표현을 사용할 수 있어요.
Use 'This is ~' to introduce parts of a house.",___ is the kitchen.,이것은 주방입니다.,That,This,These,This,2,This is the ___.,이것은 침실입니다.,bathroom,bedroom,living room,bedroom,2,A: This is my study. B: It looks very comfortable. A: This is the porch. B: I really enjoy this view.,A: 이것은 내 공부방입니다. B: 정말 편안해 보여요. A: 이것은 현관입니다. B: 이 전망이 정말 마음에 들어요.
"하고 싶은 일을 묻고 답하는 방법을 배울 수 있어요.
want to () 표현을 사용하여 하고 싶은 일을 표현할 수 있어요.",I want to ____ the amusement park.,나는 놀이공원에 가고 싶어.,enter,visit,go,visit,2,I want to ____.,나는 놀이공원을 방문하고 싶어.,watch,visit,play,visit,2,A: What do you want to do today? B: I want to try a cooking class. A: What would you like to do? B: I want to try it out.,A: 오늘 뭐 하고 싶어? B: 요리 강습을 받아보고 싶어. A: 무슨 일을 해보고 싶어? B: 한번 해보고 싶어.
"상대방이 좋아하는 계절에 대해 묻고 대답할 수 있어요.
""do you like""를 활용하여 상대방의 선호하는 계절을 물어볼 수 있어요.",Which season do you ___?,어느 계절을 좋아합니까?,love,like,adore,like,2,Which time of year do you enjoy most? B: I ___ autumn.,가장 좋아하는 시기는 언제입니까? B: 저는 가을을 선호합니다.,like,prefer,enjoy,prefer,2,A: Which season do you like? B: I enjoy summer. A: What is your favorite season? B: I prefer summer.,A: 어느 계절을 좋아합니까? B: 저는 여름을 즐깁니다. A: 가장 좋아하는 계절은 무엇입니까? B: 저는 여름을 선호합니다.
"출신지를 묻고 답하는 표현을 사용할 수 있어요.
Expressions used for asking and answering about one's origin.",A: Where are you ___? B: I am from Korea.,A: 당신은 어디서 오셨어요? B: 저는 한국에서 왔습니다.,to,from,in,from,2,A: Where do you ___ from? B: I come from ().,A: 당신은 어디서 오셨어요? B: 저는 한국 출신입니다.,come,live,go,come,1,A: May I ask where you're from? B: I'm from Korea. A: Could you tell me your hometown? B: My hometown is Busan.,"A: 실례지만, 출신지가 어디신가요? B: 저는 한국 출신입니다. A: 고향이 어디인지 알려주실 수 있나요? B: 제 고향은 부산입니다."
"좋아하는 과목을 묻고 답할 수 있어요.
Use 'favorite ()' to ask and answer about favorite subjects.",A: What's your ___ subject? B: My favorite subject is science.,A: 네가 가장 좋아하는 과목이 뭐야? B: 내가 가장 좋아하는 과목은 science야.,preferred,favorite,enjoyable,favorite,2,A: What subject do you like most? B: My ___ subject is math.,A: 어떤 과목을 제일 좋아해? B: 내가 ___ 과목은 math야.,loved,preferred,enjoyed,preferred,2,A: What's your favorite subject? B: My favorite subject is history. A: Which subject do you like most? B: I really enjoy studying history.,A: 네가 가장 좋아하는 과목이 뭐야? B: 내가 가장 좋아하는 과목은 역사야. A: 어떤 과목을 제일 좋아해? B: 나는 역사 공부를 정말 즐겨.
"Can I ()? 패턴을 사용해 허락을 요청할 수 있어요.
이 표현을 활용해 상대방에게 허락을 구하고 답할 수 있어요.",Can I ___ your notebook?,너의 노트북을 사용해도 될까요?,take,use,borrow,use,2,May I ___ your pen?,너의 펜을 가져가도 될까요?,borrow,take,use,take,2,"A: Can I use your pencil? B: Sure, go ahead. A: May I take your eraser? B: Yes, you may.","A: 너의 연필을 사용해도 될까요? B: 물론, 사용해도 돼요. A: 너의 지우개를 가져가도 될까요? B: 네, 가져가도 돼요."
"물건이 누구의 것인지 묻고 답할 수 있어요.
Whose () is this? 표현을 사용하여 물건의 주인을 물어볼 수 있어요.",Whose ____ is this?,이거 누구의 책이야?,pen,book,umbrella,book,2,Whose ____ is this?,이거 누구의 우산이야?,pen,umbrella,book,umbrella,2,A: Whose notebook is this? B: It's yours. A: Whose eraser is that? B: It's mine.,A: 이거 누구의 공책이야? B: 네 거야. A: 저거 누구의 지우개야? B: 내 거야.
"제안을 하고 동의하는 표현을 사용할 수 있어요.
You can make suggestions and agree using expressions like 'Let's', 'Why don't we', and 'How about'.",Let's ___ the zoo. B: Sure.,동물원에 가자. 응.,explore,visit,skip,visit,2,A: Why don't we ___ the museum? B: That sounds fun.,왜 우리 박물관을 탐험해보는 게 어때? 재밌을 것 같아.,explore,visit,avoid,explore,1,A: Let's visit the aquarium. B: Sure. A: Why don't we explore the botanical garden? B: That sounds fun. A: How about going to the park? B: I'd love to.,A: 수족관에 가자. B: 좋아. A: 우리 식물원을 탐험해보는 게 어때? B: 재밌을 것 같아. A: 공원에 가는 건 어때? B: 정말 좋았어.
"하고 싶은 일을 묻고 답하는 표현을 사용할 수 있어요.
want to ()를 활용하여 하고 싶은 일을 물어보고 답할 수 있어요.",What do you ___ do?,뭐 하고 싶어?,will,can,want,want,3,I would like to ___ at the moment.,지금 당장 무엇을 시도해보고 싶어?,play,try,do,try,2,A: What do you want to do later? B: I want to go to the beach. A: What activity do you enjoy doing? B: I enjoy hiking. A: What would you like to try at the moment? B: I would like to try surfing.,A: 이후에 뭐 하고 싶어? B: 해변에 가고 싶어. A: 어떤 활동을 즐기니? B: 나는 하이킹을 즐겨. A: 지금 당장 무엇을 시도해보고 싶어? B: 서핑을 해보고 싶어.
"지나간 일의 느낌을 묻는 표현을 사용할 수 있어요.
How was ()? 표현을 활용해 지난 경험에 대해 의견을 말할 수 있어요.",A: How was your picnic? B: It was ______.,A: 소풍은 어땠어? B: 정말 즐거웠어.,ordinary,dismal,delightful,delightful,3,A: What did you think of your trip? B: It was ______.,A: 여행은 어땠어? B: 정말 멋졌어.,normal,amazing,disappointing,amazing,2,A: How was your hike? B: It was delightful. A: How did you feel about the journey? B: It was amazing.,A: 하이킹은 어땠어? B: 정말 즐거웠어. A: 여행에 대해 어떻게 느꼈어? B: 정말 멋졌어.
"일상의 일과를 묻고 답하는 표현을 사용할 수 있어요.
You can ask and answer questions about daily routines.",A: ___ do you wake up? B: I wake up at 7.,A: 몇 시에 일어나니? B: 7시에 일어나.,What time,Which time,When,What time,1,B: I have breakfast at ___.,B: 나는 아침을 8시에 먹어.,7,8,9,8,2,A: What time does your class start? B: It starts at 8. A: When do you have lunch at school? B: I have lunch at 12.,A: 몇 시에 수업이 시작해? B: 8시에 시작해. A: 학교에서 언제 점심을 먹어? B: 12시에 먹어.
"How much (~)?를 통해 가격을 묻고 답할 수 있어요.
How much is this toy?와 같은 표현을 사용하여 가격 질문 및 답하기.",A: ___ is this toy? B: It’s 500 won.,이 장난감은 얼마예요?,How many,How much,What many,How much,2,A: What is the ___ of this book? B: It’s () won.,이 책의 가격은 얼마예요?,cost,amount,price,price,3,A: How much is this pen? B: It’s 300 won. A: What is the price of this notebook? B: It’s 1500 won.,A: 이 펜은 얼마예요? B: 300원이에요. A: 이 공책의 가격은 얼마예요? B: 1500원이에요.
"길의 위치를 묻고 답하는 표현을 연습합니다.
Practice asking and answering about directions.",A: ______ the nearest park? B: Go straight and you'll find it on your left.,A: 가장 가까운 공원이 어디에 있나요? B: 직진하면 왼쪽에 있습니다.,How's,Where's,When's,Where's,2,A: How can I ______ the park? B: It's located close by.,A: 어떻게 하면 공원에 도착할 수 있나요? B: 가까이 위치해 있습니다.,find,reach,locate,reach,2,A: Where's the nearest library? B: Go straight and you'll find it on your right. A: How can I reach the library? B: It's located just around the corner.,A: 가장 가까운 도서관이 어디에 있나요? B: 직진하면 오른쪽에 있습니다. A: 어떻게 하면 도서관에 도착할 수 있나요? B: 바로 모퉁이를 돌면 있습니다.
"look like를 활용하여 외모에 대해 물어보고 대답할 수 있어요.
다양한 표현을 사용하여 사람의 외모를 묘사할 수 있어요.",A: What does your best friend ___? B: She has short wavy hair.,A: 너의 가장 친한 친구는 어떻게 생겼니? B: 그녀는 짧은 물결 머리를 가지고 있어.,sound like,look like,smell like,look like,2,A: How does your friend look? B: ___ has straight dark hair.,A: 너의 친구는 어떻게 생겼어? B: 그녀는 곧은 어두운 머리야.,Her,She,They,She,2,A: What does your cousin look like? B: He has long straight hair. A: Could you describe your classmate's appearance? B: He is short with wavy hair.,A: 너의 사촌은 어떻게 생겼어? B: 그는 긴 직모를 가지고 있어. A: 네 반 친구의 외모를 묘사해 줄래? B: 그는 짧은 물결 머리를 가지고 있어.
"동사 'do'를 활용하여 질문하고 대답할 수 있어요.
직업에 대해 물어볼 때 'do'를 사용하는 표현을 익혀요.",A: What does she ___? B: She's a teacher.,A: 그녀는 무슨 일을 하시나요? B: 그녀는 선생님이세요.,make,do,did,do,2,A: Who ___ a doctor?,A: 누가 의사로 일하나요?,does,works as,seems,works as,2,A: What does he do? B: He's an engineer. A: Who works as an engineer? B: John works as an engineer.,A: 그는 무슨 일을 하나요? B: 그는 엔지니어예요. A: 누가 엔지니어로 일하나요? B: 존은 엔지니어로 일해요.
"출신 국가를 묻는 표현을 익힐 수 있어요.
Learn how to ask and answer questions about someone's country of origin.",B: I’m from ___.,B: 나는 캐나다 출신이에요.,Australia,Canada,Brazil,Canada,2,A: What ___ are you from?,A: 당신은 어느 나라 사람입니까?,city,time,country,country,3,A: Where do you originate? B: I come from France. A: Which country do you call home? B: I call home France.,A: 어디서 태어났어요? B: 저는 프랑스 출신이에요. A: 어떤 나라를 고향이라고 부르세요? B: 저는 프랑스를 고향으로 부릅니다.
"여가 활동에 대해 질문하고 답할 수 있어요.
What do you do on ()?와 같은 표현을 사용하여 여가 활동을 묻고 답할 수 있어요.",B: I ___ to a music class.,B: 나는 음악 수업에 간다.,stay,go,play,go,2,B: I always ___.,B: 나는 항상 ___.,work,relax,sleep,relax,2,A: What do you do on holidays? B: I explore new cafes. A: How do you spend your free time? B: I usually read books.,A: 휴일에는 뭐 해? B: 나는 새로운 카페를 탐방해. A: 자유 시간에는 어떻게 보내? B: 보통 책을 읽어.
"허락을 요청하고 응답하는 표현을 익힐 수 있어요.
You can request permission using the phrase 'May I ()?' and respond appropriately.","A: May I ____ your pen? B: Yes, you may. / No, you may not.",당신의 펜을 사용해도 될까요?,take,use,lend,use,2,"A: Could I ______ your notebook? B: Sure! / Sorry, not right now.",너의 노트북을 빌려도 될까요?,lend,borrow,steal,borrow,2,"A: May I use your calculator? B: Yes, you may. A: Could I borrow your pencil case? B: Sure!","A: 당신의 계산기를 사용해도 될까요? B: 네, 사용하셔도 됩니다. A: 당신의 필통을 빌려도 될까요? B: 물론이죠!"
"물건의 주인을 묻고 답하는 표현을 익힐 수 있어요.
Whose () is this?와 같은 표현을 사용하여 물건의 주인을 물어볼 수 있어요.",A: ____ glove is this? B: It's Mina's.,이 장갑은 누구의 것입니까? 그것은 미나의 것입니다.,Who,What,Whose,Whose,3,"A: Who ___ this book? B: That belongs to him. A: Does this book belong to you? B: No, it's his.","A: 이 책은 누구 소유입니까? B: 그건 그의 것입니다. A: 이 책이 당신의 것입니까? B: 아니요, 그의 것입니다.",holds,owns,has,owns,2,A: Whose backpack is this? B: It's Lisa's. A: Who owns this bicycle? B: That belongs to him.,A: 이 책가방은 누구의 것입니까? B: 그것은 리사의 것입니다. A: 이 자전거는 누구 소유입니까? B: 그것은 그의 것입니다.
"음식 주문을 받을 때 사용할 수 있는 표현을 익힐 수 있어요.
Learn to take orders using 'May I take your order?' and related phrases.",A: May I ___ your order?,주문 받으시겠어요?,serve,take,bring,take,2,B: I’ll ___ a cheeseburger.,치즈버거를 주문할 때 사용하는 표현이에요.,have,want,eat,have,1,"A: May I take your order? B: I’d like a veggie burger. A: Can I get you a drink? B: Yes, I’d like a soda.","A: 주문 받아도 될까요? B: 저는 야채버거를 주문할게요. A: 음료도 드릴까요? B: 네, 소다를 부탁드려요."
"미래에 할 일을 묻고 답하는 표현을 익힐 수 있어요.
미래에 무슨 활동을 할 건지 물어보고 답하는 영어 표현을 사용할 수 있어요.",A: What will you do ____?,A: 다음 주말에 뭐할 거야? B: 난 산행 갈 거야.,this morning,last night,next weekend,next weekend,3,B: I’m going to ____.,B: 난 산행 갈 거야.,go shopping,go hiking,go swimming,go hiking,2,"A: What will you do next weekend? B: I’ll try rock climbing. A: Do you have any plans for next weekend? B: Yes, I’m planning to try rock climbing.","A: 다음 주말에 뭐할 거야? B: 난 암벽 등반 해볼 거야. A: 다음 주말에 계획 있어? B: 응, 난 암벽 등반 해볼 계획이야."
"과거에 한 일에 대해 묻고 답할 수 있어요.
‘How was ()?’와 같은 표현을 사용하여 과거의 경험을 물어볼 수 있어요.",A: ___ was your weekend? B: It was fantastic.,A: 주말은 어땠어? B: 정말 환상적이었어.,What,When,How,How,3,A: How ___ your exam go?,A: 시험은 어떻게 진행되었어?,do,does,did,did,3,A: How was your holiday? B: It was amazing. A: How did your birthday party go? B: It went splendidly. A: What was the celebration like? B: It was incredibly joyful.,A: 휴일은 어땠어? B: 정말 좋았어. A: 생일 파티는 어떻게 진행되었어? B: 아주 멋지게 진행되었어. A: 파티는 어땠어? B: 정말 즐거웠어.
"물건의 가격을 묻고 답하는 표현을 익힐 수 있어요.
How much are ()? 표현을 사용하여 가격을 물어볼 수 있어요.",How much are these ______?,이 운동화의 가격이 얼마예요?,boots,sneakers,shoes,sneakers,2,How much do these ______ cost?,이 운동화는 얼마인가요?,caps,sneakers,scarves,sneakers,2,A: How much are these boots? B: They are thirty dollars. A: How much do these boots cost? B: They cost thirty dollars.,A: 이 부츠의 가격이 얼마예요? B: 30달러입니다. A: 이 부츠는 얼마예요? B: 30달러입니다.
