Key Expression (한국어),Sub Expression (한국어)
"A: 이번 주말에 소풍 가자. B: 정말 좋을 것 같아. / 미안, 나는 참여할 수 없어.","A: 쿠키 만들어보자. B: 재미있을 것 같아. / 미안, 그 날은 바빠. A: 박물관에 가보자. B: 좋은 생각이야. / 미안, 다른 약속이 있어."
A: 그녀의 생일은 언제야? B: 5월 5일이야.,A: 네 행사는 무슨 날짜야? B: ()에 있어. A: 언제 열려? B: ()에 열려.
A: 너는 뭐 할 거야? B: 나는 공원에 갈 거야.,A: 뭐 할 거야? B: 곧 ()할 거야. A: 오늘 뭐 할 계획이야? B: 나는 ()할 계획이야.
A: 무슨 일이야? B: 배가 아파.,A: 기분이 어때? B: 나는 ()이 있어. A: 괜찮아? B: 나는 ()이 있어.
A: 무엇을 드시고 싶으세요? B: 저는 파스타를 먹고 싶어요.,A: 무엇을 드시고 싶으세요? B: 저는 ()를 먹고 싶어요. A: 주문 받아도 될까요? B: 저는 ()를 먹고 싶어요.
A: 그녀는 어떻게 생겼어? B: 그녀는 긴 곱슬머리를 가지고 있어.,A: 그녀는 어떻게 보여? B: 그녀는 () 머리를 가지고 있어. A: 그녀의 외모를 묘사해봐. B: 그녀는 () 머리를 가지고 있어.
말이 당나귀보다 더 빠르다.,코끼리는 코뿔소보다 더 크다. 연필은 펜보다 더 짧다.
"A: 민담에 대해 뭔가 알고 있어? B: 아니, 별로 잘 모르겠어.","A: ()에 대해 익숙해? B: 아니, 전혀 감이 없어. A: ()에 대해 아는 게 있어? B: 응, 알고 있어."
A: 동물원에 어떻게 갈 수 있어? B: 기차로 갈 수 있어.,A: 도서관까지 어떻게 가? B: 버스로 갈 수 있어. A: 공원까지 어떤 교통수단으로 갈 수 있어? B: 자전거로 갈 수 있어.
이 이야기는 매혹적인 것 같아.,이 아이템은 신나 보여. 이 영화는 재미있어 보여.
A: 왜 그렇게 신이 나? B: 경주에서 잘했기 때문이야.,A: 왜 그렇게 ()해? B: 내가 ()했기 때문이야. A: 무엇이 너를 ()하게 만들어? B: 그것은 () 때문이야.
A: 몇 학년이야? B: 나는 2학년이야.,A: 어느 학년에 다니고 있어? B: 나는 () 학년이야. A: 네 학년을 말해줄래? B: 내 학년은 ()야.
A: 왜 기분이 좋아? B: 선물을 받았기 때문이야.,A: 왜 우울해 보여? B: ~때문이야. A: 왜 웃고 있어? B: 방금 ~했기 때문이야.
A: 무슨 문제가 있어? B: 머리가 아파.,A: 기분이 어때? B: 내 ()가 아파. A: 괜찮아? B: 내 ()가 불편해.
A: 너는 얼마나 자주 이야기를 읽어? B: 잠자기 전 매일 밤.,A: ()에 얼마나 자주 방문해? B: 일주일에 () 정도. A: ()와 얼마나 자주 놀아? B: 매일 오후 ().
A: 콘서트는 언제야? B: 7월 15일이야.,A: ()는 언제야? B: ()에 있어. A: ()는 무슨 날에 있어? B: ()에 있어.
A: 오늘 저녁에 뭐 할 거야? B: 영화 볼 거야.,"A: 이번 주말에 뭐 할 계획이야? B: 이번 주말에 () 할 계획이야. A: 내일 계획 있어? B: 응, 내일 () 할 거야."
A: 동물원에 어떻게 가나요? B: 3번 지하철을 타고 마지막 역에서 내리세요.,"A: ()에 가는 가장 좋은 방법이 뭐예요? B: ()를 타면 쉽게 갈 수 있어요. A: ()에 어떻게 가는지 알려줄래요? B: 네, 그냥 ()를 타고 길을 따라 가면 돼요."
"A: 주문 받을까요? B: 네, 부탁해요. 피자 주세요.","A: 뭐 먹을래? B: () 주세요. A: 뭐 더 줄까? B: 응, 부탁해. () 주세요."
A: 누가 더 키가 커? B: 펠릭스는 샘보다 더 커.,A: 누가 더 빨리 달려? B: ()가 ()보다 더 빨라. A: 어느 쪽이 더 작아? B: ()가 ()보다 더 작아.
"A: 판다에 대해 뭔가 알고 있어? B: 응, 알고 있어. 그들은 검정색과 흰색이야.","A: ()에 대해 알고 있어? B: 응, 그것은 (). A: ()에 대해 들어본 적 있어? B: 응, 들어봤어."
A: 지구를 위해 우리가 무엇을 할 수 있을까? B: 우리는 종이를 재활용할 수 있어.,A: ()를 위해 우리는 무엇을 해야 할까? B: 우리는 ()할 수 있어. A: ()를 위해 어떻게 도와줄 수 있을까? B: 우리는 ()해야 해.
A: 너는 무엇이 되고 싶어? B: 나는 과학자가 되고 싶어.,A: 너는 어떤 직업을 꿈꾸니? B: 나는 (~)이 되고 싶어. A: 네 미래의 목표는 무엇이니? B: 나는 (~)이 되고 싶어.
A: 몇 학년이니? B: 나는 3학년이야.,A: 너 몇 반이니? B: 나는 ()반이야. A: 너 학교 몇 학년이니? B: 나는 ()학년이야.
A: 무슨 일이야? B: 머리가 아파.,"A: 오늘 몸이 어때? B: 나는 (,) 느껴. A: 어디가 아파? B: 내 ()가 아파."
A: 생일 파티가 언제야? B: 8월 5일이야.,A: 행사의 날짜가 언제야? B: ()에 있어. A: 축하 행사는 언제 열릴 거야? B: ()에 열릴 거야.
A: 도서관이 어디에 있나요? B: 직진으로 세 블록 걸으면 왼쪽에 있어요.,"A: ()까지 가는 길을 알려줄래요? B: 물론이죠, 직진해서 ()를 지나면 돼요. A: ()에 어떻게 도착하나요? B: 그냥 직진하면 되고, () 근처에 있어요."
A: 이번 주말에 뭐 할 거야? B: 나는 조부모님을 방문할 거야.,A: () 할 계획이 뭐야? B: 나는 ()할 계획이야. A: ()할 생각이 뭐야? B: 나는 ()할 생각이야.
A: 그녀는 어떻게 생겼어? B: 그녀는 파란 눈과 짧고 곱슬한 머리를 가지고 있어.,A: 그는 어떻게 생겼어? B: 그는 ()와 ()를 가지고 있어. A: 그녀의 외모를 설명해 줄래? B: 그녀는 ()와 ()를 가지고 있어.
A: 만화를 얼마나 자주 봐? B: 일주일에 두 번.,"A: 얼마나 자주 책을 읽어? B: 한 달에 ()
A: 얼마나 규칙적으로 밖에 나가? B: 매일 저녁마다 ()"
A: 나는 너보다 키가 커!,A: 나는 ()보다 더 행복해. A: 나는 ()보다 더 신나.
A: 너는 어떻게 생각해? B: 나도 그렇게 생각해.,"A: ()에 동의해? B: 응, 동의해. A: ()라고 말할 수 있어? B: 아니, 그렇지 않아."
A: 누가 차를 수리했어? B: 정비사가 했어.,A: 누가 그림을 그렸어? B: ()가 했어. A: 누가 식사를 준비했어? B: ()가 했어.
우리는 동물을 돌봐야 해.,우리는 ()를 보호해야 해. ()를 도와주는 것이 필요해.
A: 그 단어 철자 어떻게 해? B: C-O-M-F-O-R-T로 써.,A: 이 이름 철자 어떻게 해? B: ()로 써. A: 저것 철자는 뭐야? B: ()로 써.
매워요.,달콤해요. 새콤한 맛이 나요.
"A: 게임하는 거 좋아해? B: 응, 좋아해.","A: ~하는 거 즐겨? B: 응, 즐겨. A: ~하는 것에 관심 있어? B: 응, 관심 있어."
좋아!,잘 될 것 같아. 좋은 생각인 것 같아.
실례합니다!,실례합니다! 미안해요!
나는 그게 옳다고 믿지 않아.,나는 그 점에 대해 확신이 없어. 나는 그 견해에 동의하지 않아.
물론이지!,"좋은 생각이야! 좋아, 해보자!"
"A: 박물관을 방문했어? B: 응, 방문했어.","A: 어제 () 했어? B: 응, 했어. A: 지난 주말에 () 일어났어? B: 아니, 안 그랬어."
"계속해, 너라면 이룰 수 있어!","자신을 믿어, 너는 ()를 이룰 수 있어. 자신감을 가져, 그러면 ()가 일어날 거야."
나중에 봐.,안녕. 좋은 하루 보내.
힘내!,긍정적으로 생각해! 포기하지 마!
nan,"그 소식을 들으니 유감이야. 오, 정말 안타깝네."
뭐라고요?,다시 한 번 말해 줄래? 뭐라고요?
네 성취를 축하해!,네 ()를 완성한 것을 축하해! 네 ()를 잘 해냈어!
A: 우리 도서관은 어디에 있어? B: 2층에 있어.,A: 식당은 몇 층에 있어? B: 3층에 있어. A: 체육관은 어디서 찾을 수 있어? B: 1층에 있어.
너는 그림 그리기에 뛰어나.,너는 ~하기에 능숙해. 너는 ~하기에 훌륭해.
"A: 여보세요? B: 여보세요, 여기는 알렉스입니다. Ryan과 통화할 수 있을까요? C: 통화 중입니다.","A: 여보세요? B: 여보세요, 저는 ()입니다. ()와 통화할 수 있을까요? C: ()입니다. A: 여보세요? B: 여보세요, 여기는 ()입니다. ()와 통화할 수 있을까요? C: ()입니다."
나는 그것을 기대하고 있어.,나는 ()하는 것을 참을 수 없을 만큼 기대돼! 나는 ()가 너무 기대돼!
멋진 하루 보내!,멋진 저녁 보내! 즐거운 주말 보내!
너는 병원에 가야 해.,너는 좀 쉬어야 해. 기분이 좋아지기 위해 ()를 복용해야 해.
달콤해.,매워. 쓴맛이 나.
그는 파란 재킷을 입고 있어.,그녀는 빨간 모자를 쓰고 있어. 그들은 초록색 바지를 입고 있어.
얼마나 작아!,정말 놀라워! 대단해!
나는 답을 몰라.,나는 전혀 모른다. 나는 그것에 대해 확신이 없어.
공원과 학교 사이에 위치해 있어.,()와 () 근처에 있어. () 옆에 있어.
nan,"A: 너의 생각은 어때?
B: 나도 같은 의견이야. A: 너도 그렇게 생각해?
B: 난 그렇게 생각하지 않아."
모든 것이 잘 될 거야.,너는 할 수 있어! 긍정적으로 생각해!
A: 소풍에 우리와 함께할래? B: 좋아.,"A: ()에 우리와 함께할래? B: 물론이지. A: ()의 일원이 되고 싶어? B: 미안, 안 돼."
화내지 마.,모든 게 괜찮을 거야. 곧 좋아질 거야.
A: 이 약을 복용하고 충분한 휴식을 취하세요.,A: 기분이 좋아지려면 () 해야 해. A: 빨리 회복하려면 () 하는 것이 도움이 돼.
A: 너는 매일 운동해야 해.,A: ~하려고 노력해봐. A: ~하는 게 좋아.
A: 내 미술 전시에 올 수 있니? B: 물론이지.,"A: ()에 올 수 있니? B: 미안, 못 가겠어. A: ()에 가보고 싶니? B: 정말 좋네."
정말 멋진 아이디어야!,정말 좋은 제안이야! 정말 좋은 생각이야!
A: 학교 옆에 있어. B: 거기로 가자!,A: () 근처에 있어. B: 방문해보자. A: () 맞은편에 있어. B: 한 번 살펴보자.
이것은 달콤해.,이것은 () 맛이야. 정말 ()이야.
나는 그렇게 생각하지 않아.,나는 ()에 대해 확실하지 않아. 나는 ()에 동의하지 않아.
나는 전혀 몰라.,모르겠어 (). 확실치 않아 ().
TV를 끄는 것을 잊지 마세요.,반드시 ()하세요. 꼭 ()하세요.
너는 할 수 있어.,자신을 믿어! 계속해!
A: 네 이름의 철자를 어떻게 써? B: M-A-R-Y.,"A: 이 단어의 철자를 말해줄 수 있어? B: 응, ()야. A: ()의 철자가 뭐야? B: ()야."
이 책을 가져가서 자기 전에 읽어.,이 ()을 가져가서 ()에게 줘. 이 ()을 가져가서 () 위에 놓아.
A: 소풍에 우리랑 같이 갈 수 있어? B: 물론이지.,"A: ()에 올래? B: 정말 가고 싶어. A: ()에 시간 있어? B: 좋아, 왜 안돼?"
A: 공원 옆에 있어.,A: () 건물 옆에 있어. A: () 지역 근처에 있어.
A: 여보세요? B: 마이크입니다.,"A: 이쪽이 ()입니까? B: 네, ()입니다. A: ()와 통화할 수 있을까요? B: 말씀입니다."
A: 존은 무슨 옷을 입고 있니? B: 그는 노란색 셔츠를 입고 있어.,A: 메리의 바지가 무슨 색이야? B: 그녀는 파란색 바지를 입고 있어. A: 누구가 초록색 모자를 쓰고 있니? B: ()는 초록색 모자를 쓰고 있어.
잘했어!,"()에게는 정말 대단해. 너 정말 잘했어, ()."
A: 그건 옳지 않아.,A: 그건 ()가 아니야! A: 나는 ()라고 생각하지 않아.
A: 난 그게 도전적이라고 생각해. B: 정말? 왜 그렇게 생각해?,A: 내 생각에는 ()가 까다로워. B: 왜 그렇게 느끼니? A: 난 ()가 힘들 수 있다고 믿어. B: 어떻게 그렇게 결론지었어?
A: 네가 '셰익스피어'라고 말했어?,A: ()라고 언급했어? A: ()에 대해 이야기했어?
A: 같이 점심 먹는 건 어때? B: 좋아!,A: ~하자? B: 좋은 생각이야. A: ~하는 건 어때? B: 정말 좋아.
