제목,출판사,교육과정,Lesson,Title,Goal,Functions (의사소통기능),Structures (언어 형식),Functions Material 1,Functions Material 2,
영어,능률(양),2015,3,"Take Action, Make a Difference",N/A,"• 유감이나 동정 표현하기  
I’m sorry to hear that.  

• 도움 제안하기  
Can I be of any help with that?  ","• to one's+감정 명사
To my surprise, teachers agreed to make it official.  

• 주어로 활용된 관계대명사 what
What I learned is that we can contribute to making a better world.  ","[DESCRIPTION]

I'm sorry to hear that 와 같은 표현으로 유감이나 동정 표현하기

[KEY_EXPRESSION]

I appreciate your understanding of my situation.

[SUB_EXPRESSION_1]

I'm saddened to hear about ().

[SUB_EXPRESSION_2]

I feel sorry for ().","[DESCRIPTION]

다양한 표현으로 도움 제안하기

[KEY_EXPRESSION]

Could I assist you with anything?

[SUB_EXPRESSION_1]

May I lend a hand with ()?

[SUB_EXPRESSION_2]

Is there something I could help you with?",
영어,능률(양),2015,4,"Some Like It Cold, Some Like It Hot",N/A,"• 음식 권하기  
Would you like something to eat?  

• 알고 있는지 묻기  
Have you heard about Naju gomtang?  ","• with+명사+분사
With the summer progressing, the weather kept getting hotter.  

• 동격의 전치사구 'of ~'
The idea of eating samgyetang sounded good.  ","[DESCRIPTION]

Would you like ()?를 활용해 음식이나 음료를 권하기

[KEY_EXPRESSION]

Would you like a cup of coffee?

[SUB_EXPRESSION_1]

Would you like to try ()?

[SUB_EXPRESSION_2]

May I offer you ()?","[DESCRIPTION]

현재완료형을 활용해 특정 정보에 대해 알고 있는지를 묻기

[KEY_EXPRESSION]

Have you come across the term Silla Dynasty before?

[SUB_EXPRESSION_1]

Are you aware of ()?

[SUB_EXPRESSION_2]

Do you have knowledge about ()?",
영어,능률(양),2015,5,We Are What We Do,N/A,"• 걱정 표현하기  
I’m worried about soil pollution.  

• 도덕적 의무 표현하기  
We ought to reuse things.  ","• one of+최상급+복수명사
Browsing in a mall is one of the most popular pastimes.  

• 전치사+관계대명사
We are surrounded by so many ways in which we can shop.  ","[DESCRIPTION]

다양한 표현으로 걱정 표현하기

[KEY_EXPRESSION]

I'm concerned about the climate change impacts.

[SUB_EXPRESSION_1]

I'm uneasy about ().

[SUB_EXPRESSION_2]

I feel apprehensive regarding ().","[DESCRIPTION]

'ought to ()'를 활용해 도덕적 의무 표현하기

[KEY_EXPRESSION]

We must recycle materials to conserve natural resources.

[SUB_EXPRESSION_1]

You ought to care about () to improve matters.

[SUB_EXPRESSION_2]

One should consider () to make an ethical decision.",
영어,능률(양),2015,6,When Myths Meet Science,N/A,"• 의견 묻기  
What do you think of the book?  

• 호기심 표현하기  
I wonder why Venus flytraps eat insects.  ","• 의문사 없는 의문문의 간접화법
The baobab asked the gods if it could have sweet fruit as well.  

• 계속적 용법의 관계대명사 which
They can flap their wings in a figure-8 pattern, which enables them to hover.  ","[DESCRIPTION]

의문문을 활용해 의견 묻기

[KEY_EXPRESSION]

What are your thoughts on the movie?

[SUB_EXPRESSION_1]

What is your opinion about ()?

[SUB_EXPRESSION_2]

How do you feel regarding ()?","[DESCRIPTION]

의문사 why와 명제를 포함한 간접적인 궁금증 표현을 활용하여 호기심 표현하기.

[KEY_EXPRESSION]

I wonder why the stars twinkle at night.

[SUB_EXPRESSION_1]

I can't help but ask why ().

[SUB_EXPRESSION_2]

I'm curious to know why ().",
영어,능률(양),2015,7,Venice Diary,N/A,"• 희망, 기대 표현하기  
I’m looking forward to sleeping outdoors.  

• 요청하기  
Could you tell me a little about the tourist attraction?  ","• 부정 조건의 접속사 unless
You can’t say you have been to Venice unless you have ridden a gondola.  

• This is why ~
This is why we have been planning to take a special family trip for several years.  ","[DESCRIPTION]

다양한 표현으로 희망 및 기대 나타내기

[KEY_EXPRESSION]

I’m thrilled about attending the concert tonight.

[SUB_EXPRESSION_1]

I can’t wait to ()!

[SUB_EXPRESSION_2]

I'm eagerly anticipating ().","[DESCRIPTION]

공손한 요청을 위해 'Could you ()'를 활용하여 요청하기

[KEY_EXPRESSION]

Could you please provide more details about the event?

[SUB_EXPRESSION_1]

Could you kindly ()?

[SUB_EXPRESSION_2]

Could you please ()?",
영어,능률(양),2015,8,The Solution Is in Nature,N/A,"• 관심 표현하기  
How interesting!  

• 불허하기  
You’re not supposed to do that.  ","• 현재완료 수동형
The novels of Kafka have been read for decades.  

• 완료 부정사
Kafka is believed to have invented the hard hat.  ","[DESCRIPTION]

감탄사를 사용하여 관심 표현하기

[KEY_EXPRESSION]

Wow, that's fascinating!

[SUB_EXPRESSION_1]

How amazing!

[SUB_EXPRESSION_2]

What a remarkable thing to ()!","[DESCRIPTION]  

You're not supposed to ()을 활용해 허용되지 않음을 표현하기.  

[KEY_EXPRESSION]  
You're not supposed to run in the hallway.  

[KEY_EXPRESSION_KOR]  
복도에서 뛰면 안 돼요.  

[SUB_EXPRESSION_1]  
It's against the rules to ().  

[SUB_EXPRESSION_2]  
You shouldn't () here.  
",
영어1,능률(김),2015,1,A Spark in You,N/A,"• 낙담 위로하기
Don’t be discouraged.

• 모르고 있음 표현하기
I haven’t got a clue.","• 과거완료 had v-ed
Diego’s early education had not prepared him well for life at his new school

• 목적격 관계대명사의 생략
Suddenly Diego was not the sad little boy we had become used to.","[DESCRIPTION]

부정 명령문으로 위로하기

[KEY_EXPRESSION]

Don't lose hope.

[SUB_EXPRESSION_1]

Don't feel down.

[SUB_EXPRESSION_2]

Don't let it get to you.","[DESCRIPTION]

'have got ()을 활용해 모르고 있는 상태 표현하기.'

[KEY_EXPRESSION]

I have absolutely no idea.

[SUB_EXPRESSION_1]

I haven't got the slightest clue.

[SUB_EXPRESSION_2]

I am not sure at all.",
영어1,능률(김),2015,2,Embracing Our Differences,N/A,"• 의견 표현하기 
In my opinion, we should say thank you as often as possible. 

• 알고 있음 표현하기 
I heard that it tastes good.","• 동사＋목적어＋목적격 보어(to부정사)
Then the driver ordered her to give her seat to a white passenger.

• It is[was] ~ that ... 강조 구문
It was these features of his introverted personality that enabled him to focus on inventing things.","[DESCRIPTION]

In my opinion로 시작하여 의견을 표명하는 문장을 형성하기.

[KEY_EXPRESSION]

In my opinion, it's important to exercise regularly.

[SUB_EXPRESSION_1]

In my opinion, () is essential.

[SUB_EXPRESSION_2]

In my opinion, we should () more often.","[DESCRIPTION]

I heard that ...을 이용해 정보를 알고 있음을 표현하기.

[KEY_EXPRESSION]

I heard that she received a promotion.

[SUB_EXPRESSION_1]

I was informed that ().

[SUB_EXPRESSION_2]

I'm aware that ().",
영어1,능률(김),2015,3,We Are All Connected,N/A,"• 동의하기
I agree with you.

• 설명 요청하기
Could you explain what that is?","• 시간의 접속사＋v-ing
Imagine how ancient people must have felt when encountering tigers in the wild!

• as if＋가정법 과거
As a result, the other species …, are protected too, as if there were a large umbrella being held over them.","[DESCRIPTION]

다양한 표현으로 동의 뜻 전달하기

[KEY_EXPRESSION]

That's a point I completely concur with.

[SUB_EXPRESSION_1]

That's something I completely agree with.

[SUB_EXPRESSION_2]

I fully support that viewpoint.","[DESCRIPTION]

정중한 요청이나 질문 시 사용되는 Could you ~ ()를 활용해 설명 요청하기.

[KEY_EXPRESSION]

Could you explain the process in more detail?

[SUB_EXPRESSION_1]

Could you expand on ()?

[SUB_EXPRESSION_2]

Could you clarify () for me?",
영어1,능률(김),2015,4,Build a Better World,N/A,"• 제안하기
Why don’t you use your talent?

• 감탄 표현하기
What a great person!","• 명사 뒤에서 수식하는 과거분사구
Last week, I visited an exhibition of artwork and ancient items selected from the Kansong Art Museum’s collection.

• if절 대신 without구가 쓰인 가정법 과거완료
Without it, the origins and fundamentals of Hangeul would have been lost to history.","[DESCRIPTION]

Why don't we ()을 사용하여 제안을 전달하기

[KEY_EXPRESSION]

""Why don't we try that new café this weekend?""

[SUB_EXPRESSION_1]

""Why don't we go to ()?""

[SUB_EXPRESSION_2]

""Why don't we explore ()?""","[DESCRIPTION]

감탄문을 활용하여 놀라움이나 감탄 표현하기.

[KEY_EXPRESSION]

What an amazing sight!

[SUB_EXPRESSION_1]

What a wonderful ()!

[SUB_EXPRESSION_2]

What an incredible ()!",
영어1,능률(김),2015,5,"Look, Think, and Create!",N/A,"• 충고 구하기
Can you give me some advice?

• 놀람 표현하기
It’s surprising that people can find useful ideas from nature!","• 과거분사로 시작하는 수동형 분사구문
Inspired by trees, Gaudi gave the columns a single base that splits off into branches near the top.

• 관계대명사 which의 계속적 용법
More importantly, the Eastgate Centre uses far less energy than other buildings, which saves money and helps protect the environment from pollution.","[DESCRIPTION]

의문문을 사용하여 도움이나 조언 요청하기

[KEY_EXPRESSION]

Could you provide me with some guidance?

[SUB_EXPRESSION_1]

Would you be able to offer ()?

[SUB_EXPRESSION_2]

Can you assist with ()?","[DESCRIPTION]

다양한 표현으로 놀람 표현하기

[KEY_EXPRESSION]

It's astonishing how nature inspires human inventions.

[SUB_EXPRESSION_1]

It's unbelievable that () can achieve such results.

[SUB_EXPRESSION_2]

It amazes me that () happens so effectively.",
영어 2,능률(김),2015,1,Treasure in My Life,N/A,"• 기억이나 망각 표현하기  
I’ll never forget that vacation.  

• 요청하기  
Can you recommend one?  ","• 복합관계대명사
In fact, the word souvenir means “memory” in French, so whatever brings back memories could be called a “souvenir.”  

• 목적을 나타내는 접속사 so that
Finally, I put a layer of sealant over the whole plate so that the paper wouldn’t fade or wear out over time.  ","[DESCRIPTION]

다양한 표현으로 기억이나 망각 표현하기

[KEY_EXPRESSION]

I'll always cherish our last family trip.

[SUB_EXPRESSION_1]

I'm unable to recall ().

[SUB_EXPRESSION_2]

Do you still remember ()?","[DESCRIPTION]

can you ()를 활용해 요청하기

[KEY_EXPRESSION]

Could you suggest an option for me?

[SUB_EXPRESSION_1]

Would you mind recommending ()?

[SUB_EXPRESSION_2]

Do you think you could suggest ()?",
영어 2,능률(김),2015,2,In Someone Else’s Shoes,N/A,"• 충고·조언하기  
If I were you, I’d apologize to your mom and talk it over with her.  

• 확인 요청하기  
Do you mean the one with grooves?  ","• 동명사의 의미상 주어
She has a strong fear of her youth disappearing and feels uncomfortable around old people.  

• 가목적어 it
However, she soon found it very enjoyable to talk with them. ","[DESCRIPTION]

가정법을 활용해 충고·조언 표현하기

[KEY_EXPRESSION]

If I were you, I’d seek advice from someone I trust.

[SUB_EXPRESSION_1]

I’d recommend that you ().

[SUB_EXPRESSION_2]

It might be a good idea to ().","[DESCRIPTION]

의문문을 활용하여 확인 요청하기.

[KEY_EXPRESSION]

Are you referring to the document titled 'Analysis Report'?

[SUB_EXPRESSION_1]

Would you clarify if you mean ()?

[SUB_EXPRESSION_2]

Are you suggesting that this involves ()?",
영어 2,능률(김),2015,3,Be a Critical Thinker,N/A,"• 금지하기  
You’d better not believe everything you hear without question.  

• 의무 표현하기  
It is necessary to read articles with a critical eye.  ","• 재귀대명사의 강조용법
Similarly, ..., they may choose to wear one themselves.  

• 명사절을 이끄는 접속사 whether
Check whether the graph is presented in a specific way to emphasize a point. ","[DESCRIPTION]

'You'd better not ()'를 활용해 특정 행동을 금지하기.

[KEY_EXPRESSION]

You’d better not spend too much time watching TV late at night.

[SUB_EXPRESSION_1]

You’d better not overdo () in the evening.

[SUB_EXPRESSION_2]

You should refrain from () as it might be harmful.","[DESCRIPTION]

It is () to ()를 활용해 의무나 필요성 표현하기.

[KEY_EXPRESSION]

It is important to review the instructions carefully.

[SUB_EXPRESSION_1]

It is essential to () thoroughly.

[SUB_EXPRESSION_2]

It is obligatory to () promptly.",
영어 2,능률(김),2015,4,Find and Do What You Love,N/A,"• 관심 표현하기  
I’m interested in the cello.  

• 궁금증 표현하기  
I wonder who painted this beautiful picture. ","• must have p.p
She must have been unaware of how expensive they were at the time.  

• with+목적어+현재분사
Another depicts two spider webs stretched between tree branches, with tarantulas and ants attacking their prey. ","[DESCRIPTION]

be interested in ()를 활용해 관심 표현하기

[KEY_EXPRESSION]

I’m interested in modern art.

[SUB_EXPRESSION_1]

I'm fascinated by ().

[SUB_EXPRESSION_2]

I find () captivating.","[DESCRIPTION]

의문사 절을 이용해 궁금증 표현하기

[KEY_EXPRESSION]

I wonder what causes the unusual weather recently.

[SUB_EXPRESSION_1]

I am curious about who () could be.

[SUB_EXPRESSION_2]

I can't help but think about why ().",
영어 2,능률(김),2015,5,Technology: An Engine for Change,N/A,"• 확실성 정도 표현하기  
I’m quite sure it’s because of the advancement of technology.  

• 이의 제기하기  
I disagree with you.","• 미래진행형 will be v-ing
With the IoT, however, things connected to the Internet will be communicating with one another without human intervention.  

• 현재완료 수동태 have[has] been p.p
Because of this system, the number of trips garbage trucks make has been greatly reduced.  ","[DESCRIPTION]

부사와 명사를 사용해 확실성 정도 표현하기

[KEY_EXPRESSION]

I believe wholeheartedly that consistent practice leads to improvement.

[SUB_EXPRESSION_1]

I strongly believe this is due to ().

[SUB_EXPRESSION_2]

I have absolute certainty regarding ().","[DESCRIPTION]

다양한 표현으로 이의 제기하기

[KEY_EXPRESSION]

I'm not sure I can fully agree with that.

[SUB_EXPRESSION_1]

I have a different perspective.

[SUB_EXPRESSION_2]

That's not how I see it.",
공통영어 1,YBM(김),2022,1,Believe That You Can Do Better,N/A,"• 조언하기
I think you should ...","• 전치사 + -ing
The boy does not feel like taking up the challenge.

• 동격의 that
He holds onto the belief that they are best avoided.","[DESCRIPTION]  
should를 활용해 조언하기.  

[KEY_EXPRESSION]  
A: I feel really tired these days.  
B: You should get more sleep.  

[KEY_EXPRESSION_KOR]  
A: 요즘 너무 피곤해.  
B: 너는 잠을 더 자야 해.  

[SUB_EXPRESSION]  
A: I'm not sure what to do about my homework.  
B: You should ().  

A: I want to get better at English.  
B: You should () every day.  ",,
공통영어 1,YBM(김),2022,2,Art and the City,N/A,"• 제안하기
How about ...?","• 분사의 후치 수식
The picture illustrates a spring garden filled with flowers and trees.

• 현재완료 수동태
You can see a number of them have been recreated in street-side panels.","[DESCRIPTION]  
How about ()? 를 활용해 제안하기.  

[KEY_EXPRESSION]  
A: I'm bored. What should we do?  
B: How about going to the park?  

[KEY_EXPRESSION_KOR]  
A: 심심해. 뭐 할까?  
B: 공원에 가는 게 어때?  

[SUB_EXPRESSION]  
A: I don't know what to eat for lunch.  
B: How about ()?  

A: I want to do something fun this weekend.  
B: How about ()?  ",,
공통영어 1,YBM(김),2022,3,Living Green: A Guide to Sustainable Choices,N/A,"• 강조하기
I’d like to emphasize that ...","• 관계대명사 what
We should demonstrate our concerns through what we buy.

• 조건 부사절에서의 시제
Alarming numbers will keep increasing if producers maintain the old system.","[DESCRIPTION]
I’d like to emphasize that ()를 활용해 강조하기.

[KEY_EXPRESSION]
A: I’d like to emphasize that teamwork is very important.
B: Yes, working together makes everything easier.

[KEY_EXPRESSION_KOR]
A: 나는 팀워크가 매우 중요하다는 것을 강조하고 싶어.
B: 맞아, 함께 일하면 모든 것이 더 쉬워져.

[SUB_EXPRESSION]
A: I’d like to emphasize that () is very important.
B: I totally agree.

A: I’d like to emphasize that we need to ().
B: That’s a good point.",,
공통영어 1,YBM(김),2022,4,Be Smart in the Digital World,N/A,"• 비교하기
Compared to ..., ...","• 간접의문문
It is important that we know what false information is.

• 가정법 과거완료
If they had done these things, they would likely have suspected that something was not right.","[DESCRIPTION]
Compared to (), ()를 활용해 비교하기.

[KEY_EXPRESSION]
A: Compared to last year, this winter is much colder.
B: Yes, I think so too.

[KEY_EXPRESSION_KOR]
A: 작년과 비교하면 이번 겨울은 훨씬 추워.
B: 응, 나도 그렇게 생각해.

[SUB_EXPRESSION]
A: Compared to (), () is better.
B: I see what you mean.

A: Compared to (), () is more expensive.
B: That’s true.

",,
공통영어 2,YBM(김),2022,1,Make Your World a Better Place,N/A,"• 계획 말하기
I’m planning to ...","• 관계부사 when, where
During the time when an Ebola outbreak affected Africa, it proved to be invaluable.

• 분사구문
Needing donations to gather essential items, John reached out to his family.","[DESCRIPTION]
I’m planning to ()를 활용해 계획 말하기.

[KEY_EXPRESSION]
A: What are you doing this summer?
B: I’m planning to visit my grandparents.

[KEY_EXPRESSION_KOR]
A: 이번 여름에 뭐 할 거야?
B: 나는 할아버지, 할머니를 뵈러 갈 계획이야.

[SUB_EXPRESSION]
A: I’m planning to () next weekend.
B: That sounds great!

A: I’m planning to () with my friends.
B: Have fun!
",,
공통영어 2,YBM(김),2022,2,From Tradition to Trend,N/A,"• 이유 말하기
The reason is that ...","• It is/was ... that 강조
It was during the 1960s that delivery services grew again.

• so + 형용사/부사 + that ...
Customers trusted the messengers so much that they did not check the items.","[DESCRIPTION]
The reason is that ()를 활용해 이유 말하기.

[KEY_EXPRESSION]
A: Why did you choose this book?
B: The reason is that it’s very interesting.

[KEY_EXPRESSION_KOR]
A: 왜 이 책을 골랐어?
B: 이유는 이 책이 정말 재미있기 때문이야.

[SUB_EXPRESSION]
A: The reason is that I like ().
B: That makes sense.

A: The reason is that it helps me ().
B: That’s a good reason.

",,
공통영어 2,YBM(김),2022,3,Beyond Barriers,N/A,"• 영감 표현하기
I was inspired by ...","• 목적격 보어로 쓰이는 to부정사
Glenn asked Katherine Johnson to double-check the machine’s figures.

• 관계대명사의 계속적 용법
It was for the Apollo 11 mission, which sent three men to the Moon in 1969.","[DESCRIPTION]
I was inspired by ()를 활용해 영감 표현하기.

[KEY_EXPRESSION]
A: Why did you start painting?
B: I was inspired by my art teacher.

[KEY_EXPRESSION_KOR]
A: 왜 그림을 그리기 시작했어?
B: 나는 미술 선생님께 영감을 받았어.

[SUB_EXPRESSION]
A: I was inspired by () to ().
B: That’s amazing!

A: I was inspired by () and decided to ().
B: That’s a great story.",,
공통영어 2,YBM(김),2022,4,The Essence of Being Human,N/A,"• 의견 말하기
In my opinion, ...","• 복합관계부사
However well you make the replica, I don’t think I will be able to accept it.

• 주어 + request that + 주어 + (should) 동사원형
Chrissie requested that Klara continue to care about Josie.","[DESCRIPTION]
In my opinion, ()를 활용해 의견 말하기.

[KEY_EXPRESSION]
A: Do you like this movie?
B: In my opinion, it’s the best movie ever!

[KEY_EXPRESSION_KOR]
A: 이 영화 좋아해?
B: 내 생각에는 이게 최고의 영화야!

[SUB_EXPRESSION]
A: In my opinion, () is better.
B: I respect your opinion.

A: In my opinion, we should ().
B: That’s an interesting idea.",,
공통영어 1,YBM(박),2022,1,Enrich Your Life,N/A,"• 좋아하는 것 표현하기
I enjoy singing.

• 의도 표현하기
I’m thinking of joining the school choir.","• It ~ for ··· to부정사
It is important for you to write freely and honestly.

• 동명사
Releasing my feelings onto paper helped relieve my emotional tension.","[DESCRIPTION]
다양한 표현을 활용해 자신이 좋아하는 것에 대해 말하기.

[KEY_EXPRESSION]
A: What do you like to do in your free time?
B: I enjoy singing.

[KEY_EXPRESSION_KOR]
A: 너는 자유 시간에 뭐 하는 걸 좋아해?
B: 나는 노래 부르는 걸 즐겨.

[SUB_EXPRESSION]
A: I like ().
B: That sounds fun!

A: I'm into ().
B: That’s great!

","[DESCRIPTION]
be thinking of ()를 활용해 어떤 행동을 할 계획이나 의도를 표현하기.

[KEY_EXPRESSION]
A: Do you have any plans for after school?
B: I’m thinking of joining the school choir.

[KEY_EXPRESSION_KOR]
A: 방과 후에 어떤 계획 있어?
B: 나는 학교 합창단에 가입할까 생각 중이야.

[SUB_EXPRESSION]
A: Are you thinking of ()?
B: Yes, I might do that.

A: I'm thinking of () next semester.
B: That sounds interesting!",
