제목,출판사(저자),교육과정,Lesson,Title,DESCRIPTION,KEY_EXPRESSION,KEY_EXPRESSION_Kor,SUB_EXPRESSION,SUB_EXPRESSION_Kor
영어 2,능률(김),2015,2,In Someone Else’s Shoes,동명사의 의미상 주어,Understanding different perspectives enriches my life.,다른 관점을 이해하는 것이 내 삶을 풍요롭게 해요.,Listening to their stories helps me learn compassion. Imagining their challenges encourages me to be kinder.,그들의 이야기를 듣는 것이 나에게 연민을 배우게 해요. 그들의 어려움을 상상하는 것이 나를 더 친절하게 만들어줘요.
영어 2,능률(김),2015,3,Be a Critical Thinker,재귀대명사의 강조용법,I designed the poster myself.,나는 포스터를 직접 디자인했어요.,She organized the event herself. They fixed the computer themselves.,그녀는 행사를 직접 조직했어요. 그들은 컴퓨터를 직접 고쳤어요.
영어 2,능률(김),2015,4,Find and Do What You Love,must have p.p,They must have been nervous before the test.,그들은 시험 전에 긴장했을 것 같아요.,I must have been surprised to see the new club. My friend must have been excited about the event.,나는 새로운 동아리를 보고 놀랐을 것 같아요. 내 친구는 그 행사에 대해 신났을 것 같아요.
영어 2,능률(김),2015,5,Technology: An Engine for Change,미래진행형 will be v-ing,The robot will be assisting people in the home.,로봇이 집안에서 사람들을 도와주고 있을 거예요.,The drone will be capturing beautiful aerial photos. The computer will be learning new information every second.,드론이 아름다운 항공 사진을 찍고 있을 거예요. 컴퓨터가 매초마다 새로운 정보를 배우고 있을 거예요.
공통영어 1,YBM(김),2022,1,Believe That You Can Do Better,전치사 + -ing,I am fond of trying new strategies.,나는 새로운 전략을 시도하는 것을 좋아해요.,They are worried about missing the bus. We are excited about exploring new ideas.,그들은 버스를 놓칠까봐 걱정해요. 우리는 새로운 아이디어를 탐험하는 것을 기대해요.
공통영어 1,YBM(김),2022,2,Art and the City,분사의 후치 수식,The mural depicts a vibrant street lined with art galleries.,이 벽화는 미술 갤러리들이 늘어선 활기찬 거리를 묘사해요.,The painting portrays a modern park filled with sculptures. The graffiti shows an urban wall decorated with colorful designs.,이 그림은 조각상이 가득한 현대 공원을 그려요. 이 그래피티는 다채로운 디자인으로 꾸며진 도시의 벽을 보여줘요.
공통영어 1,YBM(김),2022,3,Living Green: A Guide to Sustainable Choices,관계대명사 what,They choose what nurtures nature.,그들은 자연을 기른다는 것을 선택해요.,He recycled what he no longer needed. They planted what brightened their community garden.,그는 더 이상 필요하지 않은 것을 재활용했어요. 그들은 동네 정원을 환하게 만든 것을 심었어요.
공통영어 1,YBM(김),2022,4,Be Smart in the Digital World,간접의문문,It is crucial that they understand what causes online rumors.,온라인 루머의 원인이 무엇인지 그들이 이해하는 것이 중요해요.,She asked what the best digital tool was. I wonder what makes a website secure.,그녀는 가장 좋은 디지털 도구가 무엇인지 물었어요. 나는 웹사이트가 어떻게 안전해지는지 궁금해요.
공통영어 2,YBM(김),2022,1,Make Your World a Better Place,"관계부사 when, where",I remembered a moment when my kindness changed someone's day.,내 친절함이 누군가의 하루를 바꾼 순간을 기억했어요.,She visited the town where community members gathered to help each other. We enjoyed the moment when everyone joined in to celebrate together.,그녀는 사람들이 서로 도우며 모이는 마을을 방문했어요. 우리는 모두가 함께 축하하는 순간을 즐겼어요.
공통영어 2,YBM(김),2022,2,From Tradition to Trend,It is/was ... that 강조,It was at the antique shop that I found a vintage watch.,내가 빈티지 시계를 찾은 것은 골동품 가게였어요.,It is on rainy days that I enjoy reading books. It was during the festival that I tasted local traditions.,내가 책 읽는 것을 즐기는 것은 비 오는 날이에요. 내가 지역 전통 음식을 맛본 것은 축제 기간이었어요.
공통영어 2,YBM(김),2022,3,Beyond Barriers,목적격 보어로 쓰이는 to부정사,My teacher encouraged me to read more books.,선생님께서 저에게 책을 더 읽으라고 격려해요.,The coach told his team to practice regularly. My friend invited me to join the project.,감독님께서 팀에게 규칙적으로 연습하라고 했어요. 친구가 저를 프로젝트에 참여하라고 초대했어요.
공통영어 2,YBM(김),2022,4,The Essence of Being Human,복합관계부사,"However well I prepare my thoughts, I cannot express my feelings clearly.","아무리 내 생각을 준비해도, 내 감정을 명확히 표현할 수 없어요.","However well she practiced her lines, her performance failed to captivate the audience. However well he prepared for the interview, he could not answer the questions confidently.","아무리 그녀가 대본을 연습해도, 공연이 관객을 사로잡지 못했어요. 아무리 그가 인터뷰를 준비해도, 질문에 자신감 있게 대답할 수 없었어요."
공통영어 1,YBM(박),2022,1,Enrich Your Life,It ~ for ··· to부정사,It is beneficial for you to try something new.,새로운 것을 시도하는 것이 당신에게 유익해요.,It is fun for you to learn a musical instrument. It is exciting for you to visit different places.,악기를 배우는 것이 당신에게 즐거워요. 다양한 곳을 방문하는 것이 당신에게 신나요.
공통영어 1,YBM(박),2022,2,Explore Wildlife Wonders,one of the 최상급+복수 명사,One of the most fascinating animals is the dolphin.,가장 매력적인 동물 중 하나는 돌고래예요.,One of the most unique habitats is the rainforest. One of the most colorful birds is the parrot.,가장 독특한 서식지 중 하나는 열대우림이에요. 가장 화려한 새 중 하나는 앵무새예요.
공통영어 1,YBM(박),2022,3,"Embrace Diversity, Broaden Your Horizons",분사구문,"Adding examples from various cultures, they enhanced our discussion.","여러 문화의 예시들을 더해, 그들은 우리의 대화를 풍부하게 했어요.","Mixing traditions with modern ideas, the group developed an innovative project. Combining unique perspectives, she crafted a creative solution.","전통과 현대 아이디어를 섞어, 그 그룹은 혁신적인 프로젝트를 개발했어요. 독특한 관점을 결합해, 그녀는 창의적인 해결책을 만들어냈어요."
공통영어 1,YBM(박),2022,4,When Art Meets Technology,목적격 보어로 쓰인 to부정사,They invited the designer to showcase the new virtual gallery.,그들은 새로운 가상 갤러리를 선보이기 위해 디자이너를 초대했어요.,The curator encouraged the student to explore digital art. The team wanted the artist to combine tradition with technology.,전시 큐레이터는 학생이 디지털 아트를 탐험하도록 격려했어요. 팀은 예술가가 전통과 기술을 결합하길 원했어요.
공통영어 2,YBM(박),2022,1,Be Digitally Smart!,동격의 that,I was excited by the fact that my neighbor learned a new language.,내 이웃이 새로운 언어를 배운 사실에 나는 신이 났어요.,They celebrated the fact that their team won the game. He admired the fact that his friend solved the problem.,그들은 팀이 경기를 이긴 사실을 축하했어요. 그는 친구가 문제를 푼 사실을 칭찬했어요.
공통영어 2,YBM(박),2022,2,Urgent Call From Earth,관계대명사 what,What I taste in the restaurant is absolutely delicious.,내가 레스토랑에서 맛보는 것이 정말 맛있어요.,What I hear in the classroom are interesting conversations. What I watch at the park is busy activities.,내가 교실에서 듣는 것은 흥미로운 대화들이에요. 내가 공원에서 보는 것은 분주한 활동들이에요.
공통영어 2,YBM(박),2022,3,Rise Above Challenges,관계부사,This is why some people overcome difficulties with determination.,이것이 어떤 사람들이 결심으로 어려움을 극복하는 이유에요.,This is the reason why mentors guide us through tough times. It is why communities offer strength during hardships.,이것이 멘토들이 어려운 시기에 우리를 이끄는 이유에요. 이것이 커뮤니티가 역경 속에서 힘을 주는 이유에요.
공통영어 2,YBM(박),2022,4,Creative Ideas for a Better World,가정법 과거완료,"If renewable energy sources had been widely adopted, our cities would have been greener.","만약 재생 에너지가 널리 채택되었더라면, 우리 도시들은 더 푸를 거예요.","If recycling had been practiced regularly, waste would have decreased significantly. If eco-friendly materials had been used more, pollution might have been lower.","만약 재활용이 정기적으로 이루어졌더라면, 쓰레기가 크게 줄었을 거예요. 만약 친환경 재료가 더 많이 사용되었더라면, 오염이 더 낮았을 수도 있어요."
영어,YBM(박),2015,1,Dream It and Achieve It,사역동사+목적어+목적격 보어,My mom made me clean my room.,우리 엄마는 나에게 방을 청소하게 했어요.,The manager had his employees finish the project. My friend made me try a new dish.,그 매니저는 직원들에게 프로젝트를 끝내게 했어요. 내 친구는 나에게 새로운 음식을 먹어보게 했어요.
영어,YBM(박),2015,2,Color Your Language,수동태,The vibrant banner was replaced by a new design.,화려한 배너가 새로운 디자인으로 교체되었어요.,The mural was painted with inspiring colors. The poster was admired by many students.,그 벽화는 감동적인 색들로 그려졌어요. 그 포스터는 많은 학생들에게 감탄받았어요.
영어,YBM(박),2015,3,Enjoy the Tasty World,관계대명사 who,Anyone who enjoys fresh ingredients often discovers new recipes.,신선한 재료를 즐기는 사람은 자주 새로운 레시피를 발견해요.,My neighbor who loves cooking prepares vibrant dishes. The chef who travels widely brings back exotic flavors.,요리를 사랑하는 내 이웃은 다채로운 요리를 준비해요. 넓게 여행하는 셰프는 이국적인 맛을 가져와요.
영어,YBM(박),2015,4,Preparing for Weather,분사구문,"The sky darkened, announcing an approaching storm.","하늘이 어두워지며, 다가오는 폭풍을 알렸어요.","The wind blew strongly, shaking the windowpanes. Clouds moved quickly, covering the blue sky.","바람이 세차게 불며, 창문을 흔들었어요. 구름이 빠르게 움직이며, 푸른 하늘을 가렸어요."
영어,YBM(박),2015,5,The Joy of Appreciating Art,so ~ that ...,The museum displayed a sculpture so intricate that visitors couldn’t stop admiring it.,그 박물관은 너무 정교한 조각품을 전시해서 방문객들이 감탄을 멈추지 못했어요.,The artist mixed colors so boldly that the canvas burst with life. The exhibition was so captivating that people left inspired.,그 화가는 색을 너무 대담하게 조합해서 캔버스가 생명으로 가득 찼어요. 그 전시는 너무 매력적이어서 사람들이 영감을 받고 나왔어요.
영어,YBM(박),2015,6,Traveling for Volunteer Work,과거완료,I had organized all my documents before leaving home.,나는 집을 떠나기 전에 모든 서류를 정리했어요.,I had saved enough money before joining the volunteer trip. They had planned the itinerary before traveling abroad.,나는 봉사 여행에 참여하기 전에 충분한 돈을 모았어요. 그들은 해외여행 전에 일정을 계획했어요.
영어,YBM(박),2015,7,Bringing Creativity into Our Lives,의문절을 이끄는 접속사 whether,She questioned whether she could invent something extraordinary.,그녀는 뭔가 특별한 것을 발명할 수 있을지 궁금해했어요.,They asked whether they might introduce a fresh design. He wondered whether he could improve the old method.,그들은 새로운 디자인을 도입할 수 있을지 물어봤어요. 그는 오래된 방법을 개선할 수 있을지 궁금해했어요.
영어,YBM(박),2015,8,"Green Life, Green Earth","가주어 it, 진주어 to부정사",It is important to save water for a healthier future.,더 건강한 미래를 위해 물을 절약하는 것이 중요해요.,It is fun to ride a bicycle in the park. It is necessary to plant trees in our neighborhood.,공원에서 자전거를 타는 것이 재미있어요. 우리 동네에 나무를 심는 것이 필요해요.
영어,YBM(박),2015,9,What Makes Sports More Exciting,It is[was] ~ that 강조,It was a spectacular play that energized the crowd.,관중들을 열광시킨 멋진 경기였어요.,It is a competitive sport that builds teamwork. It was a memorable victory that boosted morale.,팀워크를 길러 주는 경쟁적인 스포츠에요. 사기를 높여준 기억에 남는 승리였어요.
영어,YBM(박),2015,10,Feel What Others Feel,지각동사의 목적격 보어,I heard my brother singing softly.,나는 내 동생이 부드럽게 노래하는 것을 들었어요.,I watched my friend cooking dinner. She saw her classmate studying in the library.,나는 내 친구가 저녁을 요리하는 것을 봤어요. 그녀는 도서관에서 공부하는 반 친구를 봤어요.
영어,YBM(한),2015,1,A Fresh New Start,It is[was] ... that 강조,It is dedication that brings success.,성공을 가져오는 건 헌신이에요.,It was creativity that sparked our idea. It is persistence that overcomes challenges.,아이디어를 불러일으킨 건 창의성이에요. 도전을 극복하는 건 끈기예요.
영어,YBM(한),2015,2,Working Together,지각동사+목적어+분사,I observed my friends cooperating on the assignment.,나는 친구들이 과제에 협력하는 것을 봤어요.,She saw her colleague discussing ideas enthusiastically. He heard his partner celebrating the success of the team.,그녀는 동료가 열정적으로 아이디어를 논의하는 것을 봤어요. 그는 파트너가 팀의 성공을 축하하는 것을 들었어요.
영어,YBM(한),2015,3,"Eat Right, Be Healthy",주어와 동사의 수 일치,The vitamin in oranges improves body strength.,오렌지의 비타민은 몸의 힘을 향상시켜요.,The mineral in milk supports strong bones. The protein in beans builds muscle.,우유의 미네랄은 튼튼한 뼈를 지원해요. 콩의 단백질은 근육을 만들어내요.
영어,YBM(한),2015,4,Invention for the Rainforests,의문사가 없는 의문문의 간접화법,They called the research team and asked if they might try the tool.,그들은 연구팀에 전화해서 그 도구를 사용해 볼 수 있는지 물었어요.,He inquired if the machine could operate properly. She wondered if the system was safe to use.,그는 그 기계가 제대로 작동할 수 있는지 물었어요. 그녀는 그 시스템이 안전하게 사용될 수 있는지 궁금해했어요.
영어,YBM(한),2015,5,How to Win Over Someone's Mind,관계대명사 what,I believe in what experts say.,나는 전문가들이 말하는 것을 믿어요.,She follows what the coach instructs. They remembered what history taught them.,그녀는 코치가 지시하는 것을 따라해요. 그들은 역사가 가르쳐준 것을 기억해요.
영어,YBM(한),2015,6,The Most Efficient Job in the World,수동태,The report is being reviewed by the supervisor.,그 보고서는 상사에 의해 검토되고 있어요.,The document is being processed by an expert. The contract is being signed by the manager.,그 문서는 전문가에 의해 처리되고 있어요. 그 계약서는 관리자에 의해 서명되고 있어요.
영어,YBM(한),2015,7,Amazing Architecture,"관계부사 when, where",I visited a museum when the festival began.,축제가 시작될 때 나는 박물관을 방문했어요.,I discovered a café where locals shared their favorite stories. We strolled in a park when the sky turned orange.,나는 사람들이 좋아하는 이야기를 나누는 카페를 발견했어요. 하늘이 주황색으로 변할 때 우리는 공원을 걸었어요.
영어,YBM(한),2015,8,Living with Robots,전치사+관계대명사,"At the science fair, for which the robot was built to demonstrate experiments, it amazed everyone.","과학 전시회에서, 실험을 보여주기 위해 지어진 로봇이 모두를 놀라게 했어요.","During the contest, for which the robot prepared special tricks, it won a prize. In the exhibition, for which the robot was programmed to interact with visitors, it captured many hearts.","대회에서, 특별한 묘기를 준비한 로봇이 상을 받았어요. 전시회에서, 방문객과 상호 작용하도록 프로그래밍된 로봇이 많은 마음을 사로잡았어요."
영어Ⅰ,YBM(박),2015,1,"Healthy Living, Happy Life",관계대명사 that,It is essential that we eat a balanced diet.,우리가 균형 잡힌 식사를 하는 것이 필수적이에요.,It is important that we exercise regularly. It is clear that getting enough sleep improves our mood.,우리가 규칙적으로 운동하는 것이 중요해요. 충분한 잠을 자는 것이 기분을 향상시키는 것이 분명해요.
영어Ⅰ,YBM(박),2015,2,Origins of Everyday Things,비교급 less ~ than,Coffee is less popular than tea.,커피는 차보다 덜 인기 있어요.,My teacher is less strict than my principal. This book is less expensive than that one.,내 선생님은 교장 선생님보다 덜 엄격해요. 이 책은 저 책보다 덜 비싸요.
영어Ⅰ,YBM(박),2015,3,Advertising in Your Life,전치사 + 관계대명사,I visited a bookstore in which I found rare magazines.,나는 희귀 잡지를 찾은 서점을 방문했어요.,He read articles in which he learned about fashion. She watched a commercial in which the product was reviewed.,그는 패션에 대해 배운 기사를 읽었어요. 그녀는 제품이 리뷰된 광고를 봤어요.
영어Ⅰ,YBM(박),2015,4,Becoming Active as Consumers and Sellers,강조구문 what,What she did was turn criticism into constructive ideas.,그녀가 한 일은 비판을 건설적인 아이디어로 바꾼 거예요.,What he offered was genuine advice. What we created was a vibrant discussion.,그가 제안한 것은 진솔한 충고였어요. 우리가 만든 것은 활기찬 토론이었어요.
영어Ⅰ,YBM(박),2015,5,Cultures Around the World,관계부사 why,This is why art stimulates our imagination.,이것이 예술이 우리의 상상력을 자극하는 이유예요.,This is why music fosters a sense of unity. This is why sports build strong communities.,이것이 음악이 단결감을 키우는 이유예요. 이것이 스포츠가 강한 공동체를 만드는 이유예요.
영어Ⅰ,YBM(박),2015,6,The Future of Space Exploration,분사구문 with + 명사 + -ing,"Using new technology, engineers are designing satellites.","새로운 기술을 사용해서, 엔지니어들이 위성을 설계하고 있어요.","Following current trends, researchers are testing new equipment. Exploring innovative ideas, astronauts are preparing for missions.","현재 추세를 따르면서, 연구원들이 새로운 장비를 시험하고 있어요. 혁신적인 아이디어를 탐구하면서, 우주비행사들이 임무를 준비하고 있어요."
영어Ⅰ,YBM(한),2015,1,Learn from Failures,관계대명사의 계속적 용법,"I tried a risky strategy, which turned out to be a valuable lesson.","나는 위험한 전략을 시도했는데, 그것이 소중한 교훈이 됐어요.","They launched a new project, which encountered unexpected challenges. He attempted the difficult task, which ultimately taught him perseverance.","그들은 새로운 프로젝트를 시작했는데, 뜻밖의 도전에 부딪혔어요. 그는 어려운 일을 시도했는데, 결국 인내심을 배우게 됐어요."
영어Ⅰ,YBM(한),2015,2,Technology and Life,• 「의문사＋to부정사」,I wonder what to download today.,나는 오늘 무엇을 다운로드할지 궁금해요.,They need to decide where to shop for tech deals. She decided when to update her gadget.,그들은 기술 할인 행사를 위해 어디서 쇼핑할지 정해야 해요. 그녀는 언제 자신의 기기를 업데이트할지 결정했어요.
영어Ⅰ,YBM(한),2015,3,Extend Your View of Art,형용사로 쓰이는 과거분사,The painted mural captured the attention of many visitors.,그려진 벽화가 많은 방문객의 주의를 끌었어요.,The carved statue looked magnificent in the gallery. The restored painting radiated a gentle glow under the museum lights.,조각된 동상이 갤러리에서 웅장해 보였어요. 복원된 그림이 박물관 불빛 아래서 부드러운 빛을 발했어요.
영어Ⅰ,YBM(한),2015,4,A Trip for Cultural Diversity,완료 분사구문,"Having checked the itinerary, we explored the bustling market.","일정을 확인한 후에, 우리는 북적거리는 시장을 둘러봤어요.","Having taken a local guide, I learned fascinating history. Having sampled unique dishes, my friend enjoyed every bite.","현지 가이드를 모신 후에, 나는 흥미로운 역사를 배웠어요. 특별한 음식을 맛본 후에, 내 친구는 한 입 한 입 즐겼어요."
영어Ⅰ,YBM(한),2015,5,The Small but Great Potato,부정어구 도치,"Not only did we prepare the dish carefully, but it turned out to be delicious.","우리는 요리를 정성스럽게 준비했을 뿐만 아니라, 아주 맛있었어요.","Not only did the chef experiment with fresh herbs, but the recipe was a hit. Not only did the neighbors share cooking tips, but they enjoyed the meal together.","요리사는 신선한 허브를 실험했을 뿐만 아니라, 레시피가 인기를 끌었어요. 이웃들은 요리 팁을 공유했을 뿐만 아니라, 함께 식사를 즐겼어요."
영어Ⅰ,YBM(한),2015,6,Nature and Environment,부분 부정,I don't always see pollution in urban areas.,나는 도시 지역에서 항상 오염을 보지는 않아요.,Not every forest is filled with noise. Not all lakes reflect a clear sky.,모든 숲이 소음으로 가득 차 있는 것은 아니에요. 모든 호수가 맑은 하늘을 반영하는 것은 아니에요.
영어Ⅱ,YBM(박),2015,1,Treasure out of Trash,cannot ~ enough,The beauty of repurposed materials cannot be admired enough.,재활용 재료의 아름다움은 아무리 감탄해도 부족해요.,The potential of upcycled designs cannot be underestimated. The creativity in salvaging old items cannot be valued enough.,업사이클 디자인의 잠재력은 절대 과소평가될 수 없어요. 낡은 물건을 재활용하는 창의성은 아무리 높이 평가해도 부족해요.
영어Ⅱ,YBM(박),2015,2,We Are Stronger Together,가정법 과거완료,"If she had checked the weather report, her picnic would not have been cancelled.","만약 그녀가 일기예보를 확인했더라면, 소풍이 취소되지 않았을 거예요.","If they had prepared well, the event would have been enjoyable. If we had arrived earlier, we could have seen the performance.","만약 그들이 철저히 준비했더라면, 행사가 즐거웠을 거예요. 만약 우리가 좀 더 일찍 도착했더라면, 공연을 볼 수 있었을 거예요."
영어Ⅱ,YBM(박),2015,3,Fun Science about the Human Body,조건의 접속사 provided that,You will feel energized provided that you take a short nap.,짧은 낮잠을 자면 기운이 날 거예요.,She exercises every morning provided that the weather is clear. They prepare a healthy meal provided that they have fresh ingredients.,날씨가 맑으면 매일 아침 운동해요. 신선한 재료가 있으면 건강한 식사를 준비해요.
영어Ⅱ,YBM(박),2015,4,Equality for All,독립부사구,"Unexpectedly, they organized a community event.","뜻밖에, 그들은 지역 사회 행사를 준비했어요.","Surprisingly, we met many volunteers at the park. Unfortunately, some members left the meeting early.","놀랍게도, 우리는 공원에서 많은 자원봉사자들을 만났어요. 유감스럽게도, 몇몇 회원들이 회의에서 일찍 떠났어요."
