example_english,example_korean
I try hard to memorize new words daily.,저는 열심히 새로운 단어를 암기해요.
I have a beautiful memory from school trip.,나는 학교 여행에서 아름다운 추억이 있어요.
My memory is strong when I study hard.,내 기억은 공부할 때 강해요.
I put my memory stick in the computer.,나는 컴퓨터에 메모리 스틱을 넣어요.
The merchant sells fresh fruits at the market.,상인은 시장에서 신선한 과일을 팔아요.
My messy room always needs cleaning each morning.,내 어질러진 방은 매일 아침 청소해야 해요.
My friend loves spicy Mexican food at dinner.,내 친구는 매운 멕시코 음식을 저녁에 먹어요.
The park is in the middle of town.,공원이 마을 한가운데에 있어요.
I always study math at a middle school.,나는 항상 중학교에서 수학을 공부해요.
I might visit my friend at our park.,나는 우리 공원에서 친구를 만날지도 모른어요.
Her strong might helps her win every contest.,그녀의 강한 힘이 모든 대회에서 이기도록 도와줘요.
Many birds migrate south to find warm areas.,많은 새들이 남쪽으로 이주해서 따뜻한 지역을 찾아요.
The farmer milks a cow every sunny morning.,농부가 소의 젖을 매일 짜요.
The smart reporter milked facts from the witness.,영리한 기자가 목격자에게서 사실들을 뽑아냈어요.
I drink a glass of milk with breakfast.,나는 아침에 한 잔의 우유를 마셔요.
There are one million stars in the sky.,하늘에는 100만 개의 별이 있어요.
There are millions of small stars in sky.,하늘에 수백만의 작은 별이 있어요.
Please mind your belongings in our classroom today.,우리 교실에서 오늘 물건들을 조심해요.
I always mind doing homework on rainy days.,비 오는 날 숙제하는 것을 항상 꺼려해요.
I do not mind to help my friend.,친구를 도와주는 것을 꺼리지 않아요.
They carefully mine minerals under the big mountain.,그들은 큰 산 아래에서 조심히 광물질을 캐요.
This new bag is mine and not yours.,이 새 가방은 나의 것이고 너의 것은 아니에요.
Seeing a rainbow in sky was a miracle.,하늘의 무지개를 본 것은 기적이었어요.
A wrong sign can easily mislead new drivers.,잘못된 표지판은 쉽게 잘못 인도할 수 있어요.
False words may mislead you into simple mistakes.,거짓말은 당신을 간단한 실수로 이끌 수 있어요.
The little bird might miss from its nest.,작은 새가 둥지에서 실종될 수 있어요.
I always miss my dear friend at school.,나는 학교에서 항상 소중한 친구를 그리워해요.
I often miss class when I feel sick.,몸이 아플 때 저는 수업을 빼먹어요.
I really miss my friend at school today.,나는 오늘 학교에서 친구를 정말 그리워해요.
Never miss a chance to learn something new.,새로운 것을 배우는 기회를 절대 놓치지 마세요.
Do not miss out on our free snacks.,우리 무료 간식을 놓치지 마세요요.
We must not miss out on lunch break.,점심시간을 놓치면 안 돼요.
My missing notebook is still under my bed.,내 분실된 공책은 아직 내 침대 아래에 있어요.
My missing red bike is near the school.,내 놓친 빨간 자전거는 학교 근처에 있어요.
I always mistake his tone for a joke.,나는 항상 그의 말투를 농담으로 오해해요.
I made a small mistake on my homework.,숙제에서 작은 실수를 했어요.
I made a big mistake on my homework.,나는 숙제에서 큰 잘못을 했어요.
I often misunderstand English words during class time.,나는 수업 시간에 영어 단어들을 자주 오해해요.
A small misunderstanding can harm our close friendship.,작은 오해는 우리의 친한 우정을 해칠 수 있어요.
You mix red with blue to create art.,빨강과 파랑을 섞어 예술을 만들어요.
Mom makes a mixture of water and juice.,엄마가 물과 주스를 섞은 혼합물을 만들어요.
My sister will model this new dress today.,내 여동생이 이 새 드레스를 입어 보일 거예요.
The popular model poses on the runway today.,인기 있는 모델이 오늘 런웨이에서 포즈를 취해요.
My airplane model is very fun to build.,내 비행기 모형은 만들기 아주 재미있어요.
The young modeler builds a cool airplane model.,젊은 모형 제작자가 멋진 비행기 모형을 만들어요.
I always save money for a new toy.,저는 항상 돈을 모아요 새 장난감을 사요.
The small monkey happily jumps in the tree.,작은 원숭이가 나무 위에서 즐겁게 점프해요.
The scary monster lives under the old bridge.,무서운 괴물은 작은 오래된 다리 밑에서 항상 살아요.
A new month carries fresh hope every day.,새 달은 새로운 희망을 항상 선물해 주고 있어요.
The full moon shines in the dark sky.,가득 찬 달이 어두운 하늘에 빛나요.
The moon is always a beautiful night satellite.,달은 항상 아름다운 밤 위성이에요.
I always mop the floor with a mop.,나는 항상 대걸레로 바닥을 닦아요.
She used the mop to clean spills.,그녀는 자루걸레로 엎질러진 것을 닦았어요.
She always wants more apples with her sandwich.,그녀는 언제나 샌드위치에 더 많은 사과를 원해요.
I see more and more flowers every day.,나는 매일 점점 더 꽃을 봐요.
I need more than two cups of tea.,나는 두 개 이상의 차가 필요해요.
I always eat fresh toast in the morning.,나는 항상 신선한 토스트를 아침에 먹어요.
The happy Moroccan man always reads a book.,행복한 모로코 사람이 항상 책을 읽어요.
A tiny mosquito flies slowly near the window.,작은 모기가 창문 근처에서 천천히 날아요~요
Most children really like ice cream in summer.,대부분의 아이들은 여름에 맛있는 아이스크림을 정말 많이 좋아해요.
Most children always enjoy drawing during art class.,대부분 아이들은 미술 수업 중 항상 그림 그리기를 즐겨요.
I mostly eat a healthy breakfast every day.,나는 주로 매일 아주 맛있는 아침 식사를 먹어요.
The small moth flies slowly in the dark.,작은 나방이 어둠 속에서 천천히 날아요.
My loving mother cooks delicious meals every Saturday.,나의 사랑스러운 어머니는 매일 토요일에 맛있는 음식을 요리해요.
Teachers always use kind words to motivate kids.,선생님들은 항상 친절한 말로 아이들에게 동기를 부여해요.
Her true motive is to help a friend.,그녀의 진짜 동기는 친구를 돕는 거예요.
I always follow my motto every single day.,저는 언제나 제 좌우명을 따르며 살아가요.
We will carefully mount the small mountain tomorrow.,우리는 내일 작은 산에 조심히 오를 거예요.
His excitement did mount after the fun party.,그의 기대감은 즐거운 파티 후에 높아졌어요.
I mount my bike before riding to school.,나는 학교에 가기 전에 자전거에 올라타요.
My interest mounts as I learn new facts.,새로운 사실을 배우면 내 관심이 서서히 증가해요.
We happily climbed the mountain during summer vacation.,우리는 기쁘게 여름 방학에 산을 올랐어요.
The long mountain range is large and beautiful.,긴 산맥은 크고 아름다워요.
The little mouse finds food in the house.,작은 생쥐가 집에서 음식을 찾아요.
My best friend can talk with his mouth.,내 가장 친한 친구는 입으로 말할 수 있어요.
I move my foot when music moves me.,음악이 제 마음을 감동시킬 때 나는 발을 움직여요.
Her inspiring story can move many kind hearts.,그녀의 감동적인 이야기는 많은 사람들의 마음을 감동시켜요.
I will move my proposal into the meeting.,내 제안을 회의에 제출할게요.
Please move the small box into the room.,작은 상자를 방 안으로 옮겨 주세요.
My family will move into our new home.,우리 가족은 새 집으로 이사할 거예요.
We move to easily start our new project.,우리는 새 프로젝트에 쉽게 착수해요.
My very first move to school was exciting.,나의 아주 첫 이동은 학교로 가는 것이었어요.
They planned the move to win a game.,그들은 이기기 위해 조치를 계획했어요.
We sometimes move around in the big city.,우리는 때때로 큰 도시에서 돌아다녀요.
Please move away all your toys from floor.,모든 장난감을 바닥에서 치워주세요.
We move away when noise makes us uncomfortable.,소음이 불편할 때 우리는 떠나요.
We happily move into  a bright new school.,우리는 밝은 새 학교로  행복하게 이동해요.
I am very moved by your kind smile.,당신의 친절한 미소에 매우 감동받았어요.
The quick movement of the cat is magical.,고양이의 빠른 움직임은 매력적이에요.
Daily movement keeps your body in good shape.,매일 운동은 몸을 튼튼하게 해요.
My club started a movement for group exercise.,우리 동아리가 단체 운동을 시작했어요.
The musical movement made our hearts feel joyful.,음악 악장이 우리 마음을 기쁘게 만들어요.
I always watch a funny movie every night.,저는 항상 재미있는 영화를 매일 밤 봐요.
She has much homework to do this evening.,그녀는 오늘 저녁에 할 숙제가 많아요.
I feel much happier when I run daily.,나는 매일 달리면 훨씬 행복해져요.
The little children played in the muddy puddle.,작은 아이들이 진흙탕에서 재미있게 놀았어요.
We carefully walked slowly on the wet mudflat.,우리는 조심히 느리게 갯벌 위를 걸었어요.
Find a small multiple of three in math.,수학에서 세의 작은 배수를 찾아보세요.
I saw multiple birds in the park today.,나는 오늘 공원에서 다수의 새들을 봤어요.
Students saw multiple birds flying over the park.,학생들이 다양한 새들을 공원 위로 날아갔어요.
I always learn to multiply two large numbers.,나는 항상 두 큰 수를 곱해요.
Plants quickly multiply when watered properly every day.,식물은 하루에 충분히 물주면 빠르게 많이 자라며 증가해요.
I enjoy music when I play at home.,나는 집에서 놀 때 음악을 즐겨요.
The musical is fun and full of songs.,뮤지컬은 재밌고 노래가 많아요.
The musical concert made everyone feel very joyful.,이 음악의 콘서트가 모든 사람을 정말 기쁘게 만들었어요.
Tom always plays a musical instrument every day.,톰은 항상 매일 악기를 연주해요.
He must be the tallest boy in school.,그는 학교에서 가장 키 큰 소년임에 틀림없어요.
Everyone must clean the room every Saturday morning.,모든 사람은 토요일 아침에 방을 청소해야 해요.
Learning English daily is a must for students.,영어를 매일 배우는 것은 학생들에게 필수예요.
"Long ago, kind people told an old myth.",옛날에 친절한 사람들이 오래된 신화를 이야기했어요.
They always name the new puppy Max today.,그들은 항상 새 강아지에게 맥스라는 이름을 지어요.
Parents always name their babies with great love.,부모님은 항상 아기들에게 큰 사랑으로 이름을 대요.
Her name builds a good reputation every day.,그녀의 이름이 매일 좋은 평판을 만들어 줘요.
My dear friend has a very cute name.,내 소중한 친구의 이름이 아주 귀여워요.
His dear friend was named after his grandfather.,그의 소중한 친구는 바로 할아버지를 따서 이름을 지었어요.
I usually take a short nap every afternoon.,나는 보통 매일 오후에 짧은 낮잠을 자요.
The friendly narrator carefully tells the simple story.,친절한 화자가 간단한 이야기를 신중하게 들려줘요.
Every national event helps unite the whole country.,전국적인 행사는 온 나라를 하나로 모으는데 도움이 돼요.
We happily celebrate our national flag with pride.,우리는 국가의 깃발을 자랑스럽게 축하해요.
She wore a native dress to the festival.,그녀는 축제에 본국의 드레스를 입었어요.
The native people always love their old home.,원주민들은 항상 그들의 오래된 집을 사랑해요.
Small trees grow well in a natural park.,작은 나무들이 자연의 공원에서 잘 자라요.
It is natural to always help our friends.,항상 친구를 도와주는 것이 당연해요.
Your smile always looks natural in this picture.,너의 미소는 이 사진에서 항상 자연스러워요.
She is a natural singer with good voice.,그녀는 천부적인 가수이며 목소리가 좋아요.
My new shirt looks natural without extra design.,내 새 셔츠는 꾸밈 없는 자연스러워요.
"Many forests, water, and minerals are natural resources.","많은 숲, 물, 광물은 천연 자원이에요."
Our class learns the nature of each animal.,우리 반은 각 동물의 종류를 배워요.
The beauty of nature always makes us happy.,자연의 아름다움은 언제나 우리를 행복하게 해요.
My true nature is gentle and very kind.,제 본성은 온화하고 매우 친절해요.
We navigate city roads to find our way.,우리는 도시 길을 찾아가요.
Captains often navigate ships while pilots navigate airplanes.,선장들은 자주 배를 항해하고 조종사들은 비행해요.
I navigate through the website with my friend.,나는 친구와 인터넷을 돌아다녀요.
A near library is always open for everyone.,가까운 도서관은 항상 모두에게 열려 있어요.
Our new school is near a small park.,우리 새로운 학교는 작은 공원 근처에 있어요.
The nearby park is fun for every child.,가까운 공원은 모든 아이들에게 재미있어요.
I nearly dropped my big water bottle today.,나는 오늘 거의 큰 물병을 떨어뜨렸어요.
Fresh air and water is a true necessity.,신선한 공기와 물은 진정한 필수예요.
The cat gently rubbed its neck against me.,고양이가 살짝 목을 문질렀어요.
I need to finish my homework by dinner.,나는 저녁까지 내 숙제를 끝내야 해요.
I really have a need for fun toys.,저는 정말 재미있는 장난감에 대한 욕구가 있어요.
There is a really big need for water.,정말 큰 수요가 있어요.
The negative news really made me feel sad.,부정적인 뉴스는 정말 슬퍼요.
Our friendly neighborhood park welcomes us every day.,우리의 친절한 동네 공원은 매일 우리를 환영해요.
I never ever forget to brush my teeth.,나는 결코 이를 닦는 것을 잊지 않아요.
"It was raining, nevertheless we still played outside.","비가 왔어요, 그럼에도 불구하고 우리는 아직 밖에서 놀았어요."
I have a new pencil case in class.,나는 수업 시간에 새로운 필통이 있어요.
My friend a New Zealander rides a bike.,내 친구인 뉴질랜드 사람이 자전거를 타요.
I always read the newspaper on sunny days.,나는 항상 맑은 날 신문을 읽어요.
The next bus arrives soon at the station.,다음 버스가 곧 역에 도착해요.
The cat always naps next to her bed.,고양이는 항상 침대 바로 옆에 자요.
The new pen is next to the notebook.,새 펜은 공책의 옆에 있어요.
I feel nice when my friends are near.,내 친구들이 가까이 있을 때 기분이 좋아요.
My teacher is very nice to all children.,제 선생님은 모든 아이에게 매우 친절해요.
My best new friend is always very nice.,나의 최고의 새로운 친구는 언제나 매우 멋져요.
My best friend has a very funny nickname.,내 가장 친한 친구는 아주 웃긴 별명이 있어요.
The sky slowly darkens as night draws near.,하늘이 천천히 어두워지며 밤이 다가와요.
I see a very beautiful night view tonight.,나는 오늘 아주 아름다운 야경을 봐요.
He politely said no to the small gift.,그는 작은 선물에 공손히 아니오라고 말했어요.
I no longer eat fast food at night.,저는 밤에 패스트푸드를 더 이상 먹지 않아요.
The noble man smiled at the kind people.,귀족 남자가 친절한 사람들에게 미소 지었어요.
My noble friend always helps those in need.,내 고귀한 친구는 항상 도움이 필요한 사람을 도와요.
Today the nobleman wore a big shiny crown.,오늘 귀족은 커다란 빛나는 왕관을 썼어요.
Nobody ever played soccer with me after school.,아무도 방과 후에 나와 축구하지 않았어요.
I always nod when I understand my lessons.,나는 수업을 이해할 때 항상 끄덕여요.
My dog loves playing in the noisy park.,우리 개는 시끄러운 공원에서 뛰어놀아요.
My friend says nonsense during our lunch break.,내 친구가 점심시간에 허튼소리를 해요.
I always eat tasty noodle soup for lunch.,나는 항상 점심에 맛있는 국수 수프를 먹어요.
My body condition is completely normal this morning.,오늘 아침 내 몸 상태는 완전히 정상이에요.
I always wear my normal shoes to school.,나는 항상 보통의 신발을 학교에 신어요.
Students normally study math in a bright classroom.,학생들은 정상적으로 밝은 교실에서 수학을 공부해요.
I normally eat a healthy breakfast at school.,저는 보통 학교에서 건강한 아침을 먹어요.
My best friend lives in the north area.,내 가장 친한 친구는 북쪽에 살아요.
Mom and Dad drive to the northern beach.,엄마와 아빠는 북쪽의 해변으로 가요.
