example_english,example_korean
I carefully examined a fascinating bug found in my large garden during a spring morning.,나는 봄 아침에 커다란 정원에서 발견된 매혹적인 벌레를 조심스럽게 조사했어요.
Yesterday I discovered a hidden bug in my computer software that unexpectedly crashed the system.,어제 저는 제 컴퓨터 소프트웨어에서 숨겨진 오류를 발견하여 시스템이 예기치 않게 멈췄어요.
I spotted an unusual bush near the edge of the park during my morning walk.,나는 아침 산책 중 공원 가장자리 근처에서 독특한 수풀을 발견했어요.
The technician installed the new cable to connect our television to the internet service.,기술자가 우리 텔레비전을 인터넷 서비스에 연결하기 위해 새 케이블을 설치했어요.
The advanced calculator quickly solved complicated equations and provided accurate results during our math class.,첨단 계산기가 우리 수업 시간에 복잡한 방정식을 신속하게 풀고 정확한 결과를 제공했어요.
I carefully recorded every meeting detail on my new calendar to manage my busy schedule.,나는 바쁜 일정을 관리하기 위해 내 새 달력에 모든 회의 일정을 신중히 기록했어요.
I carefully planned my week by marking every appointment on my calendar for smooth planning.,나는 원활한 계획을 위해 내 일정표에 모든 약속을 세심하게 표시했어요.
The hero wore a mysterious cape that fluttered in the wind when he stepped outside.,영웅이 밖으로 나갈 때 바람에 휘날리던 신비로운 망토를 입었어요.
The printed catalog displayed the detailed information	of exclusive high-quality products available in stores today.,인쇄된 카탈로그는 오늘 매장에서 구할 수 있는	고급 제품들에 대한 자세한 정보를 제공했어요.
"Our company's extensive catalogue displays innovative products, seasonal trends, and competitive prices for discerning customers.","우리 회사의 광범위한 상품목록은 혁신적인 제품, 계절별 트렌드, 그리고 경쟁력 있는 가격들을 소개하고 있어요."
They chained the boxes tightly together to secure the valuable items from easily being scattered.,그들은 소중한 물건들이 쉽게 흩어지지 않도록 박스들을 단단히 묶었어요.
The heavy metal chain was tightly wrapped around the secure gate of the abandoned warehouse.,무거운 금속 사슬이 버려진 창고의 안전문에 단단히 감겨 있었어요.
He lit a cigarette during his short break while discussing his ambitious plans for the evening.,그는 짧은 휴식 시간 동안 담배를 피우며 저녁의 야심찬 계획에 대해 이야기했어요.
"During his travels, he learned that commerce in ancient cities was filled with vibrant traditions.	",여행 중에 그는 고대 도시에서 상업이 다채로운 전통으로 운영되는 것을 배웠어요.
Understanding the overall context of events is crucial for accurately interpreting historical actions and outcomes.,사건들의 전후 관계를 이해하는 것은 역사적 사건과 그 결과를 올바르게 해석하는 데 매우 중요해요.
Understanding the broader context helped me decipher the hidden meaning behind each unusual conversation detail.,넓은 문맥을 이해하니 각 대화의 숨은 의미를 해석하는 데 큰 도움이 되었어요.
They sat in the quiet park to converse about interesting topics during their lunch break.,그들은 조용한 공원에서 점심 시간 동안 흥미로운 주제에 대해 이야기했어요.
The remarkably skilled mathematician carefully arranged the numbers in converse order to reveal hidden patterns.,놀랍도록 숙련된 수학자는 숨겨진 패턴을 발견하기 위해 숫자들을 거꾸로의 순서로 신중하게 배열했어요.
"The dedicated cop quickly responded to the emergency call, ensuring the safety of several citizens.",그 헌신적인 경찰은 긴급 전화를 신속하게 응답하여 여러 시민의 안전을 보장했어요.
The county encompasses several charming small towns and scenic rural areas spread across the landscape.,그 군은 여러 매력적인 소도시와 경치 좋은 농촌 지역들이 넓게 펼쳐져 있어요.
The county efficiently managed its own local laws and provided autonomous services to benefit residents.,이 자치주는 효율적으로 자체 법규를 관리하며 주민들을 위해 자치 서비스를 제공했어요.
"The cruel dictator ordered unnecessary punishments for minor mistakes, causing widespread terror across the nation.",그 잔인한 독재자는 사소한 실수에도 불필요한 처벌을 명령하여 전국에 공포를 퍼뜨렸어요.
My constant curiosity drove me to carefully explore every hidden corner in the historic museum.,나의 끊임없는 호기심은 나를 역사적인 박물관의 모든 숨은 구석을 신중히 탐험하게 했어요.
"Yesterday, I decided to cycle	around the beautiful park to enjoy the warm refreshing breeze.",어제 저는 자전거를 타고 아름다운 공원을 돌아 따뜻하고 상쾌한 바람을 즐겼어요.
"I thoroughly enjoy riding my cycle every morning, as it helps me clear my mind.",나는 매일 아침 자전거를 타며 건강을 챙기고 즐거운 하루의 시작을 맞이해요.
The cycle of seasons repeats continuously though they often come with unpredictable weather changes naturally.,계절의 순환은 예측할 수 없는 날씨 변화와 함께 자연스럽게 반복돼요.
"The experienced cyclist rode confidently along the scenic park trail, avoiding obstacles while maintaining speed.","경험 많은 자전거 타는 사람은 활기찬 풍경의 공원 길을 자신감 있게 달렸고, 장애물을 피해 속도를 유지했어요."
He always felt an overwhelming debt to his mentor for the invaluable guidance he received.,그는 항상 멘토에게 받은 귀중한 조언에 대해 깊은 은혜와 신세를 느꼈어요.
"Unfortunately, he struggled hard to manage his enormous debt accumulated over many years of overspending.","불행하게도, 그는 수년간 과소비한 결과 쌓인 막대한 빚을 관리하기 위해 고군분투했어요."
"During the intense soccer match,	our solid defense brilliantly foiled each opponent's dangerous offensive attempt.",격렬한 축구 경기 중에	우리의 견고한 수비가 상대의 위험한 공격 시도를 효과적으로 저지했어요.
I always try to define each new concept precisely before explaining it to everyone clearly.,저는 모든 사람에게 명확하게 설명하기 전에 새로운 개념을 정확하게 정의하려고 노력해요.
"His definite plan carefully included every minor detail, ensuring the entire project runs efficiently and smoothly.",그의 확실한 계획은 모든 세부사항을 신중하게 포함시켜 전체 프로젝트가 효율적으로 진행되도록 했어요.
"The strong wind depressed the leaves onto the ground, making them completely settle without moving.","강한 바람이 나뭇잎들을 땅에 내리누르며, 그것들을 완전히 가라앉게 했어요."
"The continuous negative news stories tend to depress many people, making daily life feel hopeless.",연속되는 부정적인 뉴스들이 많은 사람들을 우울하게 만들고 일상이 희망이 없게 느껴져요.
"He tried his best to meet expectations, but his performance managed to disappoint several fans.","그는 최선을 다해 기대를 충족시키려 했지만, 그의 공연은 여러 팬들을 실망시키고 말았어요."
"After issuing multiple warnings, the management decided to discharge the uncooperative employee from his duties.","여러 차례 경고 후에, 경영진은 규칙을 지키지 않는 직원을 해고하기로 결정했어요."
"After undergoing a thorough cleaning, the treatment plant will discharge purified water into the river.",철저한 청소 후 정수 처리 시설은 강으로 정제된 물을 방출해요.
"Under high pressure conditions, the gas can discharge from the container and mix with air.",높은 압력 조건에서 가스가 용기에서 흘러나와 공기와 섞여요.
"I felt overwhelming disgust upon finally seeing the extremely filthy, abandoned warehouse late at night.",나는 늦은 밤에 극도로 더럽고 버려진 창고를 보고 엄청난 역겨움을 느꼈어요.
The couple decided on a divorce after realizing that their constant conflicts hindered their happiness.,부부는 지속되는 갈등이 행복을 방해한다는 것을 깨닫고 이혼을 결심했어요.
I bought a dozen fresh eggs from the local grocery market to prepare our breakfast.,나는 지역 식료품 시장에서 한 다스의 신선한 달걀을 사서 우리 아침 식사를 준비했어요.
The doctor immediately prescribed a new drug to help alleviate my persistent cough and discomfort.,의사가 즉시 새로운 약을 처방해주어서 내 지속적인 기침과 불편함을 완화했어요.
"After a long night of work, his pain slowly began to ease, providing him relief.","오랜 밤의 근무 후에, 그의 고통이 서서히 덜해지기 시작하여 그에게 안도감을 주었어요."
The new software program will ease our workload and streamline tasks in the office easily.,"이 새로운 소프트웨어 프로그램은 우리 업무를 수월하게 하며, 사무실 작업을 간소화할 거예요."
The user appreciated the unexpected ease of use provided by the innovative new software interface.,사용자는 혁신적인 새로운 소프트웨어 인터페이스가 제공한 사용의 쉬움에 깊은 감사를 표했어요.
"During the upcoming elections, the community will elect a dedicated leader who understands their needs.","다가오는 선거 기간 동안, 지역 사회는 헌신적인 지도자를 선출하여 그들의 필요를 잘 이해할 거예요."
The man’s awkward comment embarrassed his friend in front of a large group during dinner.,그 남자의 어색한 발언은 저녁 식사 중 대규모 모임 앞에서 친구를 당황하게 했어요.
Many ambitious students decide to enroll in famous universities	as they believe in high-quality academic programs.,많은 야심찬 학생들이 명문 대학에 등록하기로 결정했어요	그들은 우수한 교육 프로그램을 믿기 때문이에요.
The talented magician used brilliant illusions to entertain the curious crowd at the lively party.,재능 있는 마술사가 생동감 넘치는 파티에서 호기심 많은 관중들을 즐겁게 했어요.
I thoughtfully entertained the idea of going to a concert even though it seemed unlikely.,나는 콘서트에 가는 생각을 신중하게 품었어요.
The teacher wore an especial outfit that made the classroom environment delightfully unique and inviting.,선생님은 특별한 옷을 입으셔서 교실 분위기를 기분 좋게 독특하고 매력적으로 만드셨어요.
I wrote a thoughtful essay that honestly explored the deeper meaning of my childhood memories.,나는 어린 시절의 추억 속 깊은 의미를 솔직하게 탐구한 수필을 썼어요.
I studied extra hard all week for the final exam that thoroughly tested my knowledge.	,나는 마지막 시험이 내 지식을 철저히 평가하는지 확인하기 위해 일주일 내내 열심히 공부했어요.
"During the routine examination, the experienced doctor thoroughly checked every part of the patient's body.",정기 검사 중에 경험 많은 의사가 환자의 몸 모든 부위를 꼼꼼하게 검사했어요.
The professor administered a difficult examination to test the students' grasp on the course fundamentals.,교수님은 학생들의 기본 개념을 확인하기 위해 어려운 시험을 치르셨어요.
The vibrant music and colorful fireworks never fail to excite everyone in the lively parade.,다채로운 음악과 화려한 불꽃놀이가 활기찬 퍼레이드에서 모든 사람들을 흥분시키고 있어요.
"After the fire alarm went off,	everyone hurried to the exit to escape the burning building.",화재 경보가 울리자 모두가 불타는 건물에서 벗어나기 위해 출구로 서둘러 갔어요.
"The modern factory, located near the busy port, efficiently manufactures a variety of high-quality products.","현대 공장은 바쁜 항구 근처에 위치해 있으며, 다양한 고품질 제품들을 효율적으로 제조하고 있어요."
The teacher did not favor any student over the others during the thoughtful class discussions.,선생님은 수업 시간 동안 어떤 학생도 특별히 편애하지 않으셨어요.
I always favor kind people because their positive attitude can inspire others in many ways.,"나는 항상 친절한 사람들을 좋아하고, 그들의 긍정적인 태도가 다른 사람들에게 영감을 주기 때문이에요."
"My friend kindly requested a favor, promising to return the kindness after finishing her task.","내 친구가 작은 호의를 부탁했고, 일을 마친 후 반드시 보답하겠다고 약속했어요."
"When my friend was in distress, I willingly offered a favor to brighten her day.","친구가 어려움에 처했을 때, 저는 기꺼이 그녀의 하루를 밝게 해주기 위해 호의를 베풀었어요."
His diligent work and kindness earned him a strong favor and glowing reputation among colleagues.,그의 부지런한 일과 친절함은 동료들 사이에서 강한 인기와 좋은 평판을 얻게 했어요.
Many people truly honor their teachers by recognizing their unique guidance and unwavering dedication daily.,많은 사람들이 매일 그들의 독특한 지도력과 변함없는 헌신을 인정하며 스승님들을 존중하고 있어요.
I honor my promises diligently by ensuring that every commitment is fulfilled with utmost integrity.,저는 제 약속을 성실하게 이행하여 모든 의무를 최대한 정직하게 완수해요.
We honor our teachers during annual awards ceremonies to express our heartfelt gratitude and respect.,우리는 연례 시상식에서 선생님들에게 경의를 표하여 진심 어린 감사를 표현해요.
The community gathered to honor the brave firefighter with a special ceremony and heartfelt applause.,지역 사회가 용감한 소방관에게 특별한 시상식과 진심 어린 박수를 보내어 명예를 주었어요.
The comedian's clever humor brightened the dull evening beautifully and instantly evoked hearty laughter tonight.,그 코미디언의 재치 있는 유머가 지루한 저녁을 아름답게 밝혀 즉시 모두에게 따뜻한 웃음을 선사했어요.
The advanced research lab contained a variety of innovative instruments that enabled scientists to conduct groundbreaking experiments.,첨단 장비가 갖춰진 이 연구실은 과학자들이 혁신적인 실험을 수행할 수 있도록 도움을 주었어요.
"They labored diligently throughout the night, determined to complete the important research project on time.",그들은 밤새도록 애쓰며 중요한 연구 프로젝트를 제시간에 완성하려고 노력했어요.
The dedicated workers demonstrated persistent labor every day to effectively maintain the smooth factory operation.,헌신적인 노동자들이 매일 꾸준한 노동을 통해 공장이 원활하게 운영되도록 효과적으로 유지했어요.
"In the newly renovated laboratory, dedicated researchers carefully conducted innovative experiments to discover scientific breakthroughs.",새롭게 단장된 실험실에서 헌신적인 연구자들이 혁신적인 실험을 진행하여 과학적 돌파구를 발견했어요.
"After finishing extensive training,	she obtained her driver's license and started enjoying long road trips.","오랜 훈련을 마치고,	그녀는 운전 면허증을 취득하여 긴 로드 트립을 즐기기 시작했어요."
My kind and helpful neighbor always shares warm smiles and comforting words during difficult times.,내 친절하고 도움을 주는 이웃은 어려운 시기에 따뜻한 미소와 위로의 말을 항상 나눠요.
"Yesterday, I took a wonderful photo with my best friends during our unforgettable vacation trip.","어제, 저는 잊을 수 없는 휴가 여행 동안 제 최고의 친구들과 함께 멋진 사진을 찍었어요."
I love to capture lifelong memories in every unique photograph I take during relaxing vacations.,저는 여유로운 휴가 동안 찍은 모든 독특한 사진에 평생 기억될 추억을 담는 것을 좋아해요.
I practice diligently new approaches every day to advance my goals	and consistently implement them.,나는 매일 신중하게 새로운 접근법을 실천하여 목표를 향상시키고	꾸준히 실행해요.
"Every morning, I diligently practice my piano skills to prepare and perform confidently during concerts.","매일 아침, 저는 피아노 연주 기술을 꾸준히 연습하여 콘서트에서 자신 있게 공연할 수 있도록 준비해요."
Our daily practice at the shop consistently involves excellent customer service and innovative sales techniques.,우리 상점에서의 영업 활동은 항상 훌륭한 고객 서비스를 제공하고 창의적인 판매 기법을 사용해요.
His daily practice of writing letters has turned into a cherished habit in his life.,그의 매일 편지를 쓰는 습관은 그의 삶에 소중한 관행이 되었어요.
The constant practice of executing new ideas carefully helps to considerably improve our daily performance.,새로운 아이디어를 신중하게 실천하는 지속적인 실행이 우리 일상의 성과를 크게 향상시키는 데 도움을 줘요.
"After a long period of reflection, I realized the importance of staying true to myself.","오랜 고민 끝에, 나는 나 자신에게 충실해야 한다는 중요함을 깨달았어요."
"After years of hard work, I finally realized my dream of becoming a successful writer.","수년간 열심히 노력한 끝에, 결국 성공적인 작가가 되는 내 꿈을 실현했어요."
The innovative technique greatly helped the dedicated scientists efficiently solve the most complicated experiment problems.,혁신적인 기술이 헌신적인 과학자들에게 가장 복잡한 실험 문제를 효율적으로 해결하는 데 크게 도움이 되었어요.
The theater was packed with excited audiences eager to watch a brilliant contemporary play tonight.,극장은 오늘 밤 멋진 현대 희곡을 관람하기 위해 기대에 찬 관객들로 가득 찼어요.
The new theater downtown hosted an exciting play featuring dramatic scenes and memorable characters today.,새로 생긴 도심의 극장에서 오늘 극적인 장면과 인상적인 등장인물이 등장하는 흥미로운 연극이 상연됐어요.
"During the stunning golden hour toward dusk, the warm colors slowly filled the dramatic landscape.","놀라운 황금빛 시간이 해질 무렵에, 따뜻한 색채들이 서서히 그 극적인 풍경을 채웠어요."
The curious cat moved slowly toward the open door as soft light filled the room.,호기심 많은 고양이는 부드러운 빛이 방을 채우는 동안 열려 있는 문 쪽으로 천천히 다가갔어요.
"The cat ran quickly towards the warm sunlight, chasing a fluttering butterfly in the garden.",정원에서 날개짓하는 나비를 쫓으며 고양이가 따뜻한 햇빛 쪽으로 빠르게 달렸어요.
The company's absolute commitment to quality consistently led its employees to achieve incredible technical success.,회사의 절대적인 품질에 대한 헌신은 직원들이 놀라운 기술 성과를 이루도록 꾸준히 이끈 결과예요.
Her absolute confidence in her abilities made her the best candidate for the critical role.,그녀의 완전한 자신감은 그녀를 중요한 역할에 가장 적합한 후보로 만들었어요.
"To access the secure website, I needed a verified account and strong password for protection.",안전한 웹사이트에 접속하기 위해 검증된 계정과 강력한 비밀번호가 필요했어요.
The university’s online portal offered convenient permanent access	to confidential research data for all scholars.,대학교의 온라인 포털은 모든 학자들이 기밀 연구 데이터를 쉽게 접근할 수 있도록 제공했어요.
"After several rigorous tests and interviews, the prestigious college truly granted admission to outstanding applicants.","여러 차례의 치열한 시험과 인터뷰 후, 그 명문 대학은 뛰어난 지원자들에게 진정으로 입학을 허용했어요."
Her profound affection for each dear friend and neighbor filled our community with unwavering warmth.,그녀의 깊은 애정은 모든 소중한 친구와 이웃에게 전달되어 우리 공동체를 따뜻하게 감쌌어요.
The designer chose to alter the old suit by integrating innovative ideas for a sleek appearance.,디자이너는 깔끔한 외모를 위해 혁신적인 아이디어를 도입하여 오래된 정장을 변경했어요.
"When she reviewed her performance, the critics altogether agreed that her talent was remarkably evident.","그녀의 공연을 평가했을 때, 평론가들은 완전히 그녀의 재능이 분명하다고 동의했어요."
"Altogether, the team combined our invaluable resources and skills to complete the challenging project successfully.","전체적으로, 팀은 소중한 자원과 능력을 결합하여 어려운 프로젝트를 성공적으로 완수했어요."
The university will officially announce the detailed schedule for the upcoming seminar on its website.,대학교는 공식 웹사이트를 통해 다가오는 세미나의 자세한 일정을 방송할 거예요.
The company will officially announce the new policy to all our dedicated employees at the meeting.,회사는 오늘 회의에서 모든 직원들에게 새 정책을 공식적으로 알릴 거예요.
The annual parade in our bustling city inspires citizens to celebrate its deep cultural heritage.,우리 분주한 도시에서 열리는 연례 퍼레이드는 시민들이 깊은 문화유산을 기념하도록 영감을 줘요.
The new innovative billboard designed by our team aims to appeal	 to a diverse audience.,우리 팀이 디자인한 새로운 혁신적인 광고판은 다양한 사람들의 관심을 끌기 위해 제작되었어요.
The charity organization will appeal strongly to generous donors by highlighting their severe hardships clearly.,자선 단체는 그들의 극심한 어려움을 분명히 강조하여 후원자들에게 강하게 호소할 거예요.
"The director’s performance did appeal strongly to all moviegoers, drawing admiration from a broad crowd.",그 감독님의 연기는 모든 영화 관객들에게 강하게 매력적으로 어필하여 넓은 찬사를 받았어요.
The museum exhibit's unique modern design held an undeniable appeal for many curious art enthusiasts.,박물관 전시회의 독특한 현대적 디자인은 많은 호기심 많은 예술 애호가들에게 큰 매력을 발휘했어요.
The manager will confidently appoint a dedicated team leader to successfully oversee the important project.,관리자가 중요한 프로젝트를 성공적으로 감독할 헌신적인 팀장을 자신 있게 임명하였어요.
I must assess every candidate's skills thoroughly	during the interview to select the best person.,나는 인터뷰에서 모든 지원자의 능력을 철저하게 평가하여 최고의 인재를 선택해야 해요.
The accountant had to assess each member's fee to ensure every tax was correctly applied.,회계사는 모든 세금이 정확하게 부과되었는지 확인하기 위해 각 회원의 회비를 부과해야 했어요.
The caring nurse assisted the frail patient with everyday activities	while ensuring her complete comfort.,친절한 간호사가 허약한 환자를 일상 활동 중에 도와주며 그녀의 완전한 편안함을 보장했어요.
The assistant helped the busy manager to schedule the day's important tasks efficiently and carefully.,이 보조는 바쁜 매니저를 도와 오늘의 중요한 업무를 효율적이고 신중하게 진행했어요.
"The efficient assistant manager skillfully coordinated tasks, leading the team to achieve remarkable weekly targets.",효율적인 부매니저가 과업을 능숙하게 조정하여 팀이 놀라운 주간 목표를 달성하도록 이끌었어요.
He repaired the broken fence along the garden to protect the plants from stray animals.,그는 길들지 않은 동물들이 식물을 해치지 않도록 정원 옆에 있는 울타리를 수리했어요.
"Managing your personal finance well requires careful planning, budgeting, and saving money for future emergencies.","개인 재정을 잘 관리하려면 신중한 계획, 예산 작성, 그리고 미래의 비상 상황에 대비한 저축이 필요해요."
"The finance department prepares annual budgets, oversees investment strategies, and ensures financial stability every quarter.",금융 부서는 연간 예산을 준비하고 투자 전략을 감독하며 매 분기마다 재정 안정을 확보해요.
The brave traveler stepped forth toward the dazzling city with determination and an adventurous heart.,용감한 여행자는 결단력과 모험심을 갖고	앞으로 눈부신 도시에 나아갔어요.
"Frankly, I believe that direct criticism can sometimes lead to significant improvement in challenging projects.","솔직히, 저는 직접적인 비판이 때로는 어려운 프로젝트에서 상당한 개선을 가져올 수 있다고 믿어요."
His constant interruptions only serve to seriously frustrate his hardworking team during the project meeting.,그의 끊임없는 방해는 프로젝트 회의 도중 열심히 일하는 팀을 좌절시켜 중요한 작업에 큰 지연을 초래했어요.
"The gentle giraffe, known for its long neck, roamed the expansive African plains with grace.",긴 목으로 유명한 그 부드러운 기린은 광활한 아프리카 초원을 우아하게 거닐었어요.
"After a long drive down the green, I discovered that golf remains my ultimate passion.",오랜 드라이브 후 그린 위에서 골프가 제 최고의 열정임을 깨달았어요.
The manager decided to grant permission for the new project after a careful detailed evaluation.,매니저는 신중하게 자세히 평가한 후 새 프로젝트에 대한 승인을 허락했어요.
The university earned a significant grant from the state government to develop innovative science programs.,이 대학은 혁신적인 과학 프로그램을 개발하기 위해 주정부로부터 상당한 보조금을 받았어요.
The generous organization awarded a significant grant	to fund the innovative community improvement project worldwide.,그 관대한 기관은 혁신적인 지역사회 개선 프로젝트를 지원하기 위해	상당한 기부금을 수여했어요.
The artist created a graphic illustration that vividly portrayed a realistic battle scene for viewers.,예술가는 관객들에게 생생하고 사실적인 전투 장면을 묘사한 그림을 그렸어요.
"The latest gaming laptop offers superb graphic performance, rendering stunning visuals even during high-action scenes.","최신형 게임용 노트북은 뛰어난 그래픽의 성능을 자랑하며, 격렬한 장면에서도 생생한 시각 효과를 보여줘요."
"The compelling evidence in court clearly proved his guilt,	ultimately leading to a quick verdict.","법정에 제시된 강력한 증거가 그의 유죄를 명확히 입증했고,	결국 신속한 판결로 이어졌어요."
"After the incident, Sarah could not shake off the guilt that weighed on her heart.","사건 후, 사라는 마음에 부담이 되는 죄책감을 떨쳐낼 수 없었어요."
The brave police officer carefully secured the antique gun found in the dusty storage room.,용감한 경찰관이 먼지 낀 보관실에서 발견된 오래된 총을 조심스럽게 확보했어요.
The dedicated emergency team deployed a helicopter to quickly transport injured patients to the hospital.,전담 응급팀은 부상당한 환자들을 신속하게 이송하기 위해 헬리콥터를 출동시켰어요.
"The frightening movie vividly depicted hell as an endless, burning, chaotic place of eternal torment.",그 무서운 영화는 지옥을 끊임없이 불타는 혼돈의 장소로 생생하게 묘사했어요.
I drove on the highway to reach the city quickly as the traffic was light.,나는 교통량이 적어 도시까지 빨리 도착하기 위해 고속도로를 달렸어요.
I stayed at a luxurious hotel in the busy downtown area during my recent vacation.,저는 최근 휴가 동안 분주한 도심 지역에 있는 호화 호텔에서 머물렀어요.
"Many families worldwide suffer from hunger caused by severe poverty, natural disasters, and political unrest.","전 세계의 많은 가정들이 극심한 빈곤, 자연 재해, 그리고 정치적 혼란으로 인한 굶주림에 시달리고 있어요."
The professor took time to inform the students about the important changes in the syllabus.,교수님께서 강의 계획서의 중요한 변경 사항에 대해 학생들에게 정보를 제공했어요.
