example_english,example_korean
I always have plenty of energy to run.,나는 항상 달릴 충분한 에너지가 있어요.
Dad happily uses engineering to build our house.,아빠는 기쁘게 공학 기술로 우리 집을 지어요.
My friend studies English at school every day.,내 친구는 매일 학교에서 영어를 공부해요.
My friend wears English style clothes every day.,내 친구는 영국 스타일 옷을 매일 입어요.
I have enough toys for all my friends.,나는 모든 친구들을 위해 충분한 장난감을 가지고 있어요.
We ensure our food is safe every day.,우리는 매일 음식이 안전한지 확실하게 해요.
The teacher always ensures fun and safe learning.,선생님은 언제나 즐겁고 안전한 학습을 보장해요.
All students enter the classroom with big smiles.,모든 학생들이 큰 미소와 함께 교실에 들어가요.
All eager students enter the contest for fun.,모든 열정적인 학생들이 재미를 위해 대회에 참가해요.
Please enter your new name on the form.,양식에 새 이름을 입력하세요.
She entirely agreed with her teacher's simple plan.,그녀는 선생님의 간단한 계획에 전적으로 동의했어요.
My family and I really love our environment.,우리 가족과 나는 정말 우리 주변의 환경을 사랑해요.
The school has many good environmental safety programs.,우리 학교에는 좋은 환경 안전 프로그램이 많아요.
I really envy my friend's shiny new car.,나는 친구의 멋진 새 차를 부러워해요.
I really envy my friend for his toy.,나는 내 친구의 장난감을 정말 부러워해요.
They equip the large room with new tools.,그들은 큰 방을 새로운 도구로 갖추어요.
I always use my pink eraser for homework.,나는 숙제할 때 항상 내 지우개를 사용해요.
The volcano may erupt with lava and ash.,화산이 용암과 재를 분출할 수 있어요.
My skin may erupt quickly after eating candy.,사탕 먹으면 내 피부가 빨리 발진해요.
"I bought candy, chips, etc. at the market.","저는 사탕, 칩 등등을 시장에서 샀어요."
Good etiquette always matters in every school day.,좋은 에티켓은 우리 학생들에게 학교마다 정말 항상 필요해요.
My family will travel to Europe next summer.,우리 가족은 다음 여름에 유럽에 갈 거예요.
I always like European hats for summer parties.,나는 항상 여름 파티에 유럽 모자를 좋아해요.
We celebrate on the eve of our party.,우리 파티의 전날에 축하해요.
We always enjoy games even if we lose.,우리는 지더라도 항상 게임을 즐겨요.
They play games even though it rains today.,"비록 오늘 비가 많이 와도, 그들은 게임을 해요."
I read a book in the evening time.,저는 저녁 시간에 책을 읽어요.
Have you ever seen a small pretty garden?,언젠가 작은 예쁜 정원을 본 적 있나요?
My new bike is faster than ever before.,내 새 자전거는 지금까지 단연코 가장 빨라요.
This is my best moment ever in life.,이것은 내 평생에 가장 좋은 순간이에요.
Have you ever visited a big green park?,너는 예전에 큰 초록 공원을 방문한 적이 있나요~요.
Every bird sings sweet songs in the morning.,모든 새가 아침마다 달콤한 노래를 불러요.
Every young student studies every subject after school.,모든 어린 학생이 학교 후에 모든 과목을 공부해요.
I always play soccer with friends every day.,나는 항상 친구들과 매일 축구를 해요.
Everybody always shares yummy snacks after lunch break.,모두는 항상 맛있는 간식을 점심 후에 먹어요.
I wear my everyday blue shoes to school.,저는 학교에 날마다 파란 신발을 신고 가요.
Everyone in our class enjoys reading simple stories.,우리 반의 모두 다는 쉬운 이야기를 즐겨요.
Everything always changes when you share your smile.,네 미소를 나누면 모든 것이 항상 변해요.
I see many birds everywhere in our park.,우리 공원에서 새들을 어디에나 볼 수 있어요.
I exactly finished my math test this morning.,나는 오늘 아침 수학 시험을 정확히 끝냈어요.
"Yes, that is exactly how the game works.","네, 그게 바로 그렇습니다요."
The teacher provided a simple example in class.,선생님이 수업 시간에 간단한 본보기를 제시해요.
This is a great example for young kids.,이것은 멋진 예시 어린이들을 위한 거예요.
She will always excel when she works hard.,그녀는 열심히 일하면 항상 뛰어나요.
My mom cooks an excellent dinner every night.,우리 엄마는 매일 밤 우수한 저녁을 요리해요.
I really like all fruits except for bananas.,"나는 정말 모든 과일을 좋아해요, 바나나는 제외하고요."
We exchange lunch boxes every Friday at school.,우리는 매주 금요일에 학교에서 도시락을 교환해요.
Students enjoy lively exchange of ideas in class.,학생들은 수업에서 생생한 교류를 즐겨요.
I will exchange money at the bank today.,오늘 은행에서 돈을 환전할 거예요.
"Our class exchange began a kind, short talk.",우리 반 대화는 짧고 친근하게 시작했어요.
I am very excited for our picnic today.,저는 소풍을 위해 매우 흥분해요.
The students are excited for the school trip.,학생들은 학교 여행에 신이 난 상태예요.
The little puppy ran excitedly toward its owner.,작은 강아지가 흥분하여 주인에게 달렸어요.
The fun game brought simple excitement to children.,재미있는 게임이 아이들에게 흥분을 가져다 줘요.
The new roller coaster ride is very exciting.,새 롤러코스터 타기는 매우 신나요.
The new park is exciting for every child.,새 공원은 모든 아이들에게 흥분시키는 곳이에요.
The new park is exciting for all kids.,새로운 공원은 모든 아이들에게 흥미로워요.
Dear teacher please excuse me for missed class.,"선생님, 제가 결석한 것을 용서해 주세요요."
I politely ask you to excuse my mistake.,내 실수에 대해 정중하게 양해를 구해요.
I always give an excuse for my mistake.,나는 실수에 대해 항상 변명을 해요.
We exercise our right to learn new things.,우리는 새로운 것을 배울 권리를 행사해요.
They exhibit paintings in the local art gallery.,그들은 지역 미술관에서 그림을 보여줘요.
The new museum exhibit displays beautiful art pieces.,새로운 박물관 전시회는 아름다운 예술 작품을 보여요.
Many people enjoy the art exhibition on Sunday.,많은 사람들이 일요일에 미술 전시회를 즐겨요.
I expect a very happy day at school.,나는 학교에서 아주 행복한 날을 기대해요.
I expect my friend to wait for me.,내 친구가 나를 기다리길 바래요.
They experience a new culture every school trip.,그들은 매 학교 여행마다 새로운 문화를 경험해요.
The class did a new experiment in science.,학급이 새로운 과학 실험을 했어요.
He tries to explain himself with true feelings.,그는 진짜 마음을 담아 자신을 항상 잘 설명해요.
Our teacher gave us a clear explanation today.,우리 선생님이 오늘 명확한 설명을 해주셨어요.
Large fireworks sometimes explode during a festive show.,큰 불꽃놀이는 축제 쇼에서 때때로 폭발해요.
The brave team began an exciting exploration today.,용감한 팀이 오늘 신나는 탐험을 시작했어요.
We always explore the park for hidden secrets.,우리는 언제나 공원을 탐험해요 그리고 숨은 비밀을 발견해요.
The artist's expression was clear in her painting.,화가의 표현이 그녀의 그림에서 명확했어요.
My sister wears a happy expression every day.,내 여동생은 매일 행복한 표정을 지어요.
The long bridge extends over the calm river.,긴 다리가 잔잔한 강 위로 이어져요.
I extend my hand to greet my friend.,나는 친구에게 내 손을 뻗어 인사해요.
We extend our school playground every summer season.,우리는 매 여름마다 학교 운동장을 확장해요.
Let's extend our break time by five minutes.,우리 쉬는 시간을 5분 연장해요.
The school extended our summer vacation benefit period.,학교가 우리의 여름 방학 혜택 기간을 연장했어요.
The extra actor happily smiles on the set.,단역 배우가 세트장에서 행복하게 웃어요.
I saw an extra orange in the basket.,나는 바구니에서 여분의 오렌지를 봤어요.
Today he is extremely happy to learn English.,오늘 그는 영어 배우는 게 극단적으로 기뻐요.
Sam always smiles with his bright blue eye.,샘은 항상 밝은 파란 눈으로 웃어요.
A kind eyewitness saw a small accident today.,친절한 목격자가 오늘 작은 사고를 보았어요.
Every fable tells a kind and simple lesson.,모든 우화는 친절하고 간단한 교훈을 이야기해요.
My school bag is made of blue fabric.,내 학교 가방은 파란 천으로 만들어졌어요.
The fabric of the building is very strong.,건축물은 매우 튼튼해요.
Our school's fabric is very kind and organized.,우리 학교의 구조는 매우 다정하고 조직적이에요.
"Every morning, I face the bright shining sun.","매일 아침, 저는 밝은 빛나는 태양을 마주봐요."
She faces the blue bus in the morning.,그녀는 아침에 파란 버스를 향하고 있어요.
I see a very pretty face at school.,나는 학교에서 아주 예쁜 얼굴을 봐요.
They always face a problem during long classes.,그들은 긴 수업 중 항상 문제에 직면해요.
Her kind facial smile always brightens my day.,그녀의 상냥한 얼굴 미소가 항상 제 하루를 밝혀줘요.
This fact shows that our test is correct.,이 사실은 우리 시험이 맞다는 것을 보여줘요.
I do not want to fail my test.,나는 시험에서 실패하고 싶지 않아요.
Many students fail exams if they study less.,공부를 덜 하면 학생들이 시험에서 낙제해요.
The toy has a failure in its design.,장난감에 결함이 있어요.
My failure helped me to learn new things.,나의 실패가 나에게 새로운 것을 배우도록 도와줬어요.
Every Saturday morning the children visit the fair.,매주 토요일 아침 아이들이 시장을 방문해요.
I went to the fair to see art.,나는 전시회에 가서 예술을 봤어요.
"At the busy fair, kids enjoy sweet treats.",바쁜 축제 마당에서 아이들이 달콤한 간식을 즐겨요.
The fair girl always smiles with bright hope.,아름다운 소녀가 항상 밝은 희망으로 웃어요.
Today the sky is very fair and blue.,오늘 하늘은 아주 화창하고 파랗게 보여요.
She is a fair person when playing games.,그녀는 게임할 때 분별 있는 사람이에요.
The teacher is always fair with all students.,선생님은 항상 모든 학생들에게 공평해요.
The kind judge was fair to all people.,친절한 판사는 모두에게 공정해요.
A kind fairy happily danced in the garden.,친절한 요정이 정원에서 행복하게 춤췄어요.
The dog always remains faithful to its owner.,강아지는 항상 주인에게 충실해요.
They fake a smile when they feel sad.,그들은 슬플 때 웃는 척해요.
The fake man cheated customers at the market.,그 사기꾼은 시장에서 고객을 속였어요.
This fake apple looks like a real apple.,이 가짜 사과는 진짜 사과처럼 보여요.
The blue curtain falls slowly over the window.,파란 커튼이 창문 위로 천천히 드리워지어요.
Bright red leaves fall slowly from old trees.,밝은 빨간 잎사귀가 천천히 오래된 나무에서 떨어져요.
The fall season is very cool and colorful.,가을은 매우 시원하고 다채로워요.
We visited the tall fall by the river.,우리는 강가에 있는 높은 폭포를 방문했어요.
I had a long fall on wet pavement.,나는 미끄러운 인도에서 크게 넘어졌어요.
The baby will fall asleep after his bath.,아기는 목욕 후에 잠들어요.
The little cat may fall down this afternoon.,작은 고양이가 오늘 오후에 떨어질 수 있어요.
The old wall near me might fall down.,내 옆의 오래된 벽이 무너질 수 있어요.
I might fall down if I run fast.,내가 빨리 달리면 넘어질 수 있어요.
They often fall in love during summer vacation.,그들은 여름 방학 중 사랑에 빠지아요.
Children can easily fall into bad habits sometimes.,어린이는 쉽게 나쁜 습관에 빠져 들어가요.
The numbers can fall off when time passes.,시간이 지나면 숫자가 떨어질 수 있어요.
The old company may fall off next year.,그 오래된 회사는 내년에 쇠퇴할 수 있어요.
Small apples often fall off the high branch.,작은 사과가 자주 높은 가지에서 떨어져요.
That false idea is not true at all.,저 거짓된 생각은 전혀 사실이 아니에요.
The information on the board clearly appears false.,게시판의 정보가 분명히 잘못되었어요.
She earned fame by performing in a play.,그녀는 연극에서 공연하며 명성을 얻었어요.
My happy family always loves to play outside.,우리 행복한 가족은 항상 밖에서 놀아요.
The famous artist paints a very bright picture.,유명한 화가는 아주 밝은 그림을 그려요.
I like my fan because it cools me.,내 선풍기는 더운 여름에 시원하게 해줘요.
My sister is really a big movie fan.,내 여동생은 정말 큰 영화 팬이에요.
My little fan cools me on hot days.,내 작은 선풍기가 더운 날 시원하게 해요.
I enjoy reading fantasy novels on rainy afternoons.,저는 비오는 오후에 환상 소설을 읽어요.
My friend created a fantasy world with magic.,내 친구는 마법의 환상 세계를 만들어요.
My new school is far from my home.,새 학교는 제 집에서 멀어요.
The beautiful mountains are far from our school.,아름다운 산은 우리 학교에서 멀리 있어요.
My house is far away from our school.,우리 집은 학교에서 멀리 있어요.
The school is far away from my house.,학교는 내 집로부터 멀리 떨어져 있어요.
They travel to a faraway island each summer.,그들은 매 여름 멀리 떨어진 섬으로 여행해요.
My faraway friend in school always appears dreamy.,"내 학교 친구는 항상 멍한, 꿈꾸는 듯해요."
I farm fresh vegetables on my small field.,나는 작은 밭에서 신선한 채소를 경작해요.
My family visits the farm every sunny morning.,우리 가족은 매일 아침 농장을 방문해요.
The old farmer harvests wheat in his field.,늙은 농부가 밭에서 밀을 수확해요.
The farmhouse sits in a quiet green field.,농가가 조용한 초록 들판에 있어요.
He was very fascinated with the bright fireworks.,그는 밝은 불꽃놀이에 매우 매료되었어요.
The museum exhibit is fascinating and very fun.,박물관 전시회는 매력적이고 매우 재미있어요.
My family trip is fascinating and very exciting.,우리 가족 여행은 흥미롭고 매우 신나요~요.
They fast for only one day every month.,그들은 한 달에 하루만 단식해요.
The fast bird flies high in the sky.,빠른 새가 하늘에 높이 날아요.
Please tie your shoelaces fast before running outside.,밖에서 뛰기 전에 신발끈을 단단히 묶어주세요~요
I always enjoy fast food with my family.,나는 항상 가족과 함께 즉석 음식을 즐겨요.
Please fasten the colorful ribbon on your hair.,머리에 컬러풀한 리본을 꼭 묶어 매세요~요.
The pizza has too much fat in sauce.,피자 소스에 지방이 너무 많아요.
The kind father always leads our Sunday service.,친절한 신부님이 우리 일요일 예배를 항상 인도해요.
My father always reads a book every day.,우리 아버지는 매일 책을 읽어요.
The cat will fatten up with extra food.,고양이는 추가 음식으로 살찌울 거예요.
Everyone always has at least one small fault.,모든 사람은 적어도 하나의 작은 결점이 있어요.
A fault creates a crack in the earth.,단층이 땅에 금을 만들어요.
My fault guess caused a simple error today.,내 잘못된 추측이 간단한 실수를 만들었어요.
My soccer team is my favorite candidate tonight.,내 축구팀은 오늘 우승 후보에요.
The small bird has one bright soft feather.,작은 새는 하나의 밝은 깃털을 가지고 있어요.
My teacher always gives kind feedback on homework.,선생님께서는 숙제에 대해 항상 친절한 피드백을 주시어요.
My teacher shared small feedback on my work.,선생님께서 제 일에 작은 의견을 주셨어요~요
I always feel calm when I read books.,나는 항상 책을 읽을 때 평온함을 느껴요.
I always feel good when I eat pizza.,피자를 먹을 때 나는 항상 좋다고 느껴요.
I always feel funny when I wake up.,나는 항상 일어나면 몸이 좋지 않아요.
I feel like playing ball in the park.,나는 공원에서 공놀이하는 것처럼 느껴져요.
I always feel sorry for my small dog.,나는 항상 내 작은 강아지가 안타까워요.
They ferry heavy goods from port to port.,그들은 무거운 물건을 항구에서 항구로 운반해요.
I ride the small ferry from the pier.,나는 선착장에서 작은 페리를 타요.
The ferry carries cars and many happy people.,여객선은 차와 많은 사람들을 태워요.
Our school festival makes happy memories for all.,우리 학교 축제는 모두에게 행복한 추억을 만들어줘요.
Our class visits the field on bright days.,우리 반은 밝은 날에 현장을 방문해요.
Science is a wide field for new ideas.,과학은 새로운 아이디어를 위한 넓은 분야예요.
Kids play soccer happily on the school field.,아이들은 학교 운동장에서 축구를 즐겨요.
The farmer works in the bright open field.,농부가 밝은 들판에서 일하고 있어요.
Our young team played soccer on the field.,우리 어린 팀이 경기장에서 축구를 했어요.
Field producer always plans live shoots at festivals.,현장 프로듀서가 항상 축제에서 생방송을 준비해요.
Our class always enjoys a fun field trip.,우리 반은 항상 즐거운 현장 학습을 해요.
I can always figure out easy math problems.,저는 언제나 쉬운 수학 문제를 계산해내요.
He can figure out the math problem.,그는 수학 문제를 이해할 수 있어요.
Students try very hard figure out simple math.,학생들은 매우 열심히 간단한 수학을 알아내요.
I fill my cup with fresh cold water.,나는 내 컵을 신선한 차가운 물로 채워요.
Please fill out the form at school now.,학교에서 지금 양식에 기입해 주세요.
Please fill out the form for school lunch.,학교 점심 신청서를 작성해 주세요.
The crew films a short funny comedy movie.,제작진이 짧은 재미있는 코미디 영화를 찍어요.
I happily watched an exciting film last Saturday.,나는 지난 토요일 신나는 영화를 즐겁게 봤어요.
I want a simple film for school project.,학교 프로젝트를 위한 간단한 필름을 원해요.
I finally ate my dinner before playing outside.,나는 마지막으로 저녁을 먹고 밖에서 놀았어요.
We arrived at school and finally made friends.,우리는 학교에 도착해서 마침내 친구들을 사귀었어요.
I always find my lost blue toy quickly.,저는 언제나 잃어버린 파란 장난감을 빨리 찾아요.
The judge will successfully find a fair verdict.,판사는 공정한 판결을 성공적으로 내릴 거예요.
Please find out my lost toy right now.,제 잃어버린 장난감을 지금 바로 알아내요.
The judge imposed a fine for speeding today.,판사님이 오늘 과속으로 벌금을 부과했어요.
I see a fine grain in this stone.,나는 이 돌에서 미세한 알갱이를 봐요.
She always used a fine thread for sewing.,그녀는 언제나 가는 실로 바느질을 했어요.
I feel fine when I eat ice cream.,저는 아이스크림을 먹을 때 기분이 좋아요.
This lovely park looks fine on sunny days.,이 사랑스러운 공원은 화창한 날씨에 좋아 보여요.
My tiny finger touches a bright red apple.,내 작은 손가락이 밝은 빨간 사과를 만져요.
I finish all my food during lunch time.,저는 점심 시간에 음식을 다 먹어요.
I always finish my math homework every night.,저는 항상 제 수학 숙제를 매일 밤 끝내요.
He will fire his water gun for fun.,그는 물총을 발사해서 놀아요.
My strict boss may fire a careless worker.,엄격한 사장이 부주의한 직원을 해고할 거예요.
The roaring fire warms us on winter nights.,타오르는 불이 겨울 밤에 우리를 따뜻하게 해요.
The fire station is red and very busy.,소방서는 빨갛고 매우 분주해요.
A brave knight quickly dodged a huge fireball.,용감한 기사님이 커다란 불덩어리를 빠르게 피했어요.
The brave firefighter saved people from the fire.,용감한 소방수는 불에서 사람들을 구했어요.
The warm fireplace glows in the cold room.,따뜻한 벽난로가 추운 방을 밝혀요.
Children enjoy bright firework shows during summer nights.,어린이들은 여름밤에 밝은 불꽃놀이 쇼를 즐겨요.
I love the shiny firework that lights skies.,나는 반짝이는 불꽃이 하늘을 밝히는 것을 사랑해요.
We always watch fireworks on a summer night.,우리는 항상 여름 밤에 불꽃놀이를 봐요.
I rode my very first bike last week.,나는 지난주에 내 첫 번째 자전거를 탔어요.
I first read my new book every morning.,저는 매일 아침 먼저 새 책을 읽어요.
She quickly used first aid on her friend.,그녀는 친구에게 빠르게 구급 요법을 사용했어요.
My little pet fish swims in the bowl.,내 작은 물고기가 물그릇에서 헤엄쳐요.
I use a long fishing pole to fish.,나는 긴 낚시대를 사용해 낚시해요.
She uses fitting room to change her dress.,그녀는 탈의실에서 드레스를 갈아입어요.
Peter can quickly fix his old broken toy.,피터는 그의 오래된 고장난 장난감을 빨리 고칠 수 있어요.
I always fix my broken bicycle with care.,나는 항상 고장난 자전거를 조심히 고쳐요.
We must fix the meeting time on Monday.,우리는 월요일에 모임 시간을 정해야 해요.
The quick fix is temporary in our project.,빠른 해결책은 우리 프로젝트에 잠정적 해결이에요.
My aunt performs flamenco at the Spanish party.,저의 이모가 스페인 파티에서 플라멩코 춤춰요.
Her beautiful smile flashed across her happy face.,그녀의 아름다운 미소가 행복한 얼굴에 확 나타났어요.
A fun idea suddenly flashed across my mind.,재미있는 생각이 갑자기 퍼뜩 떠올랐어요.
Our store holds a huge flash sale today.,우리 가게는 오늘 큰 반짝 세일을 해요.
My mom can flavor our yummy rice dish.,우리 엄마가 맛있는 밥에 풍미를 더해요.
The flavor of this pizza is very unique.,이 피자의 맛은 매우 독특해요.
I really love food with a unique flavor.,나는 정말 독특한 풍미의 음식을 좋아해요.
We visited a busy flea market last Saturday.,우리는 지난 토요일에 붐비는 벼룩시장을 방문했어요.
Balloons float around happily in the clear sky.,풍선들이 맑은 하늘에 즐겁게 떠다녀요.
The duck is slowly floating on calm water.,오리가 천천히 잔잔한 물 위에 떠 있어요.
We visited a very famous floating market yesterday.,우리는 어제 매우 유명한 수상 시장을 방문했어요.
Many small houses were destroyed by sudden flooding.,갑작스러운 홍수로 많은 작은 집들이 부서졌어요.
My school's first floor is extremely bright today.,우리 학교의 1층은 오늘 매우 밝아요.
My classroom is located on the second floor.,제 교실은 두 번째 층에 위치해요.
The kindly florist sells lots of red flowers.,친절한 꽃가게주인은 빨간 꽃들을 많이 팔아요.
The cook will flour the baking pan lightly.,요리사는 빵틀에 가루를 뿌릴 거예요.
Flour helps me bake tasty bread at home.,밀가루는 집에서 맛있는 빵을 굽는 데 도움을 줘요.
The flower blooms happily under the summer sun.,꽃이 행복하게 피어요 여름 햇살 아래서요.
I put a rose in a flower pot.,나는 장미를 화분에 넣었어요.
I place my flowerpot at the window sill.,나는 창가에 화분을 놓아요.
He got the flu on a cold day.,그는 추운 날에 유행성 감기에 걸렸어요.
My friend plays a pretty flute every day.,내 친구는 매일 예쁜 플루트를 연주해요.
Birds fly high in the clear blue sky.,새들이 맑은 푸른 하늘에서 날아요.
My dad can easily fly a big airplane.,우리 아빠는 큰 비행기를 조종할 수 있어요.
A happy pilot will fly the blue airplane.,행복한 조종사가 파란 비행기를 날릴 거예요.
Time can fly very fast when you smile.,우리의 소중한 짧은 시간은 정말 아주 빠르게 날아가요.
A little fly sits on my window sill.,작은 파리가 내 창턱 위에 앉아요.
Flying in the vast blue sky is exciting.,넓은 파란 하늘에서 날기는 신나요.
Students consistently focus on reading during quiet study.,학생들은 조용한 시간에 독서에 집중해요.
I can focus on my homework every day.,나는 매일 숙제에 집중할 수 있어요.
The focus of our class today is learning.,우리 수업의 중심은 오늘 배우는 거예요.
I must focus on my math homework today.,나는 오늘 수학 숙제에 집중해야 해요.
The street looks foggy on a cool morning.,거리는 쌀쌀한 아침에 안개가 자욱해요.
We enjoy playing folk music at school concerts.,우리 학교 콘서트에서 민속 음악을 즐겨요.
I see a beautiful folk painting at school.,학교에서 아름다운 민화를 봐요.
We visited the quiet folk village last summer.,지난 여름에 조용한 민속촌을 방문했어요.
He is a loyal following of his teacher.,그는 선생님의 충실한 추종자에요.
Please read the following book on the table.,테이블 위에 있는 다음 책을 읽어 주세요~요.
We share warm and tasty fondue with friends.,우리는 친구들과 따뜻하고 맛있는 퐁듀를 먹어요.
We always bring tasty food for school lunch.,우리 항상 학교 점심에 맛있는 음식을 가져와요.
Our food waste causes problems for our planet.,우리의 음식 쓰레기가 지구에 문제를 일으켜요.
That foolish boy always plays with his toys.,그 어리석은 소년은 늘 장난감을 가지고 놀아요.
My left foot really hurts after the race.,내 왼발이 정말 아파요.
I hurt my foot on a rough floor.,나는 거친 바닥에서 발을 다쳤어요.
He left a footprint on the muddy ground.,그는 진흙탕에 발자국을 남겼어요.
I bought a gift for my dear friend.,나는 소중한 친구를 위하여 선물을 샀어요.
She studied for three hours after school.,그녀는 학교 후에 세 시간 동안 공부했어요.
I always vote for my kind teacher today.,나는 오늘 항상 친절한 선생님을 찬성해요.
Peter is really tall for his young age.,피터는 어린 나이에 정말 키가 커요.
He always does it for a good reason.,그는 합당한 이유로 항상 그렇게 해요.
He works hard every day for a living.,그는 매일 열심히 일해요 생계를 위해 일해요.
He smiled for a moment at her kindly.,그는 그녀에게 잠깐 미소를 지었어요.
We happily played for a while before dinner.,우리는 저녁 전에 잠시 동안 즐겁게 놀았어요.
"I like fruits, for example, apples and oranges.","저는 과일을 좋아해요, 예를 들어 사과와 오렌지를 좋아해요."
You can ride a bike for free today.,너는 오늘 자전거를 무료로 탈 수 있어요.
I will come for sure on Friday morning.,나는 금요일 아침에 틀림없이 올 거예요.
I rode a bike for the first time.,저는 처음으로 자전거를 탔어요.
I study math every day for this reason.,나는 이런 이유로 매일 수학을 공부해요.
The school hall is forbidden to all students.,학교 복도는 모든 학생에게 금지되어 있어요.
They forecast heavy rain for the next day.,그들은 내일 많은 비를 예상해요.
The TV forecaster explains today's very clear weather.,TV 기상캐스터가 오늘 아주 맑은 날씨를 설명해요.
My friendly foreigner visits our busy school daily.,친절한 외국인이 우리 분주한 학교를 매일 방문해요.
The deep forest holds many small green trees.,깊은 숲에는 작은 초록 나무들이 있어요.
I sometimes forget to pack my lunch today.,저는 가끔 오늘 점심을 싸는 것을 잊어요.
Kids happily form a team to play games.,아이들이 팀을 형성해요.
Please fill out the form with your details.,양식을 작성해 주세요.
Cloud formation always makes the sky look pretty.,구름 형성이 항상 하늘을 예쁘게 만들어요.
The beautiful red rock formation is very interesting.,아름다운 빨간 바위 지층은 아주 흥미로워요.
"Fortunately, we quickly found the lost kitten today.","다행히도, 우리는 잃어버린 새끼 고양이를 오늘 빨리 찾았어요."
The tall fountain sprays water in our park.,키 큰 분수 우리 공원에서 물을 뿌려요.
The fast fox runs near the old barn.,빠른 여우는 오래된 헛간 옆에서 달려 있어요.
The kind teacher will free the trapped kitten.,친절한 선생님이 갇힌 새끼 고양이를 풀어주실 거예요.
My schedule is always free on Sunday mornings.,"제 일정은 항상 한가해요, 일요일 아침에요."
Happy birds are free in the open field.,행복한 새들은 열린 들판에서 자유로워요.
This home network is free of security issues.,이 우리의 집 네트워크는 완전 보안 문제가 없어요.
I really enjoy free time at the park.,나는 공원에서 여가 시간을 정말 즐겨요.
Everyone enjoys using freedom to explore new adventures.,모두가 자유를 이용해 새로운 모험을 즐겨요.
The birds fly freely in the big sky.,새들이 넓은 하늘에서 자유로이 날아요.
The freezer safely stores frozen food every day.,냉동고가 매일 냉동 음식을 안전하게 보관해요.
My friend and I speak French every day.,친구와 나는 매일 프랑스어를 말해요.
My teacher always wears French clothes at school.,제 선생님은 항상 프랑스의 옷을 입어요.
