*중고등1200 교육부 지정 영단어의 영어 데이터 > 워드P에서 해당 단어의 모든 다의어 리스트업,,,,,,,,,,,
voca NO,grade ID,grade NO,WordText,WordMeaning,PoS,품사,image ID,WordID(SoundID),WordSymbol,example_english,example_korean
62,,,cycle,"주기,순환",2,명사,3185,5273,[sáikl],,
63,,,cyclist,자전거 타는 사람,2,명사,11281,15564,[sáiklist],,
64,,,debt,"은혜를 입음,신세를 짐",2,명사,4121,27206,[det],,
65,,,debt,빚,2,명사,10870,2741,[dét],,
66,고1,10,defense,"수비,방어",2,명사,1390,9111,[diféns],,
67,,,define,정의하다,1,동사,3081,5096,[difáin],,
68,,,definite,확실한,3,형용사,8040,1920,[défənit],,
69,,,depress,내리누르다,1,동사,2210,22780,[diprés],,
70,,,depress,우울하게 하다,1,동사,3182,4189,[diprés],,
71,,,disappoint,실망시키다,1,동사,1589,3455,[dìsəpɔ́int],,
72,,,discharge,"해고하다,내보내다",1,동사,9573,5994,[disʧá:rdʒ],,
73,,,discharge,"방출(량),방출하다",1,동사,9573,30999,[disʧάːrdʒ],,
74,,,discharge,(기체 등이) 흐르다,1,동사,10935,22813,[disʧάːrdʒ],,
75,,,disgust,"혐오감,역겨움",2,명사,2358,6410,[disgʌ́st],,
76,,,divorce,이혼,2,명사,2769,4592,[divɔ́:rs],,
77,,,dozen,1다스,2,명사,34,34,[dʌ́zn],,
78,,,drug,약,2,명사,2237,14485,[drʌ́g],,
79,,,ease,(고통/불편이) 덜해지다,1,동사,7850,4094,[í:z],,
80,,,ease,수월하게 하다,1,동사,7850,30744,[iːz],,
81,,,ease,"쉬움,용이함",2,명사,10967,25448,[íːz],,
82,,,elect,선출하다,1,동사,1816,3026,[ilékt],,
83,,,embarrass,당황하게 하다,1,동사,878,1398,[imbǽrəs],,
84,,,enroll,"등록하다,입학시키다",1,동사,6367,4708,[inróul],,
85,,,entertain,즐겁게 하다,1,동사,8517,5397,[èntərtéin],,
86,,,entertain,(생각을) 품다,1,동사,9311,22896,[èntərtéin],,
87,,,especial,특별한,3,형용사,9841,17133,[ispéʃəl; espéʃəl],,
88,,,essay,"수필,에세이",2,명사,5076,9095,[ései],,
89,#N/A,#N/A,exam,시험,2,명사,9569,14500,[igzǽm],,
90,,,examination,검사,2,명사,3140,17137,[igzæmənéiʃən],,
91,,,examination,시험,2,명사,9569,3393,[igzæmənéiʃən],,
92,,,excite,흥분시키다,1,동사,10758,6641,[iksáit],,
93,,,exit,출구,2,명사,3477,5779,[égzit],,
94,,,factory,공장,2,명사,382,606,[fǽktəri],,
95,고1,10,favor,편애하다,1,동사,7975,21331,[féivər],,
96,고1,10,favor,좋아하다,1,동사,9910,19967,[féivər],,
97,고1,10,favor,"부탁,호의",2,명사,7084,6441,[féivər],,
98,고1,10,favor,"호의,친절",2,명사,10736,25654,[féivər],,
99,고1,10,favor,"인기,평판",2,명사,10823,22968,[féivər],,
100,고1,10,honor,존중하다,1,동사,3164,19996,[ánər],,
101,고1,10,honor,"(약속 등을) 지키다,이행하다",1,동사,7486,27368,[άnər],,
102,고1,10,honor,~에게 경의를 표하다,1,동사,8401,25686,[ánər],,
103,고1,10,honor,명예를 주다,1,동사,10861,30016,,,
104,,,humor,유머,2,명사,11010,4324,[hjú:mər],,
105,#N/A,#N/A,lab,실험실,2,명사,12034,16286,[lǽb],,
106,고2,11,labor,애쓰다,1,동사,4010,23268,[léibər],,
107,고2,11,labor,노동,2,명사,753,1197,[léibər],,
108,고2,11,laboratory,실험실,2,명사,2112,3480,[lǽbərətɔ̀:ri],,
109,,,license,면허(증),2,명사,1176,1889,[láisəns],,
110,고1,10,neighbor,이웃사람,2,명사,12993,4566,[néibər],,
111,#N/A,#N/A,photo,사진,2,명사,1712,2847,[fóutou],,
112,,,photograph,사진,2,명사,1712,2848,[fóutəgræf],,
113,고1,10,practice,실천하다,1,동사,2768,18677,[prǽktis],,
114,고1,10,practice,"사용하다,실행하다",1,동사,8440,30988,[prǽktis],,
115,고1,10,practice,영업,2,명사,5833,18678,[prǽktis],,
116,고1,10,practice,"습관,관행",2,명사,7886,18676,[prǽktis],,
117,고1,10,practice,"실행,실천",2,명사,9575,30987,[prǽktis],,
118,고1,10,realize,"깨닫다,알아차리다",1,동사,649,1028,[rí:əlàiz],,
119,고1,10,realize,"실현하다,깨닫다",1,동사,6120,25769,[rí:əlàiz],,
120,고1,10,technique,기술,2,명사,7921,963,[tekní:k],,
121,고1,10,theater,"연극,희곡",2,명사,7901,18086,[θí:ətər],,
122,고1,10,theater,극장,2,명사,13848,864,[θí:ətər],,
123,,,toward,무렵,6,전치사,5496,19777,[tɔ́:rd; təwɔ́:d],,
124,,,toward,"~쪽으로,~을 향하여",6,전치사,10731,5594,[tɔ́:rd; təwɔ́:d],,
125,#N/A,#N/A,towards,~쪽으로,6,전치사,8437,5595,[tɔ́:rdz],,
126,고1,10,absolute,절대적인,3,형용사,875,5022,[ǽbsəlù:t],,
127,고1,10,absolute,"완전한,완벽한",3,형용사,2469,30581,[ǽbsəlùːt],,
128,고1,10,access,접속하다,1,동사,7317,17426,[ǽkses],,
129,고1,10,access,접근,2,명사,3050,5048,[ǽkses],,
130,고1,10,admission,"입장,입학",2,명사,2840,4705,[ædmíʃən],,
131,고1,10,affection,애정,2,명사,8159,3660,[əfékʃən],,
132,고1,10,alter,"변경하다,바꾸다",1,동사,1459,2138,[ɔ́:ltər],,
133,고1,10,altogether,"완전히,아예",4,부사,3412,20710,[ɔ̀:ltəgéðər],,
134,고1,10,altogether,"전체적으로,다 합하여",4,부사,10896,5012,[ɔ̀:ltəgéðər],,
135,고1,10,announce,방송하다,1,동사,5367,24058,[ənáuns],,
136,고1,10,announce,"알리다,공고하다",1,동사,8241,3618,[ənáuns],,
137,고1,10,annual,매년의,3,형용사,1141,1833,[ǽnjuəl],,
138,고1,10,appeal,관심을 끌다,1,동사,3191,18147,[əpí:l],,
139,고1,10,appeal,호소하다,1,동사,3878,6438,[əpí:l],,
140,고1,10,appeal,매력적이다,1,동사,8035,19112,[əpí:l],,
141,고1,10,appeal,매력,2,명사,8033,17672,[əpí:l],,
142,고1,10,appoint,"지명하다,임명하다",1,동사,7799,5444,[əpɔ́int],,
143,고1,10,assess,평가하다,1,동사,3678,6092,[əsés],,
144,고1,10,assess,(세금/회비를) 부과하다,1,동사,8321,22473,[əsés],,
145,고1,10,assist,돕다,1,동사,9414,1540,[əsíst],,
146,고1,10,assistant,"보조,조수",2,명사,1630,5201,[əsístənt],,
147,고1,10,assistant,"(직함) 부(副)-,조(助)-",3,형용사,11968,26107,[əsístənt],,
148,,,fence,울타리,2,명사,2543,4227,[féns],,
149,,,finance,재정,2,명사,2962,4889,[fáinæns; finǽns],,
150,,,finance,금융,2,명사,2962,30955,"[finǽns, fáinæns]",,
151,,,forth,앞으로,4,부사,9787,14548,[fɔ́:rθ],,
152,,,frankly,솔직히,4,부사,8010,3217,[frǽŋkli],,
153,,,frustrate,좌절시키다,1,동사,3182,5269,[frʌ́streit],,
154,,,giraffe,기린,2,명사,599,940,[dʒərǽf],,
155,,,golf,골프,2,명사,5963,13683,[gálf],,
156,,,grant,승인하다,1,동사,9764,5276,[grǽnt],,
157,,,grant,보조금,2,명사,1491,21954,[grǽnt],,
158,,,grant,기부금,2,명사,7916,20423,[grǽnt],,
159,,,graphic,"생생한,사실적인",3,형용사,1794,23063,[grǽfik],,
160,,,graphic,그래픽의,3,형용사,12496,17176,[grǽfik],,
161,,,guilt,유죄,2,명사,2614,4346,[gílt],,
162,,,guilt,죄책감,2,명사,4347,20911,[gílt],,
163,,,gun,총,2,명사,2375,5721,[gʌ́n],,
164,,,helicopter,헬리콥터,2,명사,11345,15278,[hélikɔ̀ptər],,
165,,,hell,지옥,2,명사,3287,5466,[hél],,
166,,,highway,고속도로,2,명사,7866,531,[háiwèi],,
167,,,hotel,호텔,2,명사,3885,6445,[houtél],,
168,,,hunger,"굶주림,기아",2,명사,492,779,[hʌ́ŋgər],,
169,,,inform,(정보를) 제공하다,1,동사,9287,3818,[infɔ́:rm],,
170,,,inform,알리다,1,동사,9595,3619,[infɔ́:rm],,
171,,,instance,"사례,경우",2,명사,10866,3985,[ínstəns],,
172,,,insure,보장하다,1,동사,1502,20466,[inʃúər],,
173,,,insure,보험을 계약하다,1,동사,1503,2443,[inʃúər],,
174,,,jeans,청바지,2,명사,3316,5518,[dʒí:nz],,
175,,,knowledge,지식,2,명사,10903,5463,[nálidʒ],,
176,,,league,"리그,연맹",2,명사,2373,3902,[lí:g],,
177,,,lemon,레몬,2,명사,10048,13628,[lémən],,
178,,,loan,대출(금),2,명사,892,1425,[lóun],,
179,,,maximum,최대한의,3,형용사,3454,5733,[mǽksəməm],,
180,,,melon,멜론,2,명사,5280,9736,[mélən],,
181,,,microwave,전자레인지,2,명사,10338,13982,[máikrouwèiv],,
182,,,microwave,"마이크로파,극초단파",2,명사,16169,25728,[máikrouwèiv],,
183,,,mill,"제분하다,분쇄하다",1,동사,127,23345,[míl],,
184,,,mill,"제조공장,물방앗간",2,명사,3120,5160,[míl],,
185,,,minor,미성년자,2,명사,5834,25287,[máinər],,
186,,,minor,단조,2,명사,13277,26080,[máinər],,
187,,,minor,부전공,2,명사,15269,22066,[máinər],,
188,,,minor,"소수의,작은",3,형용사,1908,17258,[máinər],,
189,,,minor,"사소한,보다 작은",3,형용사,3759,2824,[máinər],,
190,,,nerve,신경,2,명사,2082,3410,[nə́:rv],,
191,,,nerve,용기,2,명사,7967,22080,[nə́:rv],,
192,,,none,아무도 ~않다,5,대명사,2155,3553,[nʌ́n],,
193,,,nor,~도 또한 아니다,7,접속사,10857,1492,[nɔ́:r; nər],,
194,,,nowhere,아무데도,4,부사,12053,16305,[nóuhwεər],,
195,,,oak,"떡갈나무,오크나무",2,명사,12157,16409,[óuk],,
196,,,occurrence,발생,2,명사,8343,8792,[əkə́:rəns],,
197,,,opera,오페라,2,명사,2450,4048,[ápərə],,
198,,,ought,"해야 한다,임에 틀림없다",1,동사,9867,14783,[áutidʒ],,
199,,,oven,오븐,2,명사,10341,13987,[ʌ́vən],,
200,,,paragraph,문단,2,명사,1266,2046,[pǽrəgræf],,
201,,,pear,(과일) 배,2,명사,5303,9763,[pέər],,
202,,,per,"~당,매~",6,전치사,184,28751,[pərː (강) pə́ːr],,
203,,,per,마다,6,전치사,1092,1737,[pər],,
204,,,pipe,"관,파이프",2,명사,5304,9764,[páip],,
205,,,pipe,피리,2,명사,8874,16929,[páip],,
206,,,pipe,담뱃대,2,명사,16174,25757,[páip],,
207,,,politics,정치,2,명사,3089,5108,[pálətìks],,
208,,,port,항구,2,명사,3806,6297,[pɔ́:rt],,
209,,,probable,유망한,3,형용사,2601,22184,[prάbəbl],,
210,,,probable,개연성 있는,3,형용사,2843,4711,[prάbəbl],,
211,,,pub,"주점,술집",2,명사,6170,24923,[pʌ́b],,
212,,,qualify,자격을 얻다,1,동사,75,4717,[kwáləfài],,
213,,,quote,인용하다,1,동사,9693,4629,[kwóut],,
214,,,quote,인용구,2,명사,1373,25956,[kwóut],,
215,,,rail,"철도,난간",2,명사,3409,26036,[réil],,
216,,,reception,수령,2,명사,1966,23639,[risépʃən],,
217,,,reception,접수처,2,명사,3923,6527,[risépʃən],,
218,,,reception,환영회,2,명사,8498,21094,[risépʃən],,
219,,,refer,언급하다,1,동사,2298,3771,[rifə́:r],,
220,,,refer,탓하다,1,동사,2712,23653,[rifə́ːr],,
221,,,refer,참조하다,1,동사,3378,17319,[rifə́:r],,
222,,,refer,"맡기다,회부하다",1,동사,15540,23654,[rifə́ːr],,
223,,,regard,간주하다,1,동사,14489,4388,[rigá:rd],,
224,,,regard,"관심,배려",2,명사,9532,22220,[rigά:rd],,
225,,,regard,"관계,관련",2,명사,9611,23657,[rigάːrd],,
226,,,regard,존경,2,명사,9756,20572,[rigá:rd],,
227,,,relation,관계,2,명사,401,638,[riléiʃən],,
228,,,rely,의지하다,1,동사,1319,2122,[rilái],,
229,,,remark,주의하다,1,동사,9769,22224,[rimά:rk],,
230,,,respective,각각의,3,형용사,113,7179,[rispéktiv],,
231,,,scarf,스카프,2,명사,6065,14894,[ská:rf],,
232,,,scarf,목도리,2,명사,11399,21712,[ská:rf],,
233,,,seal,봉하다,1,동사,953,1509,[sí:l],,
234,,,seal,밀봉한 부분,2,명사,953,20593,[sí:l],,
235,,,seal,바다표범,2,명사,15836,25330,[síːl],,
236,,,seal,"물개,바다표범",2,명사,16345,26013,[sí:l],,
237,,,secretary,비서,2,명사,1630,2696,[sékrətèri],,
238,,,self,자신,2,명사,2853,14901,[sélf],,
239,,,session,"기간,학기",2,명사,11023,3258,[séʃən],,
240,,,shadow,그림자,2,명사,544,848,[ʃǽdou],,
241,,,shall,~일 것이다,1,동사,9706,4647,[ʃǽl],,
242,,,shame,부끄러움,2,명사,1523,2488,[ʃéim],,
243,,,shame,안타까운,3,형용사,7547,20601,[ʃéim],,
244,,,shave,면도 하다,1,동사,1170,1881,[ʃéiv],,
245,,,situate,위치시키다,1,동사,2582,4289,[síʧuèit],,
246,,,situate,"(어느 장소에) 놓다,설치하다",1,동사,2582,31186,[síʧuèit],,
247,,,slip,미끄러지다,1,동사,1296,2089,[slíp],,
248,,,slip,종이 조각,2,명사,3655,21626,[slíp],,
249,,,slip,전표,2,명사,15304,22279,[slíp],,
250,,,somewhat,"다소,어느 정도",4,부사,12086,16338,[sʌ́mhwʌ̀t],,
251,,,sponsor,후원하다,1,동사,3965,6591,[spánsər],,
252,,,sponsor,후원자,2,명사,3965,20623,[spánsər],,
253,,,spray,뿌리다,1,동사,1292,2083,[spréi],,
254,,,spray,물보라,2,명사,13158,19400,[spréi],,
255,,,stamp,도장을 찍다,1,동사,6153,25506,[stǽmp],,
256,,,stamp,우표,2,명사,2529,4204,[stǽmp],,
257,,,steady,"흔들림 없는,안정된",3,형용사,2189,6492,[stédi],,
258,,,steady,일정한,3,형용사,2189,30922,[stédi],,
259,,,steady,꾸준한,3,형용사,9703,19063,[stédi],,
260,,,tense,긴장된,3,형용사,633,1001,[téns],,
261,,,tense,긴장한,3,형용사,633,19078,[tens],,
262,,,toast,빵을 굽다,1,동사,493,14007,[tóust],,
263,,,toast,"축배를 들다,건배하다",1,동사,4068,25518,[tóust],,
264,,,toast,토스트,2,명사,10357,17395,[tóust],,
265,,,unaware,알지 못하는,3,형용사,10949,17593,[ʌ̀nəwέər],,
266,,,union,"연합,조합",2,명사,2385,5233,[jú:njən],,
267,,,union,"결합,통합",2,명사,2385,30825,[júːnjən],,
268,,,union,결합,2,명사,9862,21251,[jú:njən],,
269,,,upon,위에,6,전치사,2575,4279,[əpán; əpɔ́:n],,
270,,,upper,더 위의,3,형용사,11535,15468,[ʌ́pər],,
271,,,van,밴,2,명사,10388,14044,[vǽn],,
272,,,villa,대규모의 별장,2,명사,10514,14208,[vílə],,
273,,,wool,양털,2,명사,2263,3716,[wúl],,
274,,,would,~였을 것이다,1,동사,13982,17017,[wúd; wəd],,
275,,,would,(will의 과거형) ~하려고 했다,1,동사,14840,6670,[wúd; wəd],,
276,,,would,~했을 것이다,1,동사,14845,17018,[wúd; wəd],,
277,고1,10,associate,관련시키다,1,동사,5168,30539,"[əsóuʃièit, əsóusièit]",,
278,고1,10,associate,"결부짓다,연관짓다",1,동사,7085,30547,"[əsóuʃièit, əsóusièit]",,
279,고1,10,associate,연상하다,1,동사,9359,3889,[əsóusièit],,
280,고1,10,associate,동료,2,명사,7993,22475,[əsóuʃiət],,
281,고1,10,assume,가정하다,1,동사,100,121,[əsú:m],,
282,고1,10,assume,(책임/역할을) 맡다,1,동사,6612,21755,[əsú:m],,
283,고1,10,atmosphere,대기,2,명사,367,18162,[ǽtməsfìər],,
284,고1,10,atmosphere,분위기,2,명사,605,2597,[ǽtməsfìər],,
285,고1,10,attempt,시도하다,1,동사,954,29145,[ətémpt],,
286,고1,10,attempt,시도,2,명사,10751,3362,[ətémpt],,
287,고1,10,aware,"알고 있는,의식하고 있는",3,형용사,9596,4428,[əwér],,
288,고1,10,awkward,"서투른,어색한",2,명사,2289,3754,[ɔ́:kwərd],,
289,고1,10,awkward,난처한,3,형용사,9917,18166,[ɔ́:kwərd],,
290,고1,10,awkward,어색한,3,형용사,12461,20730,[ɔ́:kwərd],,
291,고1,10,bare,드러내다,1,동사,8004,19834,[bέər],,
292,고1,10,bare,"벌거벗은,텅 빈",3,형용사,3580,5943,[bέər],,
293,고1,10,bare,"맨-,아무것도 안 덮인",3,형용사,3580,30954,[bεər],,
294,고1,10,basis,근거,2,명사,6624,19120,[béisis],,
295,고1,10,basis,원리,2,명사,7915,4243,[béisis],,
296,고1,10,basis,"기반,기초",2,명사,7915,30887,[béisis],,
297,고1,10,basis,"기준,단위",2,명사,13289,20290,[béisis],,
298,고1,10,belong,속하다,1,동사,2335,3840,[bilɔ́:ŋ; billáŋ],,
299,고1,10,bond,유대감을 형성하다,1,동사,2594,30623,[band],,
300,고1,10,bond,연결하다,1,동사,2594,30627,[band],,
301,고1,10,bond,(원자 간의) 결합,2,명사,265,19134,[bɔ́nd; bánd],,
302,고1,10,bond,유대,2,명사,2594,4313,[bɔ́nd; bánd],,
303,고1,10,bond,채권,2,명사,14742,21777,[bɔ́nd; bánd],,
304,고1,10,brick,벽돌,2,명사,14784,14360,[brík],,
305,고1,10,brief,간결한,3,형용사,117,143,[brí:f],,
306,고1,10,brilliant,"화려한,빛나는",3,형용사,1484,20310,[bríljənt],,
307,고1,10,brilliant,훌륭한,3,형용사,7887,19498,[bríljənt],,
308,고1,10,brilliant,총명한,3,형용사,8445,5722,[bríljənt],,
309,고1,10,brilliant,"훌륭한,멋진",3,형용사,8445,30807,[bríljənt],,
310,고1,10,bunch,"다발,묶음",2,명사,10925,6769,[bʌ́nʧ],,
311,고1,10,burst,무너뜨리다,1,동사,6273,19859,[bə́:rst],,
312,고1,10,burst,(강한 감정의 표현으로) 터뜨리다,1,동사,9382,26092,[bə́:rst],,
313,고1,10,burst,"파열하다,터지다",1,동사,11004,201,[bə́:rst],,
314,고1,10,characteristic,특질,2,명사,3633,6017,[kæ̀riktərístik],,
315,고1,10,characteristic,특징,2,명사,8460,17071,[kæ̀riktərístik],,
316,고1,10,characteristic,독특한,3,형용사,7154,18247,[kæ̀riktərístik],,
317,고1,10,charm,"주문,마술",2,명사,2331,17713,[ʧá:rm],,
318,고1,10,charm,(목걸이나 팔찌 등에 다는) 작은 장식물,2,명사,5063,28850,[ʧaːrm],,
319,고1,10,chief,우두머리,2,명사,2513,4170,[ʧí:f],,
320,고1,10,chief,"가장 중요한,주된",3,형용사,9542,22605,[ʧíːf],,
321,고1,10,claim,(목숨을) 빼앗다,1,동사,7478,24216,[kléim],,
322,고1,10,claim,"주장하다,주장",1,동사,9770,18258,[kléim],,
323,고1,10,claim,(재산 등에 대한) 권리,2,명사,16199,25440,[kléim],,
324,고1,10,committee,위원회,2,명사,8303,4280,[kəmíti],,
325,고1,10,complex,(복합건물) 단지,2,명사,13095,19170,[kəmpléks; kámpleks],,
326,고1,10,complex,복잡한,3,형용사,1512,2461,[kəmpléks],,
327,고1,10,complexity,복잡성,2,명사,1509,2458,[kə̀mpléksəti],,
328,고1,10,complicate,복잡하게 하다,1,동사,1510,2459,[kάmpləkèit],,
329,고1,10,complicate,(병을) 악화시키다,1,동사,9600,22642,[kάmpləkèit],,
330,고1,10,conflict,갈등,2,명사,10856,1420,[kánflikt],,
331,고1,10,confuse,혼란시키다,1,동사,3888,6450,[kənfjú:z],,
332,고1,10,conscious,의식하는,3,형용사,5051,4497,[kánʃəs],,
333,고1,10,consumption,소비,2,명사,1901,3157,[kənsʌ́mpʃən],,
334,고1,10,consumption,소비,2,명사,1901,27299,[kənsΛmpʃən],,
335,고1,10,convince,"설득하다,확신시키다",1,동사,9550,3054,[kənvíns],,
336,고1,10,council,협의회,2,명사,2576,6424,[káunsəl],,
337,고1,10,council,의회,2,명사,2576,31199,[káunsəl],,
338,고1,10,crash,"폭락하다,붕괴하다",1,동사,3702,20816,[krǽʃ],,
339,고1,10,crash,들이받다,1,동사,8342,19182,[krǽʃ],,
340,고1,10,crash,사고,2,명사,1677,16783,[krǽʃ],,
341,고1,10,crash,"(주가 등의) 폭락,추락",2,명사,3702,21842,[krǽʃ],,
342,고1,10,crash,충돌,2,명사,8342,5796,[krǽʃ],,
343,고1,10,crash,"와장창,(무엇이 떨어지거나 부서질 때 나는) 요란한 소리",2,명사,15447,26046,[krǽʃ],,
344,고1,10,crisis,위기,2,명사,2565,4266,[kráisis],,
345,고1,10,curl,"휘다,곡선으로 나아가다",1,동사,461,27291,[kəːrl],,
346,고1,10,curl,"말다,감다",1,동사,6706,25621,[kə́:rl],,
347,고1,10,curl,곱슬곱슬하다,1,동사,11278,15211,[kə́:rl],,
348,고1,10,dare,"용기가 있다,감히~하다",1,동사,2586,15565,[dέər],,
349,고1,10,delight,기쁘게 하다,1,동사,5179,19194,[dəláit],,
350,고1,10,delight,기쁨,2,명사,7919,957,[də̀láit],,
351,고1,10,demonstrate,시위운동을 하다,1,동사,4033,22768,[démənstrèit],,
352,고1,10,demonstrate,입증하다,1,동사,8418,3369,[démənstrèit],,
353,고1,10,demonstrate,"(사용법 등을) 보여주다,설명하다",1,동사,11014,22767,[démənstrèit],,
354,고1,10,demonstrate,보여주다,1,동사,11014,30871,[démənstrèit],,
355,고1,10,deserve,~을 받을 만하다,1,동사,876,2205,[dizə́:rv],,
356,고1,10,desperate,필사적인,3,형용사,7257,6199,[déspərət],,
357,고1,10,desperate,절망적인,3,형용사,8379,19918,[déspərət],,
358,고1,10,desperate,간절히 원하는,3,형용사,8520,29156,[déspərət],,
359,고1,10,desperate,대단히 위험한,3,형용사,9663,22790,[déspərət],,
360,고1,10,disabled,장애를 가진,3,형용사,2942,4860,[diséibld],,
361,고1,10,disorder,무질서,2,명사,8067,2034,[disɔ́:rdər],,
362,고1,10,disorder,장애,2,명사,11644,17116,[disɔ́:rdər],,
363,고1,10,district,"구역,지구",2,명사,2059,5423,[dístrikt],,
364,고1,10,document,상세히 기록하다,1,동사,9356,22849,[dάkjument],,
365,고1,10,document,서류,2,명사,8183,3005,[dάkjumənt],,
366,고1,10,domestic,가정의,3,형용사,9254,22854,[dəméstik],,
367,고1,10,domestic,국내의,3,형용사,10612,762,[dəméstik],,
368,고1,10,doubt,의심하다,1,동사,9680,4500,[dáut],,
369,고1,10,doubt,"의심,의혹",2,명사,9680,31255,[daut],,
370,고1,10,drag,질질 끌다,1,동사,2921,5556,[drǽg],,
371,고1,10,drag,천천히 움직이다,1,동사,14268,27185,[dræg],,
372,고1,10,drag,걸림돌,2,명사,1396,22860,[drǽg],,
373,고1,10,drag,항력,2,명사,2921,26066,[drǽg],,
374,고1,10,duty,세금,2,명사,1866,20379,[dú:ti],,
375,고1,10,duty,의무,2,명사,2688,4477,[dú:ti],,
376,고1,10,duty,"직무,업무",2,명사,6413,21892,[dú:ti],,
377,고1,10,element,"요소,성분",2,명사,6534,4140,[éləmənt],,
378,고1,10,element,(물리/화학) 원소,2,명사,15882,25450,[éləmənt],,
379,고1,10,emphasize,강조하다,1,동사,165,224,[émfəsàiz],,
380,고1,10,employ,고용하다,1,동사,9315,541,[implɔ́i],,
381,고1,10,employ,사용하다,1,동사,9813,19945,[implɔ́i],,
382,고1,10,enforce,"(법률을) 시행하다,집행하다",1,동사,7004,21909,[infɔ́:rs],,
