id,WordText,WordMeaning,PoSText
7302,advise,충고하다,동사
7303,burial,"매장, 장례식",명사
7304,disadvantage,불리한 점,명사
7305,make the best use of,~을 최대한 활용하다,숙어/관용어
7306,wild animal,야생동물,명사
7307,make matters worse,상황을 더 나쁘게 만들다,숙어/관용어
7308,expensive,비싼,형용사
7309,lead,"생활을 하다, 지내다",동사
7310,slide,미끄러지다,동사
7311,steal,횡재,명사
7312,expert,전문가,명사
7313,boots,장화,명사
7314,put down,~를 깎아내리다,숙어/관용어
7315,while,"잠깐, 잠시",접속사
7316,against,~을 향하여,전치사
7317,wild,야생의,형용사
7318,close,가까이,부사
7319,dry,"말리다, 마르다",동사
7320,different from,다른,형용사
7321,shaking,"흔들림, 떨림",명사
7322,cry,"외침, 울음소리",명사
7323,online,온라인으로,부사
7324,cut ~ into small pieces,잘게 자르다,숙어/관용어
7325,lay an egg,알을 낳다,숙어/관용어
7326,turn down,(온도를) 낮추다,숙어/관용어
7327,much,많이,부사
7328,take out the garbage,"가지고 나가다,내다버리다",숙어/관용어
7329,with,~에 대해,전치사
7330,secondhand,중고의,형용사
7331,near,가까이,전치사
7332,clear away,치우다,숙어/관용어
7333,forget about,~에 대해 잊다,숙어/관용어
7334,face,문제에 직면하다,동사
7335,present,주다,동사
7336,remind ~ of,~에게 …을 상기시키다,숙어/관용어
7337,brush,털다,숙어/관용어
7338,cut ~ off,~의 말을 중단시키다,숙어/관용어
7339,crowded with,"~으로 붐비는, 꽉 찬",숙어/관용어
7340,except,~을 제외하고,전치사
7341,advise on,~에 관해 충고하다,숙어/관용어
7342,chase,"추격, 추적",명사
7343,own,자기 것,명사
7344,mount,산,명사
7345,screen,영화,명사
7346,sweet,"귀여운, 사랑스러운",형용사
7347,secret,비밀의,형용사
7348,pitch,투구,명사
7349,high up,아주 높은 곳에서,숙어/관용어
7350,have a bad cold,독감에 걸리다,숙어/관용어
7351,work wonders,놀라운 일을 하다,숙어/관용어
7352,leave on,켜 두다,숙어/관용어
7353,meal time,식사 시간,명사
7354,online lesson,온라인 수업,명사
7355,won't,will not의 축약형,동사
7356,school nurse,보건 교사,명사
7357,campus,"캠퍼스, 교정",명사
7358,look ahead,"(앞일을) 내다보다, 예견하다",숙어/관용어
7359,earn the respect,존경을 얻다,숙어/관용어
7360,get mad,화가 나다,숙어/관용어
7361,go window shopping,진열된 상품을 구경하고 다니다,숙어/관용어
7362,seashore,해안,명사
7363,stardom,"스타덤, 스타의 반열",명사
7364,all corners of the world,세계의 곳곳,숙어/관용어
7365,bank teller,은행 창구 직원,명사
7366,office worker,회사원,명사
7367,cracker,크래커,명사
7368,X-ray,엑스레이,명사
7369,fantasy novel,공상 소설,명사
7370,ticktock,(의성어) 똑딱똑딱,명사
7371,log into,~에 접속하다,숙어/관용어
7372,energizer,활력을 주는 사람,명사
7373,kicker,(축구의) 키커,명사
7374,badness,나쁨,명사
7375,coaster,(롤러)코스터,명사
7376,home team,홈팀,명사
7377,non-profit,비영리의,형용사
7378,spender,돈을 쓰는 사람,명사
7379,have one's head in the clouds,"공상에 잠기다, 엉뚱한 생각을 하다",숙어/관용어
7380,good fortune,행운,명사
7381,native,"토착민, 현지인",명사
7382,offer,"제안, 제의",명사
7383,punch,구멍을 뚫다,동사
7384,October,10월,명사
7385,highlight,"중요 부분,압권",명사
7386,experienced,경험이 있는,형용사
7387,educational,"교육의,교육적인",형용사
7388,anniversary,기념일,명사
7389,runner,달리는 사람,명사
7390,coworker,동료,명사
7391,carriage,마차,명사
7392,gulf,만,명사
7393,endangered,멸종 위기에 처한,형용사
7394,heavily,무겁게,부사
7395,cultural,문화의,형용사
7396,marine,"바다의,해양의",형용사
7397,court,법정,명사
7398,reservation,예약,명사
7399,mysterious,불가사의한,형용사
7400,inconvenience,불편,명사
7401,unhappy,불행한,형용사
7402,erase,삭제하다,동사
7403,generation,세대,명사
7404,collector,수집가,명사
7405,harvest,수확,명사
7406,steak,스테이크,명사
7407,waiter,웨이터,명사
7408,psychology,심리학,명사
7409,psychologist,심리학자,명사
7410,undo,원상태로 돌리다,동사
7411,poisonous,유독한,형용사
7412,entrance,"입장,입구",명사
7413,ingredient,"(요리 등의) 재료,성분",명사
7414,wit,재치,명사
7415,trial,재판,명사
7416,storage,저장,명사
7417,suitable,적절한,형용사
7418,political,정치의,형용사
7419,parking,주차,명사
7420,supporter,지지자,명사
7421,spear,창,명사
7422,portrait,초상화,명사
7423,defeat,패배,명사
7424,defeat,패배시키다,동사
7425,essential,필수적인,형용사
7426,overseas,해외의,형용사
7427,innovative,혁신적인,형용사
7428,jam,혼잡,명사
7429,emperor,황제,명사
7430,absorb,흡수하다,동사
7431,avatar,(특히 디지털) 인물화상,명사
7432,blackout,정전,명사
7433,serving,1인분,명사
7434,bleach,표백하다,동사
7435,honesty,"정직,솔직",명사
7436,video,비디오,명사
7437,at least,"적어도,최소한",숙어/관용어
7438,by oneself,혼자서,숙어/관용어
7439,call out,큰 소리로 외치다,숙어/관용어
7440,close to,"~에 가까운,비슷한",숙어/관용어
7441,do one's best,최선을 다하다,숙어/관용어
7442,feel like ~ing,~하고 싶다,숙어/관용어
7443,give a speech,연설하다,숙어/관용어
7444,go off,자리를 뜨다,숙어/관용어
7445,go over,검토하다,숙어/관용어
7446,in memory of,"~을 기념하여,추모하여",숙어/관용어
7447,in one's place,~대신에,숙어/관용어
7448,in time,제 시간에,숙어/관용어
7449,keep an eye on,"~을 감시하다,~을 계속 지켜보다",숙어/관용어
7450,listen to,~을 듣다,숙어/관용어
7451,look out,밖을 내다보다,숙어/관용어
7452,most of all,무엇보다도,숙어/관용어
7453,now that,"~이므로,~이니까",숙어/관용어
7454,take a look at,~을 훑어 보다,숙어/관용어
7455,take charge of,"~을 맡다,~을 돌보다",숙어/관용어
7456,take down,~을 받아 적다,숙어/관용어
7457,take root,"정착하다,뿌리내리다",숙어/관용어
7458,to one's surprise,놀랍게도,숙어/관용어
7459,turn up,(소리 등을) 올리다,숙어/관용어
7460,vote for,~에 찬성표를 던지다,숙어/관용어
7461,all night long,밤새도록,숙어/관용어
7462,do ~ a favor,~에게 호의를 베풀다,숙어/관용어
7463,fill A with B,A를 B로 채우다,숙어/관용어
7464,get ready for,~을 준비하다,숙어/관용어
7465,go with,~와 어울리다,숙어/관용어
7466,spinach,시금치,명사
7467,syrup,시럽,명사
7468,heel,발뒤꿈치,명사
7469,hip,엉덩이,명사
7470,mayonnaise,마요네즈,명사
7471,fighter,전투기,명사
7472,ad,광고,명사
7473,angrily,노하여,부사
7474,badminton,배드민턴,명사
7475,beautifully,아름답게,부사
7476,caring,돌보는,형용사
7477,comic,희극의,형용사
7478,daytime,"낮,주간",명사
7479,diver,"물에 뛰어드는 사람,잠수부",명사
7480,fortune teller,점쟁이,명사
7481,honestly,정직하게,부사
7482,imaginary,상상의,형용사
7483,kingdom,왕국,명사
7484,lunchtime,점심시간,명사
7485,moving,움직이는,형용사
7486,pile up,쌓이다,숙어/관용어
7487,punishment,"형벌,처벌",명사
7488,silently,"조용히,묵묵히",부사
7489,soak up,흡수하다,숙어/관용어
7490,strangely,이상하게,부사
7491,surely,확실히,부사
7492,table tennis,탁구,명사
7493,theirs,그들의 것,대명사
7494,used,사용된,형용사
7495,yourself,당신 자신,대명사
7496,bedtime,취침시간,명사
7497,blueberry,블루베리,명사
7498,scooter,스쿠터,명사
7499,snowboard,스노우보드,명사
7500,snowboard,스노우보드를 타다,동사
7501,cheerfully,기분 좋게,부사
7502,volcanic,화산의,형용사
7503,wasteful,낭비하는,형용사
7504,cartoonist,만화가,명사
7505,vitamin,비타민,명사
7506,wooden,나무로 만든,형용사
7507,look out,망보다,숙어/관용어
7508,sore throat,인후염,명사
7509,sandy,모래로 뒤덮인,형용사
7510,alarm clock,자명종,명사
7511,court,테니스 코트,명사
7512,fighter,전사,명사
7513,lost,잃어버린,형용사
7514,park ranger,공원 경비원,명사
7515,traditionally,전통적으로,부사
7516,weather forecast,일기 예보,명사
7517,highlight,강조하다,동사
7518,highlight,형광펜으로 표시하다,동사
7519,lunchbox,도시락,명사
7520,comic,만화 영화,명사
7521,runner,야구 주자,명사
7522,storyline,줄거리,명사
7523,video,영상,명사
7524,winter break,겨울 방학,명사
7525,go off,울리다,숙어/관용어
7526,caring,배려하는,형용사
7527,moving,감동적인,형용사
7528,stress out,스트레스를 받다,숙어/관용어
7529,absorb,(정보를) 받아들이다,동사
7530,harvest,수확하다,동사
7531,dining room,식당,명사
7532,entrance,입학,명사
7533,undo,취소하다,동사
7534,court,"왕궁,왕실",명사
7535,go off,꺼지다,숙어/관용어
7536,spear,창,명사
7537,take down,~을 떼어내다,숙어/관용어
7538,turn up,나타나다,숙어/관용어
7539,heavily,심하게,부사
7540,jam,잼,명사
7541,just like,~처럼,숙어/관용어
7542,comic,웃기는,형용사
7543,experienced,숙련된,형용사
7544,look out,주의시키다,숙어/관용어
7545,trial,시험,명사
7546,turn up,찾게 되다,숙어/관용어
7547,court,구애하다,동사
7548,entrance,매혹하다,동사
7549,undo,"(묶인 것을) 풀다,열다",동사
7550,undo,(노력/결과 등을) 망치다,동사
7551,defeat,(계획 등을) 좌절시키다,동사
7552,go off,(질이) 떨어지다,숙어/관용어
7553,jam,"(장소/통로를) 막다,메우다",동사
7554,storage,창고,명사
7555,can’t wait to,"~할 것이 기대가 되다,~하고 싶어 기다릴 수가 없다",숙어/관용어
7556,court,"코트,경기장",명사
7557,go over,"~을 점검하다,복습하다",숙어/관용어
7558,lost,길을 잃은,형용사
7559,used,중고의,형용사
7560,go over,~을 넘다,숙어/관용어
7561,trial,"시도,시련",명사
7562,now that,"~해보니,~하고 나니",부사
7563,superhero,슈퍼히어로,명사
7564,packed,"꽉 찬,만원의",숙어/관용어
7565,bleach,표백제,명사
7566,take down,~을 내리다,숙어/관용어
7567,vote for,~에 투표하다,숙어/관용어
7568,go with,선택하다,숙어/관용어
7569,uniquely,"독특하게,특유의 방법으로",부사
7570,webtoon,웹툰,명사
7571,graphic novel,만화 소설,명사
7572,model ~ on,~을 본떠서,숙어/관용어
7573,bungee jumping,번지 점프,명사
7574,trusty,"믿을 수 있는,믿음직한",형용사
7575,wander off,"돌아다니다,헤매다",숙어/관용어
7576,aria,"아리아,영창",명사
7577,dive into,~으로 뛰어들다,숙어/관용어
7578,dry off,~을 말리다,숙어/관용어
7579,once a month,한 달에 한 번,숙어/관용어
7580,absorb,(마음을) 열중케 하다,동사
7581,go skating,스케이트를 타러 가다,숙어/관용어
7582,take time off,"시간을 내다,휴식을 취하다",숙어/관용어
7583,finalist,"입상자,최종 결승자",명사
7584,breadwinner,"생계비를 버는 사람,가장",명사
7585,famously,잘 알려져 있듯이,부사
7586,lost,잃어버렸다(lose의 과거형),동사
7587,close to,거의 ~할 뻔한,형용사
7588,go off,떠나다,숙어/관용어
7589,endangered,"위험에 처한,멸종 위기의",형용사
7590,in time,이윽고,숙어/관용어
7591,smith,대장장이,명사
7592,flowing,"흐르는 듯한,미끈하게 늘어뜨린",형용사
7593,wetsuit,잠수용 고무옷,명사
7594,chances are that,아마 ~일 것이다,숙어/관용어
7595,put in charge of,에게 ~의 책임(임무)를 맡기다,숙어/관용어
7596,in one's place,~의 처지에서,숙어/관용어
7597,survival kit,비상[생존] 장비,명사
7598,go sledding,썰매를 타다,숙어/관용어
7599,follower,팔로워,명사
20000,abandon,버리다,동사
20001,abandon,포기하다,동사
20002,aboard,탑승하여,부사
20003,abort,낙태하다,동사
20004,abort,중단시키다,동사
20005,abortion,낙태,명사
20006,abound,풍부하다,동사
20007,abroad,외국에(서),부사
20008,absent,결석한,형용사
20009,absent,멍한,형용사
20010,absorb,흡수하다,동사
20011,absorb,(정보를) 받아들이다,동사
20012,absorb,(마음을) 열중케 하다,동사
20013,abstract,추상적인,형용사
20014,abstract,(화학) 추출하다,동사
20015,absurd,터무니 없는,형용사
20016,abundant,풍부한,형용사
20017,abuse,학대,명사
20018,academy,"학원,전문학교",명사
20019,accelerate,가속하다,동사
20020,accommodate,수용하다,동사
20021,accommodate,편의를 도모하다,동사
20022,accommodate,"~에 맞추다,적응시키다",동사
20023,accompany,동반하다,동사
20024,accompany,반주하다,동사
20025,accomplish,성취하다,동사
20026,accumulate,모으다,동사
20027,accurate,정확한,형용사
20028,ache,아프다,동사
20029,ache,"아픔,통증",명사
20030,acid,산(성)의,형용사
20031,acid,신랄한,형용사
20032,acknowledge,"인정하다,승인하다",동사
20033,acknowledge,감사를 표하다,동사
20034,acquire,얻다,동사
20035,acquisition,"(기업) 인수,매입",명사
20036,acquisition,"습득,획득",명사
20037,addict,중독자,명사
20038,adequate,충분한,형용사
20039,adjust,"조절하다,조정하다",동사
20040,adjust,적응하다,동사
20041,administer,관리하다,동사
20042,administration,행정기관,명사
20043,administration,"관리,경영",명사
20044,adolescent,청소년기의,형용사
20045,adverse,부정적인,형용사
20046,advocate,옹호자,명사
20047,advocate,"옹호하다,지지하다",동사
20048,advocate,변호인,명사
20049,aesthetic,미의,형용사
20050,agency,대행사,명사
20051,agenda,"의제,안건",명사
20052,aggressive,공격적인,형용사
20053,aggressive,적극적인,형용사
20054,agriculture,농업,명사
20055,alert,경계하는,형용사
20056,alert,재빠른,형용사
20057,alert,경보를 알리다,동사
20058,alert,"경계,경보",명사
20059,alert,"경계,경계경보",명사
20060,alert,"경보,경계",명사
20061,alien,외계의,형용사
20062,alien,외계인,명사
20063,alien,"외래의,외국의",형용사
20064,alike,비슷한,형용사
20065,alike,똑같은,형용사
20066,allocate,할당하다,동사
20067,ally,~와 동맹하다,동사
20068,ally,동맹,명사
20069,alongside,"~옆에,나란히",전치사
20070,alternate,대신의,형용사
20071,alternate,번갈아 생기는,형용사
20072,alternate,교대자,명사
20073,alternate,번갈아 오가다,동사
20074,alternative,대안,명사
20075,alternative,(기존과는 다른) 새로운,형용사
20076,alternative,"대체되는,대신의",형용사
20077,ambassador,대사,명사
20078,ambition,야망,명사
20079,ambitious,야망을 품은,형용사
20080,analyze,분석하다,동사
20081,anchor,닻,명사
20082,anchor,뉴스 진행자,명사
20083,anchor,정박시키다,동사
20084,ancient,고대의,형용사
20085,angle,"시각,관점",명사
20086,anniversary,기념일,명사
20087,anticipate,"예상하다,기대하다",동사
20088,anticipate,"선수치다,앞지르다",동사
20089,anxiety,걱정,명사
20090,anxiety,불안,명사
20091,anxiety,열망,명사
20092,apology,사과,명사
20093,apparent,분명한,형용사
20094,apparent,외관상의,형용사
20095,approve,"승인하다,찬성하다",동사
20096,architect,건축가,명사
20097,architecture,"건축술,건축학",명사
20098,architecture,건축물,명사
20099,arise,일어나다,동사
20100,arrow,화살,명사
20101,artifice,"책략,계략",명사
20102,artificial,인공의,형용사
20103,artificial,"인공의,인조의",형용사
20104,aspect,측면,명사
20105,aspect,"관점,양상",명사
20106,aspire,열망하다,동사
20107,assault,폭행,명사
20108,assemble,조립하다,동사
20109,assemble,모으다,동사
20110,assert,주장하다,동사
20111,assert,"확고히 하다,행사하다",동사
20112,asset,자산,명사
20113,asset,"가치 있는 것,이점",명사
20114,assure,확신시키다,동사
20115,astonish,놀라게 하다,동사
20116,athlete,운동선수,명사
20117,athlete,몸이 탄탄한,형용사
20118,atom,원자,명사
20119,attribute,~탓으로 돌리다,동사
20120,attribute,(작품 등을) ~의 것으로 보다,동사
20121,attribute,"속성,특성",명사
20122,auction,경매,명사
20123,authentic,진품인,형용사
20124,authentic,"믿을만한,확실한",형용사
20125,author,저자,명사
20126,avail,도움이 되다,동사
20127,available,"구할 수 있는,이용할 수 있는",형용사
20128,available,(시간/경제적) 여유가 있는,형용사
20129,await,기다리다,동사
20130,awful,"끔찍한,무서운",형용사
20131,awful,"지독한,기분이 나쁜",형용사
20132,bankrupt,파산한,형용사
20133,bargain,싸게 사는 물건,명사
20134,bargain,"거래,합의,흥정",명사
20135,bargain,싼 가격,명사
20136,barrier,장벽,명사
20137,beam,빛줄기,명사
20138,beam,활짝 웃다,동사
20139,beard,턱수염,명사
20140,beast,짐승,명사
20141,behalf,"이익,지지",명사
20142,behave,처신하다,동사
20143,behave,예의 바르게 행동하다,동사
20144,behavior,"품행,태도",명사
20145,betray,배반하다,동사
20146,bias,편견,명사
20147,biography,전기,명사
20148,biology,생물학,명사
20149,blast,신나는 경험,명사
20150,blend,혼합,명사
20151,blend,섞다,동사
20152,blend,"혼합하다,섞다",동사
20153,blink,눈을 깜박이다,동사
20154,blossom,번영하다,동사
20155,bold,대담한,형용사
20156,bold,굵은,형용사
20157,boost,신장시키다,동사
20158,boost,후원하다,동사
20159,boost,"증가,진작",명사
20160,border,경계,명사
20161,border,국경,명사
20162,border,접하다,동사
20163,boundary,경계,명사
20164,breed,새끼를 낳다,동사
20165,breed,품종,명사
20166,breed,기르다,동사
20167,breeze,미풍,명사
20168,broadcast,방송,명사
20169,broadcast,방송하다,동사
20170,brutal,잔인한,형용사
20171,brute,"짐승의,야만적인",형용사
20172,bulk,대부분,명사
20173,bull,황소,명사
20174,bully,약자를 못살게 구는 자,명사
20175,bully,괴롭히다,동사
20176,bundle,묶음,명사
20177,bundle,추가로 주다,동사
20178,burden,"짐,부담",명사
20179,butcher,정육점 주인,명사
20180,butcher,도살하다,동사
20181,cancer,암,명사
20182,candidate,후보자,명사
20183,canvas,"캔버스,유화",명사
20184,capture,붙잡다,동사
20185,capture,사로잡다,동사
20186,capture,"포착하다,표현하다",동사
20187,carve,"새기다,조각하다",동사
20188,carve,베다,동사
20189,cater,음식을 준비하다,동사
20190,cattle,소,명사
20191,caution,조심,명사
20192,caution,경고,명사
20193,cave,동굴,명사
20194,cease,중지하다,동사
20195,celebrate,축하하다,동사
20196,celebrate,기념하다,동사
20197,celebrity,유명인,명사
20198,certificate,증명서,명사
20199,chamber,"회의실,~실",명사
20200,chaos,혼돈,명사
20201,charity,자선 단체,명사
20202,charity,"자선,자선 단체",명사
20203,chef,요리사,명사
20204,chemical,화학 물질,명사
20205,chill,진정하다,동사
20206,chill,차게 식히다,동사
20207,chill,냉기,명사
20208,chill,한기,명사
20209,chin,아래턱,명사
20210,choir,성가대,명사
20211,choir,합창단,명사
20212,chorus,합창,명사
20213,chorus,코러스,명사
20214,chronic,만성적인,형용사
20215,chronic,끔찍한,형용사
20216,circulate,회람시키다,동사
20217,circulate,순환하다,동사
20218,circulate,"유포하다,유출시키다",동사
20219,cite,인용하다,동사
20220,clap,치다,동사
20221,clash,쨍하는 소리,명사
20222,clash,"안 어울리다,충돌하다",동사
20223,clause,절,명사
20224,clause,(조약/법률의) 조항,명사
20225,clay,"점토,찰흙",명사
20226,cling,달라붙다,동사
20227,clinic,개인병원,명사
20228,cluster,무리,명사
20229,cluster,모이다,동사
20230,cluster,성단,명사
20231,coincide,동시에 일어나다,동사
20232,coincide,(생각/의견이) 일치하다,동사
20233,collaborate,협력하다,동사
20234,collapse,무너지다,동사
20235,collapse,(계획/희망 따위가) 실패하다,동사
20236,collapse,(정신/육체적인) 쇠약,명사
20237,collapse,붕괴,명사
20238,collar,애견 목걸이,명사
20239,collar,옷 깃,명사
20240,colleague,동료,명사
20241,colony,식민지,명사
20242,colony,"군집,군락지",명사
20243,column,기둥,명사
20244,column,"열,세로줄",명사
20245,combat,전투,명사
20246,combat,"싸우다,반항하다",동사
20247,combat,(방지하기 위해) 싸우다,동사
20248,commission,위원회,명사
20249,commission,수수료,명사
20250,commission,"(일 등을) 주문하다,의뢰하다",동사
20251,commit,(범죄를) 저지르다,동사
20252,commit,"실행하다,자행하다",동사
20253,commit,헌신하다,동사
20254,commit,약속하다,동사
20255,commodity,"상품,물품",명사
20256,communist,공산주의자,명사
20257,companion,동반자,명사
20258,compatible,호환성 있는,형용사
20259,compatible,화합할 수 있는,형용사
20260,compel,억지로 ~시키다,동사
20261,compensate,보상하다,동사
20262,compete,경쟁하다,동사
20263,competent,유능한,형용사
20264,competent,만족할 만한,형용사
20265,compile,편집하다,동사
20266,compile,(자료 등을) 수집하다,동사
20267,complement,보충물,명사
20268,complement,보완하다,동사
20269,complement,보어,명사
20270,component,구성요소,명사
20271,compose,구성하다,동사
20272,compose,작곡하다,동사
20273,compose,"글을 쓰다,작문하다",동사
20274,compound,합성물,명사
20275,compound,악화시키다,동사
20276,compound,"(큰 건물의) 관내,구내",명사
20277,compound,"혼합하다,합성하다",동사
20278,comprehend,이해하다,동사
20279,comprehend,"포함하다,포괄하다",동사
20280,comprehensive,포괄적인,형용사
20281,comprise,~으로 구성되다,동사
20282,compromise,타협,명사
20283,compromise,"(명예 등을) 손상하다,더럽히다",동사
20284,compromise,타협하다,동사
20285,conceal,감추다,동사
20286,conceive,상상하다,동사
20287,conceive,임신하다,동사
20288,conceive,"착안하다,구상하다",동사
20289,conclude,결론을 내리다,동사
20290,concrete,구체적인,형용사
20291,concrete,콘크리트로 된,형용사
20292,concrete,콘크리트,명사
20293,condemn,비난하다,동사
20294,condemn,유죄 판결하다,동사
20295,conduct,(활동을) 하다,동사
20296,conduct,지휘하다,동사
20297,conduct,(업무 등을) 수행하다,동사
20298,conduct,안내하다,동사
20299,conduct,(열/전기/소리를) 전도하다,동사
20300,conduct,"행동,행위",명사
20301,confer,수여하다,동사
20302,confer,"협의하다,논하다",동사
20303,confess,"고백하다,인정하다",동사
20304,confide,(비밀을) 털어놓다,동사
20305,confident,자신 있는,형용사
20306,confine,"가두다,한정하다",동사
20307,conform,(법을) 따르다,동사
20308,confront,직면하다,동사
20309,congress,국회,명사
20310,congress,"(대표자들의)회의,학술 대회",명사
20311,conscience,양심,명사
20312,conserve,보존하다,동사
20313,conserve,절약하다,동사
20314,conserve,"아끼다,아껴 쓰다",동사
20315,consist,~으로 구성되다,동사
20316,consistent,"모순이 없는,일관된",형용사
20317,consistent,한결같은,형용사
20318,consistent,"끊임없는,지속적인",형용사
20319,constitute,구성하다,동사
20320,constitution,구성,명사
20321,constitution,설립,명사
20322,constitution,헌법,명사
20323,constitution,"체질,체격",명사
20324,constrain,~하게 만들다,동사
20325,constrain,제약하다,동사
20326,construct,건설하다,동사
20327,construct,구성하다,동사
20328,construction,건설,명사
20329,construction,건축(물),명사
20330,consult,상담하다,동사
20331,consult,"참조하다,찾아보다",동사
20332,contemporary,"동시대의,현대의",형용사
20333,contemporary,동시대의,형용사
20334,contend,(곤란과) 싸우다,동사
20335,contend,"논쟁하다,반박하다",동사
20336,continent,대륙,명사
20337,contradict,반박하다,동사
20338,contradict,(사실/진술이) 모순되다,동사
20339,contrary,반대의,형용사
20340,contrast,대조,명사
20341,contrast,대조시키다,동사
20342,controversy,논란,명사
20343,convene,(회의/대회를) 소집하다,동사
20344,convenient,편리한,형용사
20345,convention,집회,명사
20346,convention,"관습,관례",명사
20347,convert,개종하다,동사
20348,convert,"전환하다,개조하다",동사
20349,convey,(생각/감정을) 전달하다,동사
20350,convey,나르다,동사
20351,convict,유죄 판결을 내리다,동사
20352,cooperate,협력하다,동사
20353,coordinate,조정하다,동사
20354,coordinate,조직화하다,동사
20355,coordinate,(수학의) 좌표,명사
20356,coordinate,"(옷차림 등이) 잘 어울리다,조화되다",동사
20357,cord,끈,명사
20358,cord,전기코드,명사
20359,core,핵심의,형용사
20360,core,(과일의) 속,명사
20361,core,중심부,명사
20362,core,"코어,중앙처리장치",명사
20363,corn,곡물,명사
20364,corn,옥수수,명사
20365,corporate,회사의,형용사
20366,corporation,"법인,기업",명사
20367,correspond,일치하다,동사
20368,correspond,서신을 주고받다,동사
20369,corridor,복도,명사
20370,corrupt,부정한,형용사
20371,corrupt,"더럽히다,썩게 하다",동사
20372,costume,복장,명사
20373,counsel,조언,명사
20374,counsel,상담하다,동사
20375,counterpart,대응물,명사
20376,counterpart,대응자,명사
20377,coupon,쿠폰,명사
20378,courage,용기,명사
20379,craft,"(수)공예,기술",명사
20380,craft,기술,명사
20381,craft,정성 들여 만들다,동사
20382,craft,정교하게 만들다,동사
20383,craft,"보트,배,항공기",명사
20384,craft,솜씨,명사
20385,craze,(일시적인) 열풍,명사
20386,crazy,미친,형용사
20387,crazy,미친 듯이 화가 난,형용사
20388,crazy,말도 안 되는,형용사
20389,credible,믿을 수 있는,형용사
20390,creep,살금살금 움직이다,동사
20391,creep,"오싹한 느낌,소름",명사
20392,creep,기다,동사
20393,crew,승무원,명사
20394,crew,팀,명사
20395,criterion,기준,명사
20396,critic,비평가,명사
20397,criticism,비평,명사
20398,criticize,비난하다,동사
20399,criticize,비평하다,동사
20400,crop,농작물,명사
20401,crop,산출량,명사
20402,crop,수확하다,동사
20403,crucial,중대한,형용사
20404,cruise,유람선 여행,명사
20405,cruise,"어울려 다니다,어울려 놀다",동사
20406,cruise,순항하다,동사
20407,crush,으스러뜨리다,동사
20408,crush,홀딱 반함,명사
20409,crystal,"수정,결정체",명사
20410,cultivate,경작하다,동사
20411,cultivate,(재능/품성을) 양성하다,동사
20412,cultivate,(관계를) 구축하다,동사
20413,currency,통화,명사
20414,curriculum,교과과정,명사
20415,curry,카레,명사
20416,curry,(말 따위를) 빗질하다,동사
20417,curse,저주,명사
20418,curve,곡선,명사
20419,curve,상대 평가,명사
20420,curve,(야구에서)커브(공),명사
20421,custody,"(법적) 감금,양육권",명사
20422,custody,"보관,관리",명사
20423,custom,관습,명사
20424,cynical,냉소적인,형용사
20425,dairy,"유제품의,낙농업의",형용사
20426,damp,축축한,형용사
20427,dash,달리기,명사
20428,data,자료,명사
20429,database,데이터베이스,명사
20430,decade,10년간,명사
20431,decay,썩다,동사
20432,decent,"괜찮은,품위 있는",형용사
20433,decent,(상황에) 적당한,형용사
20434,decent,제대로 된,형용사
20435,declare,선언하다,동사
