example_english,example_korean
The teacher increases our awareness of real dangers.,선생님이 우리에게 실제 위험에 대한 인식을 높여요.
The little bird flew away from our school.,작은 새가 우리 학교에서 떨어져서 날아갔어요.
The fireworks show was awesome and extremely bright.,불꽃놀이가 경탄할만하고 매우 밝았어요.
The awful storm always scared many small children.,끔찍한 폭풍은 항상 작은 아이들을 놀라게 해요.
The awful smell quickly made my nose hurt.,지독한 냄새가 재빨리 내 코를 아프게 했어요.
The baby happily smiles at its loving family.,아기가 행복하게 웃고 있어요.
I usually wash my back after playing outside.,저는 보통 밖에서 놀고 나서 등을 씻어요.
"Today, I quickly went back to my classroom.",오늘 나는 빠르게 교실에 돌아왔어요.
I ran back quickly to my small room.,나는 내 작은 방으로 빨리 뒤로 달렸어요.
The fish swam back up the little stream.,물고기들은 작은 시내로 거슬러 올라갔어요.
I will backpack through Europe with good friends.,나는 좋은 친구들과 유럽을 배낭여행할 거예요.
I carry my backpack to school every day.,저는 학교에 갈 때 배낭을 챙겨요.
Her methods are backward compared to new ideas.,그녀의 방법은 새로운 아이디어와 비교해 뒤떨어져 있어요.
My dad drove backward to park the car.,아빠가 차를 후방에 주차했어요.
Tiny bacteria can sometimes cause a strong infection.,작은 박테리아가 때때로 강한 감염을 일으킬 수 있어요.
My brother always acted in a bad way.,제 동생은 항상 나쁜 행실을 보였어요.
Your behavior was very bad during the party.,네 행동은 파티에서 아주 나빴어요.
His drawing was really bad and very messy.,그의 그림은 정말 나쁘고 매우 지저분해요.
He felt very bad after losing his toy.,그는 장난감을 잃어버려서 기분이 나빴어요.
I bag apples and oranges for a snack.,나는 간식으로 사과와 오렌지를 봉지에 담아요.
I keep my pencil in my big bag.,나는 내 큰 가방에 연필을 넣어요.
My mom will bake a very tasty cake.,엄마가 매우 맛있는 케이크를 구울 거예요.
The baker makes tasty bread every morning here.,제빵사는 매일 아침 여기서 맛있는 빵을 만들어요.
My sister loves the new bakery near home.,내 여동생은 새 제과점을 좋아해요.
Always eat a balanced meal every day.,항상 균형 잡힌 식사를 매일 하세요.
They eat a balanced diet every single day.,그들은 매일 균형식을 먹어요.
My best friend throws the ball so high.,내 가장 친한 친구가 공을 아주 높이 던져요.
We attend a lovely ball every spring night.,우리는 봄밤마다 아름다운 무도회에 참석해요.
My sister loves watching ballet shows every weekend.,내 여동생은 매주말 발레 공연을 보는 것을 좋아해요.
We watched the ballpark for the baseball game.,우리는 야구장에서 야구 경기를 봤어요.
We used a ballpark figure for our plan.,우리는 우리 계획을 위해 대략의 수치를 사용했어요.
Giant pandas love to eat fresh bamboo leaves.,거대 판다는 신선한 대나무 잎을 먹는 것을 좋아해요.
I went to the bank to get money.,저는 은행에 가서 돈을 찾았어요.
We happily sat on the bank near water.,우리는 행복하게 물가 옆 강둑에 앉았어요.
The kind banker helps people save more money.,친절한 은행가는 사람들이 돈을 더 저축하게 도와줘요.
The bright banner waves at our school fair.,밝은 깃발이 우리 학교 축제에서 펄럭여요.
Our school displays a bright banner every day.,우리 학교는 밝은 현수막을 매일 전시해요.
My brand new banner toy is very special.,내 새 최고의 장난감은 아주 특별해요.
We cook delicious food on the barbecue grill.,우리는 숯불구이용 그릴에서 맛있는 음식을 요리해요.
The cow peacefully stayed in a large barn.,소가 큰 헛간에서 평화롭게 머물렀어요.
We always base our story on true events.,우리는 항상 진짜 사건에 기반을 두어요.
We use a firm base for mixing ingredients.,우리는 재료 섞기에 단단한 기초를 사용해요.
The brave soldiers stayed at the military base.,용감한 병사들이 군사 기지에 머물렀어요.
The colorful base of the lamp is sturdy.,램프의 화려한 맨 아래 부분이 튼튼해요.
The baseball player touched base after a hit.,야구 선수는 안타 후에 루를 밟았어요.
The base act always upset his best friend.,비열한 행동이 항상 그의 가장 친한 친구를 화나게 했어요.
My brother really loves playing baseball every day.,내 동생은 매일 야구를 정말 좋아해요.
He always throws the baseball to his friend.,그는 항상 야구공을 친구에게 던져요.
The fun book is based on true stories.,재미있는 책은 진짜 이야기를 바탕으로 해요.
My drawing is based on fun bright colors.,내 그림은 재미있는 밝은 색에 근거하여요.
Our team's reliable baseman catches the fast ball.,우리 팀의 믿음직한 루수가 빠른 공을 잡아요.
This is a very basic math class today.,오늘은 아주 기본적인 수학 수업이에요.
She carefully holds fruits in a small basket.,그녀는 조심스럽게 작은 바구니에 과일을 담아요.
He likes to play basketball with his friends.,그는 친구들과 함께 농구를 해요.
I throw the basketball to my good friend.,나는 좋은 친구에게 농구공을 던져요.
My friend can bat the ball very hard.,제 친구가 배트로 공을 매우 세게 쳐요.
"At night, a bat flies in dark sky.",밤에 박쥐가 어두운 하늘을 날아요.
The player quickly swings the bat for baseball.,선수가 야구를 위해 야구 방망이를 빠르게 휘둘러요.
I take a long warm bath every day.,저는 매일 긴 따뜻한 목욕을 해요.
The small bathroom is very clean and bright.,우리의 작은 욕실은 항상 매우 깨끗하고 정말 밝아요.
The little dog happily splashes in the bathtub.,작은 강아지가 욕조에서 신나게 물장구 쳐요.
The talented batsman strikes balls with great power.,재능 있는 타자가 훌륭한 힘으로 공을 쳐요.
The boy will batter the ball very hard.,소년이 공을 매우 강타해요.
The batter swung his bat at the ball.,타자가 공을 향해 방망이를 휘둘렀어요.
She prepares thick batter for crispy fried chicken.,그녀는 바삭한 튀김옷을 위한 두꺼운 반죽을 만들어요.
My brother is a student at our school.,내 동생은 우리 학교의 학생이에요.
I am able to read a fun book.,나는 재미있는 책을 읽을 수 있어요.
Kids can be addicted to cartoons on TV.,아이들은 TV에서 만화에 빠져 있어요.
Young Sam is always afraid of the dark.,어린 샘은 항상 어둠을 두려워해요.
Children are often allowed to play outdoor games.,어린이는 종종 야외에서 놀 수 있도록 허락되어 있어요.
She is really not ashamed of her mistakes.,그녀는 정말 실수를 부끄러워하지 않아요.
The teacher will be back in the classroom.,선생님은 교실에 돌아오실 거예요.
My little sister was born on Monday morning.,내 여동생은 월요일 아침에 태어났어요.
He is busy playing soccer with his friends.,그는 친구들과 축구하느라 바빠요.
Our small book is covered with bright stickers.,우리 작은 책은 밝은 스티커들로 덮여있어요.
Many students be eager to read new books.,많은 학생들이 새 책을 읽고 싶어해요.
They are familiar with our school library books.,그들은 우리 학교 도서관 책들에 익숙해요.
My kind teacher is famous for fun classes.,나의 친절한 선생님은 재미있는 수업으로 유명해요.
The large room is filled with colorful balloons.,큰 방은 다채로운 풍선으로 차 있어요.
You are free to choose your own outfit.,너는 마음대로 네 옷을 선택할 수 있어요.
My best friend is from a big city.,내 가장 친한 친구는 큰 도시 출신이에요.
My small backpack is full of school supplies.,내 작은 가방은 학용품으로 가득 차요.
She is very good at playing the piano.,그녀는 피아노 연주에 능숙해요.
You will be in trouble if you cheat.,속이면 곤경에 처할 수 있어요.
Many kids are interested in fun science experiments.,많은 아이들이 재미있는 과학 실험에 흥미가 있어요.
My friend is really into playing cool games.,제 친구는 멋진 게임에 관심을 가져요.
Our town is known for its pretty lake.,우리 마을은 예쁜 호수로 유명해요.
These flowers are likely to bloom in spring.,이 꽃들은 봄에 피기 쉬워요.
The weather is likely to be sunny tomorrow.,날씨가 내일 맑을 것 같아요.
This new toy is made of soft plastic.,이 새로운 장난감은 부드러운 플라스틱으로 만들어졌어요.
A salad is made up of fresh vegetables.,샐러드는 신선한 채소로 이루어져 있어요.
I am out of chocolate in my bag.,내 가방에 초콜릿이 없어요.
My school play will be over by five.,내 학교 연극은 다섯시까지 끝나요.
I am very proud of my close friend.,나는 나의 친한 친구를 자랑스럽게 생각해요.
The cat is regarded as a lucky animal.,그 고양이는 행운의 동물로 여겨지아요.
I am really satisfied with my new toy.,나는 내 새 장난감에 정말 만족해요.
My toy is similar to my best friend.,내 장난감은 내 가장 친한 친구와 비슷해요.
The kitten can be stuck in the basket.,작은 고양이가 바구니에 갇혀있어요.
All students are supposed to bring their pencils.,모든 학생은 연필을 가져와야만 해요.
Please be sure to finish your homework today.,오늘 숙제를 반드시 끝내세요요.
I was very surprised at his birthday party.,저는 그의 생일 파티에 매우 놀랐어요.
I am used to riding my blue bike.,나는 파란 자전거 타는 것에 익숙해져 있어요.
I am always willing to help my friend.,저는 항상 기꺼이 친구를 도와요.
My family and I enjoy the sandy beach.,우리 가족과 나는 모래 해변을 즐겨요.
I see a small bead on the table.,테이블 위에 작은 구슬이 보여요.
The little bird's beak can easily pick seeds.,작은 새의 부리는 씨앗을 쉽게 쪼아요요.
I must bear my own heavy responsibility now.,나는 지금 내 무거운 책임을 떠맡아야 해요.
He always bears a calm and kind look.,그는 항상 차분하고 착한 표정을 지니어요.
The nice mother will bear a baby soon.,착한 어머니가 곧 아기를 출산하실 거예요.
I can bear tough days with my friends.,친구들과 함께 어려운 날들을 견딜 수 있어요.
My cute bear loves sweet honey very much.,내 귀여운 곰은 달콤한 꿀을 아주 좋아해요.
The man with a beard always smiles happily.,턱수염을 가진 남자는 항상 행복하게 웃어요.
The beautiful flower blooms in our sunny garden.,아름다운 꽃이 우리 화창한 정원에서 피어요.
The beauty of nature always makes me happy.,자연의 아름다움은 항상 저를 행복하게 만들어요.
I study hard because my teacher is kind.,나는 열심히 공부해요 왜냐하면 선생님이 착하시기 때문이에요.
They stayed home because of the heavy rain.,그들은 심한 비 때문에 집에 있었어요~요
I want to become a very nice person.,나는 매우 착한 사람이 되고 싶어요.
He slowly became a reliable friend over time.,그는 천천히 신뢰할 수 있는 친구가 되었어요.
I always become part of a new group.,나는 항상 새로운 그룹의 일원이 되어요.
Tom likes to sleep on his comfortable bed.,톰은 편안한 침대에서 잠자기 좋아해요.
The river bed is covered with soft sand.,강의 바닥은 부드러운 모래로 덮여 있어요.
"My bedroom is clean, neat and very cozy.",제 침실은 깨끗하고 단정하며 아주 아늑해요.
The bee collects pollen from the small garden.,벌이 작은 정원에서 꽃가루를 모아요.
They always beef loudly about boring homework today.,그들은 오늘 지루한 숙제에 대해 항상 불평해요.
My friend eats delicious beef at the party.,내 친구는 파티에서 맛있는 쇠고기를 먹어요.
My friend always runs before the school bell.,내 친구는 항상 학교 종 전에 뛰어요.
My little sister will be home before long.,우리 작은 여동생은 머지않아 집에 올 거예요.
We always begin our fun class every morning.,우리는 항상 아침마다 즐거운 수업을 시작해요.
The beginning of our class is very fun.,우리 수업의 처음은 정말 즐거워요.
Please always behave politely in our classroom today.,항상 우리 교실에서 예의 바르게 행동해요.
Students should behave nicely in the school classroom.,학생들은 학교 교실에서 처신해야 해요.
Her friendly behavior  always makes our school happy.,그녀의 친절한 태도  항상 우리 학교를 즐겁게 만들어요.
The small cat sits behind the blue car.,작은 고양이는 파란 차의 뒤에 앉아요.
She often whispered secrets behind his back today.,그녀는 오늘 그의 뒤에서 몰래 비밀을 속삭였어요.
I always believe that dreams can come true.,나는 항상 꿈이 이루어질 수 있다고 믿어요.
I always truly believe in my good friend.,나는 항상 진심으로 내 좋은 친구를 믿어요.
"Believe it or not, magic exists every day.","믿거나 말거나, 마법은 매일 존재해요."
The bright school bell rings during lunch break.,밝은 학교 종은 점심 시간에 울려요.
The ringing school bell sounds on time today.,학교 종소리가 제시간에 울려요.
This blue toy belongs to my little sister.,이 파란 장난감은 제 여동생의 것이에요.
The blue toys belong to my small box.,파란 장난감은 내 작은 상자에 속해요.
The small cat sat below the large table.,작은 고양이는 큰 탁자 아래에 앉았어요.
Daily walking is very beneficial for good health.,매일 걷는 것은 건강에 매우 유익해요.
The bent branch quickly fell from the tree.,구부러진 가지가 빨리 나무에서 떨어졌어요.
He is very bent on winning the game.,그는 게임에서 이기는데 아주 열중해요.
I picked a berry from the small bush.,나는 작은 덤불에서 산딸기류 열매를 따었어요.
The small cat sleeps beside my warm bed.,작은 고양이가 내 따뜻한 침대 옆에 자고 있어요.
I enjoy swimming besides playing soccer in summer.,"저는 여름에 수영을 즐기고, 게다가 축구도 해요."
Lucy rides her bike besides walking to school.,루시는 학교 가는 길에 걷기 외에 자전거를 타요.
My red bike is better than your bike.,내 빨간 자전거는 네 자전거보다 더 좋아요.
The small cat sits between the two chairs.,작은 고양이가 두 의자 사이에 앉아요.
My sister always rides a bright red bicycle.,우리 언니는 언제나 밝은 빨간 자전거를 타요.
The big brown dog runs in the park.,큰 갈색 강아지가 공원에서 뛰어요.
I bike happily to school every single day.,나는 매일 학교에 행복하게 자전거를 타요.
I ride my bike in the quiet park.,나는 조용한 공원에서 자전거를 타요.
My bike is as cool as a motorcycle.,내 오토바이는 오토바이처럼 멋져요.
The mayor signed a new important bill today.,시장님이 오늘 새로운 중요한 법안을 승인했어요.
I used a bill to buy fresh fruit.,나는 지폐로 신선한 과일을 샀어요.
The waiter kindly brought our bill after dinner.,웨이터가 저녁 후에 우리 계산서를 가져다 주었어요.
The small yellow bird has a flat bill.,작은 노란 새는 넓적한 부리를 가졌어요.
I wear a hat with a wide bill.,저는 넓은 챙이 있는 모자를 써요.
Billions of stars gleam brightly in the sky.,수십억의 별들이 밝게 빛나요.
I read an interesting biography about a king.,나는 오늘 흥미로운 전기를 읽었어요.
Scientists always use biomedical methods to cure diseases.,과학자들은 항상 생체 의학의 방법을 사용해 질병을 치료해요.
The little bird sings happily in the tree.,작은 새는 나무에서 행복하게 노래해요.
A baby happily starts new life at birth.,아기는 태어날 때 행복하게 새 삶을 시작해요.
I always celebrate my birthday with my family.,나는 항상 가족과 함께 내 생일을 축하해요.
We blend fruits with milk in a bowl.,우리는 그릇에 과일과 우유를 섞어요.
I blend fresh fruits to make a smoothie.,나는 신선한 과일을 섞어 스무디를 만들어요.
The fruit blend creates a healthy morning drink.,과일 혼합은 건강한 아침 음료를 만들어요.
I use the blender to mix my fruits.,나는 믹서기로 내 과일을 섞어요.
You blink each morning before starting your day.,너는 매일 아침 눈을 깜박이고 하루를 시작해요.
We always block out TV noise during study.,우리는 공부 중에 TV 소음을 항상 차단해요.
I start my new blog every single day.,나는 매일 새로운 블로그를 시작해요.
Bright red blood flows quickly through our veins.,밝은 빨간 피가 빠르게 우리 혈관을 흐르네요.
Good care helps friendships blossom among kind neighbors.,좋은 관리는 친절한 이웃들 사이에서 우정이 번영해요.
He always feels blue when his friend leaves.,그는 친구가 떠날 때 항상 우울해요.
We board the yellow school bus at ten.,우리는 노란색 학교 버스에 탑승해요.
The board makes important decisions for our company.,이사회는 우리 회사를 위해 중요한 결정을 내려요.
The teacher always writes clearly on the board.,선생님이 항상 칠판에 분명히 쓰세요.
The kind teacher writes on the board now.,친절한 선생님이 지금 칠판에 쓰고 있어요.
I place my piece on the board carefully.,나는 내 말을 판 위에 조심스럽게 놓아요.
They pinned the important note on the board.,그들은 게시판에 중요한 쪽지를 붙였어요.
My friend uses a red boat to play.,내 친구는 빨간 보트를 타고 놀아요.
My body needs healthy food and good rest.,내 몸은 건강한 음식과 좋은 휴식이 필요해요.
Our school volunteer club forms one strong body.,우리 학교 자원봉사 단체는 하나의 강한 단체로 뭉쳐요.
Please read the body of this text carefully.,이 글의 본론을 조심히 읽어 주세요요.
The boiling pot makes soup on the stove.,끓는 냄비가 스토브 위에서 수프를 만들어요~요
The bold boy rides his new blue bike.,대담한 소년은 새 파란 자전거를 타요.
The bold line here is easy to read.,여기 굵은 선은 읽기 쉬워요.
The cat boldly jumped over the garden fence.,고양이가 용감하게 정원 울타리를 넘었어요.
My playful puppy found a tasty bone today.,내 장난꾸러기 강아지가 맛있는 뼈를 찾았어요.
I want to book our table for dinner.,저녁 식사를 위해 우리 테이블을 예약하고 싶어요.
I love reading my new book at school.,저는 학교에서 새 책을 읽는 것을 좋아해요.
I put a bookmark in my favorite book.,제일 좋아하는 책에 책갈피를 넣어요~요
The school bookshelf holds lots of colorful books.,학교 책꽂이에 많은 책들이 있어요.
They often visit the community bookstore near school.,그들은 학교 근처의 동네 서점을 자주 방문해요~요.
They enjoy quiet time in the small booth.,그들은 작은 칸막이 공간에서 조용한 시간을 보내요.
The beautiful park borders a very busy school.,아름다운 공원이 매우 바쁜 학교에 접해 있어요.
The border clearly divides two small nice towns.,경계는 두 개의 작은 마을을 분명히 나눠요.
The long border clearly divides two neighboring countries.,긴 국경은 두 이웃 나라를 분리해요.
I always feel bored during long rainy days.,저는 항상 긴 비오는 날에 지루해요.
My math class is really boring most days.,내 수학 수업은 대부분 날 정말 지루해요.
I will borrow your toy car after school.,나는 너의 장난감 차를 방과 후 빌릴 거예요.
Both my mom and dad always love pizza.,엄마와 아빠 둘 다 항상 피자를 좋아해요.
My brother always likes both soccer and basketball.,제 형은 축구와 농구 둘 다 항상 좋아해요.
I fill my blue bottle with fresh water.,나는 파란 병에 신선한 물을 채워요.
The ball reached the bottom of the box.,공은 상자의 밑바닥에 도착했어요.
Tom likes to box with his best friend.,톰은 그의 가장 친한 친구와 권투를 해요.
Please put the empty box on the table.,빈 상자를 탁자 위에 놓아요.
I bought a ticket at the box office.,나는 매표소에서 티켓을 샀어요.
The little boy plays happily with his friends.,작은 소년은 친구들과 즐겁게 놀아요.
Sara always loves her brand-new laptop for study.,사라는 항상 아주 새 것인 노트북을 좋아해요.
I got a brand-new toy in my school.,나는 우리 학교에서 완전 새로운 장난감을 받았어요.
The brave boy quickly saved his small cat.,용감한 소년이 빠르게 그의 작은 고양이를 구했어요.
I see a Brazilian dancer at school today.,오늘 학교에서 브라질 무용수를 봐요.
I always enjoy eating warm bread each morning.,나는 항상 따뜻한 빵을 즐겨 먹어요.
"Tonight, big news will suddenly break on TV.","오늘 밤, 큰 뉴스가 TV에서 갑자기 터질 거예요."
Please do not break the small toy car.,작은 장난감 차를 부수지 마세요~요.
Please do not break my small toy today.,제 작은 장난감을 오늘 깨뜨리지 마세요.
He can quickly break the school record today.,그는 오늘 학교 기록을 빠르게 깰 수 있어요.
My toy can break after too much play.,내 장난감은 너무 많이 놀면 부러질 수 있어요.
My little brother might break the old vase.,우리 작은 동생이 오래된 꽃병을 망가뜨릴 수 있어요.
You must not break important class rules today.,오늘 중요한 반 규칙을 어기면 안 돼요.
After long class I take a short break.,오랜 수업 후에 나는 짧은 휴식 시간을 가져요.
My summer break is full of fun surprises.,내 여름 방학은 재미있는 놀라움이 가득해요.
I got a great break in class today.,나는 오늘 수업에서 멋진 기회를 얻었어요.
You should never break a rule in class.,수업 중에는 규칙을 어기면 안 돼요.
My old car might  suddenly break down today.,제 오래된 차가 오늘  갑자기 고장 날 수 있어요.
The kids accidentally break down the old bridge.,아이들이 우연히 오래된 다리를 부수어요.
We always break down food into small pieces.,우리는 항상 음식을 작은 조각으로 분해해요.
Some thieves break into a building at night.,몇몇 도둑들이 밤에 건물에 침입해요.
My team will break into soccer this year.,우리 팀은 올해 축구에 진출할 거예요.
Sometimes rashes break out suddenly on my skin.,때때로 발진이 갑자기 내 피부에 날 수 있어요.
A small fire may break out in class.,수업 중 작은 불이 발생할 수 있어요.
They will break through the big stone wall.,그들은 큰 돌벽을 뚫을 거예요.
I always eat breakfast every morning with joy.,나는 매일 아침식사를 즐겁게 먹어요.
School breaktime is fun and relaxing for students.,학교 쉬는 시간은 학생들에게 즐겁고 편안해요.
"Slow, deep breathing improves our health every day.","느리게, 깊게 호흡하면 우리 건강이 매일 좋아져요."
The old wooden bridge spans the river nicely.,그 오래된 나무 다리는 강을 건너요.
Her future is bright and full of hope.,그녀의 앞날이 밝고 희망적이에요.
The bright student solved the easy math problem.,똑똑한 학생이 쉬운 수학 문제를 풀었어요.
My bright friend always loves to read books.,내 똑똑한 친구는 언제나 책 읽기를 좋아해요.
The sun shines so brightly in the sky.,태양이 하늘에서 너무 밝게 빛나요~요.
The teacher will bring books to the classroom.,선생님이 교실에 책을 가져올 거예요.
My best friend will bring his pet dog.,내 가장 친한 친구가 애완견을 데려올 거예요.
The old song always brings happy memories back.,오래된 노래는 항상 행복한 기억을 떠올리게 해요.
Please bring your red bag to school today.,오늘 학교에 빨간 가방을 가져오세요.
Medicine can bring about recovery in sick people.,약이 아픈 사람들에게 회복을 일으킬 수 있어요.
The old song always brings back warm memories.,그 옛날 노래는 항상 따뜻한 기억을 상기시키어요.
My old photos often bring back happy times.,내 오래된 사진들이 자주 행복한 추억을 생각나게 해요.
Mom will always bring back my toy soon.,엄마가 항상 내 장난감을 곧 돌려주실 거예요.
I always bring back my lost red toy.,나는 항상 잃어버린 빨간 장난감을 다시 데리고 와요.
My teacher can always bring out my best.,내 선생님은 항상 제 최고를 끌어내요.
They always bring out their dog for walks.,그들은 항상 산책을 위해 개를 데리고 나가요.
Loud sounds can bring out stress during exams.,시끄러운 소리가 시험 중 스트레스를 초래해요.
