id,WordText,WordMeaning,PoSText
25114,post,(인터넷의) 게시글,명사
25115,post,(정보를) 게시하다,동사
25116,practice,연습,명사
25117,practice,연습하다,동사
25118,process,과정,명사
25119,process,처리하다,동사
25120,rebound,회복,명사
25121,rebound,회복하다,동사
25122,release,"풀어주다, 석방하다",동사
25123,release,발매,명사
25124,release,개봉,명사
25125,release,석방,명사
25126,release,발매하다,동사
25127,release,개봉하다,동사
25128,sophomore,(대학) 2학년생,명사
25129,sophomore,(대학) 2학년생의,형용사
25130,surface,표면,명사
25131,surface,수면으로 올라오다,동사
25132,thrust,"밀치다, 찌르다",동사
25133,thrust,일격,명사
25134,volunteer,자원봉사,명사
25135,volunteer,자원봉사하다,동사
25136,wrinkle,주름,명사
25137,wrinkle,주름을 잡다,동사
