textbook ID,레슨,단어,품사,PoS,뜻,예문,예문 해석
701,5,give up,"동사, 숙어/관용어",#N/A,포기하다,Don't give up hope in any case.,어떠한 상황이든 희망을 잃지 마.
701,7,goat,명사,2,염소,Wild goats live in the mountains.,야생 염소는 산에서 산다.
701,6,grade,명사,2,"등급, 학년, 성적",I got a bad grade on my math test.,나는 수학 시험에서 좋지 않은 성적을 받았다.
701,8,grade,명사,2,"등급, 학년, 성적",I got a bad grade on my math test.,나는 수학 시험에서 좋지 않은 성적을 받았다.
701,7,grass,명사,2,"풀, 잔디",Don't walk on the grass.,잔디 위를 걷지 마라.
701,6,grow up,동사,1,성장하다,My daughter wants to be a doctor when she grows up.,우리 딸은 커서 의사가 되고 싶어 한다.
701,8,grow up,동사,1,성장하다,My daughter wants to be a doctor when she grows up.,우리 딸은 커서 의사가 되고 싶어 한다.
701,3,half,명사,2,"반, 절반",I know half of the people in the room.,나는 방에 있는 사람들의 절반을 안다.
701,4,healthy,형용사,3,"건강한, 건강에 좋은",Plants need sunlight to stay healthy.,식물은 건강하게 자라기 위해 햇빛이 필요하다.
701,2,holiday,명사,2,"휴일, 휴가",New Year's Day is a public holiday.,1월 1일은 공휴일이다.
701,1,hometown,명사,2,고향,His hometown is London.,그의 고향은 런던이다.
701,4,human,"형용사, 명사",#N/A,"인간의, 사람의, 인간",Dogs can hear better than humans.,개들은 인간보다 더 잘 들을 수 있다.
701,4,impossible,형용사,3,불가능한,Life without a cell phone is impossible in modern times.,현대 사회에서 휴대전화가 없는 삶은 불가능하다.
701,4,information,명사,2,정보,Visit the website for more information.,더 많은 정보를 원하시면 웹사이트를 방문하십시오.
701,6,instrument,명사,2,"기구, 도구, 악기",My favorite musical instrument is the violin.,내가 가장 좋아하는 악기는 바이올린이다.
701,8,instrument,명사,2,"기구, 도구, 악기",My favorite musical instrument is the violin.,내가 가장 좋아하는 악기는 바이올린이다.
701,1,interest,명사,2,"관심, 흥미",I have an interest in music.,나는 음악에 관심이 있다.
701,1,interesting,형용사,3,"재미있는, 흥미로운",This book is very interesting.,이 책은 매우 흥미롭다.
701,4,invention,명사,2,"발명, 발명품",This invention can read books to blind people.,이 발명품은 맹인에게 책을 읽어줄 수 있다.
701,3,item,명사,2,"품목, 항목",There were many items on display in the store window.,상점 진열창에 많은 물건들이 진열되어 있었다.
701,7,knock,동사,1,"두드리다, 노크하다",He always knocks on the door when he goes into his daughter's room.,그는 항상 딸의 방에 들어갈 때 방문을 두드린다.
701,7,know,동사,1,"알다, 알고 있다",He knows many things about Korean culture.,그는 한국 문화에 대해 많은 것을 알고 있다.
701,6,law,명사,2,"법률, 법학",He studied law and became a lawyer.,그는 법을 공부하고 변호사가 되었다.
701,8,law,명사,2,"법률, 법학",He studied law and became a lawyer.,그는 법을 공부하고 변호사가 되었다.
701,4,lesson,명사,2,"수업, 교훈",He learns life lessons from his dad.,그는 아버지에게 인생 교훈을 배운다.
701,4,library,명사,2,도서관,I borrowed some art books from the library.,나는 도서관에서 미술책들을 몇 권 빌렸다.
701,7,look for,"동사,숙어/관용어",#REF!,"찾다, 구하다",My older brother is looking for a job these days.,요즘 오빠는 직업을 찾고 있어요.
701,5,lose,동사,#REF!,"잃다, 지다","She practiced hard, but she lost the game.","그녀는 열심히 연습했지만, 시합에서 졌다."
701,6,loudly,부사,#REF!,"큰 소리로, 소리 높이",You should not talk loudly in the library.,도서관에서 크게 이야기해서는 안 된다.
701,8,loudly,부사,#REF!,"큰 소리로, 소리 높이",You should not talk loudly in the library.,도서관에서 크게 이야기해서는 안 된다.
701,3,low,형용사,#REF!,"낮은, (값이) 싼",I got a low grade on the math test.,나는 수학 시험에서 낮은 점수를 받았다.
701,7,luck,명사,#REF!,행운,I need a bit of luck to win this game.,이번 게임을 이기려면 조금의 행운이 필요하다.
701,1,map,명사,2,"지도, 약도","According to this map, the park is over there.",이 지도에 따르면 공원은 저쪽에 있다.
701,6,match,동사,1,"조화시키다, 맞추다, 어울리다",My dog can match these pictures to their names.,우리 집 개는 이 사진과 그 이름을 연결시켜 맞출 수 있다.
701,8,match,동사,1,"조화시키다, 맞추다, 어울리다",My dog can match these pictures to their names.,우리 집 개는 이 사진과 그 이름을 연결시켜 맞출 수 있다.
701,2,mean,동사,1,의미하다,That sound means that it is a break time.,그 소리는 쉬는 시간이라는 것을 의미한다.
701,5,mistake,명사,2,"잘못, 실수",I made a mistake on the exam.,나는 시험에서 실수를 했다.
701,6,mix,동사,1,"섞다, 섞이다",You can't mix oil and water.,물과 기름을 섞을 수는 없다.
701,8,mix,동사,1,"섞다, 섞이다",You can't mix oil and water.,물과 기름을 섞을 수는 없다.
701,2,move,"동사, 명사",#N/A,"움직이다, 옮기다, 말의 움직임",I made a move on the chess board.,나는 체스판 위의 말을 움직였다.
701,5,nail,명사,2,"못, 손톱",She hammered a nail into the wall.,그녀는 벽에 못을 망치질했다.
701,7,nervous,형용사,3,"긴장한, 초조한",She was nervous about the math test.,그녀는 수학 시험 때문에 초조해했다.
701,6,object,명사,2,"물체, 사물",A hard object hit the window last night.,어젯밤 단단한 물체가 창문을 쳤다.
701,8,object,명사,2,"물체, 사물",A hard object hit the window last night.,어젯밤 단단한 물체가 창문을 쳤다.
701,4,obvious,형용사,3,"뚜렷한, 명백한",The answer looks obvious to me.,나에게 답은 명백해 보인다.
701,1,often,부사,4,"종종, 자주",She often writes to her friend.,그녀는 친구에게 자주 편지를 쓴다.
701,3,owner,명사,2,"주인, 소유주",Erica is the bag's owner.,Erica가 가방의 주인이다.
701,2,palace,명사,2,궁전,I would like to visit Buckingham Palace.,나는 버킹엄 궁전에 가보고 싶다.
701,1,pet,명사,2,애완동물,I want to have a pet.,나는 애완동물을 하나 갖고 싶다.
701,2,plan,명사,2,계획,I don't have any plans for the weekend.,나는 주말에 아무런 계획이 없다.
701,4,plant,명사,2,식물,All plants need light and water.,모든 식물은 빛과 물을 필요로 한다.
701,3,pocket money,명사,2,용돈,Please give me some pocket money.,용돈 좀 주세요.
701,5,possible,형용사,3,"가능한, 할 수 있는",He ran 100 meters in four seconds? That's not possible!,그가 100미터를 5초 안에 달렸다고? 그건 가능하지 않아!
701,1,post,동사,1,(웹사이트에 정보·사진을) 올리다,I post pictures of my dog online.,나는 온라인에 내 강아지 사진을 올린다.
701,1,practice,동사,1,연습하다,I will practice the piano.,나는 피아노 연습을 할 것이다.
701,3,price,명사,2,"가격, 값",He paid full price for it.,그는 제 값을 다 주고 그것을 샀다.
701,6,receive,동사,1,받다,I received a package from my mother.,나는 어머니한테서 소포 한 개를 받았다.
701,8,receive,동사,1,받다,I received a package from my mother.,나는 어머니한테서 소포 한 개를 받았다.
701,3,rest,명사,2,나머지,Here's the rest of your change.,여기 나머지 잔돈이 있습니다.
701,6,rule,명사,2,"규칙, 관례",You should not break the school rules.,교칙을 어겨서는 안 된다.
701,8,rule,명사,2,"규칙, 관례",You should not break the school rules.,교칙을 어겨서는 안 된다.
701,3,save,동사,1,"모으다, 저축하다",I'm saving up money for a new bike.,나는 새 자전거를 위해 돈을 모으고 있다.
701,7,scary,형용사,3,"무서운, 두려운",I don’t think horror movies are scary.,나는 공포 영화가 무섭지 않다고 생각한다.
701,2,sell,동사,1,팔다,A girl is selling lemonade at the market.,한 소녀가 시장에서 레모네이드를 팔고 있다.
701,5,semifinal,형용사,3,준결승의,Team A went to the final game after they beat Team B in the semifinal game.,"A팀은 B팀을 준결승전에서 이기고 나서, 결승전에 진출했다."
701,2,send,동사,1,보내다,I send Christmas cards to my friends.,나는 친구들에게 크리스마스 카드를 보낸다.
701,6,serious,형용사,3,"심각한, 진지한",We stopped laughing because she looked so serious.,그녀가 매우 진지해 보였기 때문에 우리는 웃음을 멈췄다.
701,8,serious,형용사,3,"심각한, 진지한",We stopped laughing because she looked so serious.,그녀가 매우 진지해 보였기 때문에 우리는 웃음을 멈췄다.
701,6,shape,명사,2,"모양, 형태",What shape is the table?,그 탁자는 무슨 모양이니?
701,8,shape,명사,2,"모양, 형태",What shape is the table?,그 탁자는 무슨 모양이니?
701,3,shout,동사,1,"소리치다, 외치다",They shouted for help.,그들은 도와달라고 소리쳤다.
701,5,slippery,형용사,3,미끄러운,I can't hold this because my hands are slippery.,내 손이 미끄러워 이것을 잡을 수 없다.
701,2,special,형용사,3,특별한,I use these candles on special days.,나는 이 초들을 특별한 날에 사용한다.
701,3,spend,동사,1,"(돈을) 쓰다, (시간을) 보내다",He spends all of his money on clothes.,그는 옷에 모든 돈을 쓴다.
701,2,spirit,명사,2,"영혼, 정신","He is old, but he has a young spirit.",그는 나이가 들었지만 마음은 젊다.
701,5,still,부사,4,"아직도, 여전히",I still have my old diaries.,나는 아직도 나의 옛 일기장을 가지고 있다.
701,6,strange,형용사,3,"이상한, 낯선",I had a strange dream last night.,나는 어젯밤 이상한 꿈을 꾸었다.
701,8,strange,형용사,3,"이상한, 낯선",I had a strange dream last night.,나는 어젯밤 이상한 꿈을 꾸었다.
701,1,study,동사,1,"공부하다, 배우다",I study Chinese day and night.,나는 밤낮으로 중국어를 공부한다.
701,1,subject,명사,2,"주제, 과목",He is good at all subjects.,그는 전 과목을 잘한다.
701,4,submarine,명사,2,잠수함,"The submarine can go 1,500 meters underwater.","그 잠수함은 1,500미터의 깊이에 갈 수 있다."
701,2,symbol,명사,2,"상징, 상징물",The eagle is a traditional symbol of America.,독수리는 미국의 전통적인 상징이다.
701,5,take off,숙어/관용어,9,"~을 벗다, 이륙하다",Take off your wet clothes and put this on.,네 젖은 옷을 벗고 이걸 입어라.
701,4,taste,"동사, 명사",#N/A,"~맛이 나다, 맛",I don't like this juice. It tastes like medicine.,나는 이 주스를 좋아하지 않는다. 이 주스는 약같은 맛이 난다.
701,4,teach,동사,1,가르치다,Schools should teach students proper words.,학교는 학생들에게 올바른 언어를 가르쳐야 한다.
701,2,throw,동사,1,던지다,Throw the ball and I will catch it.,공을 던지면 내가 잡을게.
701,5,tie,동사,1,묶다,He tied his shoelaces.,그는 그의 신발 끈을 묶었다.
701,2,tourist,명사,2,"여행자, 관광객",There are many tourists from China these days.,요즈음 중국에서 온 관광객이 많다.
701,2,traditional,형용사,3,"전통의, 전통적인",Every country has its own traditional food.,모든 나라에는 각각의 전통 음식이 있다.
701,3,try on,숙어/관용어,9,~을 입어 보다,I'd like to try on this jacket.,이 재킷을 입어 보고 싶어요.
701,4,universe,명사,2,우주,He studies the stars and the universe.,그는 별과 우주에 대해 연구한다.
701,2,vacation,명사,2,휴가,She’s on vacation in Europe.,그녀는 유럽에서 휴가를 보내고 있다.
701,5,village,명사,2,마을,I live in a small seaside village.,나는 작은 바닷가 마을에 산다.
701,1,visit,동사,1,"방문하다, 찾아가다",I want to visit Hong Kong this summer.,나는 이번 여름에 홍콩을 방문하고 싶다.
701,7,volunteer,"명사, 동사",#N/A,"자원 봉사자, 자원 봉사 하다",Volunteers built the houses.,자원봉사자들이 집들을 지었다.
701,6,warm,형용사,3,따뜻한,This tea will make you feel warm.,이 차는 너를 따뜻하게 해 줄 거야.
701,8,warm,형용사,3,따뜻한,This tea will make you feel warm.,이 차는 너를 따뜻하게 해 줄 거야.
701,1,watch,동사,1,보다,He likes to watch TV all day.,그는 하루 종일 텔레비전 보는 것을 좋아한다.
701,7,welcome,동사,1,"맞이하다, 환영하다",They came to the station to welcome us.,그들은 우리를 맞이하려고 역으로 나왔다.
701,5,wet,형용사,3,"젖은, 축축한",I was wet because I fell into the pool.,나는 수영장에 빠져서 젖었다.
701,5,worry,동사,1,걱정하다[시키다],He worried about his future.,그는 미래에 대해 걱정했다.
701,4,wrong,형용사,3,"틀린, 잘못된",These phone numbers are wrong in the address book.,주소록에 나와 있는 이 전화번호는 틀린 것이다.
702,1,a,관사,10,"하나의, 한 사람의",A baby is crying.,한 아기가 울고 있다.
702,2,a.m.,명사,2,오전,The movie starts at 10 a.m.,영화는 오전 10시에 사작한다.
702,1,about,전치사,6,~에 대해[관해],Do you know about that island?,너는 저 섬에 대해 알고 있니?
702,8,action,명사,2,"행동, 조치",We have to take an action to fix the problem.,우리는 문제를 해결하기 위해 조치를 취해야 한다.
702,2,activity,명사,2,활동,Camping is my favorite outdoor activity.,캠핑은 내가 제일 좋아하는 야외 활동이다.
702,1,actor,명사,2,배우,He is a great actor.,그는 훌륭한 배우이다.
702,6,actress,명사,2,여배우,Her mother was a famous actress.,그녀의 어머니는 유명한 여배우였다.
702,6,afraid,형용사,3,"두려워하는, 겁내는; 걱정하는",Don't be afraid of ghosts.,귀신을 무서워하지 마라.
702,2,African,형용사,3,아프리카의,He made an African mask.,그는 아프리카 가면을 만들었다.
702,1,after,전치사,6,"뒤에, ~뒤의",We will meet after lunch.,우리는 점심 후에 만날 것이다.
702,5,afternoon,명사,2,오후,I'm going to go to a concert this afternoon.,나는 오늘 오후에 음악회에 갈 것이다.
702,1,again,부사,4,"한 번 더, 다시",See you again.,다시 만나자.
702,1,age,명사,2,"나이, 수명",He is fourteen years of age.,그는 14살이다.
702,1,ago,부사,4,전에,Tom left here 2 hours ago.,톰은 2시간 전에 여기를 떠났다.
702,2,aid,명사,2,"원조, 지원; 도움",The poor country needs food aid.,그 가난한 나라는 식량 지원을 필요로 한다.
702,2,air,명사,2,"공기, 공중",Let's go out for some fresh air.,신선한 공기 좀 쐬러 나가자.
702,1,all,"형용사, 부사",#N/A,"모두, 모든",Nice to meet you all everyone.,여러분 모두를 만나 반갑습니다.
702,5,all around,부사,4,도처에,You can see the people from all around the world.,당신은 전 세계에서 온 사람들을 볼 수 있다.
702,6,all right,형용사,3,괜찮은; 무사한,He will be all right.,그는 괜찮아질 거야.
702,3,already,부사,4,"이미, 벌써",Are you already at home?,벌써 집에 도착했니?
702,1,also,부사,4,"또한, 게다가",She also likes reading.,그녀는 책을 읽는 것도 좋아한다.
702,1,always,부사,4,"항상, 언제나, 늘",My father always gets up at six every day.,저의 아버지는 매일 6시에 일어나십니다.
702,5,amazing,형용사,3,놀라운,That's amazing!,그것 놀랍군요!
702,4,American,"형용사, 명사",#N/A,미국의; 미국인,He has an American friend.,그는 미국인 친구가 있다.
702,1,and,접속사,7,"~와(과), 그리고",Minho and Minsu are his sons.,민호와 민수는 그의 아들이다.
702,6,angel,명사,2,"천사, 천사같은 사람",You look like an angel.,너는 천사처럼 보여.
702,5,angry,형용사,3,"화난, 성난",Dad is angry with me.,아빠는 나한테 화가 나셨다.
702,1,animal,명사,2,"동물, 짐승",What animal do you like?,너는 어떤 동물을 좋아하니?
702,4,another,"형용사, 대명사",#N/A,"또 하나(의), 다른 것",Would you like another?,하나 더 드시겠어요?
702,1,answer,"명사, 동사",#N/A,"해답, 대답; 대답하다",Answer the question.,질문에 대답하시오.
702,3,any,형용사,3,"어느, 어떤",I can't find any books in your room.,나는 너의 방에서 어떤 책도 찾지 못했어.
702,4,apple,명사,2,사과,I'd like an apple.,저는 사과를 하나 먹겠어요.
702,2,around,부사,4,"주위에, 여기저기",I want to take a trip around the world.,나는 세계 일주를 하고 싶다.
702,7,arrive,동사,1,"도착하다, 배달되다",She will arrive here tonight.,그녀는 오늘밤 여기에 도착할 거야.
702,1,art,명사,2,"미술, 예술","Art is long, life is short.","예술은 길고, 인생은 짧다."
702,4,artwork,명사,2,"예술 작품, 미술품",He tried to create a special artwork.,그는 특별한 예술 작품을 만들려고 노력했다.
702,7,as,접속사,7,"~하는 동안, ~ 때에; ~와 같이","As time went by, the baby grew up well.",시간이 지날수록 아기는 잘 자랐다.
702,3,ask,동사,1,"묻다, 물어보다",When is Parent's Day? Jihun asked.,어버이날이 언제지? 지훈이 물었다.
702,4,at last,숙어/관용어,9,"마침내, 드디어","At last, it's time for dinner!",드디어 식사 시간이다!
702,3,aunt,명사,2,"이모, 고모, 숙모",My aunt is very nice.,나의 이모는 매우 멋져.
702,5,Australian,"형용사, 명사",#N/A,호주의; 호주 사람,She is an Australian singer.,그녀는 호주의 가수이다.
702,3,away,부사,4,"떨어져, 사라져; 저쪽으로",I will not run away any more.,난 더 이상 도망가지 않을거야.
702,2,backpack,"동사, 명사",#N/A,배낭을 지고 걷다; 배낭,Let's go backpacking next weekend.,다음 주 주말에 배낭여행 가자.
702,1,bad,형용사,3,"나쁜, 안 좋은",That’s too bad.,참 안됐구나.
702,2,bag,명사,2,가방,How many bags do you have?,너는 가방이 몇 개니?
702,3,ballpark,명사,2,야구장,Why don’t we go to the ballpark?,야구장에 함께 갈까?
702,1,banker,명사,2,은행가,I want to be a banker.,나는 은행가가 되고 싶다.
702,1,baseball,명사,2,야구,They play baseball after school.,그들은 방과 후에 야구를 한다.
702,2,basketball,명사,2,농구,That man is a great basketball player.,저 남자는 굉장한 농구 선수이다.
702,5,bath,명사,2,목욕; 욕조,She takes a bath every day.,그녀는 매일 목욕을 한다.
702,3,bathroom,명사,2,욕실,May I use your bathroom?,욕실 좀 사용해도 될까요?
702,1,be,동사,1,~이다,My name is John Brown.,내 이름은 존 브라운이야.
702,2,beach,명사,2,해변,The people are lying on the beach.,사람들이 해변에 누워 있다.
702,5,bear,명사,2,곰,There is a bear in the woods.,숲 속에 곰이 있다.
702,5,beautiful,형용사,3,아름다운,You have a beautiful mind.,너는 아름다운 마음씨를 지녔구나.
702,5,because,접속사,7,~ 때문에; 왜냐하면,I feel happy because I got a nice present.,나는 멋진 선물을 받았기 때문에 행복하다.
702,4,bed,명사,2,침대,It's time for bed.,잠잘 시간이다.
702,5,bee,명사,2,벌,Bees are flying around the flowers.,벌들이 꽃 주변을 날고 있다.
702,1,before,전치사,6,"~ 전에, ~ 앞에",Wash your hands before eating.,먹기 전에 손을 씻어라.
702,6,begin,동사,1,"시작하다, 시작되다",When does the baseball game begin?,야구 경기가 언제 시작되나요?
702,8,bell,명사,2,"종, 종소리, 벨",The church bells rang over there.,저 너머에서 교회 종이 울렸다.
702,4,berry,명사,2,산딸기류 열매,Pick up the berries and give some to me.,산딸기를 따서 내게 좀 줘.
702,5,between,전치사,6,사이[중간]에,What's the difference between the two?,둘 사이에 차이점이 뭐지?
702,1,bicycle,명사,2,자전거,A boy is riding a bicycle.,소년이 자전거를 타고 있다.
702,3,big,형용사,3,큰,His father welcomed us with a big smile.,그의 아버지는 환하게 웃으시며 우리를 맞아 주셨다.
702,5,bird,명사,2,새,Some birds are flying in the sky.,새들이 하늘에서 날고 있다.
702,3,birthday,명사,2,생일,How about coming to my birthday party?,제 생일 파티에 오실래요?
702,2,black,형용사,3,검은,How about wearing the black dress?,검정색 옷을 입는 것이 어때?
702,8,blanket,명사,2,담요,Which blanket is yours?,너의 담요는 어느 것이니?
702,6,blind,"형용사, 동사",#N/A,눈이 먼; 눈이 멀게 만들다,Minjae is taking care of the blind men.,민재는 맹인들을 돌보고 있습니다.
702,6,block,"명사, 동사",#N/A,"구역, 블록; 막다, 차단하다",Go straight two blocks and turn right at the bank.,곧장 두 블록을 가시다가 은행에서 오른쪽으로 도세요.
702,1,blog,명사,2,블로그,I like to write on a blog.,나는 블로그에 글 올리는 것을 좋아한다.
702,8,blue,"형용사, 명사",#N/A,"파란, 푸른; 파란색",I like the blue bag.,나는 파란색 가방이 마음에 들어.
702,4,boil,동사,1,"끓이다, 삶다",She boiled some eggs for her son.,그녀는 아들에게 계란을 삶아 주었다.
702,1,book,명사,2,책,She enjoys reading books.,그녀는 책을 즐겨 읽는다.
702,8,bookstore,명사,2,서점,I'm going to meet Susan at the bookstore.,나는 서점에서 수잔을 만날 거야.
702,3,both,대명사,5,둘 다,We both wanted the same thing.,우리는 모두 같은 것을 원했다.
702,4,bowl,명사,2,그릇,He ate a bowl of rice for dinner.,그는 저녁 식사로 밥 한 그릇을 먹었다.
702,6,box,명사,2,"상자, 갑",There are some dolls in the box.,상자 안에 인형이 몇 개 있다.
702,1,boy,명사,2,"소년, 남자아이",What will the boy eat?,소년은 무엇을 먹을까요?
702,3,brave,형용사,3,"용감한, 용기 있는",I think that Minsu is very brave.,나는 민수가 매우 용감하다고 생각한다.
702,4,bread,명사,2,빵,I had bread and milk for lunch.,나는 점심 식사로 빵과 우유를 먹었다.
702,2,break,"동사, 명사",#N/A,"부수다, 깨어지다; 휴식",Who broke the window?,누가 창문을 깨뜨렸지?
702,2,break dance,숙어/관용어,9,브레이크댄스,John is learning break dance every Sunday.,존은 매주 일요일에 브레이크 댄스를 배우고 있다.
