textbook ID,제목,출판사,교육과정,Lesson,구분,Title,DESCRIPTION,Key Expression (영어),Key Expression (한국어),Sub Expression (영어),
,영어,능률(양),2015,3,function,"Take Action, Make a Difference",I'm sorry to hear that 와 같은 표현으로 유감이나 동정 표현하기,I appreciate your understanding of my situation.,제 상황을 이해해 주셔서 감사해요.,I'm saddened to hear about ~. I feel sorry for ~.,
,영어,능률(양),2015,4,function,"Some Like It Cold, Some Like It Hot",Would you like ~?를 활용해 음식이나 음료를 권하기,Would you like a cup of coffee?,커피 한 잔 드실래요?,Would you like to try ~? May I offer you ~?,
,영어,능률(양),2015,5,function,We Are What We Do,다양한 표현으로 걱정 표현하기,I'm concerned about the climate change impacts.,기후 변화의 영향이 걱정돼요.,I'm uneasy about ~. I feel apprehensive regarding ~.,
,영어,능률(양),2015,6,function,When Myths Meet Science,의문문을 활용해 의견 묻기,What are your thoughts on the movie?,그 영화에 대해 어떻게 생각해요?,What is your opinion about ~? How do you feel regarding ~?,
,영어,능률(양),2015,7,function,Venice Diary,다양한 표현으로 희망 및 기대 나타내기,I’m thrilled about attending the concert tonight.,오늘 밤 콘서트에 가게 돼서 정말 신나요.,I can’t wait to ~! I'm eagerly anticipating ~.,
,영어,능률(양),2015,8,function,The Solution Is in Nature,감탄사를 사용하여 관심 표현하기,"Wow, that's fascinating! ","와, 정말 흥미롭네요!",How amazing! What a remarkable thing to ~!,
,영어 1,능률(김),2015,1,function,A Spark in You,부정 명령문으로 위로하기,Don't lose hope.,희망을 잃지 마세요.,Don't feel down. Don't let it get to you.,
,영어 1,능률(김),2015,2,function,Embracing Our Differences,In my opinion로 시작하여 의견을 표명하는 문장을 형성하기.,"In my opinion, it's important to exercise regularly. ",제 생각에는 규칙적으로 운동하는 것이 중요해요.,"In my opinion, ~ is essential. In my opinion, we should ~ more often. ",
,영어 1,능률(김),2015,3,function,We Are All Connected,다양한 표현으로 동의 뜻 전달하기,That's a point I completely concur with.,그 점에 완전히 동의해요.,That's something I completely agree with. I fully support that viewpoint.,
,영어 1,능률(김),2015,4,function,Build a Better World,Why don't we ~을 사용하여 제안을 전달하기,"""Why don't we try that new café this weekend?"" ",이번 주말에 그 새로운 카페에 가보는 게 어때요?,"""Why don't we go to ~?"" ""Why don't we explore ~?"" ",
,영어 1,능률(김),2015,5,function,"Look, Think, and Create!",의문문을 사용하여 도움이나 조언 요청하기,Could you provide me with some guidance?,저에게 조언을 좀 해 주실 수 있나요?,Would you be able to offer ~? Can you assist with ~?,
,영어 2,능률(김),2015,1,function,Treasure in My Life,다양한 표현으로 기억이나 망각 표현하기,I'll always cherish our last family trip.,우리의 마지막 가족 여행을 언제나 소중히 여길 거예요.,I'm unable to recall ~. Do you still remember ~?,
,영어 2,능률(김),2015,2,function,In Someone Else’s Shoes,가정법을 활용해 충고·조언 표현하기,"If I were you, I’d seek advice from someone I trust. ",제가 당신이라면 신뢰할 수 있는 사람에게 조언을 구할 거예요.,I’d recommend that you ~. It might be a good idea to ~.,
,영어 2,능률(김),2015,3,function,Be a Critical Thinker,You'd better not ~'를 활용해 특정 행동을 금지하기.,You’d better not spend too much time watching TV late at night.,늦은 밤에 TV를 너무 오래 보는 것은 안 하는 게 좋아요.,You’d better not overdo ~ in the evening. You should refrain from ~ as it might be harmful.,
,영어 2,능률(김),2015,4,function,Find and Do What You Love,be interested in ~를 활용해 관심 표현하기,I’m interested in modern art.,현대 미술에 관심이 있어요.,I'm fascinated by ~. I find ~ captivating.,
,영어 2,능률(김),2015,5,function,Technology: An Engine for Change,부사와 명사를 사용해 확실성 정도 표현하기,I believe wholeheartedly that consistent practice leads to improvement.,꾸준한 연습이 실력 향상으로 이어진다고 굳게 믿어요.,I strongly believe this is due to ~. I have absolute certainty regarding ~.,
,공통영어 1,YBM(김),2022,1,function,Believe That You Can Do Better,should를 활용해 조언하기.,A: I feel really tired these days. B: You should get more sleep.,A: 요즘 너무 피곤해. B: 너는 잠을 더 자야 해.,A: I'm not sure what to do about my homework. B: You should ~. A: I want to get better at English. B: You should ~ every day.,
,공통영어 1,YBM(김),2022,2,function,Art and the City,How about ~? 를 활용해 제안하기.,A: I'm bored. What should we do? B: How about going to the park?,A: 심심해. 뭐 할까? B: 공원에 가는 게 어때?,A: I don't know what to eat for lunch. B: How about ~? A: I want to do something fun this weekend. B: How about ~?,
,공통영어 1,YBM(김),2022,3,function,Living Green: A Guide to Sustainable Choices,I’d like to emphasize that ~를 활용해 강조하기.,"A: I’d like to emphasize that teamwork is very important. B: Yes, working together makes everything easier. ","A: 나는 팀워크가 매우 중요하다는 것을 강조하고 싶어. B: 맞아, 함께 일하면 모든 것이 더 쉬워져. ",A: I’d like to emphasize that ~ is very important. B: I totally agree. A: I’d like to emphasize that we need to ~. B: That’s a good point.,
,공통영어 1,YBM(김),2022,4,function,Be Smart in the Digital World,"Compared to ~, ~를 활용해 비교하기. ","A: Compared to last year, this winter is much colder. B: Yes, I think so too. ","A: 작년과 비교하면 이번 겨울은 훨씬 추워. B: 응, 나도 그렇게 생각해. ","A: Compared to ~, ~ is better. B: I see what you mean. A: Compared to ~, ~ is more expensive. B: That’s true. ",
,공통영어 2,YBM(김),2022,1,function,Make Your World a Better Place,I’m planning to ~를 활용해 계획 말하기.,A: What are you doing this summer? B: I’m planning to visit my grandparents.,"A: 이번 여름에 뭐 할 거야? B: 나는 할아버지, 할머니를 뵈러 갈 계획이야. ",A: I’m planning to ~ next weekend. B: That sounds great! A: I’m planning to ~ with my friends. B: Have fun!,
,공통영어 2,YBM(김),2022,2,function,From Tradition to Trend,The reason is that ~를 활용해 이유 말하기.,A: Why did you choose this book? B: The reason is that it’s very interesting.,A: 왜 이 책을 골랐어? B: 이유는 이 책이 정말 재미있기 때문이야.,A: The reason is that I like ~. B: That makes sense. A: The reason is that it helps me ~. B: That’s a good reason.,
,공통영어 2,YBM(김),2022,3,function,Beyond Barriers,I was inspired by ~를 활용해 영감 표현하기.,A: Why did you start painting? B: I was inspired by my art teacher.,A: 왜 그림을 그리기 시작했어? B: 나는 미술 선생님께 영감을 받았어.,A: I was inspired by ~ to ~. B: That’s amazing! A: I was inspired by ~ and decided to ~. B: That’s a great story.,
,공통영어 2,YBM(김),2022,4,function,The Essence of Being Human,"In my opinion, ~를 활용해 의견 말하기. ","A: Do you like this movie? B: In my opinion, it’s the best movie ever! ",A: 이 영화 좋아해? B: 내 생각에는 이게 최고의 영화야!,"A: In my opinion, ~ is better. B: I respect your opinion. A: In my opinion, we should ~. B: That’s an interesting idea. ",
,공통영어 1,YBM(박),2022,1,function,Enrich Your Life,다양한 표현을 활용해 자신이 좋아하는 것에 대해 말하기.,A: What do you like to do in your free time? B: I enjoy singing.,A: 너는 자유 시간에 뭐 하는 걸 좋아해? B: 나는 노래 부르는 걸 즐겨.,A: I like ~. B: That sounds fun! A: I'm into ~. B: That’s great!,
,공통영어 1,YBM(박),2022,2,function,Explore Wildlife Wonders,What do you think about ~?를 활용해 다른 사람의 의견을 묻기.,A: What do you think about this diversity of languages? B: I think it’s amazing!,A: 다양한 언어에 대해 어떻게 생각해? B: 나는 정말 멋지다고 생각해!,A: What do you think about ~? B: I think it’s great. A: What do you think about ~? B: I have never thought about it before.,
,공통영어 1,YBM(박),2022,3,function,"Embrace Diversity, Broaden Your Horizons",다양한 표현을 활용해 궁금한 점이나 알고 싶은 것을 말하기.,A: Do you have any questions? B: I’m curious about how animals produce sounds.,A: 궁금한 거 있어? B: 나는 동물들이 어떻게 소리를 내는지 궁금해.,A: I wonder how ~. B: That’s a good question! A: I want to know more about ~. B: Me too!,
,공통영어 1,YBM(박),2022,4,function,When Art Meets Technology,What do you mean by ~?를 활용해 어떤 표현이나 개념에 대해 설명을 요청하기.,A: AI-generated music is getting popular. B: What do you mean by AI-generated music?,A: AI가 만든 음악이 점점 인기 있어지고 있어. B: AI가 만든 음악이 무슨 뜻이야?,A: What do you mean by ~? B: I mean it’s ~. A: What do you mean by ~? B: It means ~.,
,공통영어 2,YBM(박),2022,1,function,Be Digitally Smart!,Could I ask you to ~?를 활용해 도움을 요청하기.,A: Could I ask you to help me control how much time I spend on my phone? B: Sure! I can set a reminder for you.,A: 내가 휴대폰 사용하는 시간을 조절하는 걸 도와줄 수 있어? B: 물론이지! 내가 알람을 설정해 줄게.,A: Could I ask you to ~? B: Sure! I'd be happy to help. A: Could you help me ~? B: Of course!,
,공통영어 2,YBM(박),2022,2,function,Urgent Call From Earth,I’d like to emphasize that ~를 활용해 강조하고 싶은 내용을 표현하기.,A: I’d like to emphasize that health and safety should always be a top priority. B: I completely agree.,A: 나는 건강과 안전이 항상 최우선이어야 한다는 것을 강조하고 싶어. B: 나도 완전히 동의해.,A: I’d like to emphasize that ~ is very important. B: That’s true. A: I’d like to emphasize that we should ~. B: I totally agree.,
,공통영어 2,YBM(박),2022,3,function,Rise Above Challenges,What are you concerned about?를 활용해 다른 사람의 걱정이나 상태를 묻기.,A: What are you concerned about? B: I’m worried about my test tomorrow.,A: 너는 무엇이 걱정돼? B: 나는 내일 시험이 걱정돼.,A: What are you worried about? B: I’m worried about ~. A: Are you feeling okay? B: I feel ~.,
,공통영어 2,YBM(박),2022,4,function,Creative Ideas for a Better World,It’s likely that ~를 활용해 어떤 일이 일어날 가능성을 표현하기.,A: Will small inventions really change our lives? B: It’s likely that small inventions can make our lives safer.,A: 작은 발명품들이 정말 우리의 삶을 바꿀 수 있을까? B: 작은 발명품들이 우리의 삶을 더 안전하게 만들 가능성이 높아.,A: It’s likely that ~ will happen. B: That makes sense. A: There’s a chance that ~. B: I think so too.,
,영어,YBM(박),2015,1,function,Dream It and Achieve It,be interested in ~를 활용해 관심을 표현하기.,A: What do you do in your free time? B: I’m interested in dancing.,A: 너는 자유 시간에 뭐 해? B: 나는 춤추는 것에 관심이 있어.,"A: Are you interested in ~? B: Yes, I enjoy it a lot! A: I’m interested in ~ because it’s fun. B: That sounds great! ",
,영어,YBM(박),2015,2,function,Color Your Language,What do you mean by ~?를 활용해 설명을 요청하기.,A: I think this book is deep. B: What do you mean by that?,A: 나는 이 책이 깊이가 있다고 생각해. B: 그게 무슨 뜻이야?,"A: What do you mean by ~? B: I mean ~. A: Can you explain what you mean by ~? B: Sure, I was saying that ~. ",
,영어,YBM(박),2015,3,function,Enjoy the Tasty World,Would you like to ~?를 활용해 음식을 권하기.,A: This cake is delicious! B: Would you like to try some?,A: 이 케이크 맛있어! B: 좀 먹어볼래?,"A: Would you like to taste ~? B: Sure, I’d love to! A: Do you want to try ~? B: Yes, please! ",
,영어,YBM(박),2015,4,function,Preparing for Weather,It says ~를 활용해 정보를 보고하기.,A: Should we bring an umbrella? B: It says we can expect heavy rain today.,A: 우산 가져가야 할까? B: 오늘 폭우가 올 거라고 해.,A: It says ~ on the news. B: That’s useful information! A: The report says ~. B: I’ll keep that in mind.,
,영어,YBM(박),2015,5,function,The Joy of Appreciating Art,be looking forward to ~를 활용해 기대를 표현하기.,A: The concert is next weekend! B: I’ll be looking forward to seeing it.,A: 콘서트가 다음 주말이야! B: 나는 그걸 보는 게 기대돼.,"A: I’m looking forward to ~. B: Me too! A: Are you looking forward to ~? B: Yes, I can’t wait! ",
,영어,YBM(박),2015,6,function,Traveling for Volunteer Work,be thinking of ~를 활용해 의도를 표현하기.,A: What are your plans for summer vacation? B: I’m thinking of volunteering to do educational work.,A: 여름 방학에 무슨 계획 있어? B: 나는 교육 봉사를 할까 생각 중이야.,"A: I’m thinking of ~ next month. B: That sounds great! A: Are you thinking of ~? B: Yes, I might do that. ",
,영어,YBM(박),2015,7,function,Bringing Creativity into Our Lives,be not satisfied with ~를 활용해 불만족을 표현하기.,A: How do you feel about these shoes? B: I’m not satisfied with them.,A: 이 신발들 어때? B: 나는 만족스럽지 않아.,A: I’m not happy with ~. B: Me neither. A: I don’t like ~. B: I feel the same way.,
,영어,YBM(박),2015,8,function,"Green Life, Green Earth",be worried that ~를 활용해 걱정을 표현하기.,A: I think we use too much electricity. B: I’m worried that we waste electricity at home.,A: 우리 전기를 너무 많이 쓰는 것 같아. B: 나는 우리가 집에서 전기를 낭비하는 게 걱정돼.,A: I’m worried that ~. B: Me too. A: I feel anxious about ~. B: I understand.,
,영어,YBM(박),2015,9,function,What Makes Sports More Exciting,Do you know ~?를 활용해 알고 있는지 묻기.,"A: Do you know what the most popular sport in India is? B: Yes, it’s cricket! ","A: 인도에서 가장 인기 있는 스포츠가 뭔지 알아? B: 응, 크리켓이야! ","A: Do you know about ~? B: No, tell me! A: Have you heard of ~? B: Yes, I have! ",
,영어,YBM(박),2015,10,function,Feel What Others Feel,다양한 표현을 활용해 유감을 표현하기.,A: My pet is sick. B: I’m sorry to hear that.,"A: 내 반려동물이 아파. B: 안됐다, 걱정되겠다. ","A: That’s too bad. B: Yeah, I feel really sad. A: I feel sorry about ~. B: Thanks, I appreciate it. ",
,영어,YBM(한),2015,1,function,"A Fresh New
 Start",be looking forward to ~를 활용해 희망이나 기대를 표현하기.,A: Are you excited about next week? B: I’m looking forward to the sports day.,A: 다음 주 기대돼? B: 나는 운동회가 기대돼.,"A: I’m looking forward to ~. B: Me too! A: Are you looking forward to ~? B: Yes, I can’t wait! ",
,영어,YBM(한),2015,2,function,"Working
 Together",Do you think (that) ~?를 활용해 가능성을 표현하기.,"A: Do you think animals can predict an earthquake? B: I’m not sure, but some people believe so. ","A: 동물들이 지진을 예측할 수 있다고 생각해? B: 잘 모르겠지만, 몇몇 사람들은 그렇게 믿어. ",A: Do you think (that) ~ will happen? B: Maybe. A: Is it possible that ~? B: I think so.,
,영어,YBM(한),2015,3,function,"Eat Right,
 Be Healthy",prefer A to B를 활용해 선호를 표현하기.,A: Do you like soda? B: I prefer water to soda.,A: 너는 탄산음료 좋아해? B: 나는 탄산음료보다 물을 더 좋아해.,A: I prefer ~ to ~. B: That’s a healthy choice! A: I’d rather ~ than ~. B: I understand why.,
,영어,YBM(한),2015,4,function,"Invention for
 the Rainforests",I wonder ~를 활용해 궁금증을 표현하기.,A: What can I make with this? B: I wonder what I can make with it.,A: 이걸로 뭘 만들 수 있을까? B: 나는 이걸로 뭘 만들 수 있을지 궁금해.,A: I wonder how ~. B: That’s interesting! A: I want to know more about ~. B: Me too!,
,영어,YBM(한),2015,5,function,"How to Win
 Over Someone's
 Mind",It’s important to ~를 활용해 강조하기.,A: You look tired these days. B: It’s important not to be stressed out.,A: 요즘 피곤해 보여. B: 스트레스받지 않는 게 중요해.,A: It’s important to ~. B: I totally agree. A: We should remember that ~. B: That’s true.,
,영어,YBM(한),2015,6,function,"The Most
 Efficient Job in
 the World",Have you heard about ~?를 활용해 알고 있는지 묻기.,"A: Have you heard about the honey hunters in Nepal? B: No, what is it about? ","A: 네팔의 꿀 사냥꾼들에 대해 들어본 적 있어? B: 아니, 그게 뭐야? ","A: Have you heard about ~? B: Yes, I have! A: Do you know anything about ~? B: No, tell me more! ",
,영어,YBM(한),2015,7,function,"Amazing
 Architecture",What comes to mind when you think of ~?를 활용해 떠오르는 것 묻기.,A: What comes to mind when you think of New York City? B: I think of the Statue of Liberty.,A: 뉴욕 하면 뭐가 떠올라? B: 자유의 여신상이 떠올라.,A: What do you think of when you hear ~? B: I imagine ~. A: What first comes to mind when you think of ~? B: Probably ~.,
,영어,YBM(한),2015,8,function," Living with
 Robots",다양한 표현을 활용해 놀람을 표현하기.,A: They finished the project in one day! B: I can’t believe it.,A: 그들이 하루 만에 프로젝트를 끝냈어! B: 믿을 수가 없어.,"A: That’s unbelievable! B: I know, right? A: No way! B: It’s true! ",
,영어 1,YBM(박),2015,1,function,"Healthy Living, Happy Life",should ~를 활용해 충고하기.,A: I don’t feel like doing my homework. B: You should do your homework.,A: 숙제하고 싶은 기분이 아니야. B: 너는 숙제를 해야 해.,A: You should ~ to improve. B: That’s true. A: You’d better ~. B: I’ll think about it.,
,영어 1,YBM(박),2015,2,function,Origins of Everyday Things,I wonder ~를 활용해 궁금증을 표현하기.,A: Chess is a very old game. B: I wonder where chess was first played.,A: 체스는 아주 오래된 게임이야. B: 나는 체스가 처음 어디서 시작되었는지 궁금해.,A: I wonder why ~. B: That’s a good question. A: I’d like to know more about ~. B: Let’s look it up!,
,영어 1,YBM(박),2015,3,function,Advertising in Your Life,Don’t you agree?를 활용해 동의 여부 묻기.,A: This place is so beautiful. B: Don’t you agree?,A: 이곳 정말 아름답지 않아? B: 너도 그렇게 생각하지 않아?,"A: Don’t you think ~? B: Yes, I do. A: Would you agree that ~? B: Absolutely. ",
,영어 1,YBM(박),2015,4,function,Becoming Active as Consumers and Sellers,I heard that ~를 활용해 알고 있는 정보를 표현하기.,A: Have you heard about online shopping trends? B: I heard that group buying is popular nowadays.,A: 온라인 쇼핑 트렌드에 대해 들어봤어? B: 나는 요즘 공동구매가 인기라고 들었어.,A: I heard that ~. B: That’s interesting. A: I read that ~. B: Really? That’s cool.,
,영어 1,YBM(박),2015,5,function,Cultures Around the World,Do you have an interest in ~?를 활용해 관심 여부 묻기.,"A: Do you have an interest in traditional Korean culture? B: Yes, I love learning about it. ","A: 너는 전통 한국 문화에 관심이 있어? B: 응, 배우는 걸 좋아해. ","A: Are you interested in ~? B: Yes, I am! A: Do you like learning about ~? B: A little bit. ",
,영어 1,YBM(박),2015,6,function,The Future of Space Exploration,Is it likely that ~?를 활용해 가능성을 묻기.,A: Will we ever see Earth from another planet? B: Is it likely that we can look at Earth from there?,A: 우리가 다른 행성에서 지구를 볼 수 있을까? B: 우리가 거기서 지구를 볼 가능성이 있을까?,A: Do you think it’s likely that ~? B: Maybe. A: What are the chances that ~? B: Hard to say.,
,영어 1,YBM(한),2015,1,function,Learn from Failures,I’m afraid that ~를 활용해 걱정이나 두려움을 표현하기.,A: Are you ready for the test? B: I’m afraid that I might make mistakes.,A: 시험 볼 준비됐어? B: 나는 실수할까 봐 걱정돼.,A: I’m afraid that ~. B: Don’t worry too much. A: I’m nervous about ~. B: You’ll be fine.,
,영어 1,YBM(한),2015,2,function,Technology and Life,What do you mean by ~?를 활용해 설명을 요청하기.,A: I think this idea is too vague. B: What do you mean by that?,A: 나는 이 아이디어가 너무 모호하다고 생각해. B: 그게 무슨 뜻이야?,"A: What do you mean by ~? B: I mean ~. A: Can you explain what you mean by ~? B: Sure, I meant ~. ",
,영어 1,YBM(한),2015,3,function,Extend Your View of Art,What do you think about ~?를 활용해 의견을 묻기.,A: This book became a bestseller. B: What do you think about it?,A: 이 책이 베스트셀러가 됐어. B: 너는 그거에 대해 어떻게 생각해?,A: What’s your opinion on ~? B: I think it’s great. A: How do you feel about ~? B: I’m not sure.,
,영어 1,YBM(한),2015,4,function,A Trip for Cultural Diversity,Which would you rather ~?를 활용해 선택을 묻기.,A: We have two options for our trip. B: Which would you rather do? Visit a market or visit a temple?,"A: 우리 여행에 두 가지 선택지가 있어. B: 시장에 가고 싶어, 아니면 사원을 방문하고 싶어? ","A: Would you rather ~ or ~? B: I’d rather ~. A: Which do you prefer, ~ or ~? B: I prefer ~. ",
,영어 1,YBM(한),2015,5,function,The Small but Great Potato,What makes you think so?를 활용해 의견의 이유를 묻기.,A: I believe this book is very inspiring. B: What makes you think so?,A: 나는 이 책이 매우 영감을 준다고 생각해. B: 왜 그렇게 생각해?,A: What makes you say that? B: I ~. A: Why do you think ~? B: Because ~.,
,영어 1,YBM(한),2015,6,function,Nature and Environment,I hope ~를 활용해 희망이나 바람을 표현하기.,A: I’m going to visit Bridal Cave this weekend. B: I hope you will enjoy your visit to Bridal Cave.,A: 이번 주말에 브라이들 동굴을 방문할 거야. B: 네가 즐거운 방문이 되길 바라.,A: I hope ~ goes well. B: Thank you! A: I wish you ~. B: That’s so kind of you.,
,영어 2,YBM(박),2015,1,function,Treasure out of Trash,모르는 것을 말할 때 사용하는 표현.,A: Do you know how to reuse this material? B: I don’t know how to reuse it.,A: 이 재료를 어떻게 재사용하는지 알아? B: 나는 어떻게 재사용하는지 몰라.,A: I’m not sure how to ~. B: Let’s find out together. A: I have no idea how to ~. B: Maybe we can look it up.,
,영어 2,YBM(박),2015,2,function,We Are Stronger Together,상대방에게 힘을 주거나 용기를 북돋아 줄 때 사용하는 표현.,A: This task is so difficult! B: Don’t give up!,A: 이 작업 너무 어려워! B: 포기하지 마!,A: Keep trying! B: I’ll do my best. A: You can do it! B: Thanks for the encouragement.,
,영어 2,YBM(박),2015,3,function,Fun Science about the Human Body,다양한 표현을 활용해 동의를 나타내기.,A: This place is really crowded. B: You can say that again!,A: 이곳 진짜 붐비네. B: 그러게 말이야!,A: I totally agree! B: Exactly! A: That’s so true! B: I couldn’t agree more.,
,영어 2,YBM(박),2015,4,function,Equality for All,다양한 표현을 활용해 반대 의견을 나타내기.,A: Do you support this policy? B: I’m against any form of discrimination.,A: 너는 이 정책을 지지해? B: 나는 어떤 형태의 차별도 반대해.,"A: I don’t agree with ~. B: I see your point, but I disagree. A: I strongly oppose ~. B: That makes sense, but I have a different opinion. ",
,영어 2,YBM(박),2015,5,function,Sharing the Planet with Every Creature,다양한 표현을 활용해 어떤 사실에 대한 확신의 정도를 나타내기.,A: Why do you think pollution is a big problem? B: I am sure that pollution is one of the major causes.,A: 왜 환경오염이 큰 문제라고 생각해? B: 나는 오염이 주요 원인 중 하나라고 확신해.,A: I’m certain that ~. B: That sounds reasonable. A: I strongly believe that ~. B: I agree.,
,영어 2,YBM(박),2015,6,function,Humans and Technology,상대방이 걱정하거나 두려워하는 것이 있는지 물을 때 사용하는 표현.,"A: Are you concerned about security? B: Yes, I think we need better protection. ","A: 너 보안에 대해 걱정돼? B: 응, 우리는 더 나은 보호가 필요하다고 생각해. ","A: Do you worry about ~? B: A little bit. A: Are you afraid of ~? B: Sometimes, yes. ",
,영어 2,YBM(한),2015,1,function,"Microbes and
 Health",Do you know how to ~?를 활용해 방법을 물어보기.,"A: Do you know how to avoid catching the flu? B: Yes, washing your hands frequently can help. ","A: 독감을 피하는 방법을 알고 있어? B: 응, 손을 자주 씻으면 도움이 될 거야. ","A: Can you tell me how to ~? B: Sure, here’s what you can do. A: What’s the best way to ~? B: You can try ~. ",
,영어 2,YBM(한),2015,2,function,"Lesson 2
 Money
 Matters",다양한 표현을 활용해 상대방에게 장담하거나 보장하기.,A: I don’t know if my dad will like this gift. B: I guarantee that your dad will like it.,A: 우리 아빠가 이 선물을 좋아하실지 모르겠어. B: 장담하는데 아빠가 좋아하실 거야.,A: I promise that ~. B: That’s reassuring! A: You can be sure that ~. B: I hope so.,
,영어 2,YBM(한),2015,3,function,"Lesson 3 
 Gift and
 Achievement",다양한 표현을 활용해 정중하게 의견을 전달하기.,A: I always do things this way. B: It seems you have a fixed mindset.,A: 나는 항상 이렇게 해. B: 네 사고방식이 고정된 것 같아.,"A: From my perspective, ~. B: That’s interesting. A: I tend to think that ~. B: That’s a good point. ",
,영어 2,YBM(한),2015,4,function,"Lesson 4
 Look into
 Your Mind",다양한 표현을 활용해 특정한 행동이나 습관을 나타내기.,A: Why do I always feel nervous before a test? B: You tend to avoid difficult situations.,A: 왜 나는 시험 전에 항상 긴장될까? B: 너는 어려운 상황을 피하는 경향이 있어.,A: You often ~. B: That makes sense. A: You have a habit of ~. B: I guess you’re right.,
,영어 2,YBM(한),2015,5,function,"Lesson 5
 Exploring
 the Universe","To give you an example, ~를 활용해 예시를 들어 설명하기. ","A: How do astronauts breathe in space? B: To give you an example, spacesuits supply astronauts with oxygen. ","A: 우주비행사들은 우주에서 어떻게 숨을 쉬어? B: 예를 들면, 우주복이 산소를 공급해 줘. ","A: For instance, ~. B: Oh, I see! A: One example is ~. B: That makes sense. ",
,영어 2,YBM(한),2015,6,function,"Lesson 6
 Culture and
 Heritage",Would you like to ~?를 활용해 상대방에게 활동을 함께 하자고 제안하기.,A: I’m going to visit the art exibition tomorrow. B: Would you like to go with me?,A: 나 내일 미술 전시회에 갈 거야. B: 같이 갈래?,A: Do you want to join me for ~? B: That sounds fun! A: How about ~ together? B: I’d love to!,
,영어,비상,2015,1,function,Envision,I enjoy ~를 활용해 좋아하는 것을 표현하기.,A: What do you like to do in your free time? B: I enjoy walking up the mountain trails.,A: 자유 시간에 뭐 하는 걸 좋아해? B: 나는 산길을 걷는 것을 좋아해.,A: I love ~. B: That sounds fun! A: I’m really into ~. B: That’s great!,
,영어,비상,2015,2,function,Express,What do you think of ~?를 활용해 의견을 묻기.,A: What do you think of his style? B: I think it’s unique.,A: 그의 스타일을 어떻게 생각해? B: 나는 그게 독특하다고 생각해.,A: How do you feel about ~? B: It looks great. A: What’s your opinion on ~? B: I think it’s interesting.,
,영어,비상,2015,3,function,Contribute,Have you heard about ~?를 활용해 알고 있는지 묻기.,"A: Have you heard about “My Tree, Our Forest”? B: No, what is it about? ","A: “내 나무, 우리 숲”에 대해 들어본 적 있어? B: 아니, 그게 뭐야? ","A: Do you know anything about ~? B: No, tell me! A: Have you heard of ~? B: Yes, I have! ",
