fill_in_blank_quiz,korean_translation,answer,hint_eng,hint_kor
They expect ___ in sales.,그들은 매출의 [[증가]]를 예상해요.,increase,It means to make something bigger.,어떤 것을 더 크게 만드는 것을 뜻해요.
There was an ___ in sales.,매출에 [[증가]]가 있었어요.,increase,It is a change when something becomes more.,어떤 것이 더 많아질 때 생기는 변화예요.
He is a famous ___.,그 사람은 유명한 [[발명가]]예요.,inventor,This person makes new things.,이 사람은 새로운 것을 만들어요.
He is a ___ member.,그는 [[하급]] 구성원이에요.,junior,This word describes someone with a lower rank.,이 단어는 낮은 지위를 가진 사람을 나타내요.
The cute ___ eats grass.,귀여운 [[새끼 양]] 풀을 먹어요.,lamb,Rearrange these letters!: M A L B,다음 글자들을 재배열 해보세요!: M A L B
We ate ___ for dinner.,우리는 저녁으로 [[양고기]]를 먹었어요.,lamb,This meat is from a young sheep.,어린 양의 고기예요.
Hard work can ___ to success.,"열심히 노력하면, 결과적으로 성공에 [[이르]]어요.",lead,It means that something causes a final result.,어떤 일이 마지막에 일어나게 하는 것을 의미해요.
They ___ the team.,그들이 팀을 [[안내]]해요.,lead,It means to guide others in the right direction.,다른 사람들에게 올바른 길을 보여주는 뜻이에요.
The ____ played the main role.,영화의 [[주연]]이 인상적이에요.,lead,It is the main person in a movie.,영화에서 가장 중요한 사람이에요.
Please read the ___ of the article.,기사의 [[머리글]]을 읽어보세요.,lead,You read it at the top of a newspaper.,신문 위에 있는 부분이에요.
This pipe is made of ___.,이 파이프는 [[납]]으로 만들어졌어요.,lead,This metal is heavy and used in pipes.,이 금속은 무겁고 파이프에 사용돼요.
Can you ___ me money?,돈을 [[빌려주]]세요.,lend,You give something to someone temporarily.,잠깐 동안 누군가에게 물건을 주는 거예요.
He opened the ___ slowly.,그는 [[뚜껑]]을 천천히 열었어요.,lid,It covers a pot or jar.,냄비나 병을 덮을 때 쓰여요.
I write a ___ every night.,나는 매일 밤 [[기록]] 써요.,log,You write this to note your day.,하루를 기록하기 위해 이것을 써요.
She found a ___ by the lake.,그녀는 호수 옆에서 [[통나무]]를 발견했어요.,log,It is wood you can use to build a fire.,불을 피우기 위한 나무예요.
The belt is ___ on my pants.,벨트가 내 바지에 [[헐거운]] 것 같아요.,loose,It means not tight!,꽉 끼지 않은 상태를 말해요.
He is a ___ in the army.,그는 군대에서 [[소령]]이에요.,major,It is a military rank given to officers.,이것은 장교에게 주어지는 군대 계급 중 하나예요.
This is a ___ event.,이것은 [[주요한]] 행사예요.,major,It describes something very important.,어떤 것이 매우 중요하다는 뜻이에요.
I take ___ when ill.,나는 아플 때 [[약]]을 먹어요.,medicine,It helps you recover when you are ill.,아플 때 회복을 도와줘요.
She studies ___ at college.,그녀는 대학에서 [[의학]]을 공부해요.,medicine,Doctors use it to help people feel better.,의사가 사람들을 치료하는 데 사용해요.
Her room is a ___.,그녀의 방은 [[어질러놓은 것]]이에요.,mess,It describes a place where things are all over.,물건들이 여기저기 흩어진 상태를 말해요.
His desk is always a ___.,그의 책상은 항상 [[지저분한 상태]]예요.,mess,It describes a place that is very untidy.,어떤 곳이 매우 지저분할 때 쓰는 말이에요.
The truck is made of ______.,트럭은 [[금속]]으로 만들어졌어요.,metal,It is a hard material used for buildings and tools.,건물과 도구를 만드는 데 쓰이는 단단한 재료예요.
I use ___ to learn math.,나는 수학을 배우는 [[방법]]을 써요.,method,It is a way to do things.,어떤 일을 하는 방식이에요.
This phone is ___.,이 전화기는 [[현대]]의.,modern,It describes something made recently.,최근에 만들어진 것을 말해요.
He works in the ____.,그는 [[해군]]에서 일해요.,navy,They use ships to protect a country.,배를 이용해 나라를 지켜요.
Her dress is ___.,그녀의 드레스는 [[남색]] 이에요.,navy,It is a dark blue color used in uniforms.,많은 유니폼에 쓰이는 어두운 파란색이에요.
Water is ______ for life.,물은 생명을 위해 [[필요한]] 것입니다.,necessary,It means you cannot do without it.,그것이 없으면 안 된다는 뜻이에요.
___ of them are ready.,그들 중 [[어느]] 것도 준비되지 않았어요.,neither,You do not choose one or the other.,하나도 선택하지 않음을 의미해요.
Birds ___ in trees.,새들은 나무에 [[둥지]] 틀어요.,nest,Birds build this to keep their eggs safe.,새들이 알을 안전하게 지키기 위해 만드는 거예요.
The bird built a ___.,새가 [[둥지]]를 만들었어요.,nest,"It is a safe, cozy home for birds.",새들이 안전하고 편하게 머무는 곳이에요.
Please ___ the new sign.,새 표지판을 [[주목]]해요.,notice,You pay attention when you see something new.,새로운 것을 보면 주의를 기울여요.
I ___ the bright color.,나는 밝은 색을 [[의식]]했어요.,notice,"When you look carefully, you become aware.","주의 깊게 보면, 뭔가를 알게 돼요."
I did not ___ the sign.,나는 표지판을 [[알아차리]]지 못했어요.,notice,You use it when you suddenly become aware of something.,무언가를 갑자기 알아차릴 때 쓰는 단어예요.
I read the ___ at school.,나는 학교에서 [[공고문]]을 읽었어요.,notice,It is a paper posted on a board.,게시판에 붙은 종이예요.
"___, smartphones are very common.","[[요즈음에]], 스마트폰은 아주 흔해요.",nowadays,It refers to the present time.,지금 이 시간을 말해요.
Accidents ___ suddenly.,사고가 [[발생]]해요.,occur,It has 5 letters!,5글자예요!
He wore his ___ to work.,그는 [[작업복]]을 입고 일하러 갔어요.,overall,You wear these to work.,일할 때 입는 옷이에요.
"___, the trip was fun.",여행은 [[전체의]] 즐거웠어요.,overall,It is used when you consider everything together.,모든 것을 함께 고려할 때 쓰는 말이에요.
"___, the trip was fun.","[[전반적으로]], 여행은 즐거웠어요.",overall,You use this word to talk about the whole picture.,전체 상황을 말할 때 쓰는 단어예요.
The judge granted ___ to the criminal.,판사는 범인에게 [[용서]]를 주었어요.,pardon,It is an act when a leader officially forgives someone.,리더가 누군가를 공식적으로 용서할 때 쓰는 말이에요.
"___ me, can you repeat that?","저기요, [[뭐라고요]]?",pardon,Use this word when you ask someone to repeat.,다른 사람이 말한 것을 다시 듣고 싶을 때 사용해요.
The ___ is in bed.,그 [[환자]]는 침대에 있어요.,patient,A person who gets medical care.,병원에서 치료받는 사람을 말해요.
He is ___ with his sister.,그는 여동생에게 [[참을성 있는]] 사람이에요.,patient,You stay calm when things take time.,시간이 오래 걸려도 침착해요.
Please ___ for a moment.,잠시 [[멈춰]]요.,pause,It means to stop what you are doing for a short time.,잠깐 동안 하던 일을 멈추는 것을 뜻해요.
He took a ___ after lunch.,그는 점심 후에 [[휴식]]했어요.,pause,It is a short break in your work.,일할 때 잠시 쉬는 시간이에요.
They want ___ in their country.,모두는 그들의 나라에 [[평화]]를 원해요.,peace,"It means calm and quiet, no fighting.",싸움이 없고 조용한 상태예요.
The plan lasts one ______.,계획은 한 [[기간]] 동안 계속돼요.,period,It is a length of time.,시간의 길이를 말해요.
Ancient art is from a ___.,고대 미술은 [[시대]]에서 왔어요.,period,It means a long time in history.,역사의 오랜 시간을 뜻해요.
The sentence ended with ___.,문장이 [[마침표]]로 끝났어요.,period,It is the mark that shows the sentence is finished.,문장이 끝났음을 알려주는 기호예요.
Her ___ is kind.,그녀의 [[성격]]은 친절해요.,personality,It shows the way you think and act.,당신의 생각과 행동을 보여줘요.
My ___ is important.,내 [[개성]]은 중요해요.,personality,It is the special quality that makes someone unique.,사람마다 가지는 다르고 특별한 모습을 의미해요.
He will ___ the ball.,그는 공을 [[던지]]어요.,pitch,Rearrange these letters!: T P I C H,다음 글자들을 재배열 해보세요!: T P I C H
The song's ___ was too high.,노래의 [[음정]]은 너무 높았어요.,pitch,It is what makes music sound high or low.,음악의 소리가 높거나 낮은 것을 나타내요.
Her ___ was simple and clear.,그녀의 [[권유]]는 간단했어요.,pitch,It is a persuasive speech to sell an idea.,아이디어를 팔기 위해 하는 설득 말이에요.
He reached the ___.,그는 산의 [[정점]]에 올랐어요.,pitch,It is the top point of a mountain.,산의 가장 높은 부분이에요.
The horse ran across the __.,말이 [[초원]]을 뛰었어요.,plain,It is a wide flat area with few trees.,나무가 적은 넓고 평평한 땅이에요.
The ___ is calm and simple.,그 [[플레인]]은 차분하고 단순해요.,plain,"It means something simple, natural, and not changed.","변경되지 않고 꾸며지지 않은, 단순한 것을 뜻해요."
This dress is ___ without patterns.,이 드레스는 [[무늬 없는]] 패턴이에요.,plain,It describes something without any design.,어떤 것에 장식이 없다는 뜻이에요.
The shirt is ______.,셔츠는 [[평범]]해요.,plain,It means simple; not fancy or decorated.,장식이나 화려함 없이 단순하다는 뜻이에요.
Her dress is ___.,그녀의 드레스는 [[소박한]]이에요.,plain,It means not fancy and simple.,꾸밈없이 간단한 것을 의미해요.
The text is ___ and short.,글은 짧고 [[명료한]]해요.,plain,It means simple and clear.,간단하고 분명한 뜻이에요.
3 ___ 4 equals 7.,3과 4를 [[더한]] 값은 7이에요.,plus,It shows addition in math.,수학에서 두 수를 더할 때 사용해요.
I ___ apples over oranges.,나는 사과를 오렌지보다 [[선호]]해요.,prefer,You like one thing more than another.,하나를 다른 것보다 더 좋아하는 뜻이에요.
The room had ___ tonight.,방에는 [[존재]]가 있었어요.,presence,It describes being in a place.,어떤 곳에 있는 상태를 말해요.
The teacher noted ___ in class.,선생님은 수업에서 학생들의 [[출석]]을 확인하셨어요.,presence,It shows you are at a place like school.,학교나 모임에 참석함을 뜻해요.
The team has a ___ for winning.,그 팀은 승리할 [[가능성]]을 보여요.,promise,This word means a good sign that someone or something will do well.,이 단어는 누군가나 무엇이 잘 될 징조예요.
They live in a charming ______.,그들은 아늑한 [[주거지]]에 살아요.,property,It is something you can own and live in.,사람이 소유하고 살 수 있는 곳이에요.
This ___ is very valuable.,이 [[재산]]은 매우 귀중해요.,property,"It is something that belongs to someone, like a house.",집처럼 누군가의 소유물이에요.
This item has a unique ___.,이 물건은 [[속성]]이 있어요.,property,It is the quality of a thing that is unique.,그것은 물건이 가진 특별한 면이에요.
They ___ the truth.,그들은 진실을 [[증명]]해요.,prove,You show that something is true.,어떤 것이 맞다는 것을 보여줘요.
The test will ___ his ideas.,시험은 그의 생각이 [[판명]]되었음을 보여줘요.,prove,It means to show something is true.,어떤 것이 맞다는 것을 보여줘요.
The school will ___ books tomorrow.,학교는 내일 책을 [[제공]]해요.,provide,It means to give something to someone.,누군가에게 무엇을 줘요.
Teachers ___ students for cheating.,선생님들은 부정행위를 한 학생들을 [[벌하다]]해요.,punish,It means to give a penalty when someone does something wrong.,누군가 잘못했을 때 벌을 주는 것을 말해요.
They explained the ___ of the meeting.,그들은 회의의 [[목적]]을 설명했어요.,purpose,It is the reason why someone does something.,누군가가 무언가를 하는 이유에요.
This item has a ___.,이 물건의 [[용도]]는 무엇이에요?,purpose,It shows why something is made.,어떤 것이 만들어진 이유를 보여줘요.
The cake is ___ sweet.,케이크는 [[아주]] 달콤해요.,quite,It makes adjectives stronger.,형용사를 더 강하게 만드는 말이에요.
This answer is ___ correct.,이 답은 [[꽤]] 맞아요.,quite,You use this word to show a high degree of something.,이 단어는 어떤 것이 아주 그렇다는 의미예요.
The cat chased the ___.,고양이가 [[쥐]]를 쫓았어요.,rat,It is a small animal often seen in labs.,연구실에서 자주 볼 수 있는 작은 동물이에요.
I watched a ___ video.,나는 [[최근]] 비디오를 봤어요.,recent,It describes an event that happened not long ago.,오래되지 않아 방금 일어난 일을 설명할 때 쓰는 말이에요.
Our ___ is important.,우리의 [[관계]]는 중요해요.,relationship,It means the connection between people.,사람들 사이의 연결을 의미해요.
Please ___ after me.,제 말을 듣고 [[되풀이]]해주세요.,repeat,It means doing something again.,어떤 일을 다시 하는 뜻이에요.
I will ___ the broken vase.,나는 깨진 꽃병을 [[대체]]할 거예요.,replace,This means to change one thing with another.,하나를 다른 것으로 바꿀 때 쓰는 말이에요.
The stars and stripes ___ freedom.,성조와 줄무늬는 자유를 [[나타내]]어요.,represent,This word is used when one thing shows or stands for another.,하나의 것이 다른 것을 보여줄 때 쓰는 말이에요.
This team ___ our country.,이 팀은 나라를 [[대표]]해요.,represent,It means to stand for a group.,어떤 그룹을 대신하는 뜻이에요.
Scientists ___ for new ideas.,과학자들이 새 아이디어를 [[찾]]고 있어요.,research,They do this to find new information.,새로운 정보를 얻기 위해 해요.
Scientists ___ to find new cures.,과학자들은 새로운 치료법을 [[연구]]해요.,research,When you collect facts for a school project.,학교 과제를 위해 정보를 모을 때 쓰는 단어예요.
I use ___ for my report.,나는 보고서를 위해 [[연구]]를 사용해요.,research,It is a careful study to find facts.,사실을 찾기 위해 자세히 공부하는 과정이에요.
The ball will ___.,공이 [[굴러]]어요.,roll,A ball moves by turning over many times.,공은 여러 번 돌면서 움직여요.
Please ___ the dough.,반죽을 [[말]]아요.,roll,You move an object so that it turns over.,물건이 회전하도록 움직일 때 쓰는 단어예요.
She found a ___ in the temple.,그녀는 사원에서 [[두루마리]]를 발견했어요.,roll,It is a long paper in a curled shape from old times.,"옛날에 사용한, 길이가 긴 말린 종이에요."
The ___ has all names.,이것은 [[명부]]예요.,roll,It is a list of names in a class.,수업에서 이름들이 적힌 목록이에요.
I ate a ___ for breakfast.,나는 아침에 [[둥근 빵]]을 먹었어요.,roll,It is a small round piece of bread.,작고 둥근 빵이에요.
I follow the ___ to school.,나는 학교로 가는 [[길]]을 따라 가요.,route,It is the road you take to go from one place to another.,한 장소에서 다른 장소로 갈 때 쓰는 길이에요.
The bus follows its ___.,버스는 [[노선]]을 따라가요.,route,It is the way you get from one place to another.,한 장소에서 다른 장소로 가는 길이에요.
We ___ on calm waters.,우리는 잔잔한 바다에서 [[항해]]해요.,sail,You move on water using wind power.,바람 힘을 빌어 물 위를 움직여요.
The boat has one ___.,보트에는 하나의 [[돛]]이 있어요.,sail,It is used on a boat to catch wind.,배에 설치해 바람을 받는 물건이에요.
The food did not ___ me.,음식이 나를 [[만족시키]]지 못했어요.,satisfy,It has 7 letters!,7글자예요!
The movie may ____ you.,그 영화가 당신을 [[놀라]]게 할 수 있어요.,scare,How would you feel if a loud noise happens suddenly?,큰 소리가 갑자기 나면 기분이 어떨까요?
They ___ happy.,그들은 [[처럼 보이다]] 행복해요.,seem,It is used when something appears a certain way.,어떤 것이 특정하게 보일 때 쓰는 단어예요.
They ___ happy.,그들은 행복해 [[것 같다]].,seem,It means to appear a certain way.,어떤 모습으로 보인다는 뜻이에요.
You ___ your favorite color.,너는 네가 좋아하는 색을 [[고르]],select,It means to choose one thing from many.,여러 가지 중에서 하나를 고르는 뜻이에요.
I met a ___ man today.,저는 오늘 [[연장자]] 남자를 만났어요.,senior,They are someone who is older than many others.,많은 사람보다 나이가 많은 사람이에요.
I met a ___ colleague.,나는 [[고위]] 동료를 만났어요.,senior,It describes someone with higher rank.,더 높은 지위를 가진 사람을 말해요.
This test is for ______ students.,이 시험은 [[상급의]] 학생들을 위한 것이에요.,senior,It means someone older and more experienced.,나이가 많고 경험이 많은 것을 말해요.
She is a ___ team member.,그녀는 [[선배]] 팀원이에요.,senior,It means someone older with more experience.,더 경험 많고 나이가 많은 사람을 말해요.
The ___ man walks slowly.,그는 [[노인]]이에요.,senior,This word means someone who is older.,나이가 많은 사람을 말해요.
I found ___ books on the shelf.,나는 선반에서 [[몇몇의]] 책들을 찾았어요.,several,Use this word when talking about a small number of items.,몇 개의 물건에 대해 말할 때 쓰는 단어예요.
The farmer owns many ___.,농부는 많은 [[양]]을 키워요.,sheep,It is an animal on a farm that says 'baa'.,"농장에서 키우는 동물이며, '매'하는 소리를 내요."
I ___ a heavy bag.,나는 가방을 [[짊어지]]었어요.,shoulder,"When you carry a heavy bag, you likely use an important part of your upper body.","무거운 가방을 들 때, 상반신의 중요한 부분을 사용해요."
He touched his ___ yesterday.,그는 그의 [[어깨]]를 만졌어요.,shoulder,It is a body part near your neck.,목 근처에 있는 몸의 일부예요.
The coin is ___.,동전은 [[은]] 색이에요.,silver,It is a shiny metal used in jewelry.,보석에 쓰이는 반짝이는 금속이에요.
I have loved you ___ I met you.,"난 너를 만난 [[이후로,이래로]] 사랑해요.",since,It shows when something began in the past.,어떤 일이 과거에 시작된 때를 나타내요.
"___ it rained, we stayed home.","비가 와서, 우리 집에 [[때문]] 머물렀어요.",since,It provides a reason for an event.,어떤 일이 일어난 이유를 알려줘요.
The batter is ___.,반죽은 [[고루 잘 섞인]] 상태예요.,smooth,It describes something even and without bumps.,표면이 고르고 울퉁불퉁하지 않아요.
The silk is ___ and soft.,실크는 [[매끄러운]]하고 부드러워요.,smooth,It describes a surface without bumps.,표면에 울퉁불퉁함이 없는 뜻이에요.
This ___ binds many people together.,이 [[사회]]는 사람들이 함께 사는 곳이에요.,society,A group of people living together in a community.,사람들이 함께 사는 큰 집단이에요.
The ___ unites all people.,모든 사람들이 함께 있는 [[사회]]예요.,society,It is a group where people live together.,사람들이 함께 살아가는 모임이에요.
Please ___ the invitation.,그녀는 초대를 [[받아들이다]].,accept,It is what you do when you agree to receive something.,"누군가가 무언가를 줄 때, 그것을 받기로 하는 거예요."
I ___ her smile.,나는 그녀의 미소에 [[감탄]]해요.,admire,It means to feel respect for someone.,누군가를 존경하는 마음을 나타내요.
I ___ my teacher for wisdom.,나는 선생님을 [[칭찬]]해요.,admire,It is what you do when you really respect someone.,정말 존경하는 사람에게 하는 행동이에요.
I ____ my teacher.,나는 선생님을 [[존경]]해요.,admire,You feel great respect and care for someone.,누군가를 아주 많이 존경하고 좋아하는 마음이에요.
I ___ my mistake.,나는 실수를 [[인정]]했어요.,admit,"Sometimes, you say this when you accept a mistake.",때때로 실수를 인정할 때 쓰는 말이에요.
He has a ____ in the contest.,그는 대회에서 [[장점]]을 가지고 있어요.,advantage,It gives you a benefit to win contests.,대회에서 이기는데 도움이 돼요.
The virus can ___ the body.,바이러스가 몸에 [[침범]]할 수 있어요.,affect,"This word means to change something, like a virus makes you sick.","이 단어는 무언가를 바꾸는 것을 말해요. 예를 들면, 바이러스가 건강을 해칠 때처럼요."
The noise can ___ our sleep.,소음이 잠에 [[영향]]을 미쳐요.,affect,It means to influence something.,어떤 것에 영향을 준다는 뜻이에요.
I cannot ___ a new car.,나는 새 차를 [[여유]] 할 수 없어요.,afford,"If you have enough money, you can buy something.",충분한 돈이 있다면 뭔가 살 수 있어요.
They ___ the painting at the gallery.,그들은 미술관에서 [[감상]]해요.,appreciate,"When you visit a museum, you look at art and enjoy its beauty.","미술관에 갔을 때, 예술의 아름다움을 즐겨봐요."
I ___ your feelings.,나는 너의 감정에 [[공감]]해요.,appreciate,It means you feel what another person feels.,다른 사람의 감정을 느낀다는 뜻이에요.
I ___ your help.,나는 당신의 도움을 [[인정]]해요.,appreciate,It means to be very thankful.,매우 감사하는 마음을 가진 것을 말해요.
I ___ your kind help.,나는 네 도움을 [[감사]]해요.,appreciate,You show thanks when someone helps you.,누군가 도와주면 감사의 마음을 표현하는 단어예요.
I ___ the lesson.,나는 수업을 [[이해하다]].,appreciate,You use this when you understand what a lesson means.,수업의 의미를 잘 알 때 쓰는 단어예요.
They ____ her work every day.,그들은 그녀의 일을 매일 [[가치 상승]]해요.,appreciate,"When someone does something nice, you show you value that deed.","누군가 친절을 보였을 때, 그 소중함을 표현해요."
I ___ your help.,나는 네 도움을 [[인정]]해요.,appreciate,How do you show thanks to someone?,누군가에게 감사를 표현하는 방법은 무엇일까요?
They ___ about the movie.,그들은 영화에 대해 [[논쟁]]해요.,argue,What happens when people disagree?,사람들이 의견이 다를 때 무슨 일이 생길까요?
Friends sometimes ___ about small things.,친구들은 때때로 [[주장]]해요.,argue,Rearrange these letters!: G A R E U,다음 글자들을 재배열 해보세요!: G A R E U
They will ___ the party.,그들은 파티를 [[주선]]했어요.,arrange,How do you organize an event?,행사를 어떻게 준비할까요?
I ___ my desk every morning.,나는 매일 아침 내 책상을 [[배열]]해요.,arrange,You put items in a proper order.,물건들을 올바른 순서로 놓을 때 쓰는 단어예요.
Can you ___ the chairs neatly?,의자를 [[정리]]해 주세요.,arrange,You put things in order.,물건들을 순서대로 배치해요.
They will ______ a party.,그들은 파티를 [[준비]]해요.,arrange,You do this before an event.,행사 전에 이것을 해요.
He will ___ the song.,그는 노래를 [[편곡]]했어요.,arrange,It means making a new version of a song.,노래를 새롭게 만드는 것을 말해요.
The teacher will ___ homework.,선생님은 학생들에게 숙제를 [[할당]]했어요.,assign,It means to give work to someone.,누군가에게 일을 주는 것을 말해요.
