fill_in_blank_quiz,korean_translation,answer,hint_eng,hint_kor
Enter the ___ to open door.,문을 열기 위해 [[암호]]를 입력하세요.,code,It is used to send secret messages.,비밀 메시지를 보내기 위해 사용하는 체계예요.
The rules are written in the ___.,규칙은 [[규범]]이에요.,code,It is a set of rules to follow.,따라야 할 규칙들의 모음이에요.
The film is a ___.,이 영화는 [[희극]]예요.,comedy,It makes people laugh.,사람들을 웃게 만드는 거예요.
The officer ___ed the soldiers to move forward.,장교는 군인들에게 전진하라고 [[명령]]했어요.,command,It means to tell someone what to do.,누군가에게 무엇을 하라고 말하는 뜻이에요.
He shows ______ in English.,"그는 영어에 대한 [[지식,능력]]을 보여요.",command,It means having strong knowledge and skills.,어떤 분야에 대해 훌륭한 지식과 능력을 가지고 있다는 뜻이에요.
The general gave a ___.,장군은 [[명령]]을 내렸어요.,command,It is an order given by a leader.,리더가 주는 지시예요.
The general gave a ___.,장군은 [[지휘]]를 내렸어요.,command,It is what a leader gives to others.,리더가 사람들에게 내리는 것이에요.
She has a strong ___ in English.,그녀는 영어에 대한 [[구사력]]이 뛰어나요.,command,It shows how well one uses a language.,누군가의 언어 사용 능력을 나타내요.
Please ___ on my picture.,내 사진에 [[논평]]해 주세요.,comment,You express your thoughts on a post.,게시물에 대해 네 생각을 말해요.
He wrote a ___ about the movie.,그는 영화에 [[논평]]를 남겼어요.,comment,It is a short note sharing thoughts.,생각을 나누는 짧은 글이에요.
She wrote a ___ on Facebook.,그녀는 페이스북에 [[의견]] 남겼어요.,comment,It is a short message written online.,인터넷에서 남기는 짧은 글이에요.
I read your ___ today.,오늘 나는 네 [[언급]]을 읽었어.,comment,You write this to share your opinion on a post.,게시글에 네 의견을 전달하기 위해 쓰는 글이에요.
They ___ clearly in class.,그들은 수업에서 [[의사 소통]]해요.,communicate,You use this to share ideas with others.,이것은 사람들과 생각을 나눌 때 사용해요.
We ____ with family daily.,우리는 가족에게 매일 [[전달]]해요.,communicate,How do you share ideas with others?,어떻게 다른 사람과 생각을 나눌까요?
Friends ___ often.,친구들은 [[연락]]해요.,communicate,You share ideas by talking or writing.,이야기하거나 글로 생각을 전하는 행동이에요.
They ___ about the loud sound.,그들은 시끄러운 소리에 대해 [[불평]]해요.,complain,You say something when you are not happy with a situation.,상황이 마음에 들지 않을 때 말로 표현해요.
My project is ___ today.,이 프로젝트는 [[완전한]] 결과에요.,complete,It means finished and all parts are there.,모든 부분이 다 있고 끝났다는 뜻이에요.
We attended a ___ yesterday.,우리는 어제 [[콘서트]]에 갔어요.,concert,It is a live music show you watch.,많은 사람이 모여서 음악을 듣는 행사예요.
They worked in _____ on the project.,그들은 프로젝트에서 [[협력]]했어요.,concert,It means working together as a team.,사람들이 함께 일하는 것을 말해요.
I enjoyed the ___ last night.,나는 어젯밤 [[연주회]]를 즐겼어요.,concert,It is a live music event.,실시간 음악 공연이에요.
My friend entered the ___.,내 친구는 [[경연대회]]에 참가했어요.,contest,It is a competitive event where people try to win.,사람들이 이기기 위해 펼치는 경쟁 행사예요.
They held a ____ at school.,그들은 학교에서 [[경연대회]]를 열었어요.,contest,It is an event where people compete.,사람들이 경쟁하는 행사예요.
I will ___ the paper.,나는 종이를 [[복사]]할 거예요.,copy,You use a machine to create a duplicate document.,기계를 사용해 문서를 똑같이 만들어요.
I can ___ the homework.,나는 숙제를 [[따라 하다]].,copy,It means to write something exactly like the original.,원본과 똑같이 쓰는 것을 말해요.
I need a ___ of this book.,나는 이 책의 [[복사]]이 필요해요.,copy,Rearrange these letters!: O C P Y,다음 글자들을 재배열 해보세요!: O C P Y
Please ___ the mistake.,제 실수를 [[고치]]세요.,correct,Use this word when you fix something wrong.,잘못된 것을 고치기 위해 사용하는 단어예요.
Your answer is ___.,네 답은 [[올바른]] 이에요.,correct,It means free from mistakes.,실수가 없다는 뜻이에요.
We visited a ___ near the lake.,우리는 호수 근처의 [[오두막집]]을 방문했어요.,cottage,It is a small house in the country.,시골에 있는 작은 집이에요.
The bag is made of ______.,가방은 [[솜]]으로 만들어졌어요.,cotton,It is a soft material from plants.,식물에서 나오는 부드러운 재료예요.
This shirt is made of ______.,이 셔츠는 [[면]]으로 만들어졌어요.,cotton,It is a soft fiber from plants for making clothes.,이것은 식물에서 나는 부드러운 섬유예요.
I ___ when I have a cold.,감기에 걸렸을 때 나는 [[기침]]해요.,cough,You do this when your throat feels tickly.,목이 간지러울 때 하는 행동이에요.
I ___ when I have a cold.,나는 감기에 [[기침]]해요.,cough,You make this sound when you feel sick.,아플 때 나는 이 소리를 내요.
I will ___ the toys.,나는 장난감을 [[세다]].,count,Use this word when you add numbers one by one.,물건들을 하나씩 번호로 셀 때 쓰는 단어예요.
Your help ___ in our plan.,너의 도움이 우리 계획에 [[중요]]해요.,count,It means something matters a lot.,어떤 것이 아주 중요하다는 뜻이에요.
I check the ___ of coins.,나는 동전의 [[계산]]을 확인해요.,count,It means the total number of things.,물건들의 전체 수를 뜻해요.
They ___ a painting.,그들은 [[창조]]했어요.,create,You make something that did not exist before.,없던 것을 만들어내요.
Artists ___ paintings in the studio.,예술가들이 작업실에서 그림을 [[만들]]어요.,create,You make something new or start something.,새로운 것을 만들거나 시작해요.
The policeman investigated the ____.,경찰이 [[범죄]]를 조사했어요.,crime,It is an illegal act people commit.,사람들이 하는 불법 행위예요.
The ____ was caught by police.,경찰은 [[범죄자]]를 잡았어요.,criminal,A person who breaks laws.,법을 어기는 사람이에요.
Doctors _____ patients.,의사들이 환자를 [[치료]]해요.,cure,The doctor makes the sickness go away.,의사가 병을 없애서 건강하게 만들어요.
The doctor gave ___ for recovery.,의사가 회복을 위해 [[치료제]]를 줬어요.,cure,Doctors use this to help you get well.,아플 때 이것을 쓰면 나아져요.
The boy is ___ about all things.,"소년은 모든 것에 대해 [[호기심이 강한, 궁금한]] 사람이에요.",curious,It describes someone who wants to know more.,더 알고 싶어하는 사람을 말해요.
The kitten is ___.,고양이는 [[귀여운]].,cute,You use this word when something looks pretty and sweet.,무엇인가 예쁘고 다정해 보일 때 쓰는 말이에요.
They ___ the room for the party.,그들은 파티를 위해 방을 [[꾸미다]].,decorate,You make a place look pretty.,어떤 곳을 예쁘게 만들어요.
They will ___ the room.,그들은 방을 [[수여하다]]했어요.,decorate,You add ornaments to make a place look pretty.,장식을 더해 공간을 예쁘게 만드는 행동이에요.
The temperature is 30 ___.,온도는 30 [[도]]예요.,degree,It is a unit that shows the measure of heat or the size of an angle.,온도나 각도를 잴 때 쓰는 단위예요.
The temperature is 30 ___.,온도는 30 [[도]]예요.,degree,It is used to measure heat levels.,이것은 온도의 크기를 재는 단위예요.
Her smile showed a ___ of joy.,그녀의 미소는 기쁨의 [[정도]]를 보여줬어요.,degree,It indicates an amount or level.,양이나 정도를 나타내요.
He earned his ____ from the school.,그는 학교에서 [[학위]] 받았어요.,degree,It is a certificate you get after studying.,공부를 마친 후 받는 증서예요.
The car's quality is measured by ___.,차의 질은 [[등급]]으로 측정돼요.,degree,It shows a level or rank.,수준이나 분류를 나타내요.
The ___ cleans teeth.,이는 깨끗하게 되도록 [[치과의사]]가 도와줘요.,dentist,You visit this professional when your teeth hurt.,이 사람은 이가 아플 때 도와줘요.
Soldiers may ___ when feeling scared.,군인들은 무서울 때 [[한산]]해요.,desert,It means to leave your post when you're afraid.,무서울 때 자리에서 떠나는 것을 말해요.
Don't ___ those who need help.,도움이 필요한 사람을 [[버리]]지 마세요.,desert,You leave someone when they need you most.,누군가 도움이 필요할 때 옆에 있지 않아요.
I saw a ___ in Egypt.,나는 이집트에서 [[사막]]을 봤어요.,desert,"It is a dry, sandy area.",물이 거의 없고 모래가 많은 땅이에요.
The storm ___ the boat.,폭풍이 보트를 [[파괴]]했어요.,destroy,What do you do when you break something completely?,어떤 것을 완전히 부수는 행동이에요?
The teacher ___ the steps.,선생님이 단계들을 [[상세히 알리]]셨어요.,detail,Do you explain something with many facts?,여러 가지 사실로 설명할 때 쓰는 단어예요.
She explained a ___ of her plan.,그녀는 계획의 [[세부 사항]]를 설명했어요.,detail,"This means a small, important part of something.",전체를 이루는 작은 일부예요.
The report is ___.,보고서는 [[자세한]]이에요.,detail,It is used when explaining something with many facts.,뭔가를 더 많이 설명할 때 쓰는 형용사예요.
I write in my ____ every night.,나는 매일 밤 [[일기]]를 쓴다.,diary,You use this book to write your day.,이 책에 당신의 하루를 적어요.
I use a ___ every day.,나는 매일 [[사전]]을 사용해요.,dictionary,It is a book that helps you find words.,단어를 찾는 데 사용하는 책이에요.
My shoes are ______.,내 신발은 [[더러운]]이에요.,dirty,Used when something is not clean.,무언가 깨끗하지 않을 때 사용해요.
The ghost will ___ at midnight.,유령은 자정에 [[사라지]]어요.,disappear,"When a magic trick makes an object go away, you cannot see it.",마술처럼 물건이 없어져서 보이지 않게 되는 뜻이에요.
She cooked a tasty ___.,그녀는 맛있는 [[요리]]을 만들었어요.,dish,It is food served on a plate.,접시에 담겨 나온 음식이에요.
Chef made a tasty ___.,요리사는 맛있는 [[요리]]를 만들었어요.,dish,It is a meal you eat at dinner.,저녁에 먹는 음식을 말해요.
She washed the ____ after dinner.,그녀는 저녁 후에 [[접시]]를 씻었어요.,dish,You put food on it during meals.,식사할 때 음식을 올려놓는 물건이에요.
They will ___ into water.,그들은 물에 [[잠수]]할 거예요.,dive,"When you jump into water, you do this.",물에 뛰어들 때 하는 행동이에요.
She did a ___ from the board.,그녀는 보드에서 [[다이빙]]했어요.,dive,It is when you jump off a board into water.,보드에서 물로 뛰어내리는 행동이에요.
The ___ swims in the ocean.,바다에는 [[돌고래]]가 살아요.,dolphin,It is an ocean animal known for being smart and playful.,바다에 살며 똑똑하고 즐거운 동물이에요.
People ___ money for charity.,사람들이 자선을 위해 [[기증]]해요.,donate,When you give something to help others.,다른 사람을 돕기 위해 무언가를 줄 때 쓰는 단어예요.
They ___ money for charity.,그들은 자선을 위해 [[기부]]해요.,donate,You give money to help others.,다른 사람들을 돕기 위해 돈을 주는 거예요.
She ___ sugar on cookies.,그녀는 쿠키에 설탕을 [[흩뿌리]]어요.,dust,You do this to lightly cover something with a fine powder.,작은 가루로 살짝 덮는 행동이에요.
There is ___ in the room.,방에 [[먼지]] 있어요.,dust,It is what you wipe off surfaces.,표면에서 닦아내는 이것이에요.
___ student gets a pencil.,선생님이 [[각각의]] 학생에게 연필을 줘요.,each,This word means every one separately.,이 단어는 하나씩 따로 의미해요.
She will ___ a medal.,그녀는 메달을 [[얻다]] 거예요.,earn,You work to get something.,일해서 뭘 받는 거예요.
He ___ money at work.,그는 일해서 돈을 [[벌]]어요.,earn,You get money by working.,일을 해서 돈을 받는 행동이에요.
The test is ___.,시험은 [[쉬운]]이에요.,easy,It means not hard to do.,어렵지 않다는 뜻이에요.
This job is ____.,이 일은 [[편한]]이에요.,easy,What do you call something that is not difficult?,어렵지 않은 것을 무엇이라고 하나요?
I ___ my photo.,나는 내 사진을 [[편집]]해요.,edit,You change parts to improve work.,더 좋게 만들기 위해 부분을 바꿔요.
The new plan ___ change things.,새 계획이 사람들에게 [[영향]]을 미쳤어요.,effect,It makes things happen.,어떤 일이 일어나게 만들어요.
The medicine has a ___ on health.,약이 건강에 [[효과]]가 있어요.,effect,It shows the result of an action.,어떤 행동의 결과를 나타내요.
The new law had ___ on safety.,새로운 법은 안전에 [[영향]]을 주었어요.,effect,It is the change caused by something.,어떤 원인으로 인해 생긴 변화예요.
The medicine had a strong ___.,약이 강한 [[느낌]]을 줬어요.,effect,It is what happens after something.,어떤 일이 일어난 후의 결과예요.
I don't like it ___.,저는 그것을 [[역시]] 싫어해요.,either,It is used after negatives to mean 'also'.,부정문 뒤에 '또한'의 의미를 더할 때 사용해요.
I don't want ice cream ____.,난 아이스크림 [[도]] 안 먹어요.,either,Used in negative sentences to add also.,부정문에서 '또한'의 의미로 사용해요.
I want ___ tea or coffee.,나는 [[어느 한쪽의]] 차 또는 커피를 원해요.,either,Use this word when you have two choices.,두 가지 선택지가 있을 때 써요.
Do you want anything ___?,뭐 [[그밖에]] 원해요?,else,Use this word when mentioning another option.,또 다른 선택을 말할 때 사용해요.
The soldier feared the ____.,병사는 [[적]]을 두려워했어요.,enemy,This is someone who fights against you.,당신과 싸우는 사람이에요.
The ______ designs simple machines.,그는 간단한 기계를 설계하는 [[공학자]]예요.,engineer,This person builds things like bridges.,이 사람은 다리 같은 것을 만들어요.
They ___ the party.,그들은 파티를 [[즐기]]어요.,enjoy,You feel happy when you do something fun.,즐거운 활동을 할 때 기분이 좋아요.
Put your ______ in the mailbox.,우편함에 [[봉투]]를 넣으세요.,envelope,It holds letters and cards.,편지와 카드를 넣는 물건이에요.
The surface is ____ and smooth.,표면은 [[평평]]하고 매끄러워요.,even,It describes a surface that is flat.,표면이 평평하다는 뜻이에요.
4 is an ___ number.,4는 [[짝수]] 숫자예요.,even,When a number divides by 2 with no remainder.,어떤 숫자를 2로 나눴을 때 나머지가 없어요.
She didn't ___ notice the sign.,그녀는 표지판을 [[심지어]] 못 봤어요.,even,It is used to emphasize a point in a sentence.,문장의 내용을 강조할 때 사용하는 단어예요.
He ___ called yesterday.,그는 어제 [[심지어]] 전화했어요.,even,It is used to add a surprising idea.,의외의 정보를 더할 때 쓰는 단어예요.
This book is ___ better.,이 책은 [[훨씬]] 나아요.,even,It makes a comparison sound stronger.,비교를 더 강하게 말할 때 사용해요.
We joined the ___ last night.,우리는 어젯밤 [[행사]]에 참여했어요.,event,It is a special gathering where people have fun.,사람들이 즐겁게 모이는 특별한 모임이에요.
I went to the ____ last night.,나는 어젯밤 [[대회]]에 갔어요.,event,It is a gathering like a contest people attend.,사람들이 모여 경기를 하는 모임이에요.
I like all fruits ___ apples.,나는 사과 [[제외]] 모든 과일을 좋아해요.,except,It shows when something is not included.,어떤 것이 포함되지 않을 때 쓰는 말이에요.
They ___ him after his mistake.,그들은 그의 실수 후에 [[용서]]했어요.,excuse,When you forgive someone's mistake.,누군가의 실수를 용서할 때 쓰는 단어예요.
Please ___ me for my mistake.,제 실수를 [[양해]]해 주세요.,excuse,You say this word when you ask someone to forgive you.,누군가에게 용서를 부탁할 때 쓰는 단어예요.
He gave a ___ for being late.,그는 늦은 것에 대한 [[변명]]을 했어요.,excuse,It is a reason one gives to avoid blame.,누군가의 잘못을 면하려고 이유를 말할 때 사용하는 말이에요.
I ___ a surprise party tonight.,나는 오늘 밤 놀라운 파티를 [[기대]]해요.,expect,You think something will happen.,어떤 일이 일어날 것이라고 생각해요.
I ___ a gift.,나는 선물을 [[기다리]] 받았어요.,expect,You think something will happen.,어떤 일이 일어날 거라고 생각해요.
My car is ___.,내 차는 [[비싼]].,expensive,It describes something that costs a lot.,많은 돈이 필요한 것을 말해요.
She will ___ many new adventures.,그녀는 많은 새로운 [[경험]]을 해요.,experience,It means to try something new and learn from it.,새로운 것을 시도하고 배우는 것을 뜻해요.
Can you _____ this part?,이 부분을 [[설명]]해 줄 수 있어요?,explain,I give more details to make things clear.,자세한 내용을 알려주는 거예요.
I buy fruits at the ___.,나는 [[시장]]에서 과일을 사요.,fair,This is a place where you buy things.,여기서 물건을 사요.
We went to the ____ on Sunday.,우리는 일요일에 [[전시회]]에 갔어요.,fair,You see many interesting things at this event.,이 행사에서는 많은 재미있는 것을 볼 수 있어요.
We went to the ____ last week.,우리는 지난 주에 [[축제 마당]]에 갔어요.,fair,It is a fun event with rides and games.,놀이기구와 게임이 있는 즐거운 행사에요.
The garden is ___.,정원은 [[아름다운]] 이에요.,fair,It describes something that is beautiful.,아름다움을 나타내는 말이에요.
The weather is ___ today.,오늘 날씨가 [[화창한]]이에요.,fair,It describes nice weather without clouds.,구름 없는 좋은 날씨를 말해요.
He gave a ___ judgment.,그는 [[분별]] 있는 판단을 내렸어요.,fair,It describes someone who makes wise decisions.,현명한 결정을 내리는 것을 말해요.
The teacher gives ___ scores.,선생님은 [[공평]] 점수를 줘요.,fair,When everyone is treated equally.,모두가 똑같이 대우받을 때예요.
This contest is very ___.,이 대회는 매우 [[공정]]해요.,fair,It means everyone is treated equally.,모두가 똑같이 대우받는다는 뜻이에요.
They ___ a hat.,그들은 모자를 [[만들다]]요.,fashion,Rearrange these letters!: O F S A I H N,다음 글자들을 재배열 해보세요!: O F S A I H N
This magazine shows ___ trends.,이 잡지는 [[유행]]을 보여줘요.,fashion,It is about popular trends in clothing.,인기 있는 옷 스타일과 유행에 관한 거예요.
People follow ___ in magazines.,사람들은 잡지에서 [[패션]]을 본다.,fashion,It is used to talk about trendy clothing.,유행하는 옷 스타일을 나타낼 때 사용하는 단어예요.
They use a new ______ for work.,그들은 일할 때 [[방식]]을 사용해요.,fashion,It means a way to do things.,어떤 일을 하는 방법을 말해요.
This phone has a ___.,이 전화기에는 [[결점]]이 있어요.,fault,It is a problem or mistake in something.,어떤 것의 문제나 실수예요.
There is a ___ on the mountain.,산에 [[단층]]이 있어요.,fault,It is a crack in the earth's surface.,땅에 금이 있는 것을 말해요.
Her ___ led to the accident.,그녀의 [[잘못]]으로 사고가 났어요.,fault,It means something that is wrong or an error.,잘못이나 오류를 뜻해요.
They ___ the puppy every morning.,그들은 강아지에게 매일 아침 [[먹이다]]해요.,feed,You give food to an animal.,동물에게 음식을 줘요.
She ___ her dog.,그녀가 강아지에게 [[먹이]] 줘요.,feed,You do this when you give food to animals.,동물에게 음식을 줄 때 하는 일이에요.
The boy will ___ the fish.,소년은 물고기에게 [[먹이다]] 했어요.,feed,You give food to animals or people.,동물이나 사람에게 음식을 주는 것을 말해요.
They ___ the family daily.,그들은 매일 가족을 [[부양]]해요.,feed,You help someone by giving them food.,누군가에게 음식을 줘요.
I ___ the dog food.,나는 강아지에게 [[넣]]했어요.,feed,This means to give food to someone.,이것은 누군가에게 음식을 주는 것을 말해요.
They ___ a message by radio.,그들은 무전기로 [[송신]]해요.,feed,It means to send a message with a device.,기기를 사용해 메시지를 보내는 뜻이에요.
I have ___ since morning.,나는 아침부터 [[열]] 있어요.,fever,"When you are sick, your body feels very hot.","아플 때, 몸이 매우 뜨거워져요."
The ___ was exciting.,우리 팀은 [[결승전]]에서 이겼어요.,final,It is the last game in a tournament.,토너먼트에서 마지막 경기예요.
I study for the ___ exam.,나는 [[기말시험]] 준비해요.,final,It is the exam at the end of school term.,학기 마지막에 보는 시험이에요.
This is the ___ exam.,이것은 가장 [[최종의]] 시험이에요.,final,It means coming at the end.,끝에 오는 것을 뜻해요.
This shirt ___ well.,이 셔츠는 [[적합]]해요.,fit,"When clothes are the right size, they work well.",옷이 사이즈에 딱 맞으면 이렇게 말해요.
My jeans ___ very well.,내 청바지가 [[꼭 맞]]아요.,fit,"When your clothes are the correct size, they feel comfortable.","옷이 맞는 사이즈이면, 편안하게 느껴져요."
The patient had a ___.,환자는 [[발작]]을 겪었어요.,fit,It is a sudden episode when your body shakes.,몸이 갑자기 흔들릴 때 나타나는 증상이에요.
This shirt is ___.,이 셔츠는 [[적합한]]해요.,fit,It describes when clothes go well with your body.,옷이 몸에 잘 맞을 때 쓰는 말이에요.
He looks ___ at the gym.,그는 체육관에서 [[건강]]해 보여요.,fit,It means to be in good shape!,좋은 상태에 있다는 뜻이에요!
She likes to ___ her dress.,그녀는 드레스를 [[뽐내다]]해요.,flash,It means to show something quickly to attract attention.,관심을 끌기 위해 빠르게 보여주는 거예요.
The light will ___ in a moment.,빛은 곧 [[반짝]]일 거예요.,flash,It means to shine quickly for a very short time.,이것은 아주 잠깐 동안 빛나는 것을 의미해요.
I saw a ___ in the sky.,나는 하늘에서 [[번쩍임]]을 봤어요.,flash,It is a quick burst of light.,순간적으로 나타나는 밝은 빛이에요.
My camera has __.,내 카메라에는 [[플래시]] 있어요.,flash,It gives a quick light when taking a photo.,사진 찍을 때 잠깐 빛을 주는 거예요.
I live in a ___.,나는 [[아파트식 주거지]]에서 살아요.,flat,It has 4 letters!,4글자예요!
The ___ is quiet and very large.,그곳은 조용하고 매우 넓은 [[평지]]예요.,flat,It describes an area with no hills.,언덕이 없는 땅을 설명해요.
Her face looks ___.,그녀의 얼굴은 [[냉담]]해 보여요.,flat,It describes a face with no expression.,표정이 없는 것을 말해요.
The road is ___.,길은 [[평평]]해요.,flat,"Is it bumpy? No, it is even.",울퉁불퉁하지 않고 고르잖아요.
The tire is ___.,타이어가 [[바람이 빠진]] 상태에 있어요.,flat,How would you describe a tire with no air?,공기 없는 타이어 상태를 뭐라고 하나요?
The cake looks ___ and plain.,케이크는 [[단조로운]]하고 소박해요.,flat,It means something is not interesting or exciting.,재미없고 흥미롭지 않은 것을 말해요.
The pizza tastes ___.,피자는 [[맛없는]] 맛이에요.,flat,Use this word when food is not tasty.,음식에 맛이 부족할 때 쓰는 단어에요.
The soda tastes ___.,탄산음료가 [[싱거운]] 맛이에요.,flat,Your soda lost its fizz.,탄산이 빠진 음료예요.
The fare is ___.,요금이 [[균일]]해요.,flat,It means the price is the same every time.,비용이 매번 동일하다는 뜻이에요.
The boat ___ on calm water.,배가 [[뜨]]어요.,float,It means staying on top of water.,물 위에 머무르는 것을 말해요.
"When it rains, the river ___.",비가 오면 강이 [[범람]]해요.,flood,"When water overflows, it covers land after heavy rain.",비가 많이 와서 땅이 물로 덮이는 현상이에요.
Sad thoughts ___ his mind.,슬픈 생각이 그의 마음에 [[밀려든다]]요.,flood,It means when feelings come suddenly.,감정이 갑자기 많이 올 때를 말해요.
A big ___ flooded the streets.,큰 [[홍수]]가 도로를 덮쳤어요.,flood,"When heavy rain comes, water covers the land.",많은 비로 인해 땅이 물에 잠기는 현상이예요.
Please ___ the paper.,종이를 [[접다]]세요.,fold,You bend paper to store it.,종이를 보관하기 위해 구부리는 행동이에요.
There is a ___ in my shirt.,내 셔츠에 [[주름]] 있어요.,fold,This is a crease made by bending something.,무언가를 구부렸을 때 생기는 주름이에요.
The ___ love to share stories.,행복한 [[사람들]]이 노래해요.,folk,They are people in a community.,그것은 한 무리의 사람들을 뜻해요.
The ___ music is very lively.,그 [[민속의]] 음악은 아주 신나요.,folk,It is used with traditional music and dance.,전통 음악이나 춤을 말할 때 쓰여요.
I will ___ you home.,나는 너를 집으로 [[따르]]겠어요.,follow,You do this when you go behind someone.,누군가를 따라 갈 때 하는 행동이에요.
I ___ the rules carefully.,나는 규칙을 [[따르]]어요.,follow,You do this when you pay attention to instructions.,선생님 말씀을 잘 들으면 이렇게 해요.
My friend likes ____ food.,제 친구는 [[외국의]] 음식을 좋아해요.,foreign,It means not from your own country.,자신의 나라에서 온 것이 아니에요.
I will love you ___.,나는 너를 [[영원히]] 사랑해요.,forever,It means lasting without end.,끝이 없음을 뜻해요.
I ___ my friend.,나는 친구를 [[용서]]했어.,forgive,You stop feeling angry when someone apologizes.,누군가 사과하면 화가 풀어지는 행동이에요.
They tried to ___ him for theft.,그들은 그를 [[누명]] 씌우려 했어요.,frame,They make someone look guilty even if they did nothing.,"아무것도 하지 않았는데, 죄인처럼 보이게 해요."
She will ___ a photo.,그녀는 사진에 [[틀]]을 만들었어요.,frame,It surrounds a picture.,그것은 사진을 감싸는 물건이에요.
This ___ holds my family photo.,이것은 내 가족 사진의 [[틀]]이에요.,frame,It is the border that holds a picture.,사진을 감싸는 경계예요.
My glasses have a ___.,내 안경에는 [[안경테]] 있어요.,frame,It is the part of glasses that holds the lenses.,안경의 렌즈를 지탱하는 부분이에요.
The water ___ in winter.,물은 겨울에 [[얼다]].,freeze,Water turns to ice in cold weather.,물이 추워지면 얼음으로 변해요.
My computer will ___ when it gets hot.,내 컴퓨터는 더워지면 [[작동이 멈추다]]해요.,freeze,It means a device stops working suddenly.,이것은 기계가 갑자기 작동하지 않을 때를 말해요.
She likes to ___ eggs.,그녀는 계란을 [[튀기]]어요.,fry,You cook food in hot oil.,음식을 뜨거운 기름에 조리해요.
The ___ is open.,[[문]]이 열려있어요.,gate,It is like an outdoor door.,밖에서 들어갈 때 쓰는 문과 같아요.
People ___ in the park.,사람들이 [[모이다]] 공원에 가요.,gather,It means to come together as one group.,여러 사람이 한데 모이는 것을 말해요.
Friends ___ at the park.,친구들이 공원에서 [[모이]]어요.,gather,People come together for fun.,사람들이 즐겁게 모이는 것을 말해요.
