fill_in_blank_quiz,korean_translation,answer,hint_eng,hint_kor
I submitted an ______ online.,나는 새로운 [[응용 프로그램]]을 설치했어요.,application,It helps you do tasks on a computer.,컴퓨터에서 일을 쉽게 하도록 도와줘요.
I have an ___ with my doctor.,나는 의사와 [[약속]]이 있어요.,appointment,It is a meeting planned in advance.,미리 정해진 만남이에요.
She showed ___ for art.,그녀는 예술에 대한 [[감상]]을 보였어요.,appreciation,It is felt when you value art.,예술을 좋아할 때 느끼는 감정이에요.
They felt ___ for the gift.,그들은 선물에 대한 [[감탄]]을 보였어요.,appreciation,You feel this when you are very thankful.,누군가에게 고마움을 느낄 때 쓰는 단어예요.
She has ___ for art.,그녀는 미술을 위해 [[감상]]해요.,appreciation,Think of the warm feeling when you look at art.,예술을 볼 때 느끼는 따뜻한 기분을 생각해 보세요.
House price showed ___ last year.,집값이 작년 [[상승]] 보였어요.,appreciation,It means when something's value goes up.,어떤 것의 가치가 올라갈 때를 말해요.
The ___ designed the building.,그 사람은 건물을 설계한 [[건축가]]예요.,architect,This person plans buildings.,이 사람은 건물을 설계해요.
Modern ___ inspires many artists.,현대 [[건축]]은 많은 예술가에게 영감을 줘요.,architecture,It is about designing buildings and bridges.,건물을 설계하고 만드는 것에 관한 거예요.
I admire ___ in old buildings.,나는 오래된 [[건축물]]을 좋아해요.,architecture,It is the study of building design.,건물을 짓는 방법을 공부하는 것이에요.
Our town covers a large ______.,우리 동네는 넓은 [[면적]]을 가지고 있어요.,area,It tells how much space a place has.,장소의 크기를 말할 때 쓰는 단어예요.
Her ___ is art.,그녀의 [[분야]]는 미술이에요.,area,It indicates a part of study.,공부의 한 부분을 말해요.
I live in the ___.,저는 [[지역]]에 살아요.,area,It means a part of land.,땅의 한 부분을 의미해요.
She marked the ___ on the map.,그녀는 지도에서 [[부위]]를 표시했어요.,area,It is a specific part of a place or thing.,어떤 장소나 물건의 특정 부분이에요.
They had an ______ over lunch.,그들은 점심시간에 [[논쟁]]했어요.,argument,"When people talk and disagree, this happens.",사람들이 이야기하며 의견이 다를 때 나타나요.
They heard his ___.,그들은 그의 [[주장]]을 들었어요.,argument,"When people disagree, they have this talk.",사람들이 의견이 다를 때 하는 대화예요.
They had an ___.,그들은 [[말다툼]]을 했어요.,argument,When two people speak strongly and disagree.,두 사람이 크게 이야기하며 의견이 다를 때예요.
The military will ___ its soldiers.,군은 병사들을 [[무장]]해요.,arm,How does an army get ready to fight?,군대가 싸울 준비를 하는 방법이에요.
The soldier held his ___ tightly.,병사는 그의 [[무기]]를 꽉 잡았어요.,arm,Soldiers use this in battle for defense.,병사들이 전투에서 방어용으로 사용하는 물건이에요.
She raised her ___ high.,그녀는 [[팔]] 높이 들었어요.,arm,It helps you hold things.,물건을 잡을 때 사용해요.
The ball rolled ___ the house.,"공이 집 [[주위에,둘레에]] 굴러갔어요.",around,It tells the location near something.,어떤 것의 가까운 위치를 알려줘요.
They walked ___ the park.,그들은 공원의 [[주위]]를 걸었어요.,around,It shows a place nearby without being inside.,안에 있지 않고 근처에 있음을 말해요.
The bus ___ on time.,버스는 정시에 [[도착]]해요.,arrive,"When you reach your station, you do this.",역에 도착했을 때 하는 행동이에요.
The bow shoots the ___.,활이 [[화살]]을 쏘아요.,arrow,It is something you shoot with a bow.,활로 쏘는 물건이에요.
I love ___ at the museum.,나는 박물관에서 [[예술]]을 좋아해요.,art,It is creative work made by people.,사람들이 만든 창의적인 작업이에요.
The museum displays ___.,박물관에서는 [[미술]]을 전시해요.,art,It is creative work seen in a gallery.,미술관에서 창의적인 작품들을 볼 수 있어요.
This ___ plant is not natural.,이 [[인공]] 식물은 자연적이지 않아요.,artificial,It is not natural; people made it.,"자연에서 온 것이 아니고, 사람이 만들었어요."
I bought ___ flowers.,나는 [[인공의]] 꽃을 샀어요.,artificial,It means something made by people instead of nature.,자연 대신 사람이 만든 것을 말해요.
That ___ paints in a studio.,저 [[예술가]]는 그림을 그려요.,artist,This person makes art by drawing or painting.,이 사람은 그림을 그리고 색칠해요.
The painting is very ______.,그림은 매우 [[예술적인]]예요.,artistic,It describes work that is creative and beautiful.,창의적이고 아름다운 것을 말해요.
The museum has ___ on display.,박물관에 [[예술 작품]]이 전시되어 있어요.,artwork,It is a piece made by an artist.,예술가가 만든 작품이에요.
He acts ___ a clown.,그는 광대[[듯이]] 행동해요.,as,It connects ideas in comparisons.,비교할 때 아이디어를 연결해요.
He acted ___ a hero.,그는 영웅 [[처럼]] 행동했어요.,as,You use this word to compare things or show someone's role.,두 가지가 비슷하거나 역할을 나타낼 때 사용하는 단어예요.
He acted ___ a leader.,그는 [[로서]] 리더였어요.,as,"When you use this word, you show someone's role.",이 단어를 쓰면 누구의 역할을 나타내요.
Call me ___ you arrive.,네가 도착[[할 때]] 전화해.,as,"It shows the time something happens, like 'when'.",무언가가 일어날 때를 나타내요.
She studied hard ___ she passed the exam.,그녀는 열심히 공부해서 [[그 결과]] 시험에 합격했어요.,as a result,It tells what happens after something.,어떤 일 후에 일어나는 결과를 말해요.
"It rained, ____ we stayed home.","비가 왔어요, [[결과적으로]] 집에 있었어요.",as a result,It shows what happened next.,어떤 일이 일어난 결과를 말해요.
I'll wait ___ you arrive.,네가 도착[[하기만 한다면]] 기다릴게요.,as long as,It means you do something if a condition is met.,어떤 조건이 충족되면 무언가를 한다는 뜻이에요.
You can go ___ you finish your work.,"네가 일을 끝낸 [[하는 동안]], 너는 갈 수 있어요.",as long as,It means you can do something if another thing happens.,한 일이 있으면 다른 일을 할 수 있음을 뜻해요.
She sings ___ dances.,그녀는 노래[[뿐만 아니라]]춤을 춰요.,as well as,It links two things together.,두 가지를 연결해줘요.
"After the fire, ___ is left.","불 후에, [[재]]만 남았어요.",ash,It means the dark powder left after burning.,불에 탄 후 남는 어두운 가루예요.
I ___ a question.,나는 선생님에게 [[묻다]].,ask,You use this word to request an answer.,답을 얻기 위해 이 단어를 사용해요.
I ___ my teacher for help.,나는 선생님에게 [[요청]]해요.,ask,You use this word when you need information.,정보가 필요할 때 이 단어를 사용해요.
Tom plans to ___ his crush.,톰은 좋아하는 사람에게 [[데이트 신청]]했어요.,ask somebody out,You invite a person to go on a date.,누군가를 데이트에 초대하는 것을 말해요.
The ___ went to space.,그 [[우주비행사]]는 우주로 갔어요.,astronaut,He travels beyond Earth in a spaceship.,그는 우주선을 타고 지구 밖으로 가요.
The ___ watches the stars.,그는 밤하늘의 별을 연구하는 [[천문학자]]예요.,astronomer,This person works with stars and planets.,이 사람은 별과 행성을 연구해요.
He noticed the change ___.,그는 변화를 [[한눈에]] 봤어요.,at a glance,It means to quickly see something without details.,세부 사항 없이 빠르게 본다는 뜻이에요.
You may carry two boxes ___.,두 상자를 [[한번에]] 옮길 수 있어요.,at a time,It means doing things one by one.,하나씩 순서대로 하는 거예요.
He is ___ during the game.,그는 경기 중에 [[타석에 서서]] 있어요.,at bat,It is used when a player is ready to hit the ball.,야구에서 선수가 공을 치려고 할 때 쓰는 표현이에요.
"___, I did not trust him.","[[처음에는]], 그를 믿지 않았어요.",at first,It tells about a beginning time.,어떤 일이 시작될 때를 이야기할 때 쓰는 말이에요.
He stays _____ on weekends.,그는 주말에 [[집에서]] 쉬어요.,at home,It describes where you normally live and feel relaxed.,보통 사는 곳이고 편안한 분위기인 곳을 말해요.
We finished ___ after long hours.,우리는 긴 시간 후에 [[마침내]] 끝냈어요.,at last,It means finally after a long wait.,오래 기다린 후에 일이 생길 때 사용해요.
She left ___ when the bell rang.,그녀는 종이 울리자 [[즉시]] 떠났어요.,at once,It means doing something without waiting.,기다림 없이 곧바로 하는 것을 말해요.
He started ___ after the bell.,그는 종이 울리자 [[한꺼번에]] 시작했어요.,at once,"Do it right now, without any pause.",잠시도 기다리지 않고 바로 해요.
Everything happened ___.,모든 일이 [[한꺼번에]] 일어났어요.,at one time,It means doing things at the same time.,여러 일이 동시에 이루어짐을 뜻해요.
I lived here ____. ,나는 여기 [[한때]] 살았어요.,at one time,It means something happened in the past.,이것은 과거에 일어난 일을 말해요.
We met ___ in 2000.,"우리는 2000년에 [[그때, 그 당시에]] 만났어요.",at that time,It is used to mention a past moment.,과거의 순간을 말할 때 쓰여요.
She spoke ___ during the show.,그녀는 쇼 도중에 [[동시에]] 말했어요.,at the same time,It shows that two things happen together.,두 가지 일이 함께 일어나는 것을 말해요.
The ___ is in the race.,그는 경주에 참가하는 [[운동선수]]이다.,athlete,This person competes in sports events.,이 사람은 스포츠 대회에 참가해요.
He is very ___.,그는 매우 [[몸이 탄탄한]]이에요.,athlete,This is a person who practices sports regularly.,스포츠를 위해 정기적으로 연습해요.
Sailors sailed on the ___.,선원들은 [[대서양]]을 항해했어요.,Atlantic,It is the ocean between America and Europe.,미국과 유럽 사이에 있는 바다예요.
That dress looks ___.,그 드레스가 [[매력]]해요.,attractive,It means someone or something looks nice.,사람이나 물건이 아름다워 보여요.
My ___ is very kind.,내 [[숙모]]는 매우 친절해요.,aunt,She is the sister of your mother or father.,네 부모님의 자매예요.
I met an ___ friend.,나는 [[오스트레일리아인]] 친구를 만났어요.,Australian,This person is from a country with kangaroos.,캥거루가 많은 나라에서 왔어요.
The ___ writes books.,그 [[저자]]는 책을 써요.,author,This person writes books.,이 사람은 책을 써요.
The robot moved ___ on the floor.,로봇은 바닥 위를 [[자동으로]] 움직였어요.,automatically,It happens on its own.,그것은 저절로 일어나요.
Leaves fall in ___.,나뭇잎들이 [[가을]]에 떨어져요.,autumn,It is the season when trees lose their leaves.,나무들이 잎을 떨어뜨리는 계절이에요.
Tickets are ___ for sale.,티켓은 판매 중 [[구할 수 있는]] 상태에 있어요.,available,It means you can get or use it now.,지금 구하거나 활용할 수 있다는 뜻이에요.
The room is ___.,방은 [[여유]] 있어요.,available,It means something can be used now.,지금 사용할 수 있음을 말해요.
They lack ___ of the danger.,그들은 위험에 대한 [[인식]]이 없어요.,awareness,It means you know what's happening around you.,주변에서 무슨 일이 일어나는지 아는 것을 뜻해요.
The dog ran ___.,개가 [[떨어져서]] 달렸어요.,away,It means not near or at a distance.,가까이에 있지 않고 멀리 있다는 뜻이에요.
The movie was ___.,영화는 [[경탄할만한]]예요.,awesome,It describes something very impressive and excellent.,매우 인상적이고 훌륭한 것을 말해요.
The movie was ___.,영화는 [[끔찍한]]이었어요.,awful,It is very bad.,정말 나쁜 거예요!
The meal tastes ___.,식사는 [[지독한]] 맛이에요.,awful,This word describes something extremely unpleasant.,이 단어는 매우 나쁜 것을 설명해요.
The ___ is sleeping.,한 [[아기]]가 자고 있어요.,baby,It is a very small child who needs care.,"매우 작은 어린이로, 보살핌이 필요해요."
My ___ hurts after the long walk.,내 [[등]]이 아파요.,back,It is the body part behind your shoulders.,어깨 뒤에 있는 신체 부위예요.
She came __ after school.,수업 후에 그녀는 [[돌아와]]요.,back,You use this when returning to where you started.,처음 있던 곳으로 돌아갈 때 사용해요.
He went ___ after school.,그는 학교 후에 [[뒤로]] 갔어요.,back,It is used when moving in the opposite direction.,반대 방향으로 이동할 때 쓰는 단어예요.
He walked ___ home.,그는 집으로 [[뒤]] 갔어요.,back,It means returning to the place you came from.,처음 있던 곳으로 다시 가는 뜻이에요.
They ______ when hiking mountains.,그들은 산행할 때 [[배낭여행]]해요.,backpack,You travel carrying only a bag on your back.,어깨에 가방을 메고 여행하는 것을 말해요.
She packed her ____ for school.,그녀는 학교에 갈 때 [[배낭]]을 챙겼어요.,backpack,You carry this on your back for books.,등에 메고 책을 들고 다녀요.
That computer is very ___.,저 컴퓨터는 매우 [[뒤떨어진]]예요.,backward,It describes something that is not up-to-date.,다른 것들보다 발전이 느린 것을 말해요.
The car drove ___ into the garage.,자동차가 [[후방]]으로 갔어요.,backward,"It describes moving to the back, not forward.",앞이 아니라 뒤로 가는 것을 말해요.
Doctors fight ___ to cure infections.,의사들은 감염을 막기 위해 [[세균]]과 싸워요.,bacteria,These tiny organisms can make you sick.,이 작은 생물들은 사람을 아프게 할 수 있어요.
The movie was ___.,영화는 [[나쁜]]이었어요.,bad,It describes something that is not good.,이것은 좋지 않은 것을 의미해요.
The food tastes ___.,음식이 [[나쁜]] 맛이에요.,bad,It describes something not good.,좋지 않은 것을 설명하는 말이에요.
The movie was ___.,영화가 [[나쁜]]이었어요.,bad,It means not good.,좋지 않다는 뜻이에요.
This food tastes ___.,이 음식은 맛이 [[나쁜]] 이에요.,bad,It describes something that is not good.,좋지 않음을 설명하는 형용사예요.
I ___ my apples.,나는 사과를 [[봉지]]에 담아요.,bag,You use this to carry groceries.,장보기를 할 때 쓰는 거예요.
I carry a ___ every day.,나는 매일 [[가방]]을 가지고 다녀요.,bag,You use this to carry your items.,물건을 넣어 다니는 것을 사용해요.
She ___ a cake.,그녀는 케이크를 [[굽]]어요.,bake,You cook food in an oven.,오븐에서 음식을 요리해요.
The ___ made fresh bread daily.,그는 매일 신선한 빵을 만드는 [[제빵사]]예요.,baker,It starts with 'b'!,b로 시작하는 단어예요!
I visited the ___ near home.,나는 집 근처의 [[제과점]]에 갔어요.,bakery,You can buy fresh bread there.,신선한 빵을 살 수 있는 곳이에요.
He eats a ___ diet.,그는 [[균형 잡힌]] 식단을 먹어요.,balanced,It means the meal has a good mix of foods.,식사에 다양한 음식이 골고루 있어요.
She follows a ___ for her health.,그녀는 건강을 위해 [[균형식]]을 따릅니다.,balanced diet,This means eating many different foods for good health.,건강을 위해 여러 음식을 골고루 먹는 것이에요.
She kicked the ____.,그녀는 [[공]]을 찼어요.,ball,It is round and used in many games.,여러 게임에서 쓰이는 둥근 물건이에요.
She attended the ____. ,그녀는 [[무도회]]에 갔어요.,ball,You go to a formal dance party.,정중한 댄스 파티에 가요.
The dancer practices ___ every day.,무용수는 매일 [[발레]] 연습해요.,ballet,It is a dance with graceful moves.,우아하게 움직이는 춤이에요.
They cheered in the ___.,그들은 [[야구장]]에서 응원했어요.,ballpark,It is a place where baseball games occur.,야구 경기가 펼쳐지는 곳이에요.
He offered a ___ figure.,그는 [[대략]] 수치를 제시했어요.,ballpark,It is used to talk about an approximate value.,대략의 값을 말할 때 쓰는 단어예요.
The panda eats ___.,팬더는 [[대나무]]를 먹어요.,bamboo,It is a tall plant that pandas eat.,팬더가 먹는 키 큰 식물이에요.
He visited the ___ for money.,그는 돈을 위해 [[은행]]에 갔어요.,bank,This is a place where you keep money.,돈을 보관하는 곳이에요.
They sat on the ______ by the river.,그들은 강 옆의 [[강둑]]에 앉았어요.,bank,It is the side of a river.,강 옆에 있는 땅이에요.
The ___ works with money.,그 [[은행가]]는 돈을 다뤄요.,banker,He helps people with money at a bank.,은행에서 돈을 다루며 사람들을 도와요.
They raised a ___ at the fair.,그들은 박람회에서 [[깃발]]을 올렸어요.,banner,"It is a large, decorated cloth hung at events.",행사에서 걸리는 커다란 장식 천이에요.
They hung a ___ at the fair.,그들은 축제에서 [[현수막]]을 걸었어요.,banner,It is a sign hung during events.,행사 때 걸어두는 표지판이에요.
They chose a ____ design.,그들은 [[최고의]] 디자인을 선택했어요.,banner,It describes something as top or excellent.,아주 훌륭한 것을 나타내요.
I love eating ___ outside.,밖에서 [[숯불구이용 그릴]] 먹는 걸 좋아해요.,barbecue,It is a grill used for cooking with charcoal.,숯불로 음식을 굽는 그릴이에요.
The cow is in the ____.,소가 [[헛간]]에 있어요.,barn,It is a small building on a farm for animals.,농장 동물들이 쉬는 작은 건물이예요.
We ___ our plan on facts.,우리 계획은 사실에 [[기반]]해요.,base,It means to use something as a foundation.,어떤 것을 바탕으로 삼는다는 뜻이에요.
The recipe needs a ___.,이 레시피에는 [[기초]]가 필요해요.,base,It is the main part that supports something.,뭔가를 받치는 가장 중요한 부분이에요.
The army reached the ___.,군대는 [[기지]]에 도착했어요.,base,It is a place where soldiers live.,군인들이 머무는 곳이에요.
The house stands on a strong ___.,집은 튼튼한 [[기초]] 위에 서 있어요.,base,It is the bottom part that holds things up.,물건을 받쳐 주는 제일 아래 부분이에요.
The runner reached ___ safely.,주자는 안전하게 [[루]]에 도착했어요.,base,It is the spot a runner touches in baseball.,야구에서 주자가 반드시 밟는 곳이에요.
His behavior is very ___.,그의 행동은 정말 [[비열]]해요.,base,This word describes being very low and unkind.,이 단어는 매우 낮고 불친절한 행동을 뜻해요.
He played ___ with friends.,그는 친구들과 [[야구]]를 했어요.,baseball,You play this game with a bat and ball.,이 게임은 방망이와 공을 사용해요.
They played ___ in the yard.,그들은 마당에서 [[야구공]]을 즐겼어요.,baseball,You play this sport with a bat and glove.,이 스포츠는 방망이와 글러브로 즐겨요.
The film was ___ a true story.,그 영화는 실화를 [[기초로 한]] 영화예요.,based on,It shows that one fact depends on another.,어떤 사실이 다른 사실에 의존한다는 것을 보여줘요.
I made this plan ____ your advice.,나는 네 조언에 [[근거하여]] 계획을 세웠어요.,based on,It shows you use another idea to make a plan.,다른 아이디어를 사용하여 계획을 세운다는 뜻이에요.
The ___ plays baseball.,그는 야구에서 [[루수]]로 뛰어요.,baseman,He stands near a base to catch balls.,그는 야구장에서 베이스 근처에서 공을 받는 선수예요.
This book teaches ___ skills.,이 책은 [[기본]] 기술을 가르쳐요.,basic,It means simple and primary.,이것은 단순하고 첫 번째라는 뜻이에요.
She filled the ___ with apples.,그녀는 사과로 [[바구니]]를 채웠어요.,basket,You use it to carry things.,물건을 담아 옮기는 용기예요.
I play ___ on Saturdays.,나는 토요일에 [[농구]]해요.,basketball,What game involves throwing a ball into a hoop?,공을 던져서 골대에 넣는 게임이에요.
I play ___ with friends.,나는 친구들과 [[농구공]]으로 놀아요.,basketball,It is a ball you dribble and shoot in a game.,게임에서 드리블하고 쏘는 공이에요.
The player ___ the ball.,선수가 [[배트]]로 공을 쳤어요.,bat,"In baseball, you use it to hit the ball.",야구에서 공을 치기 위해 사용해요.
A ___ can fly at night.,밤에 날 수 있는 [[박쥐]]가 있어요.,bat,It is a flying mammal active at night.,밤에 활동하는 날아다니는 포유류예요.
He swung the ___ at the ball.,그는 공을 치기 위해 [[야구 방망이]]를 사용했어요.,bat,You use this to hit a ball in baseball.,야구에서 공을 치는데 사용하는 물건이에요.
I take a ___ every day.,나는 매일 [[목욕]]해요.,bath,It is what you take to become clean.,몸을 깨끗하게 하기 위해 하는 일이에요.
She uses the ___ every day.,그녀는 매일 [[욕실]]을 사용해요.,bathroom,It's a room for washing and showering.,세수와 목욕을 할 수 있는 방이에요.
The ___ is in the bathroom.,욕실에 있는 [[욕조]]예요.,bathtub,It is used to take a bath.,목욕할 때 사용하는 거예요.
A ___ played in the cricket match.,한 경기에서 [[타자]]가 출전했어요.,batsman,He is the one who hits the ball in cricket.,크리켓에서 공을 치는 사람이에요.
The player ______ the ball.,선수가 공을 [[강타]]했어요.,batter,It means to hit something very hard.,매우 세게 때리는 것을 뜻해요.
The ___ swung at the ball.,야구팀의 [[타자]]가 공을 쳤어요.,batter,He tries to hit the ball in baseball.,야구에서 공을 치려고 해요.
She mixes ___ for pancakes.,그녀는 팬케이크를 위해 [[반죽]]을 섞어요.,batter,It is the mix you add to food before frying.,음식을 튀기기 전에 넣는 혼합물이예요.
___ happy.,행복[[이다]].,be,It shows who or what something is.,그것이 누구인지 또는 무엇인지를 말해요.
I ___ solve the problem.,나는 문제를 [[할 수 있다]] 풀어요.,be able to,This phrase shows you have the power to do something.,이 표현은 무언가를 할 수 있는 능력을 말해요.
He ___ sweets.,그는 단 것[[에 빠져 있]]어요.,be addicted to,You cannot stop doing it if you really like it.,정말 좋아하면 멈출 수 없어요.
She may ___ spiders.,그녀는 거미를 [[두려워하다]].,be afraid of,How do you feel when you see a big snake?,큰 뱀을 보면 기분이 어때요?
You ___ bring pets to school.,너는 학교에 애완동물을 [[허락]]받아요.,be allowed to,It means someone gives you permission.,누군가가 너에게 해도 된다고 말하는 거예요.
Don't ___ your past mistakes.,네 과거 실수들을 [[부끄러워하다]] 말아.,be ashamed of,You feel bad when you remember a mistake.,잘못한 일을 기억할 때 기분이 나빠지는 감정이에요.
I will ___ soon.,나는 곧 [[돌아오다]].,be back,It means to return to your place.,자리에 돌아오는 것을 말해요.
They ___ in spring.,그들은 봄에 [[태어]]났어요.,be born,It happens when a baby starts its life.,아기가 세상에 처음 나타날 때 쓰는 말이에요.
I'm ___ talking on phone.,나는 전화해서 [[~하느라 바쁘다]].,be busy ~ing,You are occupied doing an activity.,다른 일 할 시간이 없을 만큼 어떤 일을 하고 있는 상태예요.
The building ___ vines.,건물은 덩굴로 [[덮여있]]어요.,be covered with,It describes when something gets a layer on its surface.,어떤 것이 다른 것으로 덮여있는 상태를 말해요.
I ___ learn English.,나는 [[몹시 ~ 하고 싶어하다]] 영어를 배워요.,be eager to,You really want to do something.,정말 뭔가를 하고 싶어하는 거예요.
I am ___ this town.,나는 이 도시에 [[익숙해요]].,be familiar with,It means you already know much about it.,이미 그것에 대해 잘 알고 있어요.
He may ___ his cooking skills.,그는 그의 요리실력으로 [[유명]]해요.,be famous for,It means someone is well known because of something they do.,누군가의 특별한 점 때문에 모두가 그 사람을 잘 알아요.
The cup ___ juice.,컵은 [[차]] 주스로 가득해요.,be filled with,It means something is completely full.,어떤 것이 완전히 가득하다는 의미예요.
You ___ choose any color.,너는 [[마음대로]] 색을 고를 수 있어.,be free to,It means you can do something without rules.,제한 없이 뭔가 할 수 있다는 뜻이에요.
She ___ Brazil.,그녀는 브라질[[출신]]이에요.,be from,It tells where someone comes.,누군가의 출신을 말해줘요.
The basket ___ apples.,바구니는 사과로 [[가득 차]] 있어요.,be full of,Use this when something has many items inside.,무엇인가 안에 많은 것들이 있을 때 사용해요.
He tends to ___ math.,그는 수학에 [[능숙]]해요.,be good at,It means you are skilled in something.,어떤 것에 능숙하다는 뜻이에요.
You might ___ if you are late.,네가 늦으면 [[곤경에 처하다]].,be in trouble,It means you face a big problem.,큰 문제가 생길 때 쓰는 표현이에요.
I ___ soccer on weekends.,나는 주말에 [[~에 흥미가 있다]] 축구를 해요.,be interested in,It means you like something.,무엇인가를 좋아한다는 뜻이에요.
I ___ jazz.,나는 재즈에 [[관심]]이 있어요.,be into,You really enjoy a hobby or subject.,취미나 주제를 정말 즐기는 거예요.
He hopes to ___ cooking.,그는 요리로 [[~로 유명하다]].,be known for,It means you are famous because of something.,어떤 점 때문에 유명하다는 뜻이에요.
It ___ rain tomorrow.,내일 비가 올 [[할 가능성이 있다]].,be likely to,There is a good chance it will happen.,어떤 일이 일어날 가능성이 높아요.
It __ rain today.,오늘 비가 [[올 것]] 같아요.,be likely to,It is used when something probably happens.,어떤 일이 일어날 확률이 높아요.
This chair ___ wood.,이 의자는 나무로 [[만들어지]]어요.,be made of,It tells you what material an object has.,물건이 어떤 재질인지 알려줘요.
Our class will ___ 30 students.,우리 반은 30명의 학생들로 [[이루어]] 있어요.,be made up of,It tells you the parts that make a whole.,전체를 이루는 부분들을 설명해요.
We ___ milk for tea.,우리는 차 만들 때 우유가 [[바닥]]났어요.,be out of,It means you have no more of something.,더 이상 남은 것이 없다는 뜻이에요.
The song ___ very soon.,노래가 [[끝나]] 곧.,be over,It means that something has finished.,어떤 일이 끝났다는 뜻이에요.
I want to ___ my country.,나는 내 나라를 [[자랑스럽게 생각하다]].,be proud of,How do you feel when you see someone succeed?,누군가 성공하는 모습을 보면 어떤 기분이에요?
He is ___ a hero.,그는 영웅으로 [[여겨지]]어요.,be regarded as,People think he is a hero.,사람들이 그를 영웅이라고 생각해요.
She wants to ___ her life.,그녀는 인생에 [[만족]]해요.,be satisfied with,You feel content when things are good.,"뭔가 좋은 상황일 때, 기분이 좋은 상태예요."
My phone ___ my old one.,내 핸드폰은 내 옛 핸드폰과 [[비슷하다]].,be similar to,It means two things look alike.,두 가지가 비슷하다는 뜻이에요.
They ___ the elevator.,그들은 엘리베이터에 [[갇혀있다]].,be stuck in,It means you are inside and cannot get out.,안에서 나갈 수 없을 때를 말해요.
I am ___ study every day.,나는 매일 공부[[하기로 되어]] 있어요.,be supposed to,It means you must do something.,어떤 일을 해야 한다는 뜻이에요.
