fill_in_blank_quiz,korean_translation,answer,hint_eng,hint_kor
A ___ studies nature in a lab.,그 사람은 연구실에서 일하는 [[과학자]]예요.,scientist,This person works in a lab to learn about the world.,이 사람은 실험실에서 세상을 배우려고 일해요.
The musician read the ___.,음악가는 [[악보]]를 읽어요.,score,Musicians use this paper to follow music.,음악가들이 음악을 따라 연주할 때 사용하는 종이에요.
They try to ___ every game.,"그들은 경기마다 [[득점하다,골을 넣다]]해요.",score a goal,It is when a player puts the ball in the net.,선수가 공을 골문에 넣으면 그런 행동이에요.
The movie ___ at the theater.,영화가 극장에서 [[상영]]되었어요.,screen,It means a film is shown for people.,이것은 영화가 사람들에게 보여진다는 뜻이에요.
The manager ___ed the new candidates.,매니저는 새로운 지원자들을 [[심사]]했어요.,screen,You check people or things to decide if they are good.,사람이나 물건이 좋은지 확인해요.
I use the ___ daily.,나는 매일 [[스크린]]을 사용해요.,screen,It is something you see shows on.,좋아하는 프로그램을 볼 때 사용하는 거예요.
I watch the ___ every day.,나는 매일 [[화면]]을 봐요.,screen,It shows images and movies.,이미지와 영화를 보여줘요.
She reads the ___.,그녀는 [[대본]]을 읽어요.,script,It is what actors use for their lines.,배우들이 대사를 읽기 위해 사용하는 것이에요.
The writer wrote the ___.,작가는 [[글씨]]를 썼어요.,script,It is the writing style you see on paper.,종이에 보이는 글씨체에요.
The museum has a ___.,박물관에는 [[조각]]이 있어요.,sculpture,You see this art piece in a museum.,미술관에서 볼 수 있는 예술 작품이에요.
I sail on the ___.,나는 [[바다]]에서 항해해요.,sea,You find it where boats sail.,보트가 항해하는 곳이에요.
The coastline is at ___.,해안은 [[해수면]]에 있어요.,sea level,It is the level where the ocean is measured.,바다의 높이를 측정하는 기준이에요.
I saw a ___ near the shore.,나는 해안에서 [[해달]]을 봤어요.,sea otter,This animal lives in the ocean and uses its paws to find food.,이 동물은 바닷가에서 살며 앞발로 음식을 찾아요.
They serve ___ at the diner.,식당에서 [[해산물]]을 제공해요.,seafood,It is food that comes from the sea.,바다에서 얻는 음식이에요.
A ___ flies over the ocean.,한 마리 [[갈매기]]가 바다 위를 날아요.,seagull,It is a bird found near the sea.,바다 근처에서 볼 수 있는 새예요.
I ___ my wallet every day.,나는 매일 내 지갑을 [[찾]]아요.,search for,You look in many places to find something lost.,잃어버린 물건을 찾으려고 여러 곳을 둘러봐요.
They enjoy the ______ every weekend.,그들은 매주말 [[해안]]을 즐겨요.,seaside,It is a place by the ocean with sand.,바닷가에 모래가 있는 곳이에요.
I will ___ the chicken.,나는 치킨에 [[양념]]해요.,season,You add flavor to food.,음식에 맛을 더해요.
I love each ___ of the year.,나는 한 해의 [[계절]]을 좋아해요.,season,"It is one part of a year, like winter or summer.","한 해를 구성하는 부분 중 하나예요, 예를 들어 겨울이나 여름처럼요."
I saw ___ on the beach.,나는 해변에서 [[해초]]를 봤어요.,seaweed,It is a plant found in the sea.,바다에서 자라는 식물이에요.
It lasts one ___.,그것은 [[초]] 동안 계속돼요.,second,It is a small unit of time.,짧은 시간 단위예요.
She works a ___ after school.,그녀는 방과 후 [[부업]] 해요.,second job,A work you do aside from your main work.,주된 일 이외에 하는 일을 말해요.
Tom goes to a ___ school.,톰은 [[2차적인]] 학교에 가요.,secondary,It is used when something is not first.,첫 번째가 아닌 것을 말해요.
He chose the ______ plan.,그는 [[간접적인]] 계획을 선택했어요.,secondary,It describes something not primary or main.,주요하지 않고 두 번째인 것을 말해요.
He told a ___ tale.,그는 [[간접]] 이야기를 했어요.,secondhand,"It means learning from others, not directly.",다른 사람에게서 직접 듣지 않은 것을 의미해요.
I bought a ___ book.,나는 [[중고로]] 책을 샀어요.,secondhand,It describes items that are not new.,새것이 아닌 물건을 말해요.
She has a ___ plan.,그녀는 [[비밀]] 계획을 가지고 있어요.,secret,It means something you keep hidden.,남에게 숨기는 것을 말해요.
He has a ______ recipe.,그는 요리의 [[비결]]을 가지고 있어요.,secret,It is something you hide from others.,다른 사람들에게 숨기는 것이에요.
I can ___ my friend.,나는 내 친구를 [[보다]] 수 있어요.,see,You use your eyes to look around.,눈으로 사물을 볼 때 쓰는 단어예요.
I ___ the joke.,나는 농담을 [[알다]].,see,You use this word when you understand something.,무언가를 이해할 때 쓰는 단어예요.
I ___ a new food yesterday.,나는 어제 새로운 음식을 [[경험]]했어요.,see,It means to experience something firsthand.,어떤 일을 직접 겪는 것을 말해요.
The ___ was announced today.,오늘 [[선택]]이 발표되었어요.,selection,It means choosing one from many.,여러 가지 중에서 하나를 고르는 뜻이에요.
I drew my ___.,나는 내 [[자화상]]을 그렸어요.,self-portrait,It is a picture you make of yourself.,자신을 그린 그림이에요.
I took a ______.,나는 카메라로 [[셀피]] 찍었어요.,selfie,It is a photo you take of yourself.,자신을 찍은 사진이에요.
I ____ items at the store.,나는 가게에서 물건을 [[팔다]]요.,sell,You do this to get money from goods.,물건을 사고팔 때 하는 행동이에요.
The ___ sells items.,그는 가게에서 [[파는 사람]]이에요.,seller,This person sells things in a store.,이 사람은 가게에서 물건을 팔아요.
We reached the ______ round.,우리는 [[준결승]] 라운드에 도달했어요.,semifinal,It is a round before the final.,결승 전에 하는 경기예요.
I will ___ a letter.,나는 편지를 [[보내]]어요.,send,You deliver a message or letter to someone.,누군가에게 편지를 전달하는 행동이에요.
He will ___ the wrong item.,그는 잘못된 물건을 [[돌려주]]어요.,send back,It means to return something to its sender.,누군가에게 물건을 돌려주는 것을 말해요.
Please ___ your homework.,숙제를 [[제출]]하세요.,send in,"You hand something to someone, like a letter or homework.",편지나 숙제를 낼 때 쓰는 표현이에요.
My skin is _____.,내 피부는 [[예민]]해요.,sensitive,It describes a person who reacts strongly to stimuli.,자극에 강하게 반응하는 사람을 뜻해요.
She is very ___ about art.,그녀는 예술에 대해 매우 [[감성적인]]예요.,sensitive,It means you notice and feel emotions very easily.,이 단어는 감정을 아주 쉽게 느끼는 것을 뜻해요.
The device detects with a ___.,이 기계는 주변을 [[감지]]해요.,sensor,It is a tool used to notice changes.,이것은 변화를 알아보는 도구예요.
There is a ____ between them.,"그들 사이에 [[이별,분리]] 있어요.",separation,This means people or things are apart.,사람이나 물건이 함께 있지 않을 때를 뜻해요.
The couple faced ____.,그 커플은 [[이별]]을 겪었어요.,separation,It's when things or people are apart.,두 사람이나 것들이 떨어져 있는 상태예요.
My birthday is in ______.,내 생일은 [[9월]]에 있어요.,September,"It comes after August, the ninth month.",8월 다음에 오는 아홉 번째 달이에요.
He studies ______ at school.,그는 [[진지하게]] 학교에서 공부해요.,seriously,Act with focus and no jokes.,농담 없이 집중해서 행동해요.
Our ___ served the family.,우리 집의 [[하인]]이 일해요.,servant,This is a person who works in someone else's home.,다른 사람의 집에서 일하는 사람이에요.
The ___ works at the restaurant.,식당에서 [[웨이터]]가 일해요.,server,Who brings your meal when you eat out?,외식할 때 음식을 가져다 주는 사람은 누구일까요?
They performed ___ at the community center.,그들은 지역사회에서 [[봉사]]했어요.,service,It means when people help without pay.,돈 없이 다른 사람을 도와주는 것을 말해요.
I ___ the table.,나는 식탁을 [[놓]]았어요.,set,"When you prepare a table, you do this.",식탁을 준비할 때 하는 행동이에요.
The sun ___ in the west.,해가 [[지]]어요.,set,It describes when the sun goes down.,해가 질 때를 설명하는 단어예요.
I ___ my alarm.,나는 알람을 [[설정]]해요.,set,You adjust devices to work right.,장치를 제대로 작동시키기 위해 조절해요.
I will ___ a goal today.,나는 오늘 목표를 [[세우다]].,set,You do this when you decide on a goal or plan.,목표나 계획을 정할 때 하는 행동이에요.
I will ___ the clock now.,나는 지금 시계를 [[맞추다]].,set,You adjust your clock when it's wrong.,시계가 틀렸을 때 이렇게 해요.
He owns a ___ of tools.,그는 도구의 [[세트]]를 가지고 있어요.,set,It is a group of matching items.,비슷한 물건들이 모여 있는 것이에요.
The table is ___.,테이블은 [[위치한]] 이에요.,set,"It means ready, like a table for a meal.",이 단어는 준비되었다는 뜻이에요. 예를 들어 식탁이 차려진 것처럼요.
The table is ___ for dinner.,식탁은 저녁을 위해 [[준비]]되었어요.,set,"When everything is arranged and ready, it shows this state.",모든 준비가 끝난 상태를 표현할 때 쓰는 말이에요.
I ___ at 7 AM.,나는 오전 7시에 [[알람을 맞추다]].,set an alarm,You do this so you do not sleep too long.,너무 오래 자지 않도록 이 행동을 해요.
He will ___ in that building.,그는 그 건물에 [[발을 들여놓]]했어요.,set foot,It means to enter a place for the first time.,어떤 곳에 처음 들어가는 것을 말해요.
The judge ___ the criminal.,판사는 죄수를 [[풀어 주다]]했어요.,set free,You let someone go from being held.,누군가를 잡고 있던 자리에서 놓아주는 거예요.
Please ____ before dinner.,저녁 식사 전에 [[식탁을 차리]]다.,set the table,"Before you eat, you do this to get your table ready.",먹기 전에 식탁을 준비하는 행동이에요.
They ___ a new shop.,그들은 새로운 가게를 [[설립]]했어요.,set up,What do you do to start a new organization?,새로운 가게나 모임을 시작할 때 하는 행동이에요.
They ___ a shop.,그들은 [[세우다]] 가게를 열었어요.,set up,"When you start a new place or business, you do this.",새로운 가게나 사업을 시작할 때 이렇게 해요.
We ___ a picnic in the park.,우리는 공원에서 피크닉을 [[마련]]했어요.,set up,"When you organize or plan an event, you do this.",행사나 자리를 준비할 때 쓰는 말이에요.
They ___ him on false charges.,그들은 그를 거짓 혐의로 [[상황에 처하게 하다]]었어요.,set up,It means to trick someone into trouble.,누군가를 곤란한 상황에 빠지게 하는 뜻이에요.
We ___ a machine.,우리는 기계를 [[만들]]어요.,set up,You build something to make it work.,무엇인가를 만들어 작동하게 해요.
We ______ a date.,우리들이 [[약속]] 잡았어요.,set up,It is used when you plan a meeting.,모임을 계획할 때 사용하는 표현이에요.
I will ___ my computer now.,나는 지금 내 컴퓨터를 [[설정]]할 거야.,set up,It means to arrange or prepare something.,무언가를 준비하거나 정리하는 것을 의미해요.
I _____ a party with friends.,나는 친구들과 함께 파티를 [[시작하다]].,set up,You do this when you begin a party or event.,파티나 행사를 시작할 때 하는 일이에요.
They made a ___ for the event.,"그들은 행사 [[준비,마련]] 했어요.",setting,It is what you arrange for an event.,행사를 위해 마련하는 것이에요.
The ___ of the film is magical.,영화의 [[배경]]은 마법같아요.,setting,This is where a movie or play happens.,영화나 연극이 열리는 장소예요.
The ___ of the house is cozy.,집의 [[환경]]은 아늑해요.,setting,It is the place where events occur.,이것은 사건이 일어나는 장소예요.
I changed the ___ on my phone.,나는 내 휴대폰의 [[설정]]을 바꿨어요.,setting,It is the part of a device where you change options.,기기의 옵션을 바꿀 수 있는 부분이에요.
They ___ to their new home.,그들은 새 집에 [[적응]]했어요.,settle in,It means to start feeling at home in a new place.,새로운 곳에서 편안하게 지내기 시작하는 것을 말해요.
They plan to ______ next month.,그들은 새 집에 [[정착]]할 거예요.,settle in,It is what you do when you start living in a new place.,새로운 곳에서 생활을 시작하는 것을 의미해요.
I use a ___ to sew.,나는 바느질할 때 [[재봉틀]]을 사용해요.,sewing machine,It is used to join cloth pieces.,옷감을 꿰매는 데 쓰는 도구예요.
I use _____ every morning.,나는 [[샴푸]]로 머리를 씻어요.,shampoo,You use this liquid to wash your hair.,이 액체로 머리를 씻어요.
The box is ___ like a star.,상자는 별 모양으로 [[모양 지어진]].,shaped,It tells how something has a specific form.,어떤 물건이 특정 모양을 가지는 것을 나타내요.
He found a ___ of glass.,그는 유리 [[파편]]를 발견했어요.,shard,It is a small piece that breaks off from something.,무언가 부서지면 생기는 작은 조각이에요.
A ___ lives in the ocean.,바다에 사는 [[상어]]가 있어요.,shark,Rearrange these letters!: K R A S H,다음 글자들을 재배열 해보세요!: K R A S H
___ is my friend.,[[그녀는]] 내 친구예요.,she,It is used for referring to a female person.,여성 사람을 나타내요.
He plays ___ on the piano.,그는 피아노로 [[악보]]를 연주해요.,sheet music,You use it to read notes when playing an instrument.,악기를 연주할 때 음표를 읽기 위해 사용해요.
The star is ______.,별은 [[빛나는]].,shining,It means giving off bright light.,밝은 빛을 내는 것을 말해요.
The star is very ___.,별이 매우 [[빛나는]].,shiny,It means bright and glittery.,밝고 반짝거려요.
We ___ food to the market.,우리는 시장에 음식을 [[수송]]해요.,ship,It carries goods over water.,물 위에서 물건을 옮길 때 사용해요.
The ___ sailed on the sea.,그 [[배]]가 바다를 항해했어요.,ship,It is a large boat for travel on water.,물 위에서 사람이나 짐을 옮기는 큰 탈것이에요.
She wears a ___.,그녀는 [[와이셔츠]]를 입어요.,shirt,You wear this on your upper body.,상체에 입는 옷이에요.
I felt ___ by the news.,나는 뉴스에 [[충격 받은]] 표정을 지었어요.,shocked,You feel very surprised when something unexpected happens.,예상치 못한 일이 생길 때 매우 놀라는 느낌이에요.
The news was ___.,뉴스는 [[충격]]적이었어요.,shocking,It describes something that makes you very surprised.,매우 놀라게 하는 것을 말해요.
I wear my ___ to class.,나는 수업에 [[신발]] 신고 가요.,shoe,You put these on your feet to walk.,걷기 위해 발에 신어요.
They wear ___ at school.,그들은 학교에서 [[신발]]을 신어요.,shoes,You wear these on your feet.,발에 신는 것이에요!
I saw a ______ last night.,어젯밤에 나는 [[유성]]을 봤어요.,shooting star,It is a flash of light when a space rock burns.,밤하늘에서 작은 돌이 타며 나타나는 빛이에요.
They ___ at the mall.,그들은 몰에서 [[쇼핑]]해요.,shop,You go to a store to buy things.,가게에 가서 물건을 사요.
I ___ at the mall.,나는 백화점에서 [[사]]요.,shop,"When you go to a store to buy things, what do you do?",가게에 가서 물건을 구매하면 어떤 행동을 할까요?
I went to a ___ yesterday.,나는 어제 [[가게]]에 갔어요.,shop,This is a place where you can buy things.,이곳은 물건을 살 수 있는 곳이에요.
The ___ loves to shop.,그 [[쇼핑객]]은 쇼핑을 해요.,shopper,Someone who goes to stores and buys things.,매장에 가서 물건을 사는 사람이에요.
I love ____ at the mall.,나는 [[쇼핑]]을 좋아해요.,shopping,You go to a store to buy things.,물건을 사기 위해 가게에 가요.
This road is ___.,이 도로는 [[짧은]]이에요.,short,It means not long.,길지 않다는 뜻이에요.
The boy is ___.,소년은 [[키가 작은]]이에요.,short,How would you describe someone who is not tall?,키가 크지 않은 사람을 말할 때 쓰는 단어예요.
Take the ___ to get there.,그곳에 가기 위해 [[지름길]]을 사용해요.,shortcut,It's a fast way to get somewhere.,어디로 빠르게 가는 방법이에요.
The soccer player kicked a ___.,축구선수가 [[슛]]을 했어요.,shot,It is an attempt to score in a game.,경기에서 골을 넣으려는 시도예요.
I took a ___ yesterday.,나는 어제 [[사진]]을 찍었어요.,shot,You take this with a camera.,카메라로 찍는 것을 뜻해요.
The photographer took a ___.,사진사가 [[촬영]]했어요.,shot,You take this with a camera.,카메라로 찍는 한 장면이에요.
The soldier fired a ___.,병사는 총을 [[발포]]했어요.,shot,"When a gun is fired, you can hear a bang.",총이 발사되면 큰 소리가 나요.
The nurse gave a ___ quickly.,간호사가 빨리 [[주사]] 놓았어요.,shot,It is a small injection given by a doctor.,의사에게서 맞는 작은 바늘 주사예요.
I got a ___ at the hospital.,나는 병원에서 [[주사]]를 받았어요.,shot,You get this from a doctor with a needle.,의사에게서 바늘로 받는 거예요.
You ___ try your best.,너는 최선을 다[[해야]] 해요.,should,It is used to give advice.,조언을 할 때 사용해요.
You ___ go to school.,너는 학교에 [[해야]] 가요.,should,It is used to give advice on what to do.,어떻게 하는 것이 좋은지 말할 때 쓰여요.
You ___ exercise everyday.,너는 매일 운동을 [[하는 게 좋]]어요.,should,It is used for giving advice.,조언을 할 때 쓰는 단어예요.
They ___ him during the game.,엄마가 아이에게 [[소리치]]었어요.,shout at,"If you are angry, you use a loud voice on a person.","화가 나면, 큰 소리로 말하는 행동이에요."
Can you ___ your toy?,너의 장난감을 [[보여주]]어요.,show,You allow others to view something.,다른 사람들이 어떤 것을 볼 수 있도록 해요.
We watched a ___ yesterday.,어제 [[공연]] 봤어요.,show,It is a performance on stage.,무대 위에서 보는 공연이에요.
I watched a ___ on TV.,나는 TV에서 [[쇼]] 봤어요.,show,You watch it on TV for enjoyment.,텔레비전에서 즐겁게 보는 프로그램이에요.
They did not ___ for dinner.,그들은 저녁 식사에 [[나타]]하지 않았어요.,show up,"When you expect no one to come, but someone appears unexpectedly.",예상치 못한 사람이 갑자기 나타날 때 쓰는 표현이에요.
They ___ at the party.,그들은 파티에 [[돋보이게 하다]]해요.,show up,It means to arrive at a place.,어디에 도착한다는 뜻이에요.
I like eating ______ with rice.,나는 밥과 함께 [[새우]]를 먹어요.,shrimp,It has 6 letters!,6글자예요!
The computer will ___ tonight.,컴퓨터가 오늘 밤 [[정지]]해요.,shut down,It means to turn off a device.,이것은 기계를 끄는 것을 말해요.
The store will ___ at nine.,가게는 아홉시에 [[폐업]]할 거예요.,shut down,It means to close a shop or machine permanently.,가게나 기계를 완전히 닫는다는 뜻이에요.
The ____ carries people every day.,그 [[왕복버스]]가 사람들을 매일 태워요.,shuttle,It is a bus that goes back and forth.,한 방향으로 오고 가는 버스예요.
The ___ travels in space.,이것은 우주 [[왕복선]]이에요.,shuttle,It is a vehicle to travel to space.,이것은 우주로 이동할 때 사용하는 탈것이에요.
He is ___ with new friends.,그 아이는 새 친구들에게 [[수줍어하는]].,shy,You might feel this way when talking to strangers.,낯선 사람과 이야기할 때 이렇게 느낄 수도 있어요.
I feel ___ today.,나는 오늘 [[아픈]] 기분이에요.,sick,"When you are unwell, you may need to rest.",몸이 안 좋아서 쉬어야 할 때 쓰는 단어예요.
I feel very ___ today.,나는 오늘 매우 [[병든]] 기분이에요.,sick,"When you feel bad, you might stay in bed.","몸이 안 좋을 때, 침대에 누워요."
He is ___ today.,그는 오늘 [[메스꺼운]] 상태예요.,sick,"When you feel unwell and may vomit, you are ___.",속이 안 좋고 토할 것 같을 때 쓰는 단어예요.
He sat on the ____.,그는 [[옆]]에 앉았어요.,side,It is the area next to the center.,중심 옆에 있는 부분이에요.
Stand at the ___ of the room.,방의 [[측면]]에 서세요.,side,"It is one part of something, like left or right.",왼쪽이나 오른쪽같이 물건의 한 부분을 말해요.
My ___ is on the left.,내 [[쪽]]은 왼쪽이에요.,side,It is one part of something. It can be left or right.,무언가의 한 부분이에요. 왼쪽이나 오른쪽을 말해요.
I enjoy ___ with my dinner.,저는 저녁과 함께 [[반찬]]을 즐겨요.,side dish,It is extra food that comes with your meal.,주요 음식과 함께 먹는 추가 음식이에요.
People use ___ to communicate.,사람들은 [[수화]]를 사용해 소통해요.,sign language,You use it to speak with your hands.,손으로 말할 때 사용하는 언어예요.
I want to ___ for the club.,나는 동아리에 [[가입]]해요.,sign up,"When you want to join a website, you fill out a form.",웹사이트에 등록할 때 양식을 작성해요.
We ___ for art class.,우리는 미술 수업에 [[신청]]해요.,sign up for,You do this to join a club or service.,이것은 동아리나 서비스를 가입할 때 하는 행동이에요.
They will ___ our art class.,그들은 우리 미술 수업에 [[등록]]해요.,sign up for,You fill a form to join an event.,행사에 참여하려고 양식을 작성하는 것을 의미해요.
She ___ her plan with a look.,그녀는 눈빛으로 [[암시]]했어요.,signal,When you want to show something quietly.,누군가에게 비밀스럽게 보여주고 싶을 때예요.
He ___ to start the race.,그는 경주 시작을 위해 [[나타내]]했어요.,signal,You use this word when you show others what to do.,다른 사람들에게 무엇을 할지 알려줄 때 써요.
A red light gives a ___.,빨간 불은 [[신호]]를 줘요.,signal,It shows when to stop or go.,멈추거나 가라고 알려주는 역할이에요.
She gave her ___ on the letter.,그녀는 편지에 [[서명]]했어요.,signature,It is a written name on documents.,서류 끝에 쓰는 이름이에요.
I saw a ___ outside the shop.,나는 가게 앞에 있는 [[간판]]을 봤어요.,signboard,It is a board that shows a shop's name.,상점의 이름을 알려주는 판에요.
The teacher ___ the noisy students.,선생님은 시끄러운 학생들을 [[침묵시키다]].,silence,It means to make people stop talking.,사람들이 말하는 것을 멈추게 해요.
Everyone enjoyed ___ during the play.,모두는 연극 동안 [[침묵]]을 즐겼어요.,silence,"When there is no sound, you experience this quiet state.",어떠한 소리도 없을 때 느끼는 조용한 상태예요.
The library is ___.,도서관은 [[침묵]]해요.,silent,It means quiet with no noise.,소리가 없는 조용한 상태예요.
This pen is ___ the other.,이 펜은 저 펜과 [[유사한]]이에요.,similar to,It means one thing is like another.,한 사물이 다른 사물과 비슷하다는 뜻이에요.
The answer is ___ correct.,정답은 [[그야말로]] 맞아요.,simply,It means in an easy and clear manner.,쉽고 명확하게 한다는 뜻이에요.
He spoke ___ during class.,그는 수업 중에 [[그야말로]] 말했다.,simply,It describes doing something without any extra details.,추가 설명 없이 간단하게 하는 것을 나타내요.
She explained the rule ___.,그녀는 규칙을 [[간단]]히 설명했어요.,simply,It means doing something in an easy way.,무언가를 어렵지 않게 하는 것을 말해요.
The teacher spoke ___ about the test.,"선생님은 시험에 대해 [[그냥,그저]] 말씀하셨어요.",simply,It means doing something in an easy way.,쉽게 한다는 뜻이에요.
She is ___ in her apology.,그녀는 [[진심]]으로 사과했어요.,sincere,You speak honestly without hiding feelings.,감정을 숨기지 않고 정직하게 말하는 것을 의미해요.
They ___ under the stars.,그들은 별빛 아래에서 [[노래]]해요.,sing,You do this when you perform music.,음악을 할 때 하는 행동이에요.
The ___ performs on stage.,그 [[가수]]가 무대에서 공연해요.,singer,This person sings songs.,이 사람은 노래를 불러요.
"Good morning, ___!","안녕하세요, [[님]]!",sir,You use this word to respectfully address a man.,남자를 공손하게 부를 때 사용하는 단어예요.
My ___ loves to play games.,내 [[자매]]는 게임하는 것을 좋아해요.,sister,She is your female family member.,그녀는 당신의 여자 가족이에요.
My ___ plays outside.,내 [[여동생]] 밖에서 놀아요.,sister,She is a girl in your family.,가족 중에 여자 아이예요.
My ___ is very kind.,내 [[수녀]]는 매우 착해요.,sister,She is a woman in a religious community.,그녀는 종교 모임에 있는 여성이에요.
Please ___ on a chair.,의자에 [[앉다]] 하세요.,sit,You lower your body onto a chair.,의자에 몸을 내리는 행동이에요.
The ___ of this box is huge.,이 상자의 [[크기]]는 커요.,size,It tells how big or small something is.,어떤 것의 크거나 작은 정도를 말해줘요.
The ___ glided gracefully on the ice.,그 [[스케이트]] 타는 사람이 빙판 위에서 미끄러졌어요.,skater,You ride on ice wearing skates.,특별한 신발을 신고 얼음 위에서 미끄러져요.
The doctor checks my ___ daily.,의사가 매일 내 [[피부]]를 확인해요.,skin,It is the outer covering of your body.,몸의 겉을 감싸는 부분이에요.
I peel the ___.,나는 과일의 [[껍질]]을 벗겨요.,skin,It is the outer part you remove from fruit.,과일에서 벗겨내는 겉부분이에요.
I ___ a stone on the lake.,나는 호수 위에 돌을 [[건너뛰다]] 던졌어요.,skip,Sometimes you do this when you don't want to go to school.,학교에 안 가고 싶을 때 하는 행동이에요.
I sometimes ___ breakfast.,나는 가끔 아침을 [[거르]]어요.,skip,"It means to leave something out on purpose, like not having breakfast.","어떤 것을 일부러 하지 않는다는 뜻이에요. 예를 들어, 아침을 먹지 않을 때 쓰여요."
He ___ the tough questions.,그는 어려운 질문을 [[회피]]했어요.,skirt,"When you do this, you avoid a direct approach.",직접 맞서지 않고 다른 길을 선택하는 것을 말해요.
She wore a ___ to school.,그녀는 [치마] 입었어요.,skirt,"You wear it around your waist, especially if you are a girl.",보통 여자들이 허리에 입는 옷이에요.
The ___ is above us.,우리는 [[하늘]]을 바라봐요.,sky,It is the blue area overhead.,우리 위의 파란 공간이예요.
He is a ___.,그 사람은 [[슬라브인]] 이에요.,Slav,This term describes someone from Eastern Europe.,이 단어는 동유럽 출신 사람을 나타내요.
I ___ at night.,나는 밤에 [[자다]]해요.,sleep,You lie down to rest when you are tired at night.,힘들 때 밤에 눕고 쉬는 행동이에요.
He feels ___ after lunch.,그는 점심 후에 [[졸린]]해요.,sleepy,You feel very tired when you want to sleep.,잠에 들고 싶을 정도로 매우 피곤해요.
I ___ the apple.,나는 사과를 [[나누]]했어요.,slice,"When you share food, you cut it into parts.",음식을 나눌 때 여러 조각으로 자르는 행동이에요.
I want a ___ of cake.,나는 케이크의 [[조각]]을 먹었어요.,slice,It means a thin piece cut from a whole.,전체에서 잘라낸 얇은 부분이에요.
He will ___ on the floor.,그는 바닥에서 [[미끄러지]]어요.,slide,You move smoothly on a slippery surface.,미끄러운 곳에서 부드럽게 움직여요.
The park has a ___.,공원에 [[미끄럼틀]] 있어요.,slide,You go down fast on this in a playground.,놀이터에서 이것을 타고 내려가요.
The water is ___ cold.,물은 [[조금]] 차가워요.,slightly,"It means a little bit, not much.",많지 않은 정도를 나타내요.
The model is very ____.,그 모델은 매우 [[날씬]]해요.,slim,It means someone is not fat.,살이 많지 않다는 뜻이에요.
The man is very ___.,그 남자는 매우 [[희박한]].,slim,It describes someone with a very small body size.,몸이 작고 날씬한 사람을 설명해요.
I wear ___ at home.,나는 집에서 [[실내화]] 신어요.,slipper,You wear these indoors to be comfortable.,집에서 편안하게 신는 신발이에요.
The road is ___ after rain.,비 온 후에 길이 [[미끄러운]] 상태예요.,slippery,It describes a surface that is smooth and can make you fall.,표면이 부드러워서 넘어질 수 있다는 뜻이에요.
The ad had a ___.,광고에 [[선전 문구]]가 있어요.,slogan,It is a phrase that companies use to advertise themselves.,회사들이 자신을 알리기 위해 사용하는 짧은 문구예요.
The turtle is ___.,거북이는 [[느린]]이에요.,slow,"It means not fast, like a tortoise.",빨리 움직이지 않는다는 뜻이에요.
Drivers must ______ on icy roads.,운전자들은 미끄러운 길에서 반드시 [[침체되다]].,slow down,You make your car go less fast to be safe.,안전하게 가기 위해 차의 속도를 줄여요.
Drivers must ___ in school zones.,운전자들은 학교 구역에서 [[속도를 늦추]].,slow down,It means to go less fast.,더 느리게 움직인다는 뜻이에요.
He talks ___ in the meeting.,그는 회의에서 [[천천히]] 말해요.,slowly,Think of moving without rushing.,서두르지 않고 움직이는 것을 생각해보세요.
