fill_in_blank_quiz,korean_translation,answer,hint_eng,hint_kor
The hero wore a ___.,영웅은 [[망토]]를 입었어요.,cape,Worn by heroes on the shoulders.,영웅들이 어깨에 두르는 옷이에요.
She browsed the ___ at the shop.,그녀는 가게에서 [[카탈로그]]를 봤어요.,catalog,It is a book showing store items.,가게에서 파는 물건들이 찍힌 책이에요.
I read the ___ at the shop.,가게에서 [[상품목록]]을 읽었어요.,catalogue,It is a printed book showing items to buy.,사려고 가게에서 볼 수 있는 인쇄된 책이에요.
They ___ the boxes together.,그들은 상자들을 함께 [[묶]]어요.,chain,It links objects so they stay together.,물건들을 연결해서 같이 있도록 해줘요.
He fixed the ___ on his bike.,그는 자전거의 [[사슬]]을 고쳤어요.,chain,It is a group of metal rings that connect parts.,연결하는 금속 링들의 모음이에요.
He smoked a ___.,그는 [[담배]]를 피웠어요.,cigarette,You light it and smoke it.,불을 붙여서 피워요.
The town's ___ boosts its economy.,그 도시의 [[상업]]이 경제를 살려요.,commerce,It is about buying and selling goods.,상품을 사고 파는 활동을 말해요.
Every story has ___.,모든 이야기에는 [[전후 관계]]가 있어요.,context,It is the background that helps you understand a text.,글 전체를 이해하는 데 도움을 주는 배경이에요.
Find the ___ in the book.,책 속에서 [[문맥]]을 찾아보세요.,context,It is the writing around a word that helps you understand.,단어를 이해하는 데 주변 글이 도움을 줘요.
They _____ about their hobbies.,친구들은 취미에 대해 [[이야기]]해요.,converse,You talk with another person.,다른 사람과 이야기해요.
Their ideas are ___ to each other.,그들의 생각은 서로 [[거꾸로의]]이에요.,converse,It describes something in the opposite direction.,어떤 것이 보통과 달리 반대 방향일 때 사용해요.
A ___ helps keep us safe.,그 [[경찰]]은 우리를 안전하게 지켜요.,cop,A uniformed person who protects people.,제복을 입고 사람들을 지키는 사람이에요.
The ___ has many farms.,이 [[군]]에는 많은 농장이 있어요.,county,It is a region in America with small towns.,"미국의 행정구역으로, 작은 마을들이 있는 곳이에요."
I live in a ___.,나는 [[자치주]]에 살아요.,county,It is an area with its own government.,자신의 정부가 있는 지역이에요.
His treatment was _____.,그의 대우는 [[잔인]]해요.,cruel,It describes someone very unkind who causes pain.,남을 다치게 하는 매우 못된 사람을 말해요.
Her ___ sparked many questions.,그녀의 [[호기심]]이 많은 질문을 불러일으켰어요.,curiosity,It means a strong desire to learn something new.,새로운 것을 알고 싶어하는 마음을 말해요.
I like to ___ every day.,나는 매일 [[자전거]]를 타요.,cycle,You ride a bike for fun.,자전거를 탈 때 즐거움을 느끼는 행동이에요.
I ride my ___.,나는 내 [[자전거]]를 타요.,cycle,It is a two-wheeled vehicle you pedal.,"두 개의 바퀴가 있고, 페달을 밟아요."
Seasons change in a ___.,계절은 [[순환]]이에요.,cycle,It means something that happens again and again.,계속 반복되는 것을 말해요.
The ___ rides a bicycle.,그 [[자전거 타는 사람]]은 자전거를 타요.,cyclist,This person rides a bicycle.,이 사람은 자전거를 타요.
He struggles with a ______.,그는 [[신세]]를 졌어요.,debt,This is when you owe money.,누군가에게 돈을 빌렸을 때의 상태예요.
She has a ______ to repay.,그녀는 갚아야 할 [[빚]]이 있어요.,debt,You borrow money and must pay it back.,돈을 빌리고 갚아야 해요.
Our ___ protected the goal.,우리의 [[수비]]가 골문을 지켰어요.,defense,It is what you do to stop the opponent from scoring.,상대가 골을 넣지 못하게 막는 것을 말해요.
You ___ words clearly.,너는 단어를 [[정의]]해요.,define,You tell someone the meaning of a word.,어떤 단어의 뜻을 말해주는 행동이에요.
Her decision is ______.,그녀의 결정은 [[확실]]해요.,definite,It means something clear and sure.,분명하고 확실하다는 뜻이에요.
Sad news can ___ you.,슬픈 소식이 너를 [[내리누르다]].,depress,It means to make you feel very sad.,기분이 많이 가라앉는 것을 말해요.
The movie ___ our mood.,영화가 우리의 기분을 [[우울하게 하다]].,depress,It makes someone feel very sad.,누군가를 아주 슬프게 만들어요.
I do not want to ______ you.,나는 너를 [[실망]]시키지 않아요.,disappoint,You make someone feel let down.,누군가를 실망하게 만들어요.
The company will ___ many workers.,회사가 많은 직원을 [[해고]]할 거예요.,discharge,This word means to let an employee leave the company.,이 단어는 직원이 회사를 떠나도록 하는 것을 말해요.
The plant ___ water into the river.,공장은 강으로 물을 [[방출]]해요.,discharge,It means to let something out.,어떤 것이 밖으로 나오게 하는 것을 말해요.
The pipe ___s air.,파이프에서 공기가 [[흐르]]어요.,discharge,It means letting gas or air flow out.,공기나 기체가 밖으로 나가는 것을 말해요.
She felt ___ at the smell.,그녀는 냄새에 [[혐오감]]을 느꼈어요.,disgust,It is a strong feeling of dislike.,매우 싫은 감정을 말해요.
Her parents had a ___.,그녀의 부모님은 [[이혼]]했어요.,divorce,It means a couple is no longer married.,부부가 더 이상 결혼하지 않는다는 뜻이에요.
I bought a ___ of eggs.,나는 계란을 [[1다스]] 샀어요.,dozen,It means twelve items.,열두 개를 뜻해요.
He took a ___ for pain.,그는 통증 때문에 [[약]]을 먹었어요.,drug,This is something you take when you are sick.,아플 때 먹는 거예요.
The pain will ___ soon.,통증이 [[덜해지]]어요.,ease,When pain becomes less intense.,고통이 덜 심해질 때를 말해요.
Mom will ____ our worries.,엄마가 우리의 걱정을 [[수월하게 하다]]해요.,ease,It means to make things simpler.,어떤 일을 더 쉽게 만든다는 뜻이에요.
He did the job with ___.,그는 일을 [[쉬움]]으로 했어요.,ease,It is when something is not hard.,어떤 것이 어렵지 않을 때라고 해요.
We ___ our mayor.,우리는 우리 시장을 [[선출]]해요.,elect,Rearrange these letters!: L E T C E,다음 글자들을 재배열 해보세요!: L E T C E
He can ___ you in front of friends.,그는 친구들 앞에서 널 [[당황]] 시킬 수 있어요.,embarrass,"When someone makes you feel shy in public, this describes it.",누군가가 공공장소에서 널 어색하게 만들 때 쓰는 말이에요.
Students ___ at the university.,학생들은 대학에 [[등록]]해요.,enroll,It means to sign up to start learning.,배우기 위해 신청하는 것을 뜻해요.
The clown will ___ the children.,광대가 아이들을 [[즐겁게]] 해요.,entertain,Think of a funny show that makes you smile.,재미있는 공연을 보면 미소가 지어져요.
I ___ a hopeful thought.,나는 희망적인 [[생각]]을 품었어요.,entertain,You keep a thought in your mind.,마음속에 어떤 생각을 간직할 때 쓰는 단어예요.
This gift is ___.,이 선물은 [[특별]]해요.,especial,Use this word when something is not ordinary.,뭔가 평범하지 않을 때 쓰는 단어예요.
I wrote an ___.,나는 [[에세이]] 썼어요.,essay,It is a short piece of writing for school.,학교에서 쓰는 짧은 글이에요.
I took an ___ yesterday.,나는 어제 [[시험]]을 봤어요.,exam,You take it in school to check your learning.,학교에서 배운 것을 확인하는 과정이에요.
The doctor conducted an ___ this morning.,의사는 오늘 아침에 [[검사]]를 실시했어요.,examination,You visit a doctor to check if you are healthy.,건강 상태를 확인하기 위해 의사를 만나는 거예요.
They scheduled the ___ for next week.,그들은 다음 주에 [[시험]]을 예정했어요.,examination,It is a check of how much you learned.,네가 얼마나 배웠는지 확인하는 방법이에요.
That movie ___ many people.,그 영화는 많은 사람들을 [[흥분시키다]]요.,excite,It makes you feel very happy.,매우 기뻐지게 만들어요.
Please use the ___ to leave.,나가려면 [[출구]]를 사용하세요.,exit,It is where you leave a building.,건물을 나갈 때 쓰는 곳이에요.
The ___ makes cars.,그 [[공장]]에서 자동차를 만들어요.,factory,It is a place where products are made.,물건들이 만들어지는 곳이에요.
Mom can ___ her daughter.,어머니는 딸을 [[편애]]할 수 있어요.,favor,It means to treat someone with special care.,누군가를 특별히 잘 대하는 것을 말해요.
I ___ apples every morning.,나는 매일 아침 사과를 [[좋아]]해요.,favor,It is what you do when you enjoy something.,무언가를 즐길 때 하는 행동이에요.
She asked me for a ___.,그녀는 나에게 [[부탁]]했어요.,favor,This word is used when you help a friend kindly.,친구를 돕기 위해 해 주는 친절한 일이에요.
He did me a ___.,그는 나에게 [[호의]]를 베풀었어요.,favor,It's when someone does something kind to help you.,누군가가 너를 도와주기 위해 친절을 베풀 때 예요.
She is in high ___.,그녀는 매우 [[인기]]예요.,favor,It means people have a good opinion of you.,사람들이 당신에 대해 좋은 의견을 가진 의미예요.
We ___ our parents.,우리는 부모님을 [[존중]]해요.,honor,You show respect and admiration to someone valued.,소중한 사람에게 존경과 애정을 표현하는 거예요.
She always ___ her promise.,그녀는 항상 약속을 [[지키다]] 해요.,honor,You do this when you keep a promise.,약속을 지켰을 때 하는 행동이에요.
They ___ their guest at dinner.,그들은 저녁 식사 때 손님께 [[경의]] 표했어요.,honor,How do you show respect to someone important?,중요한 사람에게 존경을 표시하는 방법은 무엇일까요?
They ___ their heroes.,그들은 우리 영웅에게 [[명예]]를 줘요.,honor,It means to show respect to someone.,누군가에게 존경을 나타내는 거예요.
This show has ______.,이 쇼는 [[유머]]가 있어요.,humor,It is the quality that makes people laugh in movies.,사람들이 영화에서 웃게 만드는 성질이에요.
She works in the ___ every day.,그녀는 매일 [[실험실]]에서 일해요.,lab,It is a place for science work.,과학 활동을 하는 곳이에요.
They ___ to finish the project.,그들은 프로젝트를 마치려고 [[애쓰]]어요.,labor,You work very hard on a tough task.,힘든 일을 위해 많이 노력해요.
Workers do hard ___ daily.,작업자들은 매일 열심히 [[노동]]해요.,labor,It's work people perform with effort.,사람들이 힘을 들여 하는 일이에요.
The scientist works in the ___.,과학자는 [[실험실]]에서 일해요.,laboratory,It's a place for science experiments.,과학 실험을 하는 곳이에요.
She passed her ___ last month.,그녀는 지난달 [[면허]] 취득했어요.,license,You need this to drive a car.,자동차 운전을 위해 필요한 것이에요.
I live near my ___.,나는 내 [[이웃사람]]과 가깝게 지내요.,neighbor,Rearrange these letters!: B R E I O N H G,다음 글자들을 재배열 해보세요!: B R E I O N H G
Look at my ___.,내 [[사진]]을 보세요.,photo,It is an image taken by a camera.,카메라로 찍은 이미지예요.
She took a stunning ______.,그녀는 멋진 [[사진]]을 찍었어요.,photograph,You take this with a camera to capture a moment.,카메라로 순간을 담는 거예요.
We ___ honesty every day.,우리는 정직을 [[실천]]해요.,practice,You do this repeatedly to improve.,꾸준히 하여 발전하는 행동이에요.
I ___ every day.,"나는 매일 [[사용하다,실행하다]]해요.",practice,Doing it many times helps improve your skills.,자주 하면 실력이 늘어요.
The doctor opened a ___.,의사가 [[영업]]을 열었어요.,practice,It is a place where a doctor works.,의사가 일하는 곳이에요.
They follow ___ in life.,그들은 인생에서 [[관행]]을 따라요.,practice,It is a usual way things are done.,사람들이 규칙적으로 하는 방법이에요.
They need ___ daily.,그들은 매일 [[실천]]해요.,practice,It means doing an activity many times to learn better.,더 잘 배우기 위해 반복해서 하는 활동이에요.
I ___ the truth.,나는 진실을 [[깨닫]]었어요.,realize,It means to suddenly know the truth.,갑자기 진실을 알게 되는 것을 말해요.
I suddenly ______ the truth.,나는 갑자기 진실을 [[깨닫]]었어요.,realize,How do you know something for the first time?,처음으로 뭔가를 알게 될 때 어떤 기분일까요?
The artist used a new ______.,예술가는 새로운 [[기술]]을 사용했어요.,technique,It means a special way to do things.,무언가를 하는 특별한 방법을 말해요.
I visited the ___ last night.,나는 어젯밤 [[극장]]에 갔어요.,theater,It is a building for watching plays.,연극을 볼 수 있는 건물이예요.
We went to the ___ for a play.,우리는 연극 보러 [[극장]]에 갔어요.,theater,Rearrange these letters!: H A E T R E T,다음 글자들을 재배열 해보세요!: H A E T R E T
He runs ___ the store.,그는 가게 [[무렵]] 달려요.,toward,Rearrange these letters!: R T A W D O,다음 글자들을 재배열 해보세요!: R T A W D O
She walked ___ the store.,그녀는 가게 [[쪽으로]] 걸었어요.,toward,It tells where someone is moving to.,누군가 어디로 간다는 뜻이에요.
They ran ___ the park.,그들은 공원 [[쪽으로]] 달렸어요.,towards,It tells the direction of movement.,움직이는 방향을 나타내요.
The decision is __.,결정은 [[절대적인]] 이에요.,absolute,"It means everything is complete, with no parts missing.",모든 것이 완전해서 빠진 부분이 없다는 뜻이에요.
Her answer was ______.,그녀의 대답은 [[완전한]]이에요.,absolute,It means completely perfect without any limitations.,아무것도 빠지지 않는 완벽함을 말해요.
I try to ___ my account.,나는 계정에 [[접속]]해요.,access,It means to get into a computer system.,컴퓨터나 네트워크에 들어갈 때 쓰는 말이에요.
They provided ___ to the internet.,그들은 인터넷에 [[접근]]했어요.,access,It means you can enter a place.,어떤 곳에 들어갈 수 있다는 뜻이에요.
Her ___ to college changed everything.,그녀는 대학에 [[입학]]했어요.,admission,You need it to join school.,학교에 들어가기 위해 필요해요.
They felt ___ for each other.,그들은 서로에 대한 [[애정]]을 느꼈어요.,affection,It is a warm feeling you share with someone.,누군가와 나누는 따뜻한 감정이에요.
I ___ my plans today.,나는 오늘 계획을 [[바꾸]]어요.,alter,It means to make something different.,뭔가를 다르게 만드는 것을 말해요.
He did it ___ without help.,그는 도움 없이 [[완전히]] 했어요.,altogether,"If you do every step without missing any, it shows a full completion.","모든 단계를 빼놓지 않고 하면, 완전한 상태를 나타내요."
She is ___ wrong.,그녀는 [[전체적으로]] 틀렸어요.,altogether,It means completely when parts are added.,부분들을 모두 합하면 완전해진다는 뜻이에요.
The principal will ___ the meeting today.,교장선생님이 오늘 회의를 [[방송]]해요.,announce,"When you share important news in public, you do this.",중요한 소식을 사람들에게 말할 때 하는 행동이에요.
They will ____ the news.,그들은 소식을 [[알리]]해요.,announce,You tell people important news in a public way.,중요한 소식을 모두에게 전하는 행동이에요.
They hold an ___ meeting.,그들은 [[매년의]] 모임을 열어요.,annual,It happens every year.,매년 한 번씩 일어나요.
This song ___ to listeners.,이 노래는 청중의 [[관심]]을 끌어요.,appeal,It describes when something makes you interested.,어떤 것이 사람들의 관심을 끌 때를 말해요.
They always ___ for help.,그들은 항상 [[호소]]해요.,appeal,It means to ask strongly for help.,도움이 필요할 때 강하게 부탁하는 것을 말해요.
The movie ___ to many viewers.,그 영화는 많은 관객들에게 [[매력적]]이었어요.,appeal,How does a film show that it attracts you?,"영화가 당신을 끌어당길 때, 어떻게 보이나요?"
The toy's ___ is clear.,장난감의 [[매력]]이 특별해요.,appeal,It is the quality that makes you like something.,무엇인가를 좋아하게 하는 성질이에요.
The school will ___ a teacher.,학교는 선생님을 [[임명]]해요.,appoint,You officially choose someone for a job.,공식적으로 누군가를 선택하는 거예요.
Teachers ___ students' work.,선생님들은 학생들의 [[평가]]를 해요.,assess,You check something to decide if it's good.,무언가를 확인하고 좋음을 결정해요.
The city will ____ a fee.,도시는 요금을 [[부과]]해요.,assess,It means to decide the fee you pay.,내야 할 요금을 정하는 것을 말해요.
I will ___ my friend.,나는 친구를 [[돕]]어요.,assist,You give help to someone.,누군가에게 도움을 줘요.
The ___ helps with tasks.,그 [[조수]]가 일을 도와요.,assistant,This person helps a boss at work.,이 사람은 상사를 도와줘요.
My ___ helped me at school.,내 [[조수]]가 학교에서 도와줬어요.,assistant,They help you do work.,일을 도와주는 사람이에요.
They built a ___ around the garden.,그들은 정원 주위에 [[울타리]]를 세웠어요.,fence,It is built outdoors to keep a yard safe.,밖에서 마당을 안전하게 지키기 위해 세워요.
I study ___ at the university.,나는 대학교에서 [[재정]]을 공부해요.,finance,It involves money management.,돈과 예산을 관리하는 일을 말해요.
He studies ______ at night.,그는 밤에 [[금융]]를 공부해요.,finance,This is about managing money in business.,이것은 사업에서 돈을 관리하는 것을 말해요.
The boat sailed ___ for rescue.,배는 구조를 위해 [[앞으로]] 나아갔어요.,forth,It means to move forward.,앞으로 이동한다는 뜻이에요.
She spoke ___ about the mistake.,그녀는 [[솔직히]] 실수에 대해 말했어요.,frankly,You speak in this way when you are honest.,정직할 때 이렇게 말해요.
Difficult tasks often ___ people.,어려운 일은 사람들을 [[좌절시키다]]요.,frustrate,It makes you feel discouraged when things fail.,일이 잘 되지 않을 때 기운이 없어지는 느낌이에요.
The ___ eats leaves.,동물원에서 [[기린]]이 풀을 먹어요.,giraffe,It is a tall animal with a long neck.,목이 긴 키 큰 동물이에요.
I play ___ with my friends.,나는 친구들과 [[골프]]를 해요.,golf,You play this sport on grass with clubs.,잔디에서 클럽을 이용해 공을 치는 스포츠예요.
The university will ___ the scholarship.,대학은 장학금을 [[승인]]할 거예요.,grant,It is when an authority officially allows something.,공식적으로 허락할 때 하는 행동이에요.
He received a ___ last year.,그는 작년에 [[보조금]]을 받았어요.,grant,It is money given by the government or an organization for help.,정부나 단체에서 도움을 위해 주는 돈이에요.
The school got a ___.,학교는 [[기부금]]을 받았어요.,grant,It is money given to help with work or study.,일이나 공부를 돕기 위해 주는 돈이에요.
The image is ___.,그림은 [[생생한]]예요.,graphic,It describes pictures with very clear details.,이 단어는 그림에 선명한 디테일이 있는 것을 말해요.
This design looks ___.,이 디자인은 [[그래픽]]해요.,graphic,It is used when something shows pictures.,그것은 그림을 보여줄 때 쓰여요.
He admitted his ___ and apologized.,그는 자신의 [[유죄]]를 느꼈어요.,guilt,You feel this when you know you did something wrong.,잘못한 것을 알고 있을 때 느끼는 감정이에요.
She feels ____ after the mistake.,그녀는 실수 후에 [[죄책감]]을 느껴요.,guilt,It is the feeling when you feel bad for doing something wrong.,잘못한 일 때문에 기분 나쁠 때 느껴지는 감정이에요.
The soldier held a ___.,군인은 [[총]]을 들고 있었어요.,gun,You see this in police movies with loud sounds.,경찰 영화에서 큰 소리를 내며 나오는 물건이에요.
The __ is in the sky.,나는 하늘에서 [[헬리콥터]]를 봐요.,helicopter,It is a flying machine used for emergencies.,비상시에 사용하는 하늘을 나는 기계예요.
They believed in ___ after death.,그들은 죽은 후에 [[지옥]]을 믿었어요.,hell,It is a very bad place people fear after death.,사람들이 죽은 후에 두려워하는 아주 나쁜 곳이에요.
I drive on the ___ every day.,나는 매일 [[고속도로]]를 운전해요.,highway,It is a long road for fast cars.,빠른 차들이 다니도록 만들어진 긴 길이에요.
I stayed in a ______ last night.,나는 어젯밤에 [[호텔]]에서 묵었어요.,hotel,It is a place where people stay during trips.,여행할 때 사람들이 머무는 곳이에요.
I have ____ when food is gone.,나는 음식이 없을 때 [[굶주림]]을 느껴요.,hunger,How do you feel when your tummy is empty?,음식이 없을 때 느끼는 기분은 어떨까요?
I will ___ you soon.,나는 너에게 곧 [[알리]]할 거예요.,inform,You tell someone news.,누군가에게 소식을 전해요.
The teacher ___ students.,선생님이 학생들에게 [[알리다]] 해요.,inform,You tell someone important news.,중요한 소식을 누군가에게 전할 때 쓰는 단어예요.
We discussed one ______ in class.,우리는 수업에서 [[사례]]를 논의했어요.,instance,It's used to show one clear example.,하나의 예를 보여줄 때 쓰는 단어예요.
I ___ my car.,나는 내 차를 [[보장]]해요.,insure,You do this to be protected in case of an accident.,사고가 나면 보호를 받을 수 있도록 해요.
We ___ our house against fire.,우리는 화재에 대비해 [[보험]] 계약했어요.,insure,You get a plan that helps if something bad happens.,문제가 생길 때 도움되는 약속을 해요.
My ___ are very comfortable.,내 [[청바지]]는 아주 편해요.,jeans,You wear these for casual outings.,평소에 입는 바지예요.
He gains ___ from reading books.,그는 책을 읽으면서 [[지식]]을 얻어요.,knowledge,It is what you gain in school and reading.,학교나 책에서 배우는 것이에요.
The team won the ___ last season.,팀은 지난 시즌에 [[리그]]에서 우승했어요.,league,It is a group for teams in sports.,스포츠 팀들이 함께 경기를 하는 모임이에요.
I add ___ to my tea.,나는 차에 [[레몬]]을 넣어요.,lemon,This fruit is yellow and sour.,이 과일은 노랗고 시어요.
The bank gave a ___.,은행은 돈을 빌려주는 [[대출]]이에요.,loan,Rearrange these letters!: O L A N,다음 글자들을 재배열 해보세요!: O L A N
The speed limit is ___.,속도 제한은 [[최대한의]]예요.,maximum,It means the highest or most you can have.,가질 수 있는 가장 높거나 많은 것을 말해요.
I ate a ___.,나는 [[멜론]]을 먹었어요.,melon,It is a sweet fruit often eaten in summer.,여름에 자주 먹는 달콤한 과일이에요.
I heated my food in the ____.,나는 음식을 [[전자레인지]]에 데웠어요.,microwave,It heats food fast in a kitchen.,부엌에서 음식을 빨리 데워요.
This ___ heats food fast.,이 기계는 음식을 빠르게 [[마이크로파]]해요.,microwave,It uses special waves to heat food.,음식을 데우기 위해 특수 파동을 사용해요.
Farmers ___ grain for making flour.,농부들이 곡식을 [[제분]]해요.,mill,It is used to grind grain.,곡식을 갈 때 사용하는 기계예요.
The ___ grinds wheat into flour.,이 [[물방앗간]]은 밀을 갈아요.,mill,It is a place where you grind grain.,곡식을 가는 곳이에요.
A ___ is too young to work.,[[미성년자]]는 너무 어려서 일을 못해요.,minor,A person who is not old enough for many responsibilities.,아직 여러 일을 할 수 없을 정도로 나이가 적은 사람이에요.
The tune is in ___ key.,그 곡은 [[단조]]예요.,minor,It is a musical key known for a sad tone.,슬픈 느낌의 음악 조예요.
She selected a ___ field of study.,그녀는 [[부전공]]을 선택했어요.,minor,It is a subject you study in addition to your main subject.,주전공 외에 같이 공부하는 과목이에요.
He made a ___ mistake.,그는 [[작은]] 실수를 했어요.,minor,It describes something not very big or important.,이 단어는 크거나 중요하지 않은 것을 뜻해요.
The problem is ___.,문제는 [[사소한]].,minor,It describes something not large or serious.,큰 것이나 심각하지 않은 것을 설명할 때 쓰여요.
The doctor examined my ____.,의사가 내 [[신경]]을 검사했어요.,nerve,It sends messages in your body.,이것은 몸에서 신호를 전달해요.
She had ___ to try again.,그녀는 다시 시도할 [[용기]]가 있었어요.,nerve,It means you show bravery when you are scared.,"두려울 때, 용감함을 보이는 것을 뜻해요."
___ came to the party.,파티에 [[아무도]] 없었어요.,none,It indicates there is not a single person.,한 사람도 없음을 나타내요.
