fill_in_blank_quiz,korean_translation,answer,hint_eng,hint_kor
I ___ to my friend.,나는 내 친구에게 [[사과]]했어요.,apologize,It is used to say you are sorry.,미안하다고 말할 때 쓰는 단어예요.
She made a ___ for her mistake.,그녀는 자신의 실수에 대해 [[사과]]했어요.,apology,It is used when someone feels sorry for a mistake.,누군가 실수에 대해 미안해할 때 쓰이는 단어예요.
He opened the ___ on his phone.,그는 전화로 [[응용 프로그램]]을 열었어요.,app,It is used on phones for tasks.,전화에서 여러 일을 할 때 사용하는 것이에요.
The ___ of the star was surprising.,별의 [[출현]]은 놀라웠어요.,appearance,It describes when someone or something shows up suddenly.,누군가 또는 무언가 갑자기 보일 때 쓰는 말이에요.
Her ___ is nice.,그녀의 [[겉모습]]이 예뻐요.,appearance,It means how someone looks on the outside.,사람이 바깥에서 보이는 모습이에요.
Her ___ is nice.,그녀의 [[외모]]가 예뻐요.,appearance,It is about how a person looks.,사람이 어떻게 생겼는지에 관한 말이에요.
I ordered the ______ at dinner.,나는 저녁에 [[전채]]를 주문했어요.,appetizer,It is a small dish served before the meal.,식사 전에 내놓는 작은 요리예요.
I eat a ___ every morning.,나는 매일 아침 [[사과]]를 먹어요.,apple,It is a red or green fruit that is juicy.,"빨갛거나 초록색이며, 즙이 많고 맛있는 과일이에요."
I sent my ___ yesterday.,나는 어제 [[지원]] 보냈어요.,application,It is a form for applying to a job or school.,취직 또는 학교에 지원할 때 사용하는 서류예요.
Use the ___ in this project.,이 프로젝트에 [[적용]]을 사용해요.,application,It shows how to put something in use.,어떤 것을 사용하기 위한 방법을 알려줘요.
I filled the ___ today.,저는 오늘 [[지원서]]를 작성했어요.,application,It starts with 'a'!,a로 시작하는 단어예요!
I use an ___ on my computer.,나는 내 컴퓨터에서 [[응용 프로그램]]을 사용해요.,application,It is a program that you use on computers.,컴퓨터에서 사용하는 프로그램이에요.
I have an ___ with my doctor.,나는 의사와 [[약속]] 있어요.,appointment,It is a planned meeting with someone.,누군가와 미리 정한 만남이에요.
She showed ___ for her help.,그녀는 [[감상]]을 보였어요.,appreciation,It is the feeling you have when you thank someone.,누군가에게 감사를 전할 때 느끼는 감정이에요.
I feel ___ for my teacher.,저는 선생님께 [[감탄]]을 느껴요.,appreciation,It's the feeling you show when you are thankful.,고마울 때 나타내는 느낌이에요.
He showed ___ for kind words.,그는 친절한 말에 [[감사]]했어요.,appreciation,"When you feel thankful, use this word.",고마움을 나타낼 때 쓰는 말이에요.
The house had ______ after repair.,집은 수리 후 [[상승]]했어요.,appreciation,It means the value goes up over time.,시간이 지나면서 값어치가 올라갈 때 사용해요.
The ___ plans the building.,그 사람은 [[건축가]]예요.,architect,This person designs houses and schools.,이 사람은 집과 학교를 설계해요.
He studies ___ in college.,그는 대학에서 [[건축술]]을 공부해요.,architecture,It involves planning buildings and cities.,건물과 도시를 계획하는 것을 뜻해요.
I love ______ of old buildings.,나는 오래된 건물의 [[건축물]]을 좋아해요.,architecture,It means designing and making buildings.,건물을 계획하고 만드는 것을 말해요.
The park has a big ____.,공원의 [[면적]]이 넓어요.,area,It shows how much space a place has.,장소가 가진 공간의 크기를 보여줘요.
She excels in the ____ of music.,그녀는 음악 [[분야]]에 뛰어나요.,area,It describes a section or subject.,어떤 부분이나 공부하는 분야를 설명해요.
The park has a big ___.,공원에는 넓은 [[지역]] 있어요.,area,It is a part of a place.,어떤 장소의 한 부분이에요.
This ___ is on the map.,이 [[부위]]는 지도에 있어요.,area,It means a specific part or space.,특정한 부분이나 공간을 뜻해요.
They had an ___ in class.,"그들은 수업에서 [[토론,논쟁]]했어요.",argument,It is a discussion when people have different opinions.,사람들이 서로 다른 의견을 말하는 대화예요.
He had an ___ at the meeting.,그는 회의에서 [[주장]]을 했어요.,argument,It is when people do not agree on something.,사람들이 어떤 일에 동의하지 않을 때예요.
They had an ___.,그들은 [[말다툼]]했어요.,argument,When two people disagree using words.,두 사람이 말로 의견 차이를 보일 때예요.
The country will ___ its soldiers.,그 나라는 군인들에게 [[무장시키]]어요.,arm,It means to give weapons to soldiers.,군인들에게 무기를 줘요.
The soldier used an ___.,군인은 [[무기]]를 사용했어요.,arm,It is used in wars and fights.,전쟁과 싸움에 쓰이는 물건이에요.
He broke his ___.,그의 [[팔]]이 부러졌어요.,arm,You use this body part to hug and wave.,안아주거나 손을 흔드는 데 사용하는 신체 부위예요.
The dog ran ___ the park.,개가 공원 [[주위에]] 달렸어요.,around,It shows that something is located on every side.,어떤 것의 주변에 있음을 나타내요.
It costs ___ ten dollars.,이것은 [[약]] 십 달러예요.,around,It is used to show an approximate amount.,대략의 양을 나타낼 때 쓰여요.
The bus ____ at ten.,버스는 10시에 [[도착]]해요.,arrive,You come to a place after a journey.,여행 후에 어떤 곳에 가는 것을 말해요.
The archer shot the ___ with skill.,궁수는 활로 [[화살]]을 쐈어요.,arrow,It flies from a bow.,활로 쏘면 날아가요.
The gallery shows ___.,미술관은 [[예술]]을 보여줘요.,art,It is creative work found in museums.,박물관에서 볼 수 있는 창조적인 작품이에요.
I love ___.,나는 [[미술]] 좋아해요.,art,It shows creative work like painting.,그림처럼 창의적인 일을 나타내요.
This lake is ___.,이 호수는 [[인공의]]이에요.,artificial,It means something is made by people instead of from nature.,자연 대신 사람이 만들었다는 뜻이에요.
They built an ___ lake.,그들은 [[인공의]] 호수를 만들었어요.,artificial,It means something is not natural but made by people.,"자연이 아닌, 사람이 만든 것이에요."
The ___ made a new painting.,그 [[예술가]]가 새로운 그림을 그렸어요.,artist,This person creates paintings and drawings.,그 사람은 그림과 조각을 만들어요.
The painting is ___.,그 그림은 [[예술적인]]이에요.,artistic,It describes something creative and beautiful.,창조적이고 아름다운 것을 나타내요.
The museum displays ___.,박물관에서는 [[예술 작품]]을 전시해요.,artwork,It is made by an artist for display.,작가가 만들어 전시하는 물건이에요.
He works ___ a teacher.,그는 선생님[[듯이]] 일해요.,as,It is used to compare things.,비슷한 것을 비교할 때 사용해요.
He works ___ a cook.,그는 [[처럼]] 요리사예요.,as,It means being like someone else.,누군가와 비슷함을 나타내요.
She works ___ a student.,그녀는 학생 [[로서]] 일해요.,as,It shows a role or capacity in a sentence.,문장에서 누군가의 역할을 나타내요.
Call me ___ you arrive.,도착[[할 때]] 전화해요.,as,It has 2 letters!,2글자예요!
"She missed the bus, ___ she was late.",버스를 놓쳐서 [[그 결과]] 늦었어요.,as a result,It shows the effect of one action on another.,어떤 행동이 다른 행동에 미친 결과를 나타내는 말이에요.
"It was raining. ___, we stayed home.","비가 왔어요. [[결과적으로]], 우리는 집에 있었어요.",as a result,It shows the outcome of an event.,어떤 사건의 결과를 나타내요.
I will help ___ you need me.,네가 나를 필요로 할 때 [[하기만 한다면]] 내가 도와줄게.,as long as,It means you can do it if something is true.,어떤 일이 사실일 때 쓰는 표현이에요.
I work ___ the sun shines.,나는 해가 뜨는 [[하는 동안은]] 일해요.,as long as,It is used to indicate a time period while a condition exists.,어떤 조건이 지속될 때 시간을 나타내는 표현이에요.
She likes cats ___ dogs.,그녀는 고양이 [[뿐만 아니라]] 개도 좋아해요.,as well as,It connects two items in a sentence.,두 항목을 연결할 때 쓰는 말이에요.
The fire left ___ on the ground.,불 후에 땅에 [[재]] 남았어요.,ash,It is the gray powder left after burning.,불탄 후에 남은 회색 가루예요.
I ___ a question.,나는 선생님에게 [[묻]]어요.,ask,You say this when you need information.,정보가 필요할 때 쓰는 단어예요.
I ___ for help.,나는 도움을 [[요청]]했어요.,ask,You use this when you want assistance.,도움이 필요할 때 이 동사를 사용해요.
Paul ___ his friend out on Friday.,폴은 친구에게 [[데이트 신청]]했어요.,ask somebody out,It means you invite a person to a date.,데이트를 신청한다는 뜻이에요.
The ___ went to space.,그 [[우주비행사]]는 우주로 갔어요.,astronaut,You travel in a rocket to space.,로켓을 타고 우주로 가요.
The ___ studies stars.,그 [[천문학자]] 별들을 연구해요.,astronomer,He studies the night sky and stars.,밤하늘과 별들을 공부하는 사람이에요.
He looked ___ to decide.,그는 결정을 [[한눈에]] 내렸어요.,at a glance,It means to look quickly.,빠르게 보는 것을 뜻해요.
She eats one candy ___.,그녀는 사탕을 [[한번에]] 하나씩 먹어요.,at a time,It means doing one thing while the others wait.,여러 가지를 동시에 하지 않고 하나씩 하는 뜻이에요.
The hitter is ___ now.,선수가 지금 [[타석]]에 서 있어요.,at bat,It means a player is ready to try a hit.,타자가 공을 치기 위해 준비되는 순간을 말해요.
"___, I felt very happy.","[[처음에는]], 나는 매우 행복했어요.",at first,It means in the beginning.,처음에라는 뜻이에요.
I like to relax ___.,"나는 [[집에서,마음 편하게]] 쉬어요.",at home,It's where you live comfortably.,당신이 편하게 지내는 곳이에요.
We finished the game ___.,우리는 게임을 [[마침내]] 마쳤어요.,at last,It means finally after waiting a long time.,오랜 기다림 후에 결국이라는 뜻이에요.
He acted ___ when danger arose.,그는 위험이 닥치자 [[즉시]] 행동했어요.,at once,It means to do something without waiting.,기다리지 않고 바로 행동한다는 뜻이에요.
I must go ___.,나는 바로 [[한꺼번에]] 가야 해요.,at once,It means doing something immediately without delay.,바로 하는 것을 말해요.
The team worked ___ on the project.,팀은 프로젝트를 [[한꺼번에]] 작업했어요.,at one time,It describes doing things simultaneously.,여러 일을 동시에 하는 것을 말해요.
We ___ lived in that town.,우리는 [[한때]] 그 마을에 살았어요.,at one time,Think of a phrase that means long ago.,"오래 전, 예전 이야기를 할 때 쓰는 말이에요."
She arrived ___ for the meeting.,"그녀는 회의에 도착했어요 [[그때,그 당시에]].",at that time,It shows a moment in the past.,과거의 특정 순간을 나타내요.
"They study, eat, and sleep ___.",그들은 공부하고 밥 먹고 [[동시에]] 자요.,at the same time,It means two things happen together.,두 가지가 함께 일어나요.
The ___ won a medal.,그 [[운동선수]]가 메달을 받았어요.,athlete,They compete in sports events.,운동 경기에 참가하는 사람이에요.
The ___ won a race.,그 [[운동선수]]가 경주에서 이겼어요.,athlete,This is someone who competes in sports.,운동 경기에서 뛰는 사람이에요.
We sailed across the ___ during summer.,우리는 여름에 배로 [[대서양]] 건넜어요.,Atlantic,It is a big ocean between America and Europe.,미국과 유럽 사이에 있는 큰 바다예요.
The model is ___.,모델은 [[매력]]있어요.,attractive,Rearrange these letters!: R A T I V T A C T E,다음 글자들을 재배열 해보세요!: R A T I V T A C T E
I visit my ___ often.,나는 [[숙모]]를 자주 방문해요.,aunt,She is the sister of your parent.,그 사람은 부모님의 여동생이에요.
My cousin is ___ and friendly.,내 사촌은 [[오스트레일리아인]]이고 친절해요.,Australian,It describes a person from a country with kangaroos.,캥거루로 유명한 나라 사람을 나타내요.
The ___ wrote a novel.,그 [[저자]]가 소설을 썼어요.,author,This person writes a book.,이 사람은 책을 쓴답니다.
The computer saves files __________.,컴퓨터가 파일을 [[자동으로]] 저장해요.,automatically,It means something happens on its own.,어떤 일이 스스로 일어난다는 뜻이에요.
The season is ___.,계절은 [[가을]]이에요.,autumn,It is the season after summer.,여름 다음에 오는 계절이에요.
The book is ___ at the library.,이 책은 도서관에서 [[구할 수 있는]] 있어요.,available,It describes something you can use or get.,쓸 수 있거나 얻을 수 있음을 나타내요.
The teacher is ___ today.,선생님은 오늘 [[여유가 있는]].,available,It means being free and ready now.,지금 시간이 있으니 쓸 수 있다는 뜻이에요.
He gained ______ in class.,그는 수업에서 [[인식]]을 얻었어요.,awareness,It means knowing what's happening around you.,주변에 일어나는 일을 아는 것을 말해요.
The cat ran ___.,고양이가 밖으로 [[떨어져서]] 달렸어요.,away,It means not being here or nearby.,여기 있지 않거나 가까이에 없음을 뜻해요.
The view is ___.,경치는 [[엄청난]]예요.,awesome,"When you feel very impressed by something, you use this word.",매우 감탄할 때 쓰는 단어예요.
The food is ___.,음식은 [[끔찍한]] 맛이에요.,awful,It describes something very bad or unpleasant.,매우 나쁘거나 불쾌한 것을 설명해요.
The food was ___.,음식이 [[지독한]] 이었어요.,awful,How would you feel after eating spoiled food?,상한 음식을 먹은 후 기분이 어떨까요?
A ___ smiles at everyone.,모두에게 웃음을 주는 [[아기]]예요.,baby,This one is very small and needs care from family.,이것은 아주 작아서 가족의 보살핌이 필요해요.
My ___ is sore after work.,내 [[등]]은 일 후에 아파요.,back,It is the part of your body behind you.,몸의 뒤쪽 부분이에요.
He came ___ after the trip.,그는 여행 후에 [[돌아와서]] 왔어요.,back,It means to return to where you began.,처음 있던 곳으로 돌아간다는 뜻이에요.
She went ___ home.,그녀는 [[뒤로]] 집에 갔어요.,back,It is the opposite of front.,앞과 반대예요.
He went ___ to the store.,그는 가게로 [[뒤로]] 갔어요.,back,It means to return to a previous place.,이것은 이전 장소로 돌아가는 것을 뜻해요.
I ___ in the mountains.,나는 산에서 [[배낭여행]]해요.,backpack,You travel with a bag on your back.,등에 가방을 메고 여행하는 거예요.
She carried her ___ to school.,그녀는 학교에 [[배낭]]을 들고 갔어요.,backpack,You use it to carry things on your back.,등에 물건을 넣어 다니는 가방이에요.
The country is ___ in technology.,국가는 기술이 [[뒤떨어진]] 상태에 있어요.,backward,It means not developing well.,다른 것보다 발전이 느린 것을 말해요.
The car went ______.,자동차가 [[후방에]] 갔어요.,backward,"It means moving to the back, like looking behind you.",앞으로 가지 않고 뒤로 움직이는 것을 말해요.
Some ___ make us sick.,몇몇 [[세균]] 우리 몸을 아프게 해요.,bacteria,They are tiny organisms that can make you ill.,"이것들은 아주 작은 생명체로, 너를 아프게 할 수 있어요."
The movie is ___.,그 영화는 [[나쁜]]예요.,bad,"If something is not good, you use this word.",무언가 좋지 않을 때 쓰는 단어예요.
The film was ___.,영화는 [[나쁜]] 이었어요.,bad,It describes something not nice.,좋지 않은 것을 말할 때 쓰는 단어예요.
The movie is ___.,영화는 [[나쁜]]예요.,bad,What word means not good or poor?,좋지 않음을 표현하는 단어는 무엇일까요?
This food is ___.,이 음식은 [[나쁜]] 맛이에요.,bad,It means not good.,좋지 않음을 뜻해요.
They ___ apples at the store.,그들은 가게에서 사과를 [[봉지]]에 담았어요.,bag,It is used for carrying items when shopping.,쇼핑할 때 물건을 담는 데 사용해요.
I take a ___ to school.,나는 학교에 [[가방]]를 가져가요.,bag,This holds your items when you travel.,여행할 때 물건을 담는 것으로 사용해요.
I ___ a cake.,나는 [[굽]] 케이크를 만들어요.,bake,You cook food in an oven.,오븐에서 음식을 요리해요.
The ___ makes fresh bread.,그 [[제빵사]]가 신선한 빵을 만들어요.,baker,You work in a shop that makes bread.,빵을 만드는 가게에서 일해요.
She visits the ____ for bread.,그녀는 빵을 사러 [[제과점]]에 가요.,bakery,It is a shop selling bread and cakes.,빵과 케이크를 파는 곳이에요.
This meal is ___ and healthy.,이 식사는 [[균형 잡힌]]하고 건강해요.,balanced,It means that all parts are even and steady.,모든 부분이 고르게 있고 안정된 상태를 뜻해요.
She enjoys a ______ every day.,그녀는 매일 [[균형식]]을 즐겨요.,balanced diet,You eat different healthy foods together.,여러 가지 건강한 음식을 함께 먹어요.
The boy kicked the ___.,소년은 [[공]]을 찼어요.,ball,It is round and used in many games.,둥글고 여러 경기에서 사용하는 물건이에요.
I went to a ___ at night.,나는 어젯밤 [[무도회]]에 갔어요.,ball,It is a formal dance event.,우아한 춤 파티예요.
She enjoyed watching ___ at the show.,그녀는 공연장에서 [[발레]]를 보았어요.,ballet,It is a dance show with graceful moves.,우아한 동작이 있는 춤 공연이에요.
I went to the ___ for a game.,나는 경기를 보러 [[야구장]]에 갔어요.,ballpark,It is where you go for baseball games.,야구 경기를 보러 가는 곳이에요.
He gave a ___ figure.,그는 [[대략의]] 숫자를 말했어요.,ballpark,It shows when an answer is a rough guess.,정확하지 않은 추측을 나타내요.
The panda eats ___.,판다는 [[대나무]]를 먹어요.,bamboo,It is a tall green plant that pandas eat.,판다가 먹는 키 큰 초록색 식물이에요.
I deposit money at the ___.,나는 돈을 입금하러 [[은행]]에 가요.,bank,It is where you keep your money.,돈을 보관하는 곳이에요.
The boat was near the ___.,배는 강가의 [[강둑]]에 있었어요.,bank,It is the side of a river.,강 옆에 있는 땅이에요.
The ___ works at a bank.,그 사람은 은행에서 [[은행가]] 일해요.,banker,This person works in a bank and manages money.,이 사람은 은행에서 일하며 돈을 관리해요.
They hang a ______ at the fair.,그들은 축제에 [[깃발]]을 걸어요.,banner,It is a decorative cloth piece used at events.,행사에 쓰이는 꾸며진 천 조각이예요.
They held the ___ at the fair.,그들은 축제에서 [[현수막]]을 들었어요.,banner,Rearrange these letters!: R A N B N E,다음 글자들을 재배열 해보세요!: R A N B N E
They achieved a ___ performance at show.,그들은 [[최고의]] 공연을 보여줬어요.,banner,It describes something of top quality.,최고의 품질을 나타내는 말이에요.
We eat ___ at summer picnics.,여름 소풍에서 [[숯불구이용 그릴]] 먹어요.,barbecue,It is a grill for cooking food outdoors.,밖에서 음식을 굽는 데 쓰는 그릴이에요.
The farmer stored hay in the ____.,농부는 건초를 [[헛간]]에 보관했어요.,barn,Rearrange these letters!: R N B A,다음 글자들을 재배열 해보세요!: R N B A
Tom ___ his art on love.,톰은 사랑을 [[바탕]]으로 예술을 만들어요.,base,It is what you build on or use as support.,무언가를 지탱하는 기초 역할을 해요.
The structure needs a strong ____.,건물은 튼튼한 [[기초]]가 필요해요.,base,It is the support you build on.,이것은 물건이 서 있는 부분이에요.
Soldiers guard the ___ in battle.,군인들이 전투 중에 [[기지]]를 지켜요.,base,It is a place used by soldiers.,군인들이 사용하는 장소예요.
The table rests on its ___.,책상은 그 [[바닥]] 위에 있어요.,base,It is the lowest part of something.,어떤 물건의 가장 아래 부분이에요.
The runner touched the ____. ,주자는 [[루]]를 밟았어요.,base,It is the place a runner touches in baseball.,야구에서 주자가 도착하는 곳이에요.
He is a ___ person.,그 사람은 [[비열한]] 사람이에요.,base,It describes someone who is not kind.,친절하지 않은 사람을 뜻해요.
I play ______ on weekends.,나는 주말에 [[야구]]를 해요.,baseball,It is a sport where you hit a ball with a bat.,방망이로 공을 치는 경기예요.
He throws the ___.,그는 [[야구공]]을 던져요.,baseball,It is a ball used in a popular game with a bat.,방망이를 사용하는 인기 스포츠의 공이에요.
Our idea is _______ facts.,우리 생각은 사실을 [[기초로 한]] 거예요.,based on,It means you use facts to form your idea.,사실을 토대로 생각을 했다는 뜻이에요.
The movie is ___ a true story.,영화는 실화를 [[근거하여]] 만들어졌어요.,based on,You use facts to decide.,사실을 참고하여 결정할 때 쓰여요.
The ___ guards the base.,야구 경기에서 [[루수]]가 공을 잡아요.,baseman,He is a player who stands near the base.,야구에서 한쪽 기지를 지키는 선수예요.
The class is ___.,수업은 [[기본]]이에요.,basic,It is used for things that are simple and essential.,간단하고 필요한 것을 말할 때 사용해요.
The child carries a ___.,어린이가 [[바구니]]를 들고 있어요.,basket,It holds fruits and groceries.,과일이나 물건을 담는 용기에요.
He plays ___ at school.,그는 학교에서 [[농구]]해요.,basketball,You play this sport using a ball and a hoop.,이 스포츠는 공과 후프를 사용해요.
I play ___ in school gym.,나는 학교 체육관에서 [[농구공]]으로 놀아요.,basketball,A sport where you bounce a ball and shoot at a hoop.,이 스포츠는 공을 튕기고 바구니에 넣어요.
He ___ the ball.,그는 [[배트]]로 공을 쳤어요.,bat,You use this to hit a ball.,이것으로 공을 쳐요.
The ___ flew in the dark.,밤에 어둠 속에서 [[박쥐]]가 날았어요.,bat,It is a small animal that flies at night.,밤에 날아다니는 작은 동물이에요.
He swung his ___ at the ball.,그는 공을 향해 [[야구 방망이]]로 휘둘렀어요.,bat,It's a tool for hitting baseballs.,야구공을 치는 도구예요.
He takes a ___ to relax.,그는 휴식을 위해 [[목욕]]해요.,bath,You fill a tub with water to get clean.,물로 몸을 깨끗이 하기 위해 욕조를 사용해요.
He uses the ______ when he showers.,그는 샤워할 때 [[욕실]]을 사용해요.,bathroom,It is a room for washing yourself.,자신을 씻는 방이에요.
The ___ is in the bathroom.,욕실에 있는 [[욕조]]는 깨끗해요.,bathtub,You fill it with water to take a bath.,목욕할 때 물을 담는 용기예요.
The ___ scored a run.,크리켓에서 [[타자]]가 점수를 냈어요.,batsman,This person plays cricket with a bat.,이 사람은 방망이를 들고 크리켓을 해요.
The player will ___ the ball.,선수는 공을 [[강타]]했어요.,batter,Imagine a baseball player hitting the ball very hard.,야구선수가 공을 아주 세게 치는 모습을 생각해보세요.
The ___ hit the ball.,그 [[타자]]가 공을 쳤어요.,batter,Think of the player in baseball who tries to hit the ball with a bat.,야구에서 방망이를 사용해 공을 치는 선수를 생각해 보세요.
She made ___ for fried chicken.,그녀는 튀김을 위해 [[반죽]]을 만들었어요.,batter,You mix flour and water to coat food.,음식을 코팅하기 위해 밀가루와 물을 섞어요.
He ___ a teacher.,그는 선생님[[이다]]예요.,be,It tells us what someone or something is.,누군가나 무엇인지 알려주는 단어예요.
I ___ swim fast.,나는 수영을 [[할 수 있다]] 빠르게 해요.,be able to,It shows you have the power to do something.,어떤 일을 할 수 있는 능력이 있어요.
I ___ coffee.,나는 커피에 [[빠져 있다]].,be addicted to,This phrase means you cannot stop drinking something you like.,이 말은 좋아하는 것을 멈추지 못하는 상태예요.
They ___ spiders at night.,그들은 밤에 거미를 [[두려워하다]].,be afraid of,"When you see spiders, you feel scared.",거미를 보면 무서워지는 기분이에요.
You ___ use my phone.,너는 내 전화기를 [[허락]] 받았어.,be allowed to,"When someone gives you permission, you can do it.","누군가가 해도 된다고 하면, 할 수 있어요."
They must ___ their misbehavior.,그들은 반드시 [[부끄러워하다]] 그들의 잘못을.,be ashamed of,How do you feel when you think you did something wrong?,잘못한 일이 있을 때 어떤 기분인가요?
They will ___ after dinner.,그들은 저녁 후에 [[돌아오]]어요.,be back,It is a phrase used when someone returns.,누군가 돌아올 때 쓰는 숙어예요.
I ___ on a sunny day.,나는 햇살 좋은 날에 [[태어나다]].,be born,It means starting life when you come into this world.,세상에 처음 나오게 되는 것을 말해요.
She _____ reading a book.,그녀는 책을 읽느라 [[바쁘]]어요.,be busy ~ing,It means you are occupied with an activity.,어떤 일을 하느라 다른 일을 할 시간이 없어요.
The tree ___ snow in winter.,나무는 겨울에 눈으로 [[덮여있]]어요.,be covered with,It describes when an object has something on its surface.,물건의 표면 위에 다른 것이 있을 때를 말해요.
They ___ learn new words.,그들은 새로운 단어들을 배우려고 [[몹시 ~ 하고 싶어하다]].,be eager to,How do you feel when you really want to start something?,무언가를 정말 시작하고 싶을 때 기분은 어때요?
They must ___ the rules.,그들은 규칙에 [[익숙하다]]요.,be familiar with,You know it well because you learned about it before.,전에 배워서 잘 알고 있어요.
This cafe ___ its coffee.,이 카페는 커피로 [[유명]]이에요.,be famous for,This expression means that people know someone because they do something special.,이 표현은 사람이 특별한 일을 해서 많은 사람들에게 알려졌다는 뜻이에요.
The bowl ___ soup.,그릇은 수프로 [[으로 차 있다]].,be filled with,It means something has a lot inside.,어떤 것이 많은 내용물로 가득 찼다는 뜻이에요.
You ___ do what you want.,너는 네가 원하는 대로 [[마음대로]] 할 수 있어.,be free to,You can choose without any limits.,아무 제한 없이 선택할 수 있다는 뜻이에요.
My friend ___ Korea.,내 친구는 한국[[출신]]이에요.,be from,It shows someone's place of origin.,누군가가 어디서 왔는지 알려줘요.
The box ___ toys.,상자에는 장난감이 [[가득]] 있어요.,be full of,It means having many things inside.,안에 많은 것을 가지고 있다는 뜻이에요.
She can ___ soccer.,그녀는 축구에 [[능숙]]해요.,be good at,"When you do something well, use this phrase.",어떤 일을 잘할 때 쓰는 표현이에요.
They might ___ if they break the law.,그들은 법을 어기면 [[곤경에 처하다]].,be in trouble,"When you break rules, you face serious problems.",규칙을 어기면 심각한 문제에 직면하는 상황이에요.
I ___ math.,나는 수학에 [[흥미]] 있어요.,be interested in,You like to learn more about a subject.,어떤 것에 대해 더 알고 싶어해요.
They ___ music every day.,그들은 매일 음악에 [[관심]]을 가져요.,be into,It means you really like something.,무언가를 정말 좋아하는 것을 말해요.
He is ___ his math talent.,그는 수학 재능으로 [[유명]]해요.,be known for,It means being famous because of something.,어떤 것으로 유명한 것을 말해요.
It __ rain today.,오늘 비가 [[올 가능성이 있다]],be likely to,It is used when something may occur.,어떤 일이 일어날 수 있음을 말해요.
She ___ forget her keys.,그녀는 [[할 것 같다]] 열쇠를 잊어버려요.,be likely to,This phrase shows that something will probably happen.,이 구문은 어떤 일이 거의 일어날 것임을 말해요.
This cup may ___ clay.,이 컵은 점토로 [[만들어지다]] 수 있어요.,be made of,"When something is produced from a material, use this phrase.",어떤 것이 재료로 만들어질 때 쓸 수 있는 표현이에요.
Water __ hydrogen and oxygen.,물은 수소와 산소로 [[이루어지]]어요.,be made up of,It means something is formed by different parts.,여러 부분이 모여 하나의 것으로 만들어졌다는 뜻이에요.
We ___ milk.,우유가 [[바닥]]났어요.,be out of,It means you do not have any left.,남은 것이 없을 때 쓰는 표현이에요.
The party will ___ soon.,파티가 곧 [[끝나다]]요.,be over,You use this when something has ended.,어떤 일이 끝났을 때 쓰는 말이에요.
Everyone should ___ their heritage.,모두는 자신의 유산을 [[자랑스럽게 생각]]해요.,be proud of,It means to feel happy about something you value.,소중한 것을 두고 기분 좋게 느낀다는 뜻이에요.
He is ___ a hero.,그는 영웅[[으로 여겨지다]].,be regarded as,It means people think someone is in a particular way.,이 표현은 사람들이 어떤 사람을 특정한 모습으로 생각할 때 쓰여요.
I ___ my meal.,나는 내 식사에 [[만족]]해요.,be satisfied with,You feel happy when your needs are met.,필요가 채워지면 기분이 좋아져요.
My dress ___ your dress.,내 드레스는 네 드레스와 [[비슷하다]].,be similar to,It means things look alike.,두 가지가 거의 똑같을 때 쓰는 말이에요.
I ___ in a traffic jam for hours.,나는 몇 시간 동안 교통 체증에 [[갇혀있다]].,be stuck in,You cannot move because of heavy traffic.,교통량이 많아 움직일 수 없어요.
